,File,LA,UAS,LAS
0,train_0,0.958,0.942,0.927
1,test_0,0.9,0.87,0.837
2,train_1,0.958,0.942,0.927
3,test_1,0.897,0.866,0.833
4,train_2,0.958,0.942,0.927
5,test_2,0.901,0.864,0.835
6,train_3,0.957,0.942,0.926
7,test_3,0.904,0.877,0.845
8,train_4,0.958,0.941,0.926
9,test_4,0.901,0.875,0.842
10,train_5,0.958,0.942,0.926
11,test_5,0.9,0.87,0.837
12,train_6,0.958,0.942,0.927
13,test_6,0.899,0.869,0.836
14,train_7,0.957,0.941,0.926
15,test_7,0.901,0.877,0.843
16,train_8,0.958,0.942,0.927
17,test_8,0.898,0.865,0.832
18,train_9,0.958,0.942,0.927
19,test_9,0.905,0.875,0.845
