,File,LA,UAS,LAS
0,train_0,0.966,0.946,0.934
1,test_0,0.902,0.842,0.814
2,train_1,0.967,0.947,0.935
3,test_1,0.902,0.843,0.814
4,train_2,0.966,0.946,0.934
5,test_2,0.903,0.846,0.816
6,train_3,0.966,0.946,0.934
7,test_3,0.902,0.845,0.816
8,train_4,0.966,0.945,0.933
9,test_4,0.902,0.841,0.813
10,train_5,0.966,0.945,0.933
11,test_5,0.905,0.847,0.819
12,train_6,0.967,0.946,0.934
13,test_6,0.902,0.843,0.815
14,train_7,0.967,0.946,0.934
15,test_7,0.899,0.841,0.811
16,train_8,0.967,0.946,0.934
17,test_8,0.901,0.843,0.814
18,train_9,0.967,0.947,0.935
19,test_9,0.902,0.841,0.813
