,File,LA,UAS,LAS
0,train_0,0.975,0.965,0.955
1,test_0,0.905,0.868,0.839
2,train_1,0.974,0.964,0.954
3,test_1,0.906,0.875,0.845
4,train_2,0.974,0.964,0.954
5,test_2,0.911,0.877,0.849
6,train_3,0.974,0.964,0.954
7,test_3,0.91,0.882,0.853
8,train_4,0.974,0.964,0.954
9,test_4,0.915,0.887,0.86
10,train_5,0.974,0.963,0.953
11,test_5,0.913,0.878,0.851
12,train_6,0.975,0.964,0.955
13,test_6,0.912,0.881,0.853
14,train_7,0.974,0.964,0.954
15,test_7,0.914,0.88,0.853
16,train_8,0.974,0.963,0.954
17,test_8,0.911,0.881,0.853
18,train_9,0.975,0.965,0.955
19,test_9,0.904,0.869,0.84
