Collection,Experiment,Model,Source,Split,LA,UAS,LAS
est_ud,gm_experiment_1,udpipe,train,0,-,"92.17%,",90.79%
est_ud,gm_experiment_1,udpipe,test,0,-,"86.44%,",84.23%
est_ud,gm_experiment_1,udpipe,train,1,-,"91.82%,",90.45%
est_ud,gm_experiment_1,udpipe,test,1,-,"86.16%,",83.92%
est_ud,gm_experiment_1,udpipe,train,2,-,"91.99%,",90.63%
est_ud,gm_experiment_1,udpipe,test,2,-,"86.68%,",84.40%
est_ud,gm_experiment_1,udpipe,train,3,-,"91.73%,",90.36%
est_ud,gm_experiment_1,udpipe,test,3,-,"86.28%,",84.02%
est_ud,gm_experiment_1,udpipe,train,4,-,"92.12%,",90.75%
est_ud,gm_experiment_1,udpipe,test,4,-,"86.22%,",84.00%
est_ud,gm_experiment_1,udpipe,train,5,-,"91.18%,",89.75%
est_ud,gm_experiment_1,udpipe,test,5,-,"85.69%,",83.56%
est_ud,gm_experiment_1,udpipe,train,6,-,"91.83%,",90.47%
est_ud,gm_experiment_1,udpipe,test,6,-,"86.66%,",84.44%
est_ud,gm_experiment_1,udpipe,train,7,-,"91.57%,",90.14%
est_ud,gm_experiment_1,udpipe,test,7,-,"85.60%,",83.35%
est_ud,gm_experiment_1,udpipe,train,8,-,"92.18%,",90.82%
est_ud,gm_experiment_1,udpipe,test,8,-,"86.59%,",84.37%
est_ud,gm_experiment_1,udpipe,train,9,-,"91.88%,",90.48%
est_ud,gm_experiment_1,udpipe,test,9,-,"86.49%,",84.36%
est_ud,am_experiment_1,udpipe,train,0,-,"90.88%,",88.67%
est_ud,am_experiment_1,udpipe,test,0,-,"84.98%,",81.59%
est_ud,am_experiment_1,udpipe,train,1,-,"91.09%,",88.87%
est_ud,am_experiment_1,udpipe,test,1,-,"85.12%,",81.80%
est_ud,am_experiment_1,udpipe,train,2,-,"91.09%,",88.87%
est_ud,am_experiment_1,udpipe,test,2,-,"85.41%,",82.16%
est_ud,am_experiment_1,udpipe,train,3,-,"90.83%,",88.61%
est_ud,am_experiment_1,udpipe,test,3,-,"85.68%,",82.27%
est_ud,am_experiment_1,udpipe,train,4,-,"90.60%,",88.41%
est_ud,am_experiment_1,udpipe,test,4,-,"84.65%,",81.14%
est_ud,am_experiment_1,udpipe,train,5,-,"90.89%,",88.70%
est_ud,am_experiment_1,udpipe,test,5,-,"85.47%,",82.10%
est_ud,am_experiment_1,udpipe,train,6,-,"91.05%,",88.95%
est_ud,am_experiment_1,udpipe,test,6,-,"85.32%,",82.19%
est_ud,am_experiment_1,udpipe,train,7,-,"90.84%,",88.68%
est_ud,am_experiment_1,udpipe,test,7,-,"85.99%,",82.78%
est_ud,am_experiment_1,udpipe,train,8,-,"90.79%,",88.62%
est_ud,am_experiment_1,udpipe,test,8,-,"85.18%,",81.95%
est_ud,am_experiment_1,udpipe,train,9,-,"90.79%,",88.57%
est_ud,am_experiment_1,udpipe,test,9,-,"85.15%,",81.73%
est_ud,am_experiment_2,udpipe,train,0,-,"91.01%,",88.78%
est_ud,am_experiment_2,udpipe,test,0,-,"84.86%,",81.46%
est_ud,am_experiment_2,udpipe,train,1,-,"90.99%,",88.82%
est_ud,am_experiment_2,udpipe,test,1,-,"85.89%,",82.62%
est_ud,am_experiment_2,udpipe,train,2,-,"90.25%,",87.91%
est_ud,am_experiment_2,udpipe,test,2,-,"84.85%,",81.39%
est_ud,am_experiment_2,udpipe,train,3,-,"90.98%,",88.77%
est_ud,am_experiment_2,udpipe,test,3,-,"85.49%,",82.14%
est_ud,am_experiment_2,udpipe,train,4,-,"90.92%,",88.73%
est_ud,am_experiment_2,udpipe,test,4,-,"85.32%,",82.04%
est_ud,am_experiment_2,udpipe,train,5,-,"90.54%,",88.31%
est_ud,am_experiment_2,udpipe,test,5,-,"84.78%,",81.44%
est_ud,am_experiment_2,udpipe,train,6,-,"90.69%,",88.42%
est_ud,am_experiment_2,udpipe,test,6,-,"84.49%,",81.06%
est_ud,am_experiment_2,udpipe,train,7,-,"90.90%,",88.68%
est_ud,am_experiment_2,udpipe,test,7,-,"85.28%,",81.90%
est_ud,am_experiment_2,udpipe,train,8,-,"90.81%,",88.61%
est_ud,am_experiment_2,udpipe,test,8,-,"85.28%,",81.95%
est_ud,am_experiment_2,udpipe,train,9,-,"91.11%,",88.95%
est_ud,am_experiment_2,udpipe,test,9,-,"85.07%,",81.84%
est_ud,gm_experiment_2,udpipe,train,0,-,"90.96%,",89.47%
est_ud,gm_experiment_2,udpipe,test,0,-,"85.95%,",83.62%
est_ud,gm_experiment_2,udpipe,train,1,-,"92.09%,",90.66%
est_ud,gm_experiment_2,udpipe,test,1,-,"86.13%,",84.04%
est_ud,gm_experiment_2,udpipe,train,2,-,"91.92%,",90.53%
est_ud,gm_experiment_2,udpipe,test,2,-,"86.09%,",83.90%
est_ud,gm_experiment_2,udpipe,train,3,-,"91.60%,",90.20%
est_ud,gm_experiment_2,udpipe,test,3,-,"85.50%,",83.30%
est_ud,gm_experiment_2,udpipe,train,4,-,"91.90%,",90.51%
est_ud,gm_experiment_2,udpipe,test,4,-,"86.53%,",84.28%
est_ud,gm_experiment_2,udpipe,train,5,-,"91.96%,",90.57%
est_ud,gm_experiment_2,udpipe,test,5,-,"86.03%,",83.86%
est_ud,gm_experiment_2,udpipe,train,6,-,"92.19%,",90.79%
est_ud,gm_experiment_2,udpipe,test,6,-,"86.35%,",84.09%
est_ud,gm_experiment_2,udpipe,train,7,-,"91.83%,",90.47%
est_ud,gm_experiment_2,udpipe,test,7,-,"86.25%,",83.99%
est_ud,gm_experiment_2,udpipe,train,8,-,"92.14%,",90.73%
est_ud,gm_experiment_2,udpipe,test,8,-,"86.56%,",84.32%
est_ud,gm_experiment_2,udpipe,train,9,-,"91.78%,",90.41%
est_ud,gm_experiment_2,udpipe,test,9,-,"86.54%,",84.25%
est_ud,gm_experiment_3,udpipe,train,0,-,"91.77%,",90.41%
est_ud,gm_experiment_3,udpipe,test,0,-,"85.92%,",83.89%
est_ud,gm_experiment_3,udpipe,train,1,-,"91.85%,",90.47%
est_ud,gm_experiment_3,udpipe,test,1,-,"86.36%,",84.07%
est_ud,gm_experiment_3,udpipe,train,2,-,"91.59%,",90.18%
est_ud,gm_experiment_3,udpipe,test,2,-,"85.84%,",83.57%
est_ud,gm_experiment_3,udpipe,train,3,-,"91.98%,",90.66%
est_ud,gm_experiment_3,udpipe,test,3,-,"86.40%,",84.20%
est_ud,gm_experiment_3,udpipe,train,4,-,"91.88%,",90.51%
est_ud,gm_experiment_3,udpipe,test,4,-,"86.24%,",83.92%
est_ud,gm_experiment_3,udpipe,train,5,-,"91.26%,",89.86%
est_ud,gm_experiment_3,udpipe,test,5,-,"86.00%,",83.76%
est_ud,gm_experiment_3,udpipe,train,6,-,"92.10%,",90.69%
est_ud,gm_experiment_3,udpipe,test,6,-,"86.20%,",84.01%
est_ud,gm_experiment_3,udpipe,train,7,-,"91.77%,",90.37%
est_ud,gm_experiment_3,udpipe,test,7,-,"85.91%,",83.60%
est_ud,gm_experiment_3,udpipe,train,8,-,"92.27%,",90.92%
