Collection,Experiment,Model,Source,Split,LAS
edt,gm_experiment_1,udpipe,train,0,90.90%
edt,gm_experiment_1,udpipe,test,0,84.20%
edt,gm_experiment_1,udpipe,train,1,91.18%
edt,gm_experiment_1,udpipe,test,1,84.98%
edt,gm_experiment_1,udpipe,train,2,90.70%
edt,gm_experiment_1,udpipe,test,2,85.43%
edt,gm_experiment_1,udpipe,train,3,90.46%
edt,gm_experiment_1,udpipe,test,3,84.64%
edt,gm_experiment_1,udpipe,train,4,91.27%
edt,gm_experiment_1,udpipe,test,4,84.62%
edt,gm_experiment_1,udpipe,train,5,91.45%
edt,gm_experiment_1,udpipe,test,5,84.99%
edt,gm_experiment_1,udpipe,train,6,90.96%
edt,gm_experiment_1,udpipe,test,6,84.61%
edt,gm_experiment_1,udpipe,train,7,90.61%
edt,gm_experiment_1,udpipe,test,7,83.96%
edt,gm_experiment_1,udpipe,train,8,90.90%
edt,gm_experiment_1,udpipe,test,8,84.69%
edt,gm_experiment_1,udpipe,train,9,90.82%
edt,gm_experiment_1,udpipe,test,9,85.09%
est_ud,gm_experiment_1,udpipe,train,0,90.79%
est_ud,gm_experiment_1,udpipe,test,0,84.23%
est_ud,gm_experiment_1,udpipe,train,1,90.45%
est_ud,gm_experiment_1,udpipe,test,1,83.92%
est_ud,gm_experiment_1,udpipe,train,2,90.63%
est_ud,gm_experiment_1,udpipe,test,2,84.40%
est_ud,gm_experiment_1,udpipe,train,3,90.36%
est_ud,gm_experiment_1,udpipe,test,3,84.02%
est_ud,gm_experiment_1,udpipe,train,4,90.75%
est_ud,gm_experiment_1,udpipe,test,4,84.00%
est_ud,gm_experiment_1,udpipe,train,5,89.75%
est_ud,gm_experiment_1,udpipe,test,5,83.56%
est_ud,gm_experiment_1,udpipe,train,6,90.47%
est_ud,gm_experiment_1,udpipe,test,6,84.44%
est_ud,gm_experiment_1,udpipe,train,7,90.14%
est_ud,gm_experiment_1,udpipe,test,7,83.35%
est_ud,gm_experiment_1,udpipe,train,8,90.82%
est_ud,gm_experiment_1,udpipe,test,8,84.37%
est_ud,gm_experiment_1,udpipe,train,9,90.48%
est_ud,gm_experiment_1,udpipe,test,9,84.36%
edt,gm_experiment_1,malt,train,0,95.20%
edt,gm_experiment_1,malt,test,0,84.60%
