,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
0,@OBJ,root,@SUBJ->@OBJ,499,5.755478662053057,8670,2.37282012545568
127,@SUBJ,root,@OBJ->@SUBJ,479,2.388431812515582,20055,5.488685999540214
24,@PRD,root,@SUBJ->@PRD,425,11.564625850340136,3675,1.005780156983809
218,@PRD,@FMV,@SUBJ->@PRD,377,15.927334178284749,2367,0.647804525600184
78,@ADVL,root,@SUBJ->@ADVL,371,1.1201690821256038,33120,9.064337088245919
76,@ADVL,root,@OBJ->@ADVL,340,1.0265700483091789,33120,9.064337088245919
129,@SUBJ,root,@ADVL->@SUBJ,323,1.6105709299426576,20055,5.488685999540214
69,@OBJ,@FMV,@SUBJ->@OBJ,307,5.1209341117598,5995,1.640721643841615
1,@OBJ,root,@ADVL->@OBJ,288,3.3217993079584778,8670,2.37282012545568
138,@SUBJ,@SUBJ,@<NN->@SUBJ,277,9.96044588277598,2781,0.761108739203258
128,@SUBJ,root,@PRD->@SUBJ,260,1.2964348042882072,20055,5.488685999540214
165,@<NN,@<NN,@SUBJ->@<NN,254,16.035353535353536,1584,0.4335117737856744
106,@SUBJ,@FMV,@OBJ->@SUBJ,246,2.068269715823104,11894,3.2551698468477346
48,@ADVL,@ADVL,@DN>->@ADVL,226,2.7675728630908645,8166,2.234884561069329
14,@ADVL,@FMV,@OBJ->@ADVL,208,1.1600022307735207,17931,4.907386121054878
194,@OBJ,@OBJ,@SUBJ->@OBJ,207,7.723880597014926,2680,0.7334668899909138
16,@ADVL,@FMV,@SUBJ->@ADVL,201,1.1209636941609502,17931,4.907386121054878
166,@<NN,@<NN,@ADVL->@<NN,191,12.058080808080808,1584,0.4335117737856744
49,@ADVL,@ADVL,@<NN->@ADVL,174,2.1307861866274798,8166,2.234884561069329
137,@SUBJ,@SUBJ,@OBJ->@SUBJ,168,6.0409924487594395,2781,0.761108739203258
105,@SUBJ,@FMV,@PRD->@SUBJ,166,1.3956616781570539,11894,3.2551698468477346
34,@ADVL,@SUBJ,@DN>->@ADVL,151,6.477906477906478,2331,0.6379519852868731
77,@ADVL,root,@Vpart->@ADVL,135,0.4076086956521739,33120,9.064337088245919
15,@ADVL,@FMV,@Vpart->@ADVL,129,0.7194244604316548,17931,4.907386121054878
107,@SUBJ,@FMV,@ADVL->@SUBJ,121,1.0173196569699008,11894,3.2551698468477346
53,@ADVL,@ADVL,@NN>->@ADVL,113,1.3837864315454322,8166,2.234884561069329
384,@OBJ,@IMV,@SUBJ->@OBJ,110,4.539826661163846,2423,0.6631306994208895
178,@PRD,@PRD,@SUBJ->@PRD,109,17.637540453074433,618,0.16913527537850176
70,@OBJ,@FMV,@ADVL->@OBJ,103,1.7180984153461218,5995,1.640721643841615
203,@SUBJ,@IMV,@OBJ->@SUBJ,99,4.652255639097745,2128,0.5823946051868151
495,@Vpart,root,@ADVL->@Vpart,99,6.639839034205232,1491,0.4080593779762882
404,@Vpart,@FMV,@ADVL->@Vpart,93,7.351778656126482,1265,0.3462073193427261
330,@DN>,@ADVL,@ADVL->@DN>,91,6.765799256505576,1345,0.3681018533723056
38,@ADVL,@SUBJ,@<NN->@ADVL,90,3.861003861003861,2331,0.6379519852868731
284,@ADVL,@IMV,@OBJ->@ADVL,88,1.5408860094554369,5711,1.5629960480366074
115,@ADVL,@OBJ,@DN>->@ADVL,84,4.623004953219593,1817,0.4972796041468247
81,@ADVL,root,@<NN->@ADVL,83,0.2506038647342995,33120,9.064337088245919
318,@ADVL,@NN>,@DN>->@ADVL,79,27.33564013840831,289,0.079094004181856
51,@ADVL,@ADVL,@OBJ->@ADVL,78,0.9551800146950772,8166,2.234884561069329
83,@ADVL,root,@PRD->@ADVL,75,0.22644927536231885,33120,9.064337088245919
174,@NN>,@AN>,@ADVL->@NN>,73,23.10126582278481,316,0.08648340941683909
160,@<NN,@SUBJ,@SUBJ->@<NN,73,3.523166023166023,2072,0.5670684313661094
25,@PRD,root,@ADVL->@PRD,71,1.9319727891156462,3675,1.005780156983809
192,@OBJ,@OBJ,@<NN->@OBJ,71,2.6492537313432836,2680,0.7334668899909138
385,@OBJ,@IMV,@ADVL->@OBJ,67,2.765167148163434,2423,0.6631306994208895
130,@SUBJ,root,@<NN->@SUBJ,62,0.3091498379456495,20055,5.488685999540214
287,@ADVL,@IMV,@SUBJ->@ADVL,51,0.8930134827525826,5711,1.5629960480366074
209,@NN>,@NN>,@ADVL->@NN>,50,0.5528527200353825,9044,2.475177072043964
158,@<NN,@SUBJ,@ADVL->@<NN,50,2.413127413127413,2072,0.5670684313661094
454,@DN>,@NN>,@ADVL->@DN>,50,9.861932938856016,507,0.13875660941246018
429,@DN>,@SUBJ,@ADVL->@DN>,49,4.827586206896552,1015,0.2777869005002901
168,@<NN,@<NN,@OBJ->@<NN,48,3.0303030303030303,1584,0.4335117737856744
360,@??,@??,@NN>->@??,48,37.2093023255814,129,0.03530493612269697
131,@SUBJ,root,@IMV->@SUBJ,45,0.22438294689603588,20055,5.488685999540214
17,@ADVL,@FMV,@PRD->@ADVL,43,0.2398081534772182,17931,4.907386121054878
84,@ADVL,root,@IMV->@ADVL,42,0.12681159420289853,33120,9.064337088245919
82,@ADVL,root,@DN>->@ADVL,42,0.12681159420289853,33120,9.064337088245919
262,@ADVL,@P>,@DN>->@ADVL,42,47.19101123595505,89,0.02435766910790721
349,@<NN,@ADVL,@ADVL->@<NN,42,3.061224489795918,1372,0.37549125860728866
79,@ADVL,root,@NN>->@ADVL,40,0.12077294685990338,33120,9.064337088245919
182,@PRD,@PRD,@<NN->@PRD,39,6.310679611650485,618,0.16913527537850176
195,@OBJ,@OBJ,@ADVL->@OBJ,38,1.4179104477611941,2680,0.7334668899909138
412,@<NN,root,@SUBJ->@<NN,37,8.167770419426049,453,0.123977798942494
55,@ADVL,@ADVL,@SUBJ->@ADVL,36,0.440852314474651,8166,2.234884561069329
113,@ADVL,@OBJ,@OBJ->@ADVL,36,1.981287837094111,1817,0.4972796041468247
211,@NN>,@NN>,@SUBJ->@NN>,35,0.38699690402476783,9044,2.475177072043964
413,@<NN,root,@ADVL->@<NN,35,7.72626931567329,453,0.123977798942494
41,@ADVL,@SUBJ,@OBJ->@ADVL,35,1.5015015015015014,2331,0.6379519852868731
418,@Vpart,@IMV,@ADVL->@Vpart,35,7.337526205450734,477,0.13054615915136786
186,@IMV,root,@ADVL->@IMV,34,1.3112225221750868,2593,0.709656584233746
417,@DN>,@OBJ,@ADVL->@DN>,34,5.354330708661418,635,0.1737878638597874
37,@ADVL,@SUBJ,@NN>->@ADVL,33,1.4157014157014158,2331,0.6379519852868731
266,@ADVL,@<NN,@DN>->@ADVL,33,20.0,165,0.04515747643600775
343,@ADVL,@AN>,@NN>->@ADVL,32,0.594906116378509,5379,1.4721337318138528
345,@ADVL,@AN>,@OBJ->@ADVL,31,0.5763153002416807,5379,1.4721337318138528
221,@OBJ,@AN>,@ADVL->@OBJ,31,5.772811918063315,537,0.1469670596735525
140,@SUBJ,@SUBJ,@NN>->@SUBJ,31,1.1147069399496585,2781,0.761108739203258
191,@OBJ,@OBJ,@IMV->@OBJ,30,1.1194029850746268,2680,0.7334668899909138
141,@SUBJ,@SUBJ,@PRD->@SUBJ,30,1.0787486515641855,2781,0.761108739203258
364,@ADVL,@PRD,@DN>->@ADVL,29,1.4514514514514516,1998,0.5468159873887485
219,@PRD,@FMV,@ADVL->@PRD,29,1.22517955217575,2367,0.647804525600184
2,@OBJ,root,@IMV->@OBJ,29,0.3344867358708189,8670,2.37282012545568
394,@AN>,@NN>,@NN>->@AN>,28,0.6456075628314504,4337,1.1869574260785796
210,@NN>,@NN>,@OBJ->@NN>,28,0.30959752321981426,9044,2.475177072043964
286,@ADVL,@IMV,@Vpart->@ADVL,28,0.4902819120994572,5711,1.5629960480366074
377,@<Q,@<Q,@OBJ->@<Q,27,4.631217838765009,583,0.15955641674056073
205,@SUBJ,@IMV,@ADVL->@SUBJ,27,1.268796992481203,2128,0.5823946051868151
241,@IMV,@IMV,@OBJ->@IMV,27,5.601659751037345,482,0.13191456752821656
342,@ADVL,@AN>,@Vpart->@ADVL,27,0.501952035694367,5379,1.4721337318138528
187,@IMV,root,@OBJ->@IMV,26,1.0026995757809487,2593,0.709656584233746
274,@<NN,@OBJ,@OBJ->@<NN,26,2.2433132010353756,1159,0.31719706175353324
212,@NN>,@NN>,@<NN->@NN>,25,0.2764263600176913,9044,2.475177072043964
18,@ADVL,@FMV,@IMV->@ADVL,25,0.13942334504489431,17931,4.907386121054878
520,@AN>,@ADVL,@NN>->@AN>,25,0.3930199654142431,6361,1.7408891370269413
246,@DN>,root,@ADVL->@DN>,25,26.595744680851062,94,0.02572607748475593
252,@OBJ,@ADVL,@ADVL->@OBJ,25,2.4177949709864603,1034,0.28298685233231524
275,@<NN,@OBJ,@ADVL->@<NN,25,2.1570319240724762,1159,0.31719706175353324
329,@DN>,@PRD,@ADVL->@DN>,25,17.985611510791365,139,0.03804175287639441
313,@<Q,@ADVL,@<NN->@<Q,25,1.5832805573147564,1579,0.4321433654088257
441,@Vpart,@AN>,@ADVL->@Vpart,23,33.33333333333333,69,0.01888403560051233
177,@PRD,@PRD,@ADVL->@PRD,23,3.7216828478964405,618,0.16913527537850176
448,@PRD,@IMV,@SUBJ->@PRD,23,14.374999999999998,160,0.04378906805915903
35,@ADVL,@SUBJ,@<KN->@ADVL,23,0.9867009867009866,2331,0.6379519852868731
151,@NN>,@ADVL,@ADVL->@NN>,22,0.21141649048625794,10406,2.8479315138975556
142,@SUBJ,@SUBJ,@IMV->@SUBJ,22,0.7910823444804028,2781,0.761108739203258
153,@NN>,@ADVL,@AN>->@NN>,22,0.21141649048625794,10406,2.8479315138975556
498,@VOC,root,@SUBJ->@VOC,21,29.577464788732392,71,0.01943139895125182
99,@NN>,@SUBJ,@AN>->@NN>,20,0.1937046004842615,10325,2.8257632981926064
189,@IMV,root,@SUBJ->@IMV,20,0.7713073659853451,2593,0.709656584233746
185,@IMV,root,@FMV->@IMV,20,0.7713073659853451,2593,0.709656584233746
405,@AN>,@SUBJ,@NN>->@AN>,20,0.3537318712415989,5654,1.5473961925405324
268,@ADVL,@<NN,@<NN->@ADVL,20,12.121212121212121,165,0.04515747643600775
204,@SUBJ,@IMV,@PRD->@SUBJ,19,0.8928571428571428,2128,0.5823946051868151
88,@ADVL,root,@AN>->@ADVL,19,0.057367149758454104,33120,9.064337088245919
116,@ADVL,@OBJ,@<NN->@ADVL,19,1.0456796917996698,1817,0.4972796041468247
54,@ADVL,@ADVL,@IMV->@ADVL,19,0.23267205486162137,8166,2.234884561069329
472,@FMV,root,@IMV->@FMV,18,0.18157974377080602,9913,2.7130064479402716
144,@SUBJ,@SUBJ,@ADVL->@SUBJ,18,0.6472491909385114,2781,0.761108739203258
230,@<AN,@<AN,@PRD->@<AN,17,42.5,40,0.010947267014789758
233,@PRD,@SUBJ,@<NN->@PRD,16,8.938547486033519,179,0.04898901989118416
72,@OBJ,@FMV,@IMV->@OBJ,16,0.26688907422852376,5995,1.640721643841615
175,@NN>,@AN>,@OBJ->@NN>,16,5.063291139240507,316,0.08648340941683909
227,@OBJ,@SUBJ,@ADVL->@OBJ,16,1.8497109826589597,865,0.23673464919482853
408,@DN>,@P>,@ADVL->@DN>,16,7.547169811320755,212,0.05802051517838572
322,@ADVL,@NN>,@NN>->@ADVL,16,5.536332179930796,289,0.079094004181856
181,@PRD,@PRD,@AN>->@PRD,15,2.4271844660194173,618,0.16913527537850176
352,@<NN,@ADVL,@<Q->@<NN,15,1.0932944606413995,1372,0.37549125860728866
635,@B,root,@ADVL->@B,15,83.33333333333334,18,0.004926270156655391
350,@<NN,@ADVL,@SUBJ->@<NN,15,1.0932944606413995,1372,0.37549125860728866
57,@ADVL,@ADVL,@PRD->@ADVL,15,0.18368846436443792,8166,2.234884561069329
444,@<INFN,@<INFN,@IMV->@<INFN,15,20.54794520547945,73,0.019978762301991308
60,@ADVL,@ADVL,@<Q->@ADVL,14,0.17144256674014205,8166,2.234884561069329
213,@NN>,@NN>,@AN>->@NN>,14,0.15479876160990713,9044,2.475177072043964
490,@P>,@P>,@NN>->@P>,14,2.5830258302583027,542,0.1483354680504012
197,@OBJ,@OBJ,@NN>->@OBJ,14,0.5223880597014926,2680,0.7334668899909138
169,@<NN,@<NN,@NN>->@<NN,14,0.8838383838383838,1584,0.4335117737856744
600,@AN>,@OBJ,@NN>->@AN>,14,0.3202928391672386,4371,1.1962626030411507
214,@NN>,@NN>,@<Q->@NN>,14,0.15479876160990713,9044,2.475177072043964
98,@NN>,@SUBJ,@ADVL->@NN>,14,0.13559322033898305,10325,2.8257632981926064
223,@OBJ,@SUBJ,@SUBJ->@OBJ,14,1.6184971098265895,865,0.23673464919482853
133,@SUBJ,root,@VOC->@SUBJ,14,0.06980802792321117,20055,5.488685999540214
87,@ADVL,root,@<KN->@ADVL,13,0.0392512077294686,33120,9.064337088245919
247,@ICV,@IMV,@FCV->@ICV,13,22.807017543859647,57,0.015599855496075404
305,@IMV,@FMV,@OBJ->@IMV,13,1.7735334242837655,733,0.20060866804602231
108,@SUBJ,@FMV,@IMV->@SUBJ,12,0.10089120564990753,11894,3.2551698468477346
307,@<P,@<P,@<NN->@<P,12,11.009174311926607,109,0.02983130261530209
315,@<Q,@ADVL,@ADVL->@<Q,12,0.7599746675110829,1579,0.4321433654088257
43,@ADVL,@SUBJ,@<DN->@ADVL,11,0.4719004719004719,2331,0.6379519852868731
308,@<P,@<P,@ADVL->@<P,11,10.091743119266056,109,0.02983130261530209
243,@IMV,@IMV,@<INFN->@IMV,11,2.2821576763485476,482,0.13191456752821656
114,@ADVL,@OBJ,@Vpart->@ADVL,11,0.6053935057787562,1817,0.4972796041468247
28,@PRD,root,@<NN->@PRD,11,0.29931972789115646,3675,1.005780156983809
446,@DN>,@AN>,@ADVL->@DN>,11,55.00000000000001,20,0.005473633507394879
356,@NN>,@OBJ,@AN>->@NN>,10,0.17403411068569438,5746,1.572574906674549
56,@ADVL,@ADVL,@Vpart->@ADVL,10,0.12245897624295861,8166,2.234884561069329
50,@ADVL,@ADVL,@AN>->@ADVL,10,0.12245897624295861,8166,2.234884561069329
462,@ADVL,@<INFN,@OBJ->@ADVL,10,2.0366598778004072,491,0.13437770260654427
179,@PRD,@PRD,@OBJ->@PRD,10,1.6181229773462782,618,0.16913527537850176
26,@PRD,root,@OBJ->@PRD,10,0.27210884353741494,3675,1.005780156983809
171,@<NN,@<NN,@<Q->@<NN,10,0.6313131313131313,1584,0.4335117737856744
86,@ADVL,root,@<DN->@ADVL,10,0.030193236714975844,33120,9.064337088245919
433,@Vpart,@ADVL,@ADVL->@Vpart,10,6.0606060606060606,165,0.04515747643600775
481,@<NN,@NN>,@NN>->@<NN,10,2.7777777777777777,360,0.09852540313310783
157,@<NN,@SUBJ,@<Q->@<NN,10,0.4826254826254826,2072,0.5670684313661094
366,@ADVL,@PRD,@PRD->@ADVL,10,0.5005005005005005,1998,0.5468159873887485
277,@<NN,@OBJ,@SUBJ->@<NN,10,0.8628127696289906,1159,0.31719706175353324
40,@ADVL,@SUBJ,@SUBJ->@ADVL,9,0.3861003861003861,2331,0.6379519852868731
621,@<Q,@OBJ,@OBJ->@<Q,9,1.185770750988142,759,0.20772439160563566
311,@<P,@<P,@NN>->@<P,9,8.256880733944955,109,0.02983130261530209
420,@AN>,@AN>,@ADVL->@AN>,9,1.0089686098654709,892,0.2441240544298116
336,@NN>,root,@SUBJ->@NN>,9,0.881488736532811,1021,0.2794289905525086
528,@<DN,root,@ADVL->@<DN,9,40.909090909090914,22,0.006020996858134367
479,@<NN,@NN>,@SUBJ->@<NN,9,2.5,360,0.09852540313310783
365,@ADVL,@PRD,@SUBJ->@ADVL,9,0.45045045045045046,1998,0.5468159873887485
512,@VOC,@FMV,@SUBJ->@VOC,9,28.125,32,0.008757813611831807
159,@<NN,@SUBJ,@PRD->@<NN,9,0.4343629343629344,2072,0.5670684313661094
375,@<Q,@SUBJ,@<NN->@<Q,9,0.9404388714733543,957,0.26191336332884496
198,@OBJ,@OBJ,@<Q->@OBJ,9,0.33582089552238803,2680,0.7334668899909138
193,@OBJ,@OBJ,@PRD->@OBJ,8,0.2985074626865672,2680,0.7334668899909138
549,@Vpart,@OBJ,@ADVL->@Vpart,8,3.018867924528302,265,0.07252564397298214
309,@<P,@<P,@OBJ->@<P,8,7.339449541284404,109,0.02983130261530209
253,@OBJ,@ADVL,@SUBJ->@OBJ,8,0.7736943907156674,1034,0.28298685233231524
