,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
23,@OBJ,root,@SUBJ->@OBJ,514,5.927805328105178,8671,2.3729639197828183
75,@SUBJ,root,@OBJ->@SUBJ,451,2.24881575666916,20055,5.488385585427795
57,@ADVL,root,@OBJ->@ADVL,409,1.2348288146851036,33122,9.064388300201419
56,@ADVL,root,@SUBJ->@ADVL,376,1.1351971499305598,33122,9.064388300201419
137,@PRD,root,@SUBJ->@PRD,374,10.17687074829932,3675,1.0057251072773448
22,@OBJ,root,@ADVL->@OBJ,344,3.96724714565794,8671,2.3729639197828183
40,@OBJ,@FMV,@SUBJ->@OBJ,334,5.571309424520433,5995,1.6406318416673966
74,@SUBJ,root,@ADVL->@SUBJ,281,1.401146846173024,20055,5.488385585427795
8,@ADVL,@FMV,@OBJ->@ADVL,269,1.500195192683063,17931,4.907117523425869
59,@ADVL,root,@<NN->@ADVL,254,0.7668619044743674,33122,9.064388300201419
276,@<NN,@<NN,@SUBJ->@<NN,248,15.656565656565657,1584,0.43348804623872494
103,@SUBJ,@FMV,@OBJ->@SUBJ,234,1.9673785101731966,11894,3.254991680532446
277,@<NN,@<NN,@ADVL->@<NN,217,13.69949494949495,1584,0.43348804623872494
76,@SUBJ,root,@PRD->@SUBJ,206,1.0271752680129644,20055,5.488385585427795
209,@PRD,@FMV,@SUBJ->@PRD,195,8.238276299112801,2367,0.6477690690953674
196,@OBJ,@OBJ,@SUBJ->@OBJ,184,6.865671641791045,2680,0.7334267448988528
304,@DN>,@ADVL,@ADVL->@DN>,183,13.605947955390334,1345,0.3680817059287153
41,@OBJ,@FMV,@ADVL->@OBJ,173,2.885738115095913,5995,1.6406318416673966
159,@SUBJ,@SUBJ,@<NN->@SUBJ,167,6.005034160373966,2781,0.7610670811804886
85,@ADVL,@ADVL,@<NN->@ADVL,165,2.020573108008817,8166,2.2347622383746386
86,@ADVL,@ADVL,@DN>->@ADVL,164,2.0083272103845213,8166,2.2347622383746386
58,@ADVL,root,@Vpart->@ADVL,142,0.4287180725801582,33122,9.064388300201419
10,@ADVL,@FMV,@SUBJ->@ADVL,140,0.7807707322514081,17931,4.907117523425869
9,@ADVL,@FMV,@Vpart->@ADVL,136,0.758462997044225,17931,4.907117523425869
105,@SUBJ,@FMV,@ADVL->@SUBJ,128,1.0761728602656802,11894,3.254991680532446
378,@Vpart,@FMV,@ADVL->@Vpart,121,9.565217391304348,1265,0.3461883702600928
158,@SUBJ,@SUBJ,@OBJ->@SUBJ,120,4.314994606256742,2781,0.7610670811804886
458,@Vpart,root,@ADVL->@Vpart,118,7.914151576123407,1491,0.40803704352395126
245,@ADVL,@SUBJ,@DN>->@ADVL,115,4.933504933504933,2331,0.6379170680444872
118,@OBJ,@IMV,@SUBJ->@OBJ,112,4.62046204620462,2424,0.6633680707592609
184,@SUBJ,@IMV,@OBJ->@SUBJ,105,4.934210526315789,2128,0.5823627287853578
