,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
42,@OBJ,root,@SUBJ->@OBJ,963,11.10598546880406,8671,2.3734055947884163
30,@SUBJ,root,@OBJ->@SUBJ,884,4.408098135035404,20054,5.48913340997427
62,@OBJ,@FMV,@SUBJ->@OBJ,565,9.424520433694745,5995,1.6409372091750152
7,@ADVL,root,@SUBJ->@ADVL,488,1.4735189323026752,33118,9.064980566048064
181,@OBJ,@OBJ,@SUBJ->@OBJ,431,16.08809257185517,2679,0.7332895385120709
218,@SUBJ,@FMV,@OBJ->@SUBJ,409,3.4392869155734944,11892,3.2550500903268187
125,@PRD,root,@SUBJ->@PRD,401,10.911564625850339,3675,1.005912300870422
6,@ADVL,root,@OBJ->@ADVL,359,1.0840026571652877,33118,9.064980566048064
177,@PRD,@FMV,@SUBJ->@PRD,353,14.919695688926456,2366,0.6476159194175289
31,@SUBJ,root,@ADVL->@SUBJ,299,1.4909743692031514,20054,5.48913340997427
52,@ADVL,@FMV,@SUBJ->@ADVL,287,1.600669269380926,17930,4.9077571577161
286,@<NN,@<NN,@SUBJ->@<NN,258,16.28787878787879,1584,0.4335687304976186
158,@SUBJ,@SUBJ,@<NN->@SUBJ,258,9.277238403451996,2781,0.7612087370668419
53,@ADVL,@FMV,@OBJ->@ADVL,244,1.3608477412158393,17930,4.9077571577161
32,@SUBJ,root,@PRD->@SUBJ,241,1.2017552607958513,20054,5.48913340997427
43,@OBJ,root,@ADVL->@OBJ,230,2.6525198938992043,8671,2.3734055947884163
80,@ADVL,@ADVL,@DN>->@ADVL,227,2.7815218723195687,8161,2.2338096020145617
287,@<NN,@<NN,@ADVL->@<NN,184,11.616161616161616,1584,0.4335687304976186
72,@OBJ,@IMV,@SUBJ->@OBJ,172,7.101568951279933,2422,0.6629441068593639
159,@SUBJ,@SUBJ,@OBJ->@SUBJ,164,5.897159295217548,2781,0.7612087370668419
173,@SUBJ,@IMV,@OBJ->@SUBJ,163,7.659774436090226,2128,0.5824711227897301
219,@SUBJ,@FMV,@PRD->@SUBJ,162,1.3622603430877902,11892,3.2550500903268187
82,@ADVL,@ADVL,@<NN->@ADVL,158,1.9360372503369683,8161,2.2338096020145617
251,@ADVL,@SUBJ,@DN>->@ADVL,150,6.435006435006435,2331,0.638035802266382
8,@ADVL,root,@Vpart->@ADVL,149,0.4499063953137266,33118,9.064980566048064
217,@SUBJ,@FMV,@ADVL->@SUBJ,142,1.1940800538176926,11892,3.2550500903268187
54,@ADVL,@FMV,@Vpart->@ADVL,131,0.7306190741773564,17930,4.9077571577161
471,@Vpart,root,@ADVL->@Vpart,122,8.18242790073776,1491,0.4081129906388569
269,@ADVL,@IMV,@OBJ->@ADVL,116,2.0322354590049057,5708,1.5623802485356106
63,@OBJ,@FMV,@ADVL->@OBJ,103,1.7180984153461218,5995,1.6409372091750152
87,@ADVL,@ADVL,@NN>->@ADVL,101,1.2375934321774293,8161,2.2338096020145617
198,@ADVL,@NN>,@DN>->@ADVL,94,32.52595155709342,289,0.07910439590518421
184,@OBJ,@OBJ,@<NN->@OBJ,94,3.508771929824561,2679,0.7332895385120709
161,@SUBJ,@SUBJ,@NN>->@SUBJ,92,3.3081625314635024,2781,0.7612087370668419
116,@Vpart,@FMV,@ADVL->@Vpart,89,7.035573122529644,1265,0.3462528056057371
106,@ADVL,@OBJ,@DN>->@ADVL,88,4.843148046230049,1817,0.4973449389609678
14,@ADVL,root,@PRD->@ADVL,86,0.25967751675825834,33118,9.064980566048064
85,@ADVL,@ADVL,@OBJ->@ADVL,82,1.0047788261242494,8161,2.2338096020145617
124,@PRD,root,@ADVL->@PRD,81,2.2040816326530615,3675,1.005912300870422
144,@NN>,@NN>,@SUBJ->@NN>,81,0.8955223880597015,9045,2.475775989489243
81,@ADVL,@ADVL,@SUBJ->@ADVL,81,0.992525425805661,8161,2.2338096020145617
354,@DN>,@ADVL,@ADVL->@DN>,80,5.947955390334572,1345,0.36815021623693
247,@ADVL,@SUBJ,@<NN->@ADVL,79,3.3891033891033895,2331,0.638035802266382
118,@NN>,@AN>,@ADVL->@NN>,72,22.78481012658228,316,0.0864947719932118
13,@ADVL,root,@<NN->@ADVL,71,0.21438492662600397,33118,9.064980566048064
135,@PRD,@PRD,@SUBJ->@PRD,71,11.488673139158575,618,0.16915749712596487
183,@OBJ,@OBJ,@NN>->@OBJ,60,2.2396416573348263,2679,0.7332895385120709
34,@SUBJ,root,@<NN->@SUBJ,60,0.2991921811110003,20054,5.48913340997427
306,@<NN,@SUBJ,@SUBJ->@<NN,58,2.799227799227799,2072,0.5671429353478952
271,@ADVL,@IMV,@SUBJ->@ADVL,56,0.9810791871058164,5708,1.5623802485356106
