,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
89,@SUBJ,root,@OBJ->@SUBJ,433,2.159170240351052,20054,5.488577551405808
154,@PRD,@FMV,@SUBJ->@PRD,414,17.490494296577946,2367,0.64782402833238
12,@PRD,root,@SUBJ->@PRD,403,10.965986394557824,3675,1.0058104368912109
1,@OBJ,root,@SUBJ->@OBJ,324,3.7374553004960203,8669,2.372617871404057
102,@SUBJ,@SUBJ,@<NN->@SUBJ,269,9.672779575692198,2781,0.7611316530597164
74,@OBJ,@FMV,@SUBJ->@OBJ,244,4.070058381984987,5995,1.6407710392279755
199,@SUBJ,@FMV,@OBJ->@SUBJ,235,1.9757861106440222,11894,3.2552678466351197
112,@<NN,@<NN,@SUBJ->@<NN,234,14.772727272727273,1584,0.4335248250437219
91,@SUBJ,root,@PRD->@SUBJ,228,1.136930288221801,20054,5.488577551405808
55,@ADVL,@ADVL,@DN>->@ADVL,224,2.743417023882425,8165,2.2346781543446905
23,@ADVL,root,@OBJ->@ADVL,219,0.6612518493915879,33119,9.064336288272115
21,@ADVL,root,@SUBJ->@ADVL,210,0.6340771158549473,33119,9.064336288272115
113,@<NN,@<NN,@ADVL->@<NN,209,13.194444444444445,1584,0.4335248250437219
0,@OBJ,root,@ADVL->@OBJ,200,2.3070711731456917,8669,2.372617871404057
90,@SUBJ,root,@ADVL->@SUBJ,198,0.987334197666301,20054,5.488577551405808
158,@OBJ,@OBJ,@SUBJ->@OBJ,196,7.313432835820896,2680,0.7334889716648831
56,@ADVL,@ADVL,@<NN->@ADVL,161,1.971830985915493,8165,2.2346781543446905
44,@ADVL,@SUBJ,@DN>->@ADVL,151,6.477906477906478,2331,0.637971191399568
198,@SUBJ,@FMV,@PRD->@SUBJ,151,1.2695476710946696,11894,3.2552678466351197
101,@SUBJ,@SUBJ,@OBJ->@SUBJ,144,5.177993527508091,2781,0.7611316530597164
22,@ADVL,root,@Vpart->@ADVL,139,0.419698662399227,33119,9.064336288272115
