,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
104,@SUBJ,root,@OBJ->@SUBJ,470,2.343555223136375,20055,5.488475706208504
30,@PRD,root,@SUBJ->@PRD,424,11.537414965986395,3675,1.0057416215565322
169,@PRD,@FMV,@SUBJ->@PRD,412,17.405999155048583,2367,0.6477797056392686
21,@OBJ,root,@SUBJ->@OBJ,342,3.944636678200692,8670,2.372729213304799
76,@OBJ,@FMV,@SUBJ->@OBJ,255,4.253544620517098,5995,1.6406587812874587
123,@<NN,@<NN,@SUBJ->@<NN,252,15.909090909090908,1584,0.43349516423008083
84,@SUBJ,@SUBJ,@<NN->@SUBJ,246,8.845738942826321,2781,0.7610795781084942
206,@SUBJ,@FMV,@OBJ->@SUBJ,234,1.9673785101731966,11894,3.255045128379155
58,@ADVL,@ADVL,@DN>->@ADVL,228,2.792064658339456,8166,2.2347989337770455
106,@SUBJ,root,@PRD->@SUBJ,224,1.1169284467713787,20055,5.488475706208504
3,@ADVL,root,@OBJ->@ADVL,219,0.6612119199299539,33121,9.064263468727592
1,@ADVL,root,@SUBJ->@ADVL,218,0.6581926874188581,33121,9.064263468727592
124,@<NN,@<NN,@ADVL->@<NN,203,12.815656565656566,1584,0.43349516423008083
105,@SUBJ,root,@ADVL->@SUBJ,202,1.0072301171777611,20055,5.488475706208504
20,@OBJ,root,@ADVL->@OBJ,196,2.260668973471742,8670,2.372729213304799
59,@ADVL,@ADVL,@<NN->@ADVL,191,2.3389664462405095,8166,2.2347989337770455
156,@OBJ,@OBJ,@SUBJ->@OBJ,177,6.604477611940299,2680,0.7334387879650357
47,@ADVL,@SUBJ,@DN>->@ADVL,153,6.563706563706563,2331,0.6379275428158576
85,@SUBJ,@SUBJ,@OBJ->@SUBJ,151,5.429701546206401,2781,0.7610795781084942
205,@SUBJ,@FMV,@PRD->@SUBJ,149,1.2527324701530185,11894,3.255045128379155
2,@ADVL,root,@Vpart->@ADVL,144,0.43476948159777784,33121,9.064263468727592
145,@ADVL,@FMV,@SUBJ->@ADVL,131,0.7305783280352462,17931,4.90719809962726
147,@ADVL,@FMV,@OBJ->@ADVL,130,0.7250013942334504,17931,4.90719809962726
146,@ADVL,@FMV,@Vpart->@ADVL,130,0.7250013942334504,17931,4.90719809962726
45,@ADVL,@SUBJ,@<NN->@ADVL,124,5.319605319605319,2331,0.6379275428158576
96,@PRD,@PRD,@SUBJ->@PRD,106,17.15210355987055,618,0.16912879513522094
64,@ADVL,@ADVL,@NN>->@ADVL,106,1.2980651481753611,8166,2.2347989337770455
383,@SUBJ,@IMV,@OBJ->@SUBJ,102,4.793233082706767,2128,0.5823722913394016
444,@Vpart,root,@ADVL->@Vpart,99,6.644295302013423,1490,0.40777007241339674
6,@ADVL,root,@<NN->@ADVL,96,0.2898463210651852,33121,9.064263468727592
4,@ADVL,root,@PRD->@ADVL,89,0.26871169348751545,33121,9.064263468727592
299,@ADVL,@NN>,@DN>->@ADVL,88,30.44982698961938,289,0.07909097377682663
180,@ADVL,@OBJ,@DN>->@ADVL,86,4.733076499724821,1817,0.4972605513927127
381,@Vpart,@FMV,@ADVL->@Vpart,85,6.719367588932807,1265,0.34619405476707843
204,@SUBJ,@FMV,@ADVL->@SUBJ,84,0.7062384395493526,11894,3.255045128379155
316,@DN>,@ADVL,@ADVL->@DN>,80,5.947955390334572,1345,0.36808774993021387
254,@<NN,@SUBJ,@SUBJ->@<NN,73,3.523166023166023,2072,0.5670467047252068
31,@PRD,root,@ADVL->@PRD,68,1.8503401360544218,3675,1.0057416215565322
78,@OBJ,@FMV,@ADVL->@OBJ,67,1.1175979983319433,5995,1.6406587812874587
228,@OBJ,@IMV,@SUBJ->@OBJ,67,2.764026402640264,2424,0.6633789634430025
107,@SUBJ,root,@<NN->@SUBJ,63,0.31413612565445026,20055,5.488475706208504
141,@NN>,@AN>,@ADVL->@NN>,62,19.62025316455696,316,0.08648009589438481
62,@ADVL,@ADVL,@OBJ->@ADVL,61,0.7469997550820475,8166,2.2347989337770455
157,@OBJ,@OBJ,@<NN->@OBJ,56,2.0895522388059704,2680,0.7334387879650357
469,@DN>,@NN>,@ADVL->@DN>,52,10.256410256410255,507,0.13875129309637058
307,@ADVL,@IMV,@OBJ->@ADVL,52,0.910523551041849,5711,1.5629361634583279
126,@<NN,@<NN,@OBJ->@<NN,51,3.2196969696969697,1584,0.43349516423008083
148,@ADVL,@FMV,@PRD->@ADVL,50,0.27884669008978863,17931,4.90719809962726
293,@DN>,@SUBJ,@ADVL->@DN>,50,4.926108374384237,1015,0.27777625738228034
255,@<NN,@SUBJ,@ADVL->@<NN,47,2.2683397683397684,2072,0.5670467047252068
343,@??,@??,@NN>->@??,44,34.10852713178294,129,0.03530358345055583
11,@ADVL,root,@DN>->@ADVL,44,0.1328462304882099,33121,9.064263468727592
0,@ADVL,root,@IMV->@ADVL,43,0.12982699797711422,33121,9.064263468727592
50,@ADVL,@SUBJ,@NN>->@ADVL,41,1.758901758901759,2331,0.6379275428158576
238,@IMV,root,@OBJ->@IMV,41,1.5805705474171163,2594,0.7099030656646652
101,@PRD,@PRD,@<NN->@PRD,39,6.310679611650485,618,0.16912879513522094
243,@ADVL,@P>,@DN>->@ADVL,37,41.57303370786517,89,0.02435673586898813
437,@<NN,root,@SUBJ->@<NN,37,8.167770419426049,453,0.12397304886125418
246,@ADVL,@<NN,@DN>->@ADVL,36,21.818181818181817,165,0.045155746273966756
22,@OBJ,root,@IMV->@OBJ,36,0.4152249134948097,8670,2.372729213304799
310,@ADVL,@IMV,@SUBJ->@ADVL,36,0.6303624584135878,5711,1.5629361634583279
410,@DN>,@OBJ,@ADVL->@DN>,36,5.669291338582677,635,0.17378120535738723
229,@OBJ,@IMV,@ADVL->@OBJ,36,1.4851485148514851,2424,0.6633789634430025
7,@ADVL,root,@NN>->@ADVL,35,0.10567313788834877,33121,9.064263468727592
168,@PRD,@FMV,@ADVL->@PRD,34,1.436417405999155,2367,0.6477797056392686
