,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
118,@PRD,root,@SUBJ->@PRD,354,9.63265306122449,3675,1.0057251072773448
236,@<NN,@<NN,@SUBJ->@<NN,317,20.012626262626263,1584,0.43348804623872494
53,@SUBJ,root,@OBJ->@SUBJ,314,1.5656943405634505,20055,5.488385585427795
29,@OBJ,root,@SUBJ->@OBJ,294,3.3906123861146353,8671,2.3729639197828183
237,@<NN,@<NN,@ADVL->@<NN,242,15.277777777777779,1584,0.43348804623872494
288,@OBJ,@FMV,@SUBJ->@OBJ,228,3.803169307756464,5995,1.6406318416673966
14,@ADVL,root,@<NN->@ADVL,218,0.6581728156512288,33122,9.064388300201419
171,@PRD,@FMV,@SUBJ->@PRD,211,8.914237431347697,2367,0.6477690690953674
68,@ADVL,@ADVL,@DN>->@ADVL,197,2.4124418319862846,8166,2.2347622383746386
57,@SUBJ,root,@PRD->@SUBJ,195,0.9723261032161555,20055,5.488385585427795
8,@ADVL,root,@OBJ->@ADVL,195,0.588732564458668,33122,9.064388300201419
204,@SUBJ,@FMV,@OBJ->@SUBJ,190,1.5974440894568689,11894,3.254991680532446
181,@OBJ,@OBJ,@SUBJ->@OBJ,186,6.940298507462686,2680,0.7334267448988528
28,@OBJ,root,@ADVL->@OBJ,169,1.9490254872563717,8671,2.3729639197828183
52,@SUBJ,root,@ADVL->@SUBJ,159,0.7928197456993269,20055,5.488385585427795
80,@DN>,@ADVL,@ADVL->@DN>,158,11.74721189591078,1345,0.3680817059287153
9,@ADVL,root,@SUBJ->@ADVL,151,0.45589034478594287,33122,9.064388300201419
130,@SUBJ,@SUBJ,@<NN->@SUBJ,143,5.142035239122618,2781,0.7610670811804886
109,@PRD,@PRD,@SUBJ->@PRD,139,22.491909385113267,618,0.1691260180401086
10,@ADVL,root,@Vpart->@ADVL,135,0.4075840830867701,33122,9.064388300201419
445,@Vpart,root,@ADVL->@Vpart,128,8.58484238765929,1491,0.40803704352395126
369,@Vpart,@FMV,@ADVL->@Vpart,122,9.644268774703557,1265,0.3461883702600928
203,@SUBJ,@FMV,@PRD->@SUBJ,122,1.0257272574407263,11894,3.254991680532446
95,@ADVL,@SUBJ,@DN>->@ADVL,121,5.190905190905191,2331,0.6379170680444872
143,@ADVL,@FMV,@Vpart->@ADVL,120,0.6692320562154928,17931,4.907117523425869
144,@ADVL,@FMV,@OBJ->@ADVL,109,0.6078857843957391,17931,4.907117523425869
67,@ADVL,@ADVL,@<NN->@ADVL,100,1.224589762429586,8166,2.2347622383746386
65,@ADVL,@ADVL,@NN>->@ADVL,100,1.224589762429586,8166,2.2347622383746386
129,@SUBJ,@SUBJ,@OBJ->@SUBJ,100,3.5958288385472854,2781,0.7610670811804886
165,@SUBJ,@IMV,@OBJ->@SUBJ,95,4.464285714285714,2128,0.5823627287853578
145,@ADVL,@FMV,@SUBJ->@ADVL,85,0.4740393731526407,17931,4.907117523425869
24,@ADVL,@NN>,@DN>->@ADVL,85,29.411764705882355,289,0.07908967510289867
205,@SUBJ,@FMV,@ADVL->@SUBJ,83,0.6978308390785269,11894,3.254991680532446
119,@PRD,root,@ADVL->@PRD,83,2.2585034013605445,3675,1.0057251072773448
362,@<NN,@SUBJ,@SUBJ->@<NN,78,3.7644787644787647,2072,0.567037393817322
234,@DN>,@SUBJ,@ADVL->@DN>,77,7.586206896551724,1015,0.27777169629564763
55,@SUBJ,root,@<NN->@SUBJ,74,0.36898529045125905,20055,5.488385585427795
428,@DN>,@OBJ,@ADVL->@DN>,73,11.496062992125983,635,0.17377835186969087
265,@OBJ,@IMV,@SUBJ->@OBJ,72,2.9702970297029703,2424,0.6633680707592609
93,@ADVL,@SUBJ,@<NN->@ADVL,70,3.003003003003003,2331,0.6379170680444872
13,@ADVL,root,@PRD->@ADVL,69,0.20832075357768248,33122,9.064388300201419
140,@NN>,@AN>,@ADVL->@NN>,69,21.835443037974684,316,0.08647867589105876
82,@ADVL,@OBJ,@DN>->@ADVL,69,3.79746835443038,1817,0.49725238637358793
363,@<NN,@SUBJ,@ADVL->@<NN,65,3.137065637065637,2072,0.567037393817322
371,@DN>,@NN>,@ADVL->@DN>,63,12.42603550295858,507,0.1387490147998949
330,@??,@??,@NN>->@??,60,46.51162790697674,129,0.035303003765653734
289,@OBJ,@FMV,@ADVL->@OBJ,60,1.0008340283569641,5995,1.6406318416673966
1,@NN>,@ADVL,@ADVL->@NN>,56,0.5380476556495004,10408,2.8483229704877835
157,@NN>,@NN>,@ADVL->@NN>,56,0.6189897203492871,9047,2.4758625974253436
11,@ADVL,root,@NN>->@ADVL,55,0.16605277459090634,33122,9.064388300201419
131,@SUBJ,@SUBJ,@PRD->@SUBJ,54,1.9417475728155338,2781,0.7610670811804886
98,@ADVL,@SUBJ,@NN>->@ADVL,50,2.1450021450021453,2331,0.6379170680444872
182,@OBJ,@OBJ,@<NN->@OBJ,50,1.8656716417910446,2680,0.7334267448988528
308,@ADVL,@IMV,@OBJ->@ADVL,48,0.8404832778847838,5711,1.5629105000437866
172,@PRD,@FMV,@ADVL->@PRD,46,1.9433882551753274,2367,0.6477690690953674
258,@<NN,root,@ADVL->@<NN,45,9.933774834437086,453,0.12397101322357475
69,@ADVL,@ADVL,@OBJ->@ADVL,45,0.5510653930933138,8166,2.2347622383746386
327,@<NN,@ADVL,@ADVL->@<NN,44,3.206997084548105,1372,0.3754707067168754
240,@<NN,@<NN,@OBJ->@<NN,42,2.6515151515151514,1584,0.43348804623872494
40,@IMV,root,@ADVL->@IMV,41,1.5805705474171163,2594,0.7098914090550836
508,@AN>,@NN>,@NN>->@AN>,40,0.9222965183306432,4337,1.1868924599351955
149,@ADVL,@FMV,@PRD->@ADVL,40,0.22307735207183088,17931,4.907117523425869
325,@AN>,@SUBJ,@NN>->@AN>,37,0.6544039617969579,5654,1.547311498379893
231,@ADVL,@P>,@DN>->@ADVL,37,41.57303370786517,89,0.0243563359313425
374,@AN>,@ADVL,@NN>->@AN>,37,0.5816695488130798,6361,1.7407938523513442
47,@ADVL,@<NN,@DN>->@ADVL,36,21.818181818181817,165,0.045155004816533846
338,@<Q,@<Q,@OBJ->@<Q,35,6.003430531732419,583,0.15954768368508626
147,@ADVL,@FMV,@<NN->@ADVL,34,0.18961574926105626,17931,4.907117523425869
259,@<NN,root,@SUBJ->@<NN,33,7.28476821192053,453,0.12397101322357475
475,@VOC,root,@SUBJ->@VOC,33,46.478873239436616,71,0.019430335405902444
17,@ADVL,root,@DN>->@ADVL,30,0.09057424068594892,33122,9.064388300201419
186,@OBJ,@OBJ,@NN>->@OBJ,29,1.082089552238806,2680,0.7334267448988528
388,@ADVL,@PRD,@DN>->@ADVL,28,1.4014014014014013,1998,0.5467860583238462
267,@OBJ,@IMV,@ADVL->@OBJ,28,1.155115511551155,2424,0.6633680707592609
303,@<Q,@ADVL,@<NN->@<Q,27,1.7099430018999366,1579,0.432119712759436
15,@ADVL,root,@<KN->@ADVL,27,0.08151681661735402,33122,9.064388300201419
107,@<P,@<P,@ADVL->@<P,27,24.770642201834864,109,0.029829669848498115
396,@Vpart,@IMV,@ADVL->@Vpart,27,5.660377358490567,477,0.13053901392416148
377,@NN>,@SUBJ,@ADVL->@NN>,27,0.26150121065375304,10325,2.8256086347315876
297,@DN>,root,@ADVL->@DN>,27,28.723404255319153,94,0.025724669410631402
183,@OBJ,@OBJ,@ADVL->@OBJ,27,1.007462686567164,2680,0.7334267448988528
319,@ADVL,@AN>,@Vpart->@ADVL,26,0.4833612195575386,5379,1.4720531570190034
450,@DN>,@P>,@ADVL->@DN>,26,12.264150943396226,212,0.05801733952184955
309,@ADVL,@IMV,@Vpart->@ADVL,25,0.43775170723165824,5711,1.5629105000437866
307,@DN>,@PRD,@ADVL->@DN>,25,17.985611510791365,139,0.03803967072423155
