,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
64,obj,root,nsubj->obj,486,5.523982723346215,8798,2.1627494794701043
201,nsubj,root,obj->nsubj,465,3.1632653061224487,14700,3.6135959704717586
474,acl,obl,amod->acl,425,23.690078037904126,1794,0.441006202110635
75,obl,root,obj->obl,408,2.136461224276064,19097,4.694479064496543
240,acl,obj,amod->acl,362,24.726775956284154,1464,0.35988465991637103
62,obj,root,obl->obj,322,3.659922709706752,8798,2.1627494794701043
271,acl,nmod,amod->acl,321,23.12680115273775,1388,0.3412021229261769
427,acl,nsubj,amod->acl,267,19.446467589220685,1373,0.33751478009916497
79,obl,root,nmod->obl,241,1.261978321202283,19097,4.694479064496543
81,obl,root,nsubj->obl,235,1.2305597737864586,19097,4.694479064496543
173,amod,nmod,acl->amod,202,4.751823100446954,4251,1.0449929571752004
516,amod,obl,acl->amod,202,3.5670139502030724,5663,1.3920948286245964
96,xcomp,root,obl->xcomp,192,7.030391797876236,2731,0.6713422173713178
45,advcl,root,conj->advcl,191,4.1521739130434785,4600,1.130785133617013
17,nsubj,conj,obj->nsubj,168,6.084751901484969,2761,0.6787169030253418
193,obj,conj,nsubj->obj,157,5.107351984385166,3074,0.7556594566823256
157,parataxis,root,conj->parataxis,145,4.158302265557786,3487,0.8571842958527226
356,obl,conj,obj->obl,143,3.1798977095841674,4497,1.1054653795381972
432,amod,obj,acl->amod,143,3.900709219858156,3666,0.9011865869217324
203,nsubj,root,obl->nsubj,135,0.9183673469387756,14700,3.6135959704717586
80,obl,root,xcomp->obl,130,0.6807351940095302,19097,4.694479064496543
118,amod,nsubj,acl->amod,129,4.174757281553398,3090,0.7595926223644718
180,acl,conj,amod->acl,123,25.204918032786882,488,0.119961553305457
749,compound:prt,root,advmod->compound:prt,123,6.9491525423728815,1770,0.43510645358741584
260,advmod,root,compound:prt->advmod,118,0.9060892267526685,13023,3.2013510424118174
233,acl,nsubj:cop,amod->acl,118,18.209876543209877,648,0.15929321012691833
49,advcl,root,xcomp->advcl,110,2.391304347826087,4600,1.130785133617013
