,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
0,nsubj,root,obj->nsubj,509,3.462585034013605,14700,3.6135959704717586
60,obj,root,nsubj->obj,465,5.285292111843601,8798,2.1627494794701043
511,acl,obl,amod->acl,463,25.808249721293198,1794,0.441006202110635
46,xcomp,root,obl->xcomp,442,16.18454778469425,2731,0.6713422173713178
297,obl,root,obj->obl,420,2.1992983191077133,19097,4.694479064496543
203,acl,obj,amod->acl,369,25.204918032786882,1464,0.35988465991637103
261,acl,nmod,amod->acl,349,25.144092219020177,1388,0.3412021229261769
59,obj,root,obl->obj,328,3.728120027278927,8798,2.1627494794701043
372,acl,nsubj,amod->acl,263,19.155134741442097,1373,0.33751478009916497
296,obl,root,nsubj->obl,235,1.2305597737864586,19097,4.694479064496543
294,obl,root,nmod->obl,221,1.1572498298162015,19097,4.694479064496543
452,amod,obl,acl->amod,180,3.1785272823591733,5663,1.3920948286245964
243,advcl,root,xcomp->advcl,171,3.7173913043478257,4600,1.130785133617013
240,advcl,root,conj->advcl,166,3.6086956521739126,4600,1.130785133617013
33,nsubj,conj,obj->nsubj,166,6.012314378848243,2761,0.6787169030253418
333,obj,conj,nsubj->obj,156,5.074821080026025,3074,0.7556594566823256
2,nsubj,root,obl->nsubj,145,0.9863945578231291,14700,3.6135959704717586
168,amod,nmod,acl->amod,143,3.3639143730886847,4251,1.0449929571752004
172,acl,conj,amod->acl,141,28.893442622950822,488,0.119961553305457
716,compound:prt,root,advmod->compound:prt,136,7.68361581920904,1770,0.43510645358741584
346,obl,conj,obj->obl,134,2.9797642873026464,4497,1.1054653795381972
152,parataxis,root,conj->parataxis,125,3.584743332377402,3487,0.8571842958527226
197,acl,nsubj:cop,amod->acl,119,18.3641975308642,648,0.15929321012691833
563,xcomp,conj,obl->xcomp,113,12.150537634408602,930,0.2286152552747439
412,amod,obj,acl->amod,112,3.055100927441353,3666,0.9011865869217324
460,advmod,root,compound:prt->advmod,110,0.8446594486677417,13023,3.2013510424118174
226,ccomp,root,advcl->ccomp,109,6.072423398328691,1795,0.44125202496576915
