,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
165,advcl,root,conj->advcl,544,11.826086956521738,4600,1.130829611019197
20,conj,root,advcl->conj,456,6.333333333333334,7200,1.769994173769178
235,nsubj,root,obj->nsubj,437,2.9727891156462585,14700,3.6137381047787382
375,obl,root,obj->obl,383,2.0055506100434624,19097,4.69466371339861
91,obj,root,nsubj->obj,373,4.239599909070243,8798,2.1628345473362818
198,parataxis,root,conj->parataxis,348,9.979925437338686,3487,0.8572180116573782
132,xcomp,root,obl->xcomp,323,11.827169534968876,2731,0.6713686234116145
90,obj,root,obl->obj,263,2.9893157535803594,8798,2.1628345473362818
601,acl,obl,amod->acl,241,13.433667781493869,1794,0.44102354829748686
373,obl,root,nsubj->obl,237,1.2410326229250668,19097,4.69466371339861
275,acl,obj,amod->acl,201,13.729508196721312,1464,0.3598988153330662
17,conj,root,ccomp->conj,193,2.6805555555555554,7200,1.769994173769178
608,acl,nmod,amod->acl,188,13.544668587896252,1388,0.341215543498836
171,advcl,root,xcomp->advcl,165,3.5869565217391304,4600,1.130829611019197
414,acl,nsubj,amod->acl,162,11.798980335032775,1373,0.33752805563681687
236,nsubj,root,obl->nsubj,157,1.0680272108843538,14700,3.6137381047787382
21,conj,root,parataxis->conj,157,2.180555555555556,7200,1.769994173769178
400,obj,conj,nsubj->obj,141,4.586857514638907,3074,0.7556891791897852
201,parataxis,root,advcl->parataxis,135,3.8715227989675935,3487,0.8572180116573782
281,advmod,root,compound:prt->advmod,124,0.9521615603163635,13023,3.2014769618050005
166,advcl,root,ccomp->advcl,120,2.608695652173913,4600,1.130829611019197
437,obl,conj,obj->obl,119,2.6462085835001115,4497,1.1055088610333326
25,conj,root,acl:relcl->conj,117,1.625,7200,1.769994173769178
372,obl,root,nmod->obl,115,0.6021888254699691,19097,4.69466371339861
46,nsubj,conj,obj->nsubj,109,3.9478449837015575,2761,0.6787435991356529
819,compound:prt,root,advmod->compound:prt,102,5.762711864406779,1770,0.4351235677182563
655,obl,advcl,obj->obl,91,2.8043143297380584,3245,0.7977265408168032
184,orphan,conj,advmod->orphan,88,18.487394957983195,476,0.11701628148807343
144,ccomp,root,conj->ccomp,87,4.846796657381615,1795,0.4412693808216215
699,xcomp,conj,obl->xcomp,87,9.35483870967742,930,0.2286242474451855
224,acl,conj,amod->acl,85,17.418032786885245,488,0.11996627177768875
200,parataxis,root,ccomp->parataxis,83,2.380269572698595,3487,0.8572180116573782
147,ccomp,root,advcl->ccomp,79,4.401114206128134,1795,0.4412693808216215
462,xcomp,advcl,obl->xcomp,77,12.727272727272727,605,0.1487286771014379
334,obj,advcl,nsubj->obj,74,3.429101019462465,2158,0.5305065870824842
169,advcl,root,parataxis->advcl,74,1.608695652173913,4600,1.130829611019197
326,nsubj,advcl,obj->nsubj,67,3.1279178338001867,2142,0.5265732666963304
374,obl,root,xcomp->obl,66,0.3456040215740692,19097,4.69466371339861
758,nmod,root,obl->nmod,64,2.7292110874200426,2345,0.5764772690956559
167,advcl,root,acl:relcl->advcl,64,1.391304347826087,4600,1.130829611019197
693,obj,acl:relcl,nsubj->obj,64,3.76249265138154,1701,0.41816112355296836
252,acl,nsubj:cop,amod->acl,64,9.876543209876543,648,0.15929947563922603
592,nsubj,acl:relcl,obj->nsubj,62,2.456418383518225,2524,0.6204812909157508
642,amod,obl,acl->amod,61,1.07716757902172,5663,1.3921495841742855
376,obl,root,nsubj:cop->obl,61,0.31942189872754884,19097,4.69466371339861
261,advcl,conj,conj->advcl,61,6.770255271920089,901,0.22149510424528188
567,conj,parataxis,parataxis->conj,60,4.010695187165775,1496,0.36776545610537364
550,advmod,conj,compound:prt->advmod,58,1.2238868959696139,4739,1.1650003318739075
82,amod,root,acl->amod,58,3.871829105473965,1498,0.36825712115364284
401,obj,conj,obl->obj,58,1.8867924528301887,3074,0.7556891791897852
397,xcomp,acl,obl->xcomp,57,21.923076923076923,260,0.06391645627499809
333,obj,advcl,obl->obj,55,2.5486561631139946,2158,0.5305065870824842
308,obl,acl,obj->obl,52,1.4582164890633762,3566,0.8766387810640123
199,parataxis,root,acl:relcl->parataxis,52,1.4912532262689993,3487,0.8572180116573782
485,obl,xcomp,obj->obl,52,3.680113234253362,1413,0.3473613566022012
824,parataxis,conj,conj->parataxis,52,8.58085808580858,606,0.1489745096255725
589,amod,nmod,nmod->amod,51,1.1997177134791814,4251,1.045034060096219
469,amod,nsubj,acl->amod,50,1.6181229773462782,3090,0.759622499575939
316,obl,acl:relcl,obj->obl,50,1.8656716417910446,2680,0.6588311646807496
107,nsubj:cop,root,nmod->nsubj:cop,50,0.8928571428571428,5600,1.376662135153805
694,obj,acl:relcl,obl->obj,47,2.7630805408583186,1701,0.41816112355296836
602,acl,obl,acl:relcl->acl,47,2.61984392419175,1794,0.44102354829748686
67,nsubj,ccomp,obj->nsubj,47,3.654743390357698,1286,0.31614062603710597
262,advcl,conj,xcomp->advcl,47,5.216426193118757,901,0.22149510424528188
898,compound:prt,conj,advmod->compound:prt,46,5.742821473158552,801,0.19691185183182106
248,obj,acl,obl->obj,46,3.80794701986755,1208,0.2969656891546065
113,nsubj:cop,root,nsubj->nsubj:cop,44,0.7857142857142858,5600,1.376662135153805
648,xcomp,acl:relcl,obl->xcomp,44,9.523809523809524,462,0.11357462615018891
522,appos,obj,conj->appos,43,11.78082191780822,365,0.08972887130913194
688,obj,ccomp,nsubj->obj,43,5.218446601941747,824,0.20256599988691704
164,advcl,root,csubj->advcl,43,0.9347826086956522,4600,1.130829611019197
474,amod,obj,acl->amod,43,1.1729405346426625,3666,0.9012220334774732
716,acl,root,amod->acl,42,13.592233009708737,309,0.07596224995759389
454,appos,nsubj,conj->appos,42,3.6269430051813467,1158,0.2846740629478761
588,amod,nmod,acl->amod,42,0.9880028228652082,4251,1.045034060096219
564,conj,parataxis,advcl->conj,41,2.740641711229946,1496,0.36776545610537364
185,orphan,conj,nmod->orphan,41,8.61344537815126,476,0.11701628148807343
276,acl,obj,acl:relcl->acl,41,2.800546448087432,1464,0.3598988153330662
377,obl,root,conj->obl,38,0.19898413363355502,19097,4.69466371339861
491,nsubj,parataxis,obj->nsubj,38,2.0331728196896734,1869,0.4594609876075824
71,conj,nsubj,appos->conj,37,2.4025974025974026,1540,0.3785820871672964
120,advcl,ccomp,conj->advcl,37,11.314984709480122,327,0.08038723539201684
948,acl:relcl,root,conj->acl:relcl,36,8.017817371937639,449,0.11037880333643901
109,nsubj:cop,root,obl->nsubj:cop,36,0.6428571428571428,5600,1.376662135153805
479,amod,conj,acl->amod,34,2.2222222222222223,1530,0.3761237619259503
863,obj,xcomp,obl->obj,34,1.9165727170236753,1774,0.4361068978147947
499,appos,nmod,parataxis->appos,34,5.037037037037037,675,0.16593695379086043
23,conj,root,csubj->conj,34,0.4722222222222222,7200,1.769994173769178
540,obl,ccomp,obj->obl,34,2.219321148825065,1532,0.37661542697421957
586,advmod,acl,compound:prt->advmod,34,3.1278748850046,1087,0.26721995373431895
1115,advmod,advcl,compound:prt->advmod,33,1.7142857142857144,1925,0.47322760895912047
440,obl,conj,nsubj->obl,33,0.733822548365577,4497,1.1055088610333326
776,cop,root,aux->cop,32,0.5077753094255791,6302,1.5492365670963
428,nmod,nsubj,appos->nmod,32,0.5502063273727648,5816,1.4297619603668805
739,xcomp,xcomp,obl->xcomp,31,15.270935960591133,203,0.04990400239932544
665,appos,obl,conj->appos,31,6.391752577319587,485,0.11922877420528491
668,appos,obl,nmod->appos,31,6.391752577319587,485,0.11922877420528491
22,conj,root,obl->conj,31,0.4305555555555556,7200,1.769994173769178
219,acl:relcl,obl,acl->acl:relcl,31,4.323570432357044,717,0.17626191980451397
172,advcl,root,csubj:cop->advcl,30,0.6521739130434783,4600,1.130829611019197
155,conj,ccomp,advcl->conj,30,5.30035335689046,566,0.13914120866018814
855,obj,parataxis,nsubj->obj,29,4.328358208955224,670,0.1647077911701874
658,obl,advcl,nsubj->obl,29,0.8936825885978429,3245,0.7977265408168032
263,advcl,conj,ccomp->advcl,29,3.218645948945616,901,0.22149510424528188
1252,nmod,acl,obl->nmod,29,28.155339805825243,103,0.02532074998586463
413,acl,nsubj,acl:relcl->acl,28,2.0393299344501092,1373,0.33752805563681687
49,nsubj,conj,obl->nsubj,28,1.0141253169141615,2761,0.6787435991356529
764,nmod,root,conj->nmod,28,1.1940298507462688,2345,0.5764772690956559
28,conj,root,xcomp->conj,27,0.375,7200,1.769994173769178
871,csubj,root,conj->csubj,27,3.896103896103896,693,0.1703619392252834
678,csubj:cop,root,advcl->csubj:cop,27,4.753521126760563,568,0.13963287370845737
1110,conj,advcl,advcl->conj,27,3.3498759305210917,806,0.1981410144524941
1024,acl:relcl,nsubj,conj->acl:relcl,27,3.765690376569038,717,0.17626191980451397
641,amod,obl,nmod->amod,26,0.45912060745188066,5663,1.3921495841742855
790,advcl,advcl,conj->advcl,26,8.695652173913043,299,0.07350392471624781
725,compound:prt,advcl,advmod->compound:prt,26,5.46218487394958,476,0.11701628148807343
669,appos,obl,parataxis->appos,26,5.360824742268041,485,0.11922877420528491
1336,nummod,parataxis,parataxis->nummod,25,7.64525993883792,327,0.08038723539201684
75,parataxis,nsubj,appos->parataxis,25,7.836990595611286,319,0.07842057519893997
390,appos,root,conj->appos,25,12.886597938144329,194,0.04769150968211396
441,obl,conj,nmod->obl,24,0.5336891260840559,4497,1.1055088610333326
498,appos,nmod,conj->appos,24,3.5555555555555554,675,0.16593695379086043
170,advcl,root,obl->advcl,24,0.5217391304347827,4600,1.130829611019197
470,amod,nsubj,nmod->amod,24,0.7766990291262136,3090,0.759622499575939
580,aux,root,cop->aux,24,0.36259253663695423,6619,1.6271654772469706
148,ccomp,root,xcomp->ccomp,23,1.2813370473537604,1795,0.4412693808216215
800,compound:prt,acl,advmod->compound:prt,23,12.637362637362637,182,0.044741519392498666
380,obl,root,advcl->obl,23,0.12043776509399381,19097,4.69466371339861
825,parataxis,conj,ccomp->parataxis,23,3.7953795379537953,606,0.1489745096255725
1034,parataxis,nmod,conj->parataxis,23,8.24372759856631,279,0.06858727423355565
787,advcl,advcl,xcomp->advcl,23,7.6923076923076925,299,0.07350392471624781
1059,parataxis,obj,appos->parataxis,22,12.222222222222221,180,0.04424985434422945
39,xcomp,ccomp,obl->xcomp,22,7.213114754098362,305,0.07497891986105545
318,obl,acl:relcl,nsubj->obl,22,0.8208955223880596,2680,0.6588311646807496
529,conj,acl:relcl,advcl->conj,22,3.747870528109029,587,0.14430369166701493
1012,conj,nsubj:cop,appos->conj,22,2.913907284768212,755,0.1856035557216291
761,nmod,root,appos->nmod,22,0.9381663113006397,2345,0.5764772690956559
523,appos,obj,parataxis->appos,21,5.7534246575342465,365,0.08972887130913194
446,obl,conj,nsubj:cop->obl,21,0.46697798532354906,4497,1.1055088610333326
54,ccomp,conj,advcl->ccomp,21,6.521739130434782,322,0.07915807277134379
357,obl,parataxis,obj->obl,21,1.9498607242339834,1077,0.2647616284929729
870,csubj,root,xcomp->csubj,21,3.0303030303030303,693,0.1703619392252834
249,obj,acl,nsubj->obj,21,1.73841059602649,1208,0.2969656891546065
900,conj,obj,appos->conj,21,1.430517711171662,1468,0.3608821454296046
966,obl,csubj,obj->obl,21,3.8461538461538463,546,0.13422455817749598
717,acl,root,acl:relcl->acl,21,6.796116504854369,309,0.07596224995759389
680,csubj:cop,root,conj->csubj:cop,20,3.5211267605633805,568,0.13963287370845737
134,xcomp,root,advcl->xcomp,20,0.7323324789454413,2731,0.6713686234116145
327,nsubj,advcl,obl->nsubj,20,0.9337068160597572,2142,0.5265732666963304
5,advcl,acl:relcl,xcomp->advcl,20,7.6923076923076925,260,0.06391645627499809
826,parataxis,conj,advcl->parataxis,20,3.3003300330033,606,0.1489745096255725
1035,parataxis,nmod,appos->parataxis,20,7.168458781362006,279,0.06858727423355565
218,acl:relcl,obl,conj->acl:relcl,20,2.789400278940028,717,0.17626191980451397
173,advcl,root,advmod->advcl,20,0.43478260869565216,4600,1.130829611019197
299,nmod,nmod,amod->nmod,20,0.28220685762664033,7087,1.7422150985419673
867,csubj,root,advcl->csubj,20,2.886002886002886,693,0.1703619392252834
76,parataxis,nsubj,conj->parataxis,19,5.956112852664576,319,0.07842057519893997
919,acl:relcl,obj,acl->acl:relcl,19,2.2700119474313025,837,0.20576182270066692
920,acl:relcl,obj,conj->acl:relcl,19,2.2700119474313025,837,0.20576182270066692
282,advmod,root,conj->advmod,19,0.14589572295170083,13023,3.2014769618050005
951,acl:relcl,root,acl->acl:relcl,19,4.231625835189309,449,0.11037880333643901
690,obj,ccomp,obl->obj,19,2.3058252427184467,824,0.20256599988691704
202,parataxis,root,nsubj->parataxis,19,0.5448809865213651,3487,0.8572180116573782
253,acl,nsubj:cop,acl:relcl->acl,19,2.9320987654320985,648,0.15929947563922603
6,advcl,acl:relcl,conj->advcl,19,7.307692307692308,260,0.06391645627499809
539,obl,ccomp,nsubj->obl,19,1.2402088772845952,1532,0.37661542697421957
26,conj,root,appos->conj,19,0.2638888888888889,7200,1.769994173769178
369,obl,root,parataxis->obl,19,0.09949206681677751,19097,4.69466371339861
453,appos,nsubj,parataxis->appos,19,1.6407599309153715,1158,0.2846740629478761
233,nsubj,root,nsubj:cop->nsubj,18,0.12244897959183673,14700,3.6137381047787382
