,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
253,obj,root,obl->obj,1096,12.45737667651739,8798,2.1627494794701043
225,nmod,obl,amod->nmod,892,9.152472809357686,9746,2.3957895461372622
23,nsubj,root,obl->nsubj,866,5.891156462585034,14700,3.6135959704717586
106,obl,root,obj->obl,848,4.440488034769859,19097,4.694479064496543
255,obj,root,nsubj->obj,813,9.240736531029778,8798,2.1627494794701043
20,nsubj,root,obj->nsubj,756,5.142857142857142,14700,3.6135959704717586
109,obl,root,nsubj->obl,687,3.5974236791119023,19097,4.694479064496543
671,nmod,obj,amod->nmod,522,8.582703058204538,6082,1.4950946049257985
183,nmod,nmod,amod->nmod,473,6.674192182870044,7087,1.7421465743356024
984,amod,obl,nmod->amod,417,7.363588204132085,5663,1.3920948286245964
321,nmod,nsubj,amod->nmod,402,6.9119669876203575,5816,1.4297057254601189
552,amod,nmod,nmod->amod,320,7.527640555163491,4251,1.0449929571752004
105,obl,root,nmod->obl,304,1.5918730690684402,19097,4.694479064496543
1165,acl,obl,amod->acl,304,16.9453734671126,1794,0.441006202110635
528,xcomp,root,obl->xcomp,299,10.948370560234347,2731,0.6713422173713178
9,aux,root,cop->aux,295,4.456866596162562,6619,1.6271014781328281
93,amod,nsubj,nmod->amod,288,9.320388349514563,3090,0.7595926223644718
509,obj,conj,obl->obj,280,9.108653220559532,3074,0.7556594566823256
432,amod,obj,nmod->amod,274,7.474086197490452,3666,0.9011865869217324
382,advmod,root,obl->advmod,265,2.034861399063196,13023,3.2013510424118174
778,obl,conj,obj->obl,260,5.781632199243941,4497,1.1054653795381972
659,acl,obj,amod->acl,252,17.21311475409836,1464,0.35988465991637103
170,obj,advcl,obl->obj,239,11.075069508804448,2158,0.5304857213794595
76,nmod,conj,amod->nmod,235,8.357041251778094,2812,0.6912538686371826
1385,nmod,nsubj:cop,amod->nmod,210,7.6447033127047685,2747,0.675275383053464
883,acl,nsubj,amod->acl,197,14.348142753095411,1373,0.33751478009916497
685,acl,nmod,amod->acl,191,13.760806916426512,1388,0.3412021229261769
510,obj,conj,nsubj->obj,187,6.083279115159401,3074,0.7556594566823256
142,obl,advcl,obj->obl,186,5.731895223420647,3245,0.7976951649102624
476,nmod,root,amod->nmod,182,7.761194029850746,2345,0.5764545952895425
716,advcl,root,conj->advcl,176,3.826086956521739,4600,1.130785133617013
198,nsubj,conj,obj->nsubj,171,6.193408185440058,2761,0.6787169030253418
1089,cop,root,aux->cop,161,2.5543392035538632,6303,1.5494214559104418
172,obj,advcl,nsubj->obj,158,7.32159406858202,2158,0.5304857213794595
201,nsubj,conj,obl->nsubj,152,5.505251720391162,2761,0.6787169030253418
230,nmod,obl,obl->nmod,151,1.5493535809562897,9746,2.3957895461372622
586,obj,acl,obl->obj,144,11.920529801324504,1208,0.29695400900203295
129,obj,acl:relcl,obl->obj,140,8.23045267489712,1701,0.4181446765831607
298,obj,xcomp,obl->obj,139,7.835400225479143,1774,0.4360897450079524
28,nsubj,root,nmod->nsubj,137,0.9319727891156463,14700,3.6135959704717586
362,nsubj:cop,root,nsubj->nsubj:cop,135,2.41028387787895,5601,1.3768538116062803
113,obl,root,nsubj:cop->obl,134,0.7016808922867466,19097,4.694479064496543
19,nsubj,root,nsubj:cop->nsubj,133,0.9047619047619048,14700,3.6135959704717586
364,nsubj:cop,root,obl->nsubj:cop,130,2.321014104624174,5601,1.3768538116062803
567,parataxis,root,conj->parataxis,127,3.64209922569544,3487,0.8571842958527226
475,nmod,root,obl->nmod,126,5.3731343283582085,2345,0.5764545952895425
868,obl,acl:relcl,obj->obl,125,4.662439388287952,2681,0.6590510746146112
836,amod,root,nmod->amod,122,8.144192256341789,1498,0.36824263699093157
112,obl,root,xcomp->obl,119,0.6231345237471854,19097,4.694479064496543
1020,nsubj,advcl,obl->nsubj,118,5.508870214752568,2142,0.5265525556973134
925,obl,xcomp,obj->obl,117,8.280254777070063,1413,0.3473476943045303
780,obl,conj,nsubj->obl,116,2.579497442739604,4497,1.1054653795381972
897,obl,acl,nmod->obl,115,3.224901850813236,3566,0.876604301408319
131,obj,acl:relcl,nsubj->obj,114,6.701940035273369,1701,0.4181446765831607
526,xcomp,root,obj->xcomp,113,4.137678506041743,2731,0.6713422173713178
145,obl,advcl,nsubj->obl,109,3.3590138674884438,3245,0.7976951649102624
1166,acl,obl,nmod->acl,108,6.0200668896321075,1794,0.441006202110635
213,amod,nsubj:cop,nmod->amod,106,7.386759581881533,1435,0.35275579711748123
259,obj,root,nmod->obj,104,1.1820868379177085,8798,2.1627494794701043
116,obl,root,amod->obl,101,0.528878881499712,19097,4.694479064496543
900,obl,acl,obj->obl,101,2.8323051037577116,3566,0.876604301408319
1033,det,obl,amod->det,100,4.434589800443459,2255,0.5543305383274705
384,advmod,root,compound:prt->advmod,98,0.7525147815403517,13023,3.2013510424118174
718,advcl,root,obl->advcl,98,2.130434782608696,4600,1.130785133617013
1019,nsubj,advcl,obj->nsubj,96,4.481792717086835,2142,0.5265525556973134
800,xcomp,conj,obl->xcomp,94,10.10752688172043,930,0.2286152552747439
41,ccomp,root,advcl->ccomp,93,5.181058495821727,1795,0.44125202496576915
497,amod,conj,nmod->amod,90,5.88235294117647,1530,0.3761089683552239
111,obl,root,conj->obl,90,0.47127821123736713,19097,4.694479064496543
885,acl,nsubj,nmod->acl,89,6.482155863073562,1373,0.33751478009916497
79,nmod,conj,obl->nmod,89,3.1650071123755334,2812,0.6912538686371826
25,nsubj,root,amod->nsubj,88,0.5986394557823129,14700,3.6135959704717586
1060,nsubj,acl:relcl,obj->nsubj,87,3.445544554455446,2525,0.6207027092136864
724,advcl,root,ccomp->advcl,86,1.8695652173913044,4600,1.130785133617013
144,obl,advcl,nmod->obl,85,2.6194144838212634,3245,0.7976951649102624
110,obl,root,advmod->obl,85,0.44509608839084674,19097,4.694479064496543
657,acl,obj,nmod->acl,84,5.737704918032787,1464,0.35988465991637103
723,advcl,root,xcomp->advcl,83,1.8043478260869563,4600,1.130785133617013
257,obj,root,nsubj:cop->obj,82,0.9320300068197318,8798,2.1627494794701043
489,acl,conj,amod->acl,82,16.80327868852459,488,0.119961553305457
184,nmod,nmod,obl->nmod,81,1.1429377733878932,7087,1.7421465743356024
1034,det,obl,nmod->det,78,3.458980044345898,2255,0.5543305383274705
1267,det,nmod,nmod->det,78,9.006928406466514,866,0.2128825925461594
1490,nsubj,ccomp,obj->nsubj,77,5.982905982905983,1287,0.3163740145576295
786,obl,conj,nmod->obl,77,1.7122526128530131,4497,1.1054653795381972
1446,obl,amod,nmod->obl,76,11.046511627906977,688,0.16912612433228366
985,amod,obl,obl->amod,74,1.3067278827476603,5663,1.3920948286245964
1283,obj,ccomp,obl->obj,73,8.859223300970873,824,0.2025580326305258
629,acl,nsubj:cop,amod->acl,73,11.265432098765432,648,0.15929321012691833
65,obl,ccomp,obj->obl,73,4.765013054830288,1532,0.37660061406549217
1468,xcomp,advcl,obl->xcomp,72,11.900826446280991,605,0.1487228273561506
339,advmod,conj,obl->advmod,72,1.519307870858831,4739,1.1649545104806573
687,acl,nmod,nmod->acl,71,5.115273775216139,1388,0.3412021229261769
531,xcomp,root,nsubj->xcomp,69,2.5265470523617726,2731,0.6713422173713178
1584,conj,root,advcl->conj,68,0.9444444444444444,7200,1.7699245569657593
445,orphan,conj,advmod->orphan,67,14.07563025210084,476,0.11701167904384742
1491,nsubj,ccomp,obl->nsubj,67,5.205905205905205,1287,0.3163740145576295
367,nsubj:cop,root,obj->nsubj:cop,67,1.1962149616139974,5601,1.3768538116062803
1193,cc,root,advmod->cc,67,6.302916274694262,1063,0.2613096950075836
1456,nummod,obl,amod->nummod,65,3.0820293978188715,2109,0.5184404014778871
898,obl,acl,amod->obl,65,1.8227706113292206,3566,0.876604301408319
227,nmod,obl,det->nmod,65,0.6669402831931048,9746,2.3957895461372622
962,nsubj,parataxis,obj->nsubj,63,3.3707865168539324,1869,0.45944291624569505
674,nmod,obj,obl->nmod,63,1.035843472541927,6082,1.4950946049257985
261,obj,root,xcomp->obj,63,0.7160718345078426,8798,2.1627494794701043
1815,cc,conj,mark->cc,62,0.41815606663519256,14827,3.644815473073794
1124,appos,nsubj,flat->appos,62,5.354058721934369,1158,0.2846628662453263
953,obj,parataxis,obl->obj,62,9.253731343283581,670,0.16470131293986925
739,xcomp,acl,obl->xcomp,62,23.846153846153847,260,0.06391394233487464
963,nsubj,parataxis,obl->nsubj,61,3.263777421080792,1869,0.45944291624569505
1635,compound:prt,root,advmod->compound:prt,60,3.389830508474576,1770,0.43510645358741584
228,nmod,obl,obj->nmod,59,0.6053765647445105,9746,2.3957895461372622
764,csubj,root,ccomp->csubj,59,8.513708513708513,693,0.17035523860795435
1281,obj,ccomp,nsubj->obj,59,7.160194174757281,824,0.2025580326305258
986,amod,obl,acl->amod,59,1.041850609217729,5663,1.3920948286245964
1814,cc,conj,advmod->cc,58,0.3911782558845349,14827,3.644815473073794
379,advmod,root,nsubj->advmod,57,0.4376871688551025,13023,3.2013510424118174
322,nmod,nsubj,obl->nmod,57,0.9800550206327373,5816,1.4297057254601189
952,obj,parataxis,nsubj->obj,56,8.358208955223882,670,0.16470131293986925
44,ccomp,root,conj->ccomp,56,3.1197771587743732,1795,0.44125202496576915
365,nsubj:cop,root,nmod->nsubj:cop,55,0.9819675058025352,5601,1.3768538116062803
1062,nsubj,acl:relcl,obl->nsubj,54,2.1386138613861387,2525,0.6207027092136864
1578,conj,root,obl->conj,53,0.736111111111111,7200,1.7699245569657593
1925,aux,acl:relcl,cop->aux,53,5.486542443064183,966,0.2374648780595727
67,obl,ccomp,nsubj->obl,53,3.4595300261096606,1532,0.37660061406549217
262,obj,root,conj->obj,52,0.5910434189588543,8798,2.1627494794701043
169,obj,advcl,nmod->obj,52,2.4096385542168677,2158,0.5304857213794595
0,obl,csubj,obj->obl,51,9.340659340659341,546,0.13421927890323676
1115,advmod,acl,obl->advmod,50,4.599816007359705,1087,0.26720944353080284
545,aux,conj,cop->aux,50,3.2030749519538757,1561,0.38372947686438197
1455,nummod,obl,det->nummod,49,2.3233760075865337,2109,0.5184404014778871
341,advmod,conj,compound:prt->advmod,49,1.03397341211226,4739,1.1649545104806573
1753,aux,advcl,cop->aux,49,4.41044104410441,1111,0.273109192054022
920,det,obj,amod->det,48,4.40771349862259,1089,0.2677010892410711
869,obl,acl:relcl,nsubj->obl,48,1.7903767251025735,2681,0.6590510746146112
141,obl,advcl,amod->obl,48,1.4791987673343605,3245,0.7976951649102624
