,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
162,advcl,root,conj->advcl,581,12.630434782608695,4600,1.130785133617013
283,nsubj,root,obj->nsubj,405,2.7551020408163267,14700,3.6135959704717586
219,parataxis,root,conj->parataxis,367,10.524806423860051,3487,0.8571842958527226
181,conj,root,advcl->conj,358,4.972222222222222,7200,1.7699245569657593
266,obl,root,obj->obl,305,1.5971094936377443,19097,4.694479064496543
178,conj,root,ccomp->conj,262,3.638888888888889,7200,1.7699245569657593
115,obj,root,nsubj->obj,241,2.7392589224823825,8798,2.1627494794701043
182,conj,root,parataxis->conj,181,2.513888888888889,7200,1.7699245569657593
166,advcl,root,ccomp->advcl,156,3.3913043478260874,4600,1.130785133617013
138,xcomp,root,obl->xcomp,132,4.833394361039913,2731,0.6713422173713178
264,obl,root,nsubj->obl,120,0.6283709483164895,19097,4.694479064496543
116,obj,root,obl->obj,117,1.329847692657422,8798,2.1627494794701043
314,advmod,root,compound:prt->advmod,114,0.875374337710205,13023,3.2013510424118174
14,ccomp,root,conj->ccomp,114,6.350974930362117,1795,0.44125202496576915
222,parataxis,root,advcl->parataxis,113,3.240607972469171,3487,0.8571842958527226
263,obl,root,nmod->obl,113,0.591715976331361,19097,4.694479064496543
265,obl,root,xcomp->obl,113,0.591715976331361,19097,4.694479064496543
821,compound:prt,root,advmod->compound:prt,111,6.271186440677965,1770,0.43510645358741584
221,parataxis,root,ccomp->parataxis,111,3.1832520791511323,3487,0.8571842958527226
253,obj,conj,nsubj->obj,109,3.5458685751463888,3074,0.7556594566823256
184,conj,root,acl:relcl->conj,109,1.5138888888888888,7200,1.7699245569657593
43,nsubj,conj,obj->nsubj,95,3.4407823252444762,2761,0.6787169030253418
15,ccomp,root,advcl->ccomp,90,5.013927576601671,1795,0.44125202496576915
199,orphan,conj,advmod->orphan,88,18.487394957983195,476,0.11701167904384742
165,advcl,root,xcomp->advcl,86,1.8695652173913044,4600,1.130785133617013
1031,nsubj,advcl,obj->nsubj,72,3.361344537815126,2142,0.5265525556973134
443,obl,conj,obj->obl,72,1.6010673782521683,4497,1.1054653795381972
284,nsubj,root,obl->nsubj,70,0.4761904761904762,14700,3.6135959704717586
163,advcl,root,acl:relcl->advcl,69,1.5,4600,1.130785133617013
573,conj,parataxis,parataxis->conj,69,4.612299465240642,1496,0.36775099128066335
752,amod,nmod,nmod->amod,64,1.5055281110326981,4251,1.0449929571752004
299,advcl,conj,conj->advcl,64,7.103218645948946,901,0.22148639247585405
350,amod,root,acl->amod,64,4.2723631508678235,1498,0.36824263699093157
675,nsubj,acl:relcl,obj->nsubj,62,2.4554455445544554,2525,0.6207027092136864
543,obj,acl:relcl,nsubj->obj,60,3.527336860670194,1701,0.4181446765831607
161,advcl,root,parataxis->advcl,60,1.3043478260869565,4600,1.130785133617013
