,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
268,nsubj,root,obj->nsubj,839,5.707482993197279,14700,3.6137381047787382
16,obj,root,nsubj->obj,820,9.320300068197318,8798,2.1628345473362818
153,advcl,root,conj->advcl,549,11.934782608695652,4600,1.130829611019197
44,conj,root,advcl->conj,422,5.861111111111112,7200,1.769994173769178
249,obl,root,obj->obl,393,2.0579148557365032,19097,4.69466371339861
203,parataxis,root,conj->parataxis,352,10.094637223974763,3487,0.8572180116573782
251,obl,root,nsubj->obl,309,1.6180551919149604,19097,4.69466371339861
67,nsubj,conj,obj->nsubj,229,8.294096341905107,2761,0.6787435991356529
40,conj,root,ccomp->conj,204,2.833333333333333,7200,1.769994173769178
420,obj,conj,nsubj->obj,199,6.473649967469096,3074,0.7556891791897852
43,conj,root,parataxis->conj,170,2.361111111111111,7200,1.769994173769178
17,obj,root,obl->obj,157,1.7844964764719256,8798,2.1628345473362818
229,obl,conj,obj->obl,140,3.11318656882366,4497,1.1055088610333326
269,nsubj,root,obl->nsubj,138,0.9387755102040816,14700,3.6137381047787382
509,nsubj,advcl,obj->nsubj,125,5.835667600373482,2142,0.5265732666963304
682,obj,advcl,nsubj->obj,124,5.746061167747914,2158,0.5305065870824842
304,advmod,root,compound:prt->advmod,122,0.9368041157951318,13023,3.2014769618050005
205,parataxis,root,advcl->parataxis,121,3.4700315457413247,3487,0.8572180116573782
403,nsubj,acl:relcl,obj->nsubj,121,4.793977812995245,2524,0.6204812909157508
154,advcl,root,ccomp->advcl,118,2.5652173913043477,4600,1.130829611019197
120,xcomp,root,obl->xcomp,114,4.174295129989015,2731,0.6713686234116145
849,compound:prt,root,advmod->compound:prt,112,6.3276836158192085,1770,0.4351235677182563
381,obj,acl:relcl,nsubj->obj,110,6.466784244562023,1701,0.41816112355296836
46,conj,root,acl:relcl->conj,104,1.4444444444444444,7200,1.769994173769178
608,obl,advcl,obj->obl,103,3.174114021571649,3245,0.7977265408168032
104,nsubj:cop,root,nmod->nsubj:cop,95,1.6964285714285714,5600,1.376662135153805
250,obl,root,nmod->obl,94,0.4922239095145834,19097,4.69466371339861
204,parataxis,root,ccomp->parataxis,93,2.667049039288787,3487,0.8572180116573782
253,obl,root,xcomp->obl,93,0.4869874849452793,19097,4.69466371339861
1084,nsubj,ccomp,obj->nsubj,91,7.076205287713841,1286,0.31614062603710597
180,orphan,conj,advmod->orphan,82,17.22689075630252,476,0.11701628148807343
156,advcl,root,xcomp->advcl,80,1.7391304347826086,4600,1.130829611019197
132,ccomp,root,conj->ccomp,80,4.456824512534819,1795,0.4412693808216215
650,obj,ccomp,nsubj->obj,79,9.587378640776699,824,0.20256599988691704
230,obl,conj,nsubj->obl,78,1.734489659773182,4497,1.1055088610333326
333,obl,acl,obj->obl,78,2.1873247335950645,3566,0.8766387810640123
278,nsubj,parataxis,obj->nsubj,72,3.8523274478330656,1869,0.4594609876075824
289,advcl,conj,conj->advcl,67,7.436182019977802,901,0.22149510424528188
134,ccomp,root,advcl->ccomp,66,3.6768802228412256,1795,0.4412693808216215
341,amod,root,acl->amod,65,4.339118825100133,1498,0.36825712115364284
97,obl,xcomp,obj->obl,65,4.600141542816702,1413,0.3473613566022012
351,obl,acl:relcl,obj->obl,64,2.3880597014925375,2680,0.6588311646807496
158,advcl,root,acl:relcl->advcl,63,1.3695652173913042,4600,1.130829611019197
538,advmod,conj,compound:prt->advmod,61,1.2871913905887318,4739,1.1650003318739075
157,advcl,root,parataxis->advcl,60,1.3043478260869565,4600,1.130829611019197
706,conj,parataxis,parataxis->conj,59,3.943850267379679,1496,0.36776545610537364
815,nmod,root,obl->nmod,56,2.3880597014925375,2345,0.5764772690956559
1177,obj,parataxis,nsubj->obj,55,8.208955223880597,670,0.1647077911701874
649,aux,root,cop->aux,53,0.800725185073274,6619,1.6271654772469706
868,parataxis,conj,conj->parataxis,52,8.58085808580858,606,0.1489745096255725
246,obl,root,nsubj:cop->obl,52,0.2722940776038121,19097,4.69466371339861
468,appos,nsubj,conj->appos,51,4.404145077720207,1158,0.2846740629478761
409,acl,obj,acl:relcl->acl,48,3.278688524590164,1464,0.3598988153330662
201,parataxis,root,acl:relcl->parataxis,48,1.3765414396329223,3487,0.8572180116573782
1060,acl,obl,acl:relcl->acl,48,2.6755852842809364,1794,0.44102354829748686
1194,compound:prt,conj,advmod->compound:prt,47,5.867665418227216,801,0.19691185183182106
350,obl,acl:relcl,nsubj->obl,47,1.7537313432835822,2680,0.6588311646807496
106,nsubj:cop,root,nsubj->nsubj:cop,46,0.8214285714285714,5600,1.376662135153805
360,appos,obj,conj->appos,44,12.054794520547945,365,0.08972887130913194
681,obj,advcl,obl->obj,44,2.0389249304911954,2158,0.5305065870824842
