,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
70,xcomp,root,obl->xcomp,439,16.074697912852436,2731,0.6713422173713178
252,nsubj,root,obj->nsubj,375,2.5510204081632653,14700,3.6135959704717586
390,obj,root,nsubj->obj,233,2.648329165719482,8798,2.1627494794701043
13,obl,root,obj->obl,230,1.2043776509399382,19097,4.694479064496543
7,obl,root,nmod->obl,227,1.1886683772320261,19097,4.694479064496543
124,advcl,root,conj->advcl,155,3.369565217391304,4600,1.130785133617013
153,parataxis,root,conj->parataxis,150,4.301691998852882,3487,0.8571842958527226
44,nsubj,conj,obj->nsubj,126,4.563563926113727,2761,0.6787169030253418
698,compound:prt,root,advmod->compound:prt,125,7.062146892655368,1770,0.43510645358741584
132,advcl,root,xcomp->advcl,117,2.5434782608695654,4600,1.130785133617013
541,xcomp,conj,obl->xcomp,116,12.473118279569892,930,0.2286152552747439
267,advmod,root,compound:prt->advmod,115,0.8830530599708208,13023,3.2013510424118174
391,obj,root,obl->obj,110,1.250284155489884,8798,2.1627494794701043
239,ccomp,root,advcl->ccomp,107,5.96100278551532,1795,0.44125202496576915
478,xcomp,advcl,obl->xcomp,97,16.03305785123967,605,0.1487228273561506
10,obl,root,nsubj->obl,97,0.5079331832224957,19097,4.694479064496543
340,obj,conj,nsubj->obj,95,3.090435914118413,3074,0.7556594566823256
122,advcl,root,ccomp->advcl,90,1.956521739130435,4600,1.130785133617013
194,nmod,root,obl->nmod,89,3.795309168443497,2345,0.5764545952895425
12,obl,root,xcomp->obl,83,0.43462323925223856,19097,4.694479064496543
141,orphan,conj,advmod->orphan,82,17.22689075630252,476,0.11701167904384742
172,xcomp,acl:relcl,obl->xcomp,80,17.316017316017316,462,0.11357015907196956
333,xcomp,acl,obl->xcomp,78,30.0,260,0.06391394233487464
882,nsubj,advcl,obj->nsubj,73,3.408029878618114,2142,0.5265525556973134
634,amod,nmod,nmod->amod,71,1.6701952481768996,4251,1.0449929571752004
220,conj,root,advcl->conj,70,0.9722222222222222,7200,1.7699245569657593
240,ccomp,root,conj->ccomp,69,3.8440111420612815,1795,0.44125202496576915
646,csubj,root,xcomp->csubj,68,9.812409812409813,693,0.17035523860795435
253,nsubj,root,obl->nsubj,67,0.45578231292517,14700,3.6135959704717586
278,amod,root,acl->amod,65,4.339118825100133,1498,0.36824263699093157
404,advmod,conj,compound:prt->advmod,63,1.329394387001477,4739,1.1649545104806573
225,conj,root,parataxis->conj,60,0.8333333333333334,7200,1.7699245569657593
312,obl,conj,obj->obl,59,1.3119857682899712,4497,1.1054653795381972
142,orphan,conj,nmod->orphan,58,12.184873949579831,476,0.11701167904384742
647,csubj,root,ccomp->csubj,56,8.080808080808081,693,0.17035523860795435
128,advcl,root,acl:relcl->advcl,55,1.1956521739130435,4600,1.130785133617013
893,compound:prt,conj,advmod->compound:prt,55,6.866416978776529,801,0.19690410696244073
495,amod,obl,nmod->amod,54,0.9535581847077521,5663,1.3920948286245964
676,nsubj,acl:relcl,obj->nsubj,52,2.0594059405940595,2525,0.6207027092136864
8,obl,root,conj->obl,49,0.2565848038958999,19097,4.694479064496543
314,obl,conj,nmod->obl,48,1.0673782521681119,4497,1.1054653795381972
619,nsubj,ccomp,obj->nsubj,46,3.5742035742035743,1287,0.3163740145576295
350,obj,advcl,nsubj->obj,44,2.0389249304911954,2158,0.5304857213794595
591,xcomp,xcomp,obl->xcomp,43,21.182266009852217,203,0.049902039592229046
73,xcomp,root,advcl->xcomp,42,1.5378982057854267,2731,0.6713422173713178
207,advcl,conj,xcomp->advcl,40,4.439511653718091,901,0.22148639247585405
491,obj,acl,obl->obj,36,2.980132450331126,1208,0.29695400900203295
98,nsubj:cop,root,nsubj->nsubj:cop,36,0.6427423674343867,5601,1.3768538116062803
1070,advmod,acl,compound:prt->advmod,36,3.3118675252989878,1087,0.26720944353080284
86,obl,advcl,obj->obl,36,1.1093990755007703,3245,0.7976951649102624
456,obl,acl,obj->obl,35,0.9814918676388109,3566,0.876604301408319
375,advmod,advcl,compound:prt->advmod,35,1.8181818181818181,1925,0.47320899613320655
37,xcomp,ccomp,obl->xcomp,34,11.147540983606557,305,0.07497597081591063
532,obj,acl:relcl,nsubj->obj,33,1.9400352733686066,1701,0.4181446765831607
693,amod,nsubj,nmod->amod,33,1.0679611650485437,3090,0.7595926223644718
1060,nmod,acl,obl->nmod,33,32.038834951456316,103,0.025319754078815725
749,aux,root,cop->aux,33,0.49856473787581207,6619,1.6271014781328281
420,nsubj,parataxis,obj->nsubj,32,1.7121455323702512,1869,0.45944291624569505
777,nmod,conj,obl->nmod,30,1.0668563300142246,2812,0.6912538686371826
286,nmod,obl,obl->nmod,30,0.3078185922429715,9746,2.3957895461372622
223,conj,root,obl->conj,30,0.4166666666666667,7200,1.7699245569657593
156,parataxis,root,obl->parataxis,29,0.8316604531115571,3487,0.8571842958527226
1121,nummod,parataxis,parataxis->nummod,29,8.868501529051988,327,0.08038407362886157
189,amod,conj,acl->amod,28,1.8300653594771243,1530,0.3761089683552239
625,appos,nsubj,conj->appos,28,2.4179620034542317,1158,0.2846628662453263
226,conj,root,ccomp->conj,27,0.375,7200,1.7699245569657593
341,obj,conj,obl->obj,27,0.878334417696812,3074,0.7556594566823256
352,obj,advcl,obl->obj,27,1.2511584800741427,2158,0.5304857213794595
311,obl,conj,xcomp->obl,27,0.600400266844563,4497,1.1054653795381972
1140,obj,ccomp,nsubj->obj,27,3.2766990291262137,824,0.2025580326305258
662,compound:prt,acl,advmod->compound:prt,27,14.835164835164836,182,0.04473975963441225
575,compound:prt,advcl,advmod->compound:prt,27,5.6722689075630255,476,0.11701167904384742
244,ccomp,root,xcomp->ccomp,27,1.5041782729805013,1795,0.44125202496576915
821,obl,acl:relcl,obj->obl,27,1.0070869078701976,2681,0.6590510746146112
72,xcomp,root,csubj->xcomp,26,0.9520322226290736,2731,0.6713422173713178
533,obj,acl:relcl,obl->obj,26,1.5285126396237507,1701,0.4181446765831607
685,appos,obl,nmod->appos,25,5.154639175257731,485,0.11922408474005462
157,parataxis,root,nsubj->parataxis,25,0.7169486664754804,3487,0.8571842958527226
251,nsubj,root,nsubj:cop->nsubj,25,0.17006802721088435,14700,3.6135959704717586
208,advcl,conj,ccomp->advcl,25,2.774694783573807,901,0.22148639247585405
11,obl,root,nsubj:cop->obl,25,0.13091061423260197,19097,4.694479064496543
466,nmod,nsubj,appos->nmod,25,0.4298486932599725,5816,1.4297057254601189
130,advcl,root,obl->advcl,25,0.5434782608695652,4600,1.130785133617013
741,obj,parataxis,nsubj->obj,24,3.582089552238806,670,0.16470131293986925
838,advcl,advcl,xcomp->advcl,24,8.02675585284281,299,0.07350103368510584
392,obj,root,conj->obj,23,0.26142305069333943,8798,2.1627494794701043
160,parataxis,root,nmod->parataxis,22,0.6309148264984227,3487,0.8571842958527226
155,parataxis,root,appos->parataxis,22,0.6309148264984227,3487,0.8571842958527226
566,nmod,nmod,appos->nmod,22,0.31042754338930434,7087,1.7421465743356024
1075,appos,obj,conj->appos,22,6.027397260273973,365,0.08972534212395863
89,obl,advcl,nmod->obl,22,0.6779661016949152,3245,0.7976951649102624
922,amod,obj,nmod->amod,22,0.6001091107474086,3666,0.9011865869217324
298,csubj,conj,xcomp->csubj,22,15.827338129496402,139,0.03416937686364452
501,obl,xcomp,obj->obl,22,1.556970983722576,1413,0.3473476943045303
197,nmod,root,conj->nmod,22,0.9381663113006397,2345,0.5764545952895425
87,obl,advcl,xcomp->obl,21,0.6471494607087828,3245,0.7976951649102624
496,amod,obl,acl->amod,21,0.3708281829419036,5663,1.3920948286245964
133,advcl,root,nsubj->advcl,21,0.4565217391304348,4600,1.130785133617013
627,appos,nsubj,flat->appos,21,1.8134715025906734,1158,0.2846628662453263
188,amod,conj,nmod->amod,20,1.3071895424836601,1530,0.3761089683552239
382,acl:relcl,obl,acl->acl:relcl,20,2.789400278940028,717,0.17625498713117355
430,appos,nmod,parataxis->appos,20,2.9629629629629632,675,0.16593042721553994
241,ccomp,root,csubj->ccomp,20,1.1142061281337048,1795,0.44125202496576915
131,advcl,root,advmod->advcl,20,0.43478260869565216,4600,1.130785133617013
522,csubj:cop,root,advcl->csubj:cop,20,3.5211267605633805,568,0.1396273817161877
227,conj,root,appos->conj,20,0.2777777777777778,7200,1.7699245569657593
0,obl,ccomp,nmod->obl,20,1.3054830287206265,1532,0.37660061406549217
1212,ccomp,conj,advcl->ccomp,20,6.211180124223603,322,0.0791549593531909
75,xcomp,root,conj->xcomp,20,0.7323324789454413,2731,0.6713422173713178
25,advcl,acl:relcl,xcomp->advcl,20,7.6923076923076925,260,0.06391394233487464
285,nmod,obl,conj->nmod,19,0.19495177508721526,9746,2.3957895461372622
429,appos,nmod,flat->appos,19,2.814814814814815,675,0.16593042721553994
63,parataxis,parataxis,conj->parataxis,19,4.428904428904429,429,0.10545800485254316
327,acl,obj,acl:relcl->acl,18,1.2295081967213115,1464,0.35988465991637103
710,flat,parataxis,conj->flat,18,5.555555555555555,324,0.07964660506345916
572,xcomp,csubj,obl->xcomp,18,21.951219512195124,82,0.020157474120998928
939,acl,obl,acl:relcl->acl,18,1.0033444816053512,1794,0.441006202110635
195,nmod,root,appos->nmod,18,0.767590618336887,2345,0.5764545952895425
505,acl:relcl,root,acl->acl:relcl,18,4.008908685968819,449,0.11037446195522582
872,appos,conj,parataxis->appos,18,6.870229007633588,262,0.06440558804514292
563,nmod,nmod,amod->nmod,17,0.23987582898264428,7087,1.7421465743356024
97,nsubj:cop,root,nmod->nsubj:cop,17,0.3035172290662382,5601,1.3768538116062803
581,appos,appos,flat->appos,17,12.781954887218044,133,0.03269443973283972
126,advcl,root,obj->advcl,17,0.3695652173913043,4600,1.130785133617013
723,mark,root,advmod->mark,17,2.823920265780731,602,0.14798535879074823
3,obl,ccomp,obj->obl,16,1.0443864229765014,1532,0.37660061406549217
1260,cop,root,aux->cop,16,0.25384737426622245,6303,1.5494214559104418
337,acl,nsubj,acl:relcl->acl,16,1.1653313911143481,1373,0.33751478009916497
179,amod,nsubj:cop,nmod->amod,16,1.1149825783972125,1435,0.35275579711748123
712,nmod,obj,appos->nmod,16,0.2630713581058862,6082,1.4950946049257985
596,xcomp,parataxis,obl->xcomp,16,10.062893081761008,159,0.039085833966327185
822,obl,acl:relcl,nmod->obl,16,0.5967922417008579,2681,0.6590510746146112
317,obl,conj,nsubj->obl,16,0.355792750722704,4497,1.1054653795381972
9,obl,root,nummod->obl,16,0.08378279310886527,19097,4.694479064496543
305,appos,root,parataxis->appos,16,8.24742268041237,194,0.04768963389602185
818,advmod,xcomp,compound:prt->advmod,16,1.9347037484885126,827,0.2032955011959282
457,obl,acl,xcomp->obl,16,0.448681996634885,3566,0.876604301408319
198,nmod,root,nsubj:cop->nmod,15,0.6396588486140725,2345,0.5764545952895425
452,acl:relcl,obj,acl->acl:relcl,15,1.7921146953405016,837,0.20575372974726952
304,appos,root,conj->appos,15,7.731958762886598,194,0.04768963389602185
650,csubj,root,csubj:cop->csubj,15,2.1645021645021645,693,0.17035523860795435
365,nsubj:cop,conj,nmod->nsubj:cop,15,1.2975778546712802,1156,0.28417122053505806
551,obl,parataxis,nmod->obl,15,1.392757660167131,1077,0.26475121497946147
974,advmod,ccomp,compound:prt->advmod,15,1.452081316553727,1033,0.25393500935355967
888,nummod,nummod,compound->nummod,15,45.45454545454545,33,0.008112154219426397
297,csubj,conj,ccomp->csubj,14,10.071942446043165,139,0.03416937686364452
507,acl:relcl,root,advcl->acl:relcl,14,3.11804008908686,449,0.11037446195522582
853,parataxis,conj,appos->parataxis,14,2.31023102310231,606,0.14896865021128475
166,parataxis,root,amod->parataxis,14,0.40149125322626905,3487,0.8571842958527226
101,nsubj:cop,root,obl->nsubj:cop,14,0.24995536511337263,5601,1.3768538116062803
224,conj,root,nsubj:cop->conj,14,0.19444444444444445,7200,1.7699245569657593
233,conj,root,advmod->conj,14,0.19444444444444445,7200,1.7699245569657593
158,parataxis,root,advcl->parataxis,13,0.3728133065672498,3487,0.8571842958527226
1090,mark,advcl,advmod->mark,13,0.25420414548298786,5114,1.2571380811559574
459,obl,acl,nmod->obl,13,0.36455412226584405,3566,0.876604301408319
16,obl,root,advcl->obl,13,0.06807351940095302,19097,4.694479064496543
211,advcl,conj,advmod->advcl,13,1.4428412874583796,901,0.22148639247585405
228,conj,root,acl:relcl->conj,13,0.18055555555555555,7200,1.7699245569657593
648,csubj,root,advcl->csubj,13,1.875901875901876,693,0.17035523860795435
801,compound:prt,acl:relcl,advmod->compound:prt,13,5.158730158730158,252,0.061947359493801576
564,nmod,nmod,obl->nmod,13,0.1834344574573162,7087,1.7421465743356024
243,ccomp,root,obl->ccomp,13,0.724233983286908,1795,0.44125202496576915
963,compound:prt,ccomp,advmod->compound:prt,13,6.989247311827956,186,0.04572305105494878
751,acl:relcl,nsubj:cop,acl->acl:relcl,13,3.551912568306011,366,0.08997116497909276
231,conj,root,xcomp->conj,13,0.18055555555555555,7200,1.7699245569657593
630,xcomp,csubj:cop,obl->xcomp,12,21.052631578947366,57,0.014011902742645596
