,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
10,@SUBJ,root,@ADVL->@SUBJ,1455,7.411369193154034,19632,5.546577463356199
43,@ADVL,root,@SUBJ->@ADVL,1433,4.4339243169652525,32319,9.1310022941223
134,@AN>,@ADVL,@NN>->@AN>,993,16.0342321976425,6193,1.749692045159176
24,@OBJ,root,@ADVL->@OBJ,881,10.408790170132324,8464,2.3913117181054844
0,@AN>,@SUBJ,@NN>->@AN>,867,15.838509316770185,5474,1.546554861166047
75,@SUBJ,@FMV,@ADVL->@SUBJ,722,6.297976273551989,11464,3.23889384881395
212,@NN>,@SUBJ,@AN>->@NN>,705,7.04718112754898,10004,2.8264038785358303
88,@NN>,@ADVL,@AN>->@NN>,687,6.801306801306802,10101,2.853809034095404
304,@AN>,@OBJ,@NN>->@AN>,668,15.747289014615747,4242,1.1984811328217704
44,@ADVL,root,@OBJ->@ADVL,662,2.0483307033014637,32319,9.1310022941223
9,@SUBJ,root,@OBJ->@SUBJ,606,3.08679706601467,19632,5.546577463356199
177,@ADVL,@FMV,@SUBJ->@ADVL,570,3.287955699123212,17336,4.89789460598732
26,@OBJ,root,@SUBJ->@OBJ,543,6.415406427221172,8464,2.3913117181054844
235,@AN>,@NN>,@NN>->@AN>,485,11.57794222964908,4189,1.1835071818459209
377,@PRD,root,@SUBJ->@PRD,472,13.107470147181338,3601,1.0173810842270616
13,@SUBJ,root,@PRD->@SUBJ,467,2.378769356153219,19632,5.546577463356199
290,@NN>,@OBJ,@AN>->@NN>,402,7.223719676549865,5565,1.5722648524642038
202,@NN>,@NN>,@AN>->@NN>,397,4.5134151887221465,8796,2.485110807237221
399,@OBJ,@FMV,@ADVL->@OBJ,386,6.687456687456687,5772,1.630748019483088
180,@ADVL,@FMV,@OBJ->@ADVL,359,2.070835256114444,17336,4.89789460598732
398,@OBJ,@FMV,@SUBJ->@OBJ,316,5.474705474705475,5772,1.630748019483088
12,@SUBJ,root,@NN>->@SUBJ,300,1.528117359413203,19632,5.546577463356199
73,@SUBJ,@FMV,@PRD->@SUBJ,293,2.5558269364968598,11464,3.23889384881395
348,@ADVL,@AN>,@NN>->@ADVL,269,5.182045848584088,5191,1.4665996135025485
48,@ADVL,root,@PRD->@ADVL,267,0.8261394226306507,32319,9.1310022941223
74,@SUBJ,@FMV,@OBJ->@SUBJ,263,2.2941381716678295,11464,3.23889384881395
264,@PRD,@FMV,@SUBJ->@PRD,260,11.398509425690486,2281,0.6444449467153367
164,@ADVL,@ADVL,@NN>->@ADVL,244,3.1047207023794376,7859,2.2203826550792773
195,@DN>,@ADVL,@ADVL->@DN>,240,18.633540372670808,1288,0.36389526145083456
45,@ADVL,root,@FMV->@ADVL,239,0.7395030786843653,32319,9.1310022941223
76,@SUBJ,@FMV,@NN>->@SUBJ,221,1.9277739009071877,11464,3.23889384881395
176,@ADVL,@FMV,@PRD->@ADVL,207,1.1940470696815875,17336,4.89789460598732
39,@AN>,@P>,@NN>->@AN>,204,16.293929712460063,1252,0.353724275882333
49,@ADVL,root,@NN>->@ADVL,203,0.6281134936105697,32319,9.1310022941223
66,@FMV,root,@ADVL->@FMV,199,2.0611082340756086,9655,2.7278018239967454
122,@OBJ,@IMV,@ADVL->@OBJ,195,8.394317692638829,2323,0.6563110965452552
564,@AN>,@<NN,@NN>->@AN>,189,19.6875,960,0.271226281826709
163,@ADVL,@ADVL,@DN>->@ADVL,189,2.4048861178266954,7859,2.2203826550792773
376,@PRD,root,@ADVL->@PRD,183,5.081921688419883,3601,1.0173810842270616
100,@ADVL,@IMV,@OBJ->@ADVL,172,3.1198984219118446,5513,1.557573428865257
527,@NN>,@<NN,@AN>->@NN>,170,7.848568790397045,2166,0.6119542983715122
46,@ADVL,root,@Vpart->@ADVL,169,0.5229122188186516,32319,9.1310022941223
281,@IMV,root,@FMV->@IMV,158,6.299840510366826,2508,0.7085786612722773
368,@SUBJ,@IMV,@ADVL->@SUBJ,150,7.334963325183375,2045,0.5777684857662707
445,@Vpart,root,@ADVL->@Vpart,146,10.006854009595614,1459,0.41220744290121714
28,@OBJ,root,@NN>->@OBJ,140,1.65406427221172,8464,2.3913117181054844
179,@ADVL,@FMV,@Vpart->@ADVL,138,0.7960313797877251,17336,4.89789460598732
349,@ADVL,@AN>,@AN>->@ADVL,135,2.6006549797726835,5191,1.4665996135025485
614,@<NN,@<NN,@SUBJ->@<NN,133,8.653220559531555,1537,0.4342445782996372
497,@AN>,root,@NN>->@AN>,131,26.954732510288064,486,0.13730830517477144
725,@Vpart,@FMV,@ADVL->@Vpart,129,10.608552631578947,1216,0.3435532903138314
415,@OBJ,@OBJ,@SUBJ->@OBJ,123,4.756380510440835,2586,0.7306157966706974
165,@ADVL,@ADVL,@SUBJ->@ADVL,123,1.5650846163634051,7859,2.2203826550792773
182,@ADVL,@FMV,@NN>->@ADVL,123,0.7095062298107984,17336,4.89789460598732
89,@NN>,@ADVL,@ADVL->@NN>,122,1.207801207801208,10101,2.853809034095404
204,@NN>,@NN>,@SUBJ->@NN>,121,1.3756252842201,8796,2.485110807237221
11,@SUBJ,root,@FMV->@SUBJ,119,0.6061532192339039,19632,5.546577463356199
162,@ADVL,@ADVL,@AN>->@ADVL,118,1.5014632904949738,7859,2.2203826550792773
248,@SUBJ,@SUBJ,@<NN->@SUBJ,113,4.303122619954303,2626,0.7419168917468103
42,@ADVL,root,@J->@ADVL,112,0.3465453757851419,32319,9.1310022941223
