,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
8,@OBJ,root,@SUBJ->@OBJ,505,5.824011071387384,8671,2.3729639197828183
75,@SUBJ,root,@OBJ->@SUBJ,451,2.24881575666916,20055,5.488385585427795
7,@OBJ,root,@ADVL->@OBJ,385,4.44008764848345,8671,2.3729639197828183
32,@ADVL,root,@OBJ->@ADVL,376,1.1351971499305598,33122,9.064388300201419
31,@ADVL,root,@SUBJ->@ADVL,357,1.0778334641627922,33122,9.064388300201419
18,@OBJ,@FMV,@SUBJ->@OBJ,332,5.537948290241868,5995,1.6406318416673966
211,@PRD,root,@SUBJ->@PRD,331,9.006802721088436,3675,1.0057251072773448
76,@SUBJ,root,@ADVL->@SUBJ,314,1.5656943405634505,20055,5.488385585427795
270,@<NN,@<NN,@ADVL->@<NN,249,15.719696969696969,1584,0.43348804623872494
271,@<NN,@<NN,@SUBJ->@<NN,241,15.214646464646464,1584,0.43348804623872494
67,@SUBJ,@FMV,@OBJ->@SUBJ,235,1.9757861106440222,11894,3.254991680532446
88,@ADVL,@FMV,@OBJ->@ADVL,229,1.277117840611232,17931,4.907117523425869
77,@SUBJ,root,@PRD->@SUBJ,212,1.0570929942657692,20055,5.488385585427795
19,@OBJ,@FMV,@ADVL->@OBJ,209,3.486238532110092,5995,1.6406318416673966
188,@PRD,@FMV,@SUBJ->@PRD,199,8.407266582171525,2367,0.6477690690953674
221,@OBJ,@OBJ,@SUBJ->@OBJ,191,7.1268656716417915,2680,0.7334267448988528
137,@SUBJ,@SUBJ,@<NN->@SUBJ,190,6.832074793239842,2781,0.7610670811804886
52,@ADVL,@ADVL,@DN>->@ADVL,182,2.228753367621847,8166,2.2347622383746386
35,@ADVL,root,@<NN->@ADVL,175,0.528349737334702,33122,9.064388300201419
258,@DN>,@ADVL,@ADVL->@DN>,161,11.970260223048328,1345,0.3680817059287153
33,@ADVL,root,@Vpart->@ADVL,141,0.4256989312239599,33122,9.064388300201419
66,@SUBJ,@FMV,@ADVL->@SUBJ,135,1.1350260635614595,11894,3.254991680532446
447,@Vpart,root,@ADVL->@Vpart,130,8.718980549966465,1491,0.40803704352395126
89,@ADVL,@FMV,@Vpart->@ADVL,124,0.6915397914226757,17931,4.907117523425869
100,@OBJ,@IMV,@SUBJ->@OBJ,121,4.991749174917492,2424,0.6633680707592609
177,@SUBJ,@IMV,@OBJ->@SUBJ,120,5.639097744360902,2128,0.5823627287853578
210,@PRD,root,@ADVL->@PRD,119,3.2380952380952377,3675,1.0057251072773448
386,@Vpart,@FMV,@ADVL->@Vpart,119,9.407114624505928,1265,0.3461883702600928
91,@ADVL,@FMV,@SUBJ->@ADVL,119,0.663655122413697,17931,4.907117523425869
109,@ADVL,@SUBJ,@DN>->@ADVL,114,4.89060489060489,2331,0.6379170680444872
136,@SUBJ,@SUBJ,@OBJ->@SUBJ,113,4.063286587558433,2781,0.7610670811804886
155,@PRD,@PRD,@SUBJ->@PRD,108,17.475728155339805,618,0.1691260180401086
50,@ADVL,@ADVL,@<NN->@ADVL,105,1.2858192505510653,8166,2.2347622383746386
68,@SUBJ,@FMV,@PRD->@SUBJ,100,0.8407600470825626,11894,3.254991680532446
51,@ADVL,@ADVL,@NN>->@ADVL,99,1.2123438648052902,8166,2.2347622383746386
54,@ADVL,@ADVL,@OBJ->@ADVL,96,1.1756061719324025,8166,2.2347622383746386
80,@SUBJ,root,@<NN->@SUBJ,93,0.46372475691847415,20055,5.488385585427795
206,@ADVL,@NN>,@DN>->@ADVL,88,30.44982698961938,289,0.07908967510289867
321,@DN>,@SUBJ,@ADVL->@DN>,87,8.571428571428571,1015,0.27777169629564763
248,@ADVL,@IMV,@OBJ->@ADVL,85,1.488355804587638,5711,1.5629105000437866
111,@ADVL,@SUBJ,@<NN->@ADVL,83,3.5607035607035606,2331,0.6379170680444872
101,@OBJ,@IMV,@ADVL->@OBJ,81,3.341584158415842,2424,0.6633680707592609
34,@ADVL,root,@NN>->@ADVL,68,0.2053016122214842,33122,9.064388300201419
127,@ADVL,@OBJ,@DN>->@ADVL,67,3.6873968079251513,1817,0.49725238637358793
150,@NN>,@AN>,@ADVL->@NN>,66,20.88607594936709,316,0.08647867589105876
224,@OBJ,@OBJ,@ADVL->@OBJ,63,2.3507462686567164,2680,0.7334267448988528
162,@NN>,@NN>,@ADVL->@NN>,63,0.696363435392948,9047,2.4758625974253436
36,@ADVL,root,@PRD->@ADVL,61,0.18416762272809614,33122,9.064388300201419
310,@DN>,@OBJ,@ADVL->@DN>,59,9.291338582677165,635,0.17377835186969087
189,@PRD,@FMV,@ADVL->@PRD,59,2.4926066751161806,2367,0.6477690690953674
354,@<NN,@SUBJ,@SUBJ->@<NN,58,2.799227799227799,2072,0.567037393817322
1,@NN>,@ADVL,@ADVL->@NN>,55,0.5284396617986165,10408,2.8483229704877835
279,@DN>,@NN>,@ADVL->@DN>,55,10.848126232741617,507,0.1387490147998949
223,@OBJ,@OBJ,@<NN->@OBJ,52,1.9402985074626864,2680,0.7334267448988528
365,@??,@??,@NN>->@??,52,40.310077519379846,129,0.035303003765653734
172,@IMV,root,@ADVL->@IMV,52,2.004626060138782,2594,0.7098914090550836
355,@<NN,@SUBJ,@ADVL->@<NN,45,2.171814671814672,2072,0.567037393817322
433,@AN>,@NN>,@NN>->@AN>,45,1.0375835831219737,4337,1.1868924599351955
90,@ADVL,@FMV,@PRD->@ADVL,44,0.245385087279014,17931,4.907117523425869
361,@<NN,@ADVL,@ADVL->@<NN,44,3.206997084548105,1372,0.3754707067168754
393,@AN>,@ADVL,@NN>->@AN>,41,0.6445527432793586,6361,1.7407938523513442
113,@ADVL,@SUBJ,@NN>->@ADVL,40,1.7160017160017158,2331,0.6379170680444872
325,@ADVL,@AN>,@OBJ->@ADVL,40,0.7436326454731362,5379,1.4720531570190034
202,@OBJ,@AN>,@ADVL->@OBJ,39,7.262569832402235,537,0.14695901567562833
349,@OBJ,@ADVL,@ADVL->@OBJ,39,3.771760154738878,1034,0.28297136351694546
275,@<NN,@<NN,@OBJ->@<NN,39,2.462121212121212,1584,0.43348804623872494
38,@ADVL,root,@<KN->@ADVL,38,0.11472737153553529,33122,9.064388300201419
398,@Vpart,@IMV,@ADVL->@Vpart,37,7.756813417190776,477,0.13053901392416148
390,@AN>,@SUBJ,@NN>->@AN>,37,0.6544039617969579,5654,1.547311498379893
259,@ADVL,@P>,@DN>->@ADVL,36,40.44943820224719,89,0.0243563359313425
41,@ADVL,root,@DN>->@ADVL,35,0.10566994746694039,33122,9.064388300201419
125,@ADVL,@OBJ,@OBJ->@ADVL,35,1.9262520638414968,1817,0.49725238637358793
56,@ADVL,@ADVL,@SUBJ->@ADVL,35,0.42860641685035517,8166,2.2347622383746386
409,@<NN,root,@ADVL->@<NN,34,7.505518763796909,453,0.12397101322357475
375,@<Q,@<Q,@OBJ->@<Q,33,5.660377358490567,583,0.15954768368508626
158,@PRD,@PRD,@<NN->@PRD,31,5.016181229773463,618,0.1691260180401086
494,@VOC,root,@SUBJ->@VOC,31,43.66197183098591,71,0.019430335405902444
297,@<P,@<P,@ADVL->@<P,29,26.605504587155966,109,0.029829669848498115
122,@FCV,root,@FMV->@FCV,29,0.7927829414980863,3658,1.0010727734477625
180,@SUBJ,@IMV,@ADVL->@SUBJ,28,1.3157894736842104,2128,0.5823627287853578
408,@<NN,root,@SUBJ->@<NN,28,6.181015452538632,453,0.12397101322357475
250,@ADVL,@IMV,@SUBJ->@ADVL,28,0.4902819120994572,5711,1.5629105000437866
341,@ADVL,@PRD,@DN>->@ADVL,28,1.4014014014014013,1998,0.5467860583238462
43,@ADVL,root,@IMV->@ADVL,28,0.08453595797355232,33122,9.064388300201419
472,@DN>,@P>,@ADVL->@DN>,28,13.20754716981132,212,0.05801733952184955
140,@SUBJ,@SUBJ,@PRD->@SUBJ,27,0.9708737864077669,2781,0.7610670811804886
422,@Vpart,@AN>,@ADVL->@Vpart,27,39.130434782608695,69,0.018883002014186884
3,@NN>,@ADVL,@AN>->@NN>,27,0.25941583397386625,10408,2.8483229704877835
87,@ADVL,@FMV,@<NN->@ADVL,27,0.15057721264848586,17931,4.907117523425869
26,@ADVL,@<NN,@DN>->@ADVL,26,15.757575757575756,165,0.045155004816533846
139,@SUBJ,@SUBJ,@ADVL->@SUBJ,25,0.8989572096368214,2781,0.7610670811804886
115,@ADVL,@SUBJ,@OBJ->@ADVL,25,1.0725010725010726,2331,0.6379170680444872
138,@SUBJ,@SUBJ,@NN>->@SUBJ,24,0.8629989212513484,2781,0.7610670811804886
326,@ADVL,@AN>,@Vpart->@ADVL,23,0.42758877114705335,5379,1.4720531570190034
328,@ADVL,@AN>,@NN>->@ADVL,23,0.42758877114705335,5379,1.4720531570190034
510,@DN>,@<NN,@ADVL->@DN>,23,15.131578947368421,152,0.04159733777038269
381,@DN>,root,@ADVL->@DN>,23,24.46808510638298,94,0.025724669410631402
324,@DN>,@PRD,@ADVL->@DN>,23,16.546762589928058,139,0.03803967072423155
165,@NN>,@NN>,@SUBJ->@NN>,23,0.2542279208577429,9047,2.4758625974253436
196,@OBJ,@SUBJ,@ADVL->@OBJ,22,2.5433526011560694,865,0.23672169191698045
243,@NN>,@SUBJ,@AN>->@NN>,21,0.2033898305084746,10325,2.8256086347315876
242,@NN>,@SUBJ,@ADVL->@NN>,21,0.2033898305084746,10325,2.8256086347315876
159,@PRD,@PRD,@ADVL->@PRD,21,3.3980582524271843,618,0.1691260180401086
