,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
26,@OBJ,root,@SUBJ->@OBJ,965,11.129050859185792,8671,2.3729639197828183
85,@SUBJ,root,@OBJ->@SUBJ,920,4.587384692096734,20055,5.488385585427795
51,@OBJ,@FMV,@SUBJ->@OBJ,523,8.72393661384487,5995,1.6406318416673966
75,@SUBJ,@FMV,@OBJ->@SUBJ,516,4.338321842946023,11894,3.254991680532446
10,@ADVL,root,@SUBJ->@ADVL,414,1.249924521466095,33122,9.064388300201419
9,@ADVL,root,@OBJ->@ADVL,412,1.2438862387536986,33122,9.064388300201419
102,@PRD,root,@SUBJ->@PRD,358,9.741496598639456,3675,1.0057251072773448
27,@OBJ,root,@ADVL->@OBJ,334,3.8519201937492795,8671,2.3729639197828183
171,@OBJ,@OBJ,@SUBJ->@OBJ,323,12.052238805970148,2680,0.7334267448988528
86,@SUBJ,root,@ADVL->@SUBJ,313,1.5607080528546498,20055,5.488385585427795
39,@ADVL,@FMV,@OBJ->@ADVL,290,1.617310802520774,17931,4.907117523425869
263,@<NN,@<NN,@ADVL->@<NN,241,15.214646464646464,1584,0.43348804623872494
264,@<NN,@<NN,@SUBJ->@<NN,230,14.520202020202019,1584,0.43348804623872494
158,@SUBJ,@SUBJ,@OBJ->@SUBJ,225,8.090614886731391,2781,0.7610670811804886
12,@ADVL,root,@<NN->@ADVL,216,0.6521345329388322,33122,9.064388300201419
87,@SUBJ,root,@PRD->@SUBJ,205,1.0221889803041637,20055,5.488385585427795
200,@PRD,@FMV,@SUBJ->@PRD,199,8.407266582171525,2367,0.6477690690953674
38,@ADVL,@FMV,@SUBJ->@ADVL,195,1.0875020913501756,17931,4.907117523425869
150,@SUBJ,@IMV,@OBJ->@SUBJ,190,8.928571428571429,2128,0.5823627287853578
52,@OBJ,@FMV,@ADVL->@OBJ,184,3.0692243536280235,5995,1.6406318416673966
132,@ADVL,@ADVL,@DN>->@ADVL,176,2.1552779818760714,8166,2.2347622383746386
256,@DN>,@ADVL,@ADVL->@DN>,170,12.639405204460965,1345,0.3680817059287153
68,@OBJ,@IMV,@SUBJ->@OBJ,154,6.353135313531354,2424,0.6633680707592609
159,@SUBJ,@SUBJ,@<NN->@SUBJ,154,5.537576411362819,2781,0.7610670811804886
74,@SUBJ,@FMV,@ADVL->@SUBJ,148,1.2443248696821927,11894,3.254991680532446
463,@Vpart,root,@ADVL->@Vpart,133,8.92018779342723,1491,0.40803704352395126
77,@SUBJ,@FMV,@PRD->@SUBJ,129,1.0845804607365057,11894,3.254991680532446
168,@Vpart,@FMV,@ADVL->@Vpart,128,10.118577075098814,1265,0.3461883702600928
135,@ADVL,@ADVL,@OBJ->@ADVL,126,1.5429831006612784,8166,2.2347622383746386
40,@ADVL,@FMV,@Vpart->@ADVL,124,0.6915397914226757,17931,4.907117523425869
11,@ADVL,root,@Vpart->@ADVL,122,0.3683352454561923,33122,9.064388300201419
286,@ADVL,@SUBJ,@DN>->@ADVL,115,4.933504933504933,2331,0.6379170680444872
136,@ADVL,@ADVL,@<NN->@ADVL,115,1.408278226794024,8166,2.2347622383746386
300,@ADVL,@IMV,@OBJ->@ADVL,109,1.9085974435300297,5711,1.5629105000437866
112,@PRD,@PRD,@SUBJ->@PRD,108,17.475728155339805,618,0.1691260180401086
103,@PRD,root,@ADVL->@PRD,90,2.4489795918367347,3675,1.0057251072773448
276,@DN>,@SUBJ,@ADVL->@DN>,88,8.669950738916256,1015,0.27777169629564763
17,@ADVL,root,@PRD->@ADVL,82,0.2475695912082604,33122,9.064388300201419
161,@SUBJ,@SUBJ,@NN>->@SUBJ,78,2.8047464940668827,2781,0.7610670811804886
138,@ADVL,@ADVL,@NN>->@ADVL,77,0.9429341170707813,8166,2.2347622383746386
195,@ADVL,@NN>,@DN>->@ADVL,74,25.60553633217993,289,0.07908967510289867
89,@SUBJ,root,@<NN->@SUBJ,73,0.3639990027424582,20055,5.488385585427795
148,@NN>,@AN>,@ADVL->@NN>,72,22.78481012658228,316,0.08647867589105876
174,@OBJ,@OBJ,@<NN->@OBJ,67,2.5,2680,0.7334267448988528
67,@OBJ,@IMV,@ADVL->@OBJ,65,2.6815181518151814,2424,0.6633680707592609
0,@NN>,@ADVL,@ADVL->@NN>,64,0.6149116064565718,10408,2.8483229704877835
206,@DN>,@OBJ,@ADVL->@DN>,63,9.921259842519685,635,0.17377835186969087
123,@ADVL,@OBJ,@DN>->@ADVL,62,3.4122179416620804,1817,0.49725238637358793
361,@??,@??,@NN>->@??,60,46.51162790697674,129,0.035303003765653734
13,@ADVL,root,@NN>->@ADVL,55,0.16605277459090634,33122,9.064388300201419
245,@<NN,@SUBJ,@SUBJ->@<NN,53,2.557915057915058,2072,0.567037393817322
266,@<NN,@<NN,@OBJ->@<NN,52,3.2828282828282833,1584,0.43348804623872494
184,@NN>,@NN>,@SUBJ->@NN>,52,0.5747761688957665,9047,2.4758625974253436
199,@PRD,@FMV,@ADVL->@PRD,50,2.1123785382340516,2367,0.6477690690953674
285,@ADVL,@SUBJ,@<NN->@ADVL,50,2.1450021450021453,2331,0.6379170680444872
43,@ADVL,@FMV,@<NN->@ADVL,49,0.2732697562879928,17931,4.907117523425869
193,@OBJ,@AN>,@ADVL->@OBJ,48,8.938547486033519,537,0.14695901567562833
216,@AN>,@NN>,@NN>->@AN>,48,1.106755821996772,4337,1.1868924599351955
137,@ADVL,@ADVL,@SUBJ->@ADVL,47,0.5755571883419055,8166,2.2347622383746386
391,@DN>,@NN>,@ADVL->@DN>,47,9.270216962524655,507,0.1387490147998949
172,@OBJ,@OBJ,@NN>->@OBJ,46,1.7164179104477613,2680,0.7334267448988528
185,@NN>,@NN>,@ADVL->@NN>,43,0.47529567812534546,9047,2.4758625974253436
173,@OBJ,@OBJ,@ADVL->@OBJ,43,1.6044776119402984,2680,0.7334267448988528
14,@ADVL,root,@<KN->@ADVL,42,0.1268039369603285,33122,9.064388300201419
309,@<NN,root,@ADVL->@<NN,42,9.271523178807946,453,0.12397101322357475
186,@NN>,@NN>,@OBJ->@NN>,41,0.4531889023985851,9047,2.4758625974253436
121,@ADVL,@OBJ,@OBJ->@ADVL,40,2.2014309301045683,1817,0.49725238637358793
44,@ADVL,@FMV,@PRD->@ADVL,39,0.21750041827003513,17931,4.907117523425869
162,@SUBJ,@SUBJ,@ADVL->@SUBJ,39,1.4023732470334414,2781,0.7610670811804886
302,@ADVL,@IMV,@SUBJ->@ADVL,38,0.6653825949921205,5711,1.5629105000437866
437,@ADVL,@AN>,@OBJ->@ADVL,37,0.687860197062651,5379,1.4720531570190034
287,@ADVL,@SUBJ,@NN>->@ADVL,37,1.5873015873015872,2331,0.6379170680444872
246,@<NN,@SUBJ,@ADVL->@<NN,37,1.7857142857142856,2072,0.567037393817322
402,@AN>,@SUBJ,@NN>->@AN>,36,0.6367173682348779,5654,1.547311498379893
61,@IMV,root,@ADVL->@IMV,35,1.3492675404780263,2594,0.7098914090550836
405,@AN>,@ADVL,@NN>->@AN>,35,0.5502279515799403,6361,1.7407938523513442
16,@ADVL,root,@IMV->@ADVL,33,0.0996316647545438,33122,9.064388300201419
15,@ADVL,root,@DN>->@ADVL,32,0.09661252339834552,33122,9.064388300201419
259,@ADVL,@P>,@DN>->@ADVL,31,34.831460674157306,89,0.0243563359313425
289,@ADVL,@SUBJ,@OBJ->@ADVL,31,1.3299013299013298,2331,0.6379170680444872
88,@SUBJ,root,@NN>->@SUBJ,30,0.14958863126402394,20055,5.488385585427795
310,@<NN,root,@SUBJ->@<NN,29,6.401766004415011,453,0.12397101322357475
416,@Vpart,@IMV,@ADVL->@Vpart,29,6.079664570230608,477,0.13053901392416148
160,@SUBJ,@SUBJ,@PRD->@SUBJ,29,1.0427903631787128,2781,0.7610670811804886
153,@SUBJ,@IMV,@ADVL->@SUBJ,29,1.362781954887218,2128,0.5823627287853578
357,@<NN,@ADVL,@ADVL->@<NN,29,2.1137026239067054,1372,0.3754707067168754
279,@ADVL,@<NN,@DN>->@ADVL,28,16.969696969696972,165,0.045155004816533846
435,@ADVL,@AN>,@NN>->@ADVL,27,0.501952035694367,5379,1.4720531570190034
238,@NN>,@SUBJ,@ADVL->@NN>,27,0.26150121065375304,10325,2.8256086347315876
2,@NN>,@ADVL,@OBJ->@NN>,27,0.25941583397386625,10408,2.8483229704877835
98,@DN>,root,@ADVL->@DN>,27,28.723404255319153,94,0.025724669410631402
