,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
123,@PRD,root,@SUBJ->@PRD,336,9.142857142857142,3675,1.0057251072773448
46,@SUBJ,root,@OBJ->@SUBJ,325,1.6205435053602593,20055,5.488385585427795
215,@<NN,@<NN,@SUBJ->@<NN,264,16.666666666666664,1584,0.43348804623872494
15,@OBJ,root,@SUBJ->@OBJ,257,2.963902664052589,8671,2.3729639197828183
216,@<NN,@<NN,@ADVL->@<NN,221,13.952020202020202,1584,0.43348804623872494
196,@OBJ,@FMV,@SUBJ->@OBJ,218,3.6363636363636362,5995,1.6406318416673966
49,@SUBJ,root,@PRD->@SUBJ,214,1.0670655696833709,20055,5.488385585427795
40,@DN>,@ADVL,@ADVL->@DN>,198,14.721189591078069,1345,0.3680817059287153
93,@ADVL,root,@<NN->@ADVL,197,0.5947708471710645,33122,9.064388300201419
175,@SUBJ,@FMV,@OBJ->@SUBJ,190,1.5974440894568689,11894,3.254991680532446
156,@PRD,@FMV,@SUBJ->@PRD,184,7.77355302070131,2367,0.6477690690953674
26,@ADVL,@ADVL,@DN>->@ADVL,178,2.1797697771246636,8166,2.2347622383746386
91,@ADVL,root,@OBJ->@ADVL,173,0.5223114546223053,33122,9.064388300201419
47,@SUBJ,root,@ADVL->@SUBJ,172,0.8576414859137371,20055,5.488385585427795
83,@SUBJ,@SUBJ,@<NN->@SUBJ,168,6.0409924487594395,2781,0.7610670811804886
136,@OBJ,@OBJ,@SUBJ->@OBJ,166,6.1940298507462686,2680,0.7334267448988528
14,@OBJ,root,@ADVL->@OBJ,158,1.8221658401568446,8671,2.3729639197828183
95,@ADVL,root,@SUBJ->@ADVL,146,0.4407946380049514,33122,9.064388300201419
25,@ADVL,@ADVL,@<NN->@ADVL,143,1.751163360274308,8166,2.2347622383746386
92,@ADVL,root,@Vpart->@ADVL,132,0.3985266590181752,33122,9.064388300201419
62,@ADVL,@SUBJ,@DN>->@ADVL,126,5.405405405405405,2331,0.6379170680444872
108,@ADVL,@FMV,@Vpart->@ADVL,126,0.7026936590262673,17931,4.907117523425869
443,@Vpart,root,@ADVL->@Vpart,124,8.316566063044936,1491,0.40803704352395126
232,@PRD,@PRD,@SUBJ->@PRD,120,19.41747572815534,618,0.1691260180401086
358,@Vpart,@FMV,@ADVL->@Vpart,111,8.774703557312254,1265,0.3461883702600928
177,@SUBJ,@FMV,@PRD->@SUBJ,110,0.924836051790819,11894,3.254991680532446
82,@SUBJ,@SUBJ,@OBJ->@SUBJ,108,3.8834951456310676,2781,0.7610670811804886
109,@ADVL,@FMV,@OBJ->@ADVL,103,0.5744241815849647,17931,4.907117523425869
43,@DN>,@SUBJ,@ADVL->@DN>,102,10.049261083743842,1015,0.27777169629564763
146,@SUBJ,@IMV,@OBJ->@SUBJ,94,4.417293233082707,2128,0.5823627287853578
29,@ADVL,@ADVL,@NN>->@ADVL,92,1.1266225814352193,8166,2.2347622383746386
77,@OBJ,@IMV,@SUBJ->@OBJ,92,3.7953795379537953,2424,0.6633680707592609
176,@SUBJ,@FMV,@ADVL->@SUBJ,89,0.7482764419034807,11894,3.254991680532446
110,@ADVL,@FMV,@SUBJ->@ADVL,87,0.4851932407562322,17931,4.907117523425869
8,@ADVL,@NN>,@DN>->@ADVL,83,28.719723183391004,289,0.07908967510289867
174,@DN>,@OBJ,@ADVL->@DN>,81,12.755905511811024,635,0.17377835186969087
50,@SUBJ,root,@<NN->@SUBJ,81,0.4038893044128646,20055,5.488385585427795
60,@ADVL,@SUBJ,@<NN->@ADVL,77,3.303303303303303,2331,0.6379170680444872
283,@<NN,@SUBJ,@SUBJ->@<NN,74,3.571428571428571,2072,0.567037393817322
122,@PRD,root,@ADVL->@PRD,74,2.0136054421768708,3675,1.0057251072773448
96,@ADVL,root,@PRD->@ADVL,73,0.2203973190024757,33122,9.064388300201419
197,@OBJ,@FMV,@ADVL->@OBJ,70,1.1676396997497915,5995,1.6406318416673966
365,@DN>,@NN>,@ADVL->@DN>,66,13.017751479289942,507,0.1387490147998949
162,@ADVL,@OBJ,@DN>->@ADVL,63,3.467253714914695,1817,0.49725238637358793
1,@NN>,@ADVL,@ADVL->@NN>,61,0.5860876249039201,10408,2.8483229704877835
208,@NN>,@AN>,@ADVL->@NN>,59,18.670886075949365,316,0.08647867589105876
94,@ADVL,root,@NN>->@ADVL,58,0.17511019865950125,33122,9.064388300201419
314,@??,@??,@NN>->@??,56,43.41085271317829,129,0.035303003765653734
219,@<NN,@<NN,@OBJ->@<NN,49,3.0934343434343434,1584,0.43348804623872494
282,@<NN,@SUBJ,@ADVL->@<NN,49,2.364864864864865,2072,0.567037393817322
302,@NN>,@NN>,@ADVL->@NN>,46,0.5084558417154857,9047,2.4758625974253436
27,@ADVL,@ADVL,@OBJ->@ADVL,43,0.526573597844722,8166,2.2347622383746386
137,@OBJ,@OBJ,@<NN->@OBJ,42,1.5671641791044775,2680,0.7334267448988528
273,@ADVL,@IMV,@OBJ->@ADVL,42,0.7354228681491858,5711,1.5629105000437866
98,@ADVL,root,@<KN->@ADVL,42,0.1268039369603285,33122,9.064388300201419
495,@AN>,@NN>,@NN>->@AN>,41,0.9453539312889093,4337,1.1868924599351955
310,@<NN,@ADVL,@ADVL->@<NN,39,2.8425655976676385,1372,0.3754707067168754
87,@SUBJ,@SUBJ,@PRD->@SUBJ,38,1.3664149586479684,2781,0.7610670811804886
308,@AN>,@SUBJ,@NN>->@AN>,38,0.6720905553590378,5654,1.547311498379893
155,@PRD,@FMV,@ADVL->@PRD,37,1.563160118293198,2367,0.6477690690953674
65,@ADVL,@SUBJ,@NN>->@ADVL,37,1.5873015873015872,2331,0.6379170680444872
359,@AN>,@ADVL,@NN>->@AN>,37,0.5816695488130798,6361,1.7407938523513442
431,@<NN,root,@ADVL->@<NN,37,8.167770419426049,453,0.12397101322357475
78,@OBJ,@IMV,@ADVL->@OBJ,36,1.4851485148514851,2424,0.6633680707592609
295,@ADVL,@<NN,@DN>->@ADVL,36,21.818181818181817,165,0.045155004816533846
113,@ADVL,@FMV,@PRD->@ADVL,34,0.18961574926105626,17931,4.907117523425869
323,@<Q,@<Q,@OBJ->@<Q,34,5.831903945111493,583,0.15954768368508626
76,@DN>,root,@ADVL->@DN>,33,35.1063829787234,94,0.025724669410631402
185,@DN>,@PRD,@ADVL->@DN>,33,23.741007194244602,139,0.03803967072423155
115,@ADVL,@FMV,@<NN->@ADVL,32,0.17846188165746474,17931,4.907117523425869
211,@ADVL,@P>,@DN>->@ADVL,32,35.95505617977528,89,0.0243563359313425
320,@FMV,root,@FCV->@FMV,32,0.3228084333703218,9913,2.712857956038182
430,@<NN,root,@SUBJ->@<NN,31,6.843267108167771,453,0.12397101322357475
379,@Vpart,@IMV,@ADVL->@Vpart,31,6.498951781970649,477,0.13053901392416148
266,@IMV,root,@ADVL->@IMV,29,1.117964533538936,2594,0.7098914090550836
445,@DN>,@P>,@ADVL->@DN>,28,13.20754716981132,212,0.05801733952184955
463,@Vpart,@AN>,@ADVL->@Vpart,28,40.57971014492754,69,0.018883002014186884
411,@OBJ,@AN>,@ADVL->@OBJ,27,5.027932960893855,537,0.14695901567562833
475,@VOC,root,@SUBJ->@VOC,26,36.61971830985916,71,0.019430335405902444
100,@ADVL,root,@DN>->@ADVL,26,0.07849767526115572,33122,9.064388300201419
274,@ADVL,@IMV,@Vpart->@ADVL,26,0.4552617755209245,5711,1.5629105000437866
