,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
15,@ADVL,root,@SUBJ->@ADVL,2104,6.3534243266094945,33116,9.064408319898396
17,@ADVL,root,@OBJ->@ADVL,1318,3.9799492692354153,33116,9.064408319898396
0,@SUBJ,root,@ADVL->@SUBJ,1279,6.379052369077306,20050,5.4880235177546455
58,@ADVL,@FMV,@SUBJ->@ADVL,1087,6.062127042552005,17931,4.908017441239828
42,@OBJ,root,@ADVL->@OBJ,826,9.527104959630911,8670,2.3731253814929065
41,@OBJ,root,@SUBJ->@OBJ,789,9.100346020761247,8670,2.3731253814929065
59,@ADVL,@FMV,@OBJ->@ADVL,757,4.2217388879593996,17931,4.908017441239828
1,@SUBJ,root,@OBJ->@SUBJ,699,3.486284289276808,20050,5.4880235177546455
159,@SUBJ,@FMV,@ADVL->@SUBJ,638,5.364500126124612,11893,3.2553148975888275
52,@OBJ,@FMV,@SUBJ->@OBJ,479,7.989991659716431,5995,1.640932717652823
53,@OBJ,@FMV,@ADVL->@OBJ,448,7.472894078398666,5995,1.640932717652823
227,@ADVL,@IMV,@OBJ->@ADVL,395,6.918899982483798,5709,1.5626496889207617
2,@SUBJ,root,@PRD->@SUBJ,393,1.9600997506234414,20050,5.4880235177546455
166,@PRD,root,@SUBJ->@PRD,378,10.285714285714285,3675,1.0059095475186197
158,@SUBJ,@FMV,@OBJ->@SUBJ,357,3.001765744555621,11893,3.2553148975888275
119,@SUBJ,@SUBJ,@<NN->@SUBJ,342,12.302158273381295,2780,0.7609329366263299
95,@ADVL,@ADVL,@SUBJ->@ADVL,301,3.6860151849130545,8166,2.2351720721189245
19,@ADVL,root,@PRD->@ADVL,300,0.9059065104481216,33116,9.064408319898396
193,@PRD,@FMV,@SUBJ->@PRD,287,12.125052809463456,2367,0.6478878636670946
72,@OBJ,@OBJ,@SUBJ->@OBJ,283,10.559701492537313,2680,0.7335612482584764
68,@OBJ,@OBJ,@ADVL->@OBJ,278,10.373134328358208,2680,0.7335612482584764
100,@ADVL,@ADVL,@OBJ->@ADVL,254,3.1104579965711485,8166,2.2351720721189245
94,@ADVL,@ADVL,@<NN->@ADVL,251,3.0737203036982614,8166,2.2351720721189245
281,@<NN,@<NN,@SUBJ->@<NN,233,14.709595959595958,1584,0.43356754374680095
120,@SUBJ,@SUBJ,@ADVL->@SUBJ,217,7.805755395683453,2780,0.7609329366263299
114,@OBJ,@IMV,@ADVL->@OBJ,213,8.787128712871286,2424,0.6634897260367711
93,@ADVL,@ADVL,@DN>->@ADVL,210,2.5716385011021305,8166,2.2351720721189245
228,@ADVL,@IMV,@SUBJ->@ADVL,200,3.5032404974601508,5709,1.5626496889207617
161,@SUBJ,@FMV,@PRD->@SUBJ,182,1.5303119482048262,11893,3.2553148975888275
165,@PRD,root,@ADVL->@PRD,175,4.761904761904762,3675,1.0059095475186197
60,@ADVL,@FMV,@PRD->@ADVL,171,0.9536556801070772,17931,4.908017441239828
135,@ADVL,@OBJ,@OBJ->@ADVL,167,9.190974133186572,1817,0.4973435776438998
284,@<NN,@<NN,@ADVL->@<NN,149,9.406565656565656,1584,0.43356754374680095
96,@ADVL,@ADVL,@NN>->@ADVL,148,1.8123928483957874,8166,2.2351720721189245
84,@ADVL,@SUBJ,@DN>->@ADVL,148,6.349206349206349,2331,0.6380340558546672
18,@ADVL,root,@Vpart->@ADVL,138,0.41671699480613605,33116,9.064408319898396
61,@ADVL,@FMV,@Vpart->@ADVL,132,0.736155261837042,17931,4.908017441239828
131,@SUBJ,@IMV,@ADVL->@SUBJ,130,6.11189468735308,2127,0.5821958115842459
86,@ADVL,@SUBJ,@OBJ->@ADVL,128,5.491205491205491,2331,0.6380340558546672
132,@SUBJ,@IMV,@OBJ->@SUBJ,126,5.923836389280677,2127,0.5821958115842459
113,@OBJ,@IMV,@SUBJ->@OBJ,122,5.033003300330033,2424,0.6634897260367711
70,@OBJ,@OBJ,@<NN->@OBJ,121,4.514925373134329,2680,0.7335612482584764
121,@SUBJ,@SUBJ,@OBJ->@SUBJ,119,4.280575539568345,2780,0.7609329366263299
202,@OBJ,@AN>,@ADVL->@OBJ,114,21.26865671641791,536,0.14671224965169527
445,@Vpart,root,@ADVL->@Vpart,101,6.7739771965124085,1491,0.40811187356469714
149,@OBJ,@ADVL,@ADVL->@OBJ,98,9.477756286266924,1034,0.28302325772360615
194,@PRD,@FMV,@ADVL->@PRD,94,3.9712716518800173,2367,0.6478878636670946
336,@ADVL,@NN>,@DN>->@ADVL,92,31.833910034602077,289,0.07910417938309688
138,@ADVL,@OBJ,@DN>->@ADVL,89,4.898183819482664,1817,0.4973435776438998
392,@DN>,@ADVL,@ADVL->@DN>,88,6.5427509293680295,1345,0.36814920854763084
184,@NN>,@NN>,@SUBJ->@NN>,87,0.9617510501879284,9046,2.4760429297560362
154,@NN>,@AN>,@ADVL->@NN>,86,27.21518987341772,316,0.08649453524241736
395,@Vpart,@FMV,@ADVL->@Vpart,86,6.798418972332016,1265,0.346251857853348
83,@ADVL,@SUBJ,@<NN->@ADVL,83,3.5607035607035606,2331,0.6380340558546672
123,@SUBJ,@SUBJ,@NN>->@SUBJ,81,2.9136690647482015,2780,0.7609329366263299
22,@ADVL,root,@<NN->@ADVL,71,0.2143978741393888,33116,9.064408319898396
182,@NN>,@NN>,@ADVL->@NN>,71,0.7848772938315278,9046,2.4760429297560362
207,@OBJ,@SUBJ,@ADVL->@OBJ,67,7.745664739884393,865,0.2367651043819336
82,@ADVL,@SUBJ,@NN>->@ADVL,65,2.788502788502788,2331,0.6380340558546672
3,@SUBJ,root,@IMV->@SUBJ,65,0.3241895261845386,20050,5.4880235177546455
4,@SUBJ,root,@<NN->@SUBJ,64,0.3192019950124689,20050,5.4880235177546455
296,@<NN,@SUBJ,@SUBJ->@<NN,62,2.993722839208112,2071,0.566867666098248
73,@OBJ,@OBJ,@NN>->@OBJ,59,2.201492537313433,2680,0.7335612482584764
174,@PRD,@PRD,@SUBJ->@PRD,59,9.546925566343042,618,0.16915703411333521
101,@ADVL,@ADVL,@PRD->@ADVL,58,0.7102620622091599,8166,2.2351720721189245
366,@??,@??,@NN>->@??,56,43.41085271317829,129,0.03530947799453114
177,@PRD,@PRD,@<NN->@PRD,50,8.090614886731391,618,0.16915703411333521
20,@ADVL,root,@NN>->@ADVL,48,0.14494504167169947,33116,9.064408319898396
297,@<NN,@SUBJ,@<Q->@<NN,48,2.317720907774022,2071,0.566867666098248
282,@<NN,@<NN,@OBJ->@<NN,47,2.967171717171717,1584,0.43356754374680095
183,@NN>,@NN>,@<NN->@NN>,47,0.5195666592969268,9046,2.4760429297560362
