,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
0,@SUBJ,root,@ADVL->@SUBJ,1811,9.030167040638243,20055,5.488385585427795
56,@OBJ,root,@ADVL->@OBJ,1171,13.50478606850421,8671,2.3729639197828183
188,@NN>,@SUBJ,@AN>->@NN>,1082,10.479418886198546,10325,2.8256086347315876
21,@ADVL,root,@SUBJ->@ADVL,1065,3.2153855443511867,33122,9.064388300201419
15,@AN>,@ADVL,@NN>->@AN>,936,14.714667505109261,6361,1.7407938523513442
132,@NN>,@ADVL,@AN>->@NN>,908,8.724058416602613,10408,2.8483229704877835
57,@OBJ,root,@SUBJ->@OBJ,825,9.514473532464537,8671,2.3729639197828183
116,@AN>,@SUBJ,@NN>->@AN>,796,14.078528475415636,5654,1.547311498379893
165,@SUBJ,@FMV,@ADVL->@SUBJ,788,6.625189171010594,11894,3.254991680532446
23,@ADVL,root,@OBJ->@ADVL,748,2.2583177344363263,33122,9.064388300201419
2,@SUBJ,root,@OBJ->@SUBJ,711,3.545250560957367,20055,5.488385585427795
96,@NN>,@OBJ,@AN>->@NN>,678,11.79745954410997,5747,1.5727625010946669
367,@OBJ,@FMV,@ADVL->@OBJ,620,10.341951626355296,5995,1.6406318416673966
196,@NN>,@NN>,@AN>->@NN>,561,6.200950591356251,9047,2.4758625974253436
236,@AN>,@OBJ,@NN>->@AN>,537,12.285518188057653,4371,1.1961971275943604
103,@AN>,@NN>,@NN>->@AN>,523,12.059026977173161,4337,1.1868924599351955
44,@ADVL,@FMV,@SUBJ->@ADVL,505,2.8163515699068653,17931,4.907117523425869
261,@PRD,root,@SUBJ->@PRD,502,13.659863945578232,3675,1.0057251072773448
368,@OBJ,@FMV,@SUBJ->@OBJ,458,7.639699749791492,5995,1.6406318416673966
40,@ADVL,@FMV,@OBJ->@ADVL,440,2.45385087279014,17931,4.907117523425869
166,@SUBJ,@FMV,@OBJ->@SUBJ,369,3.102404573734656,11894,3.254991680532446
179,@DN>,@ADVL,@ADVL->@DN>,310,23.04832713754647,1345,0.3680817059287153
262,@PRD,root,@ADVL->@PRD,296,8.054421768707483,3675,1.0057251072773448
87,@OBJ,@IMV,@ADVL->@OBJ,284,11.716171617161717,2424,0.6633680707592609
458,@OBJ,@OBJ,@ADVL->@OBJ,276,10.298507462686567,2680,0.7334267448988528
348,@PRD,@FMV,@SUBJ->@PRD,270,11.406844106463879,2367,0.6477690690953674
4,@SUBJ,root,@PRD->@SUBJ,268,1.3363251059586139,20055,5.488385585427795
150,@ADVL,@ADVL,@NN>->@ADVL,247,3.0247367132010776,8166,2.2347622383746386
133,@NN>,@ADVL,@ADVL->@NN>,246,2.3635664873174482,10408,2.8483229704877835
3,@SUBJ,root,@NN>->@SUBJ,240,1.1967090501121915,20055,5.488385585427795
562,@<NN,@<NN,@ADVL->@<NN,233,14.709595959595958,1584,0.43348804623872494
446,@SUBJ,@SUBJ,@ADVL->@SUBJ,227,8.162531463502336,2781,0.7610670811804886
251,@ADVL,@AN>,@NN>->@ADVL,227,4.220115263060048,5379,1.4720531570190034
422,@NN>,@P>,@AN>->@NN>,225,12.05141938939475,1867,0.5109357211664769
447,@SUBJ,@SUBJ,@<NN->@SUBJ,220,7.910823444804027,2781,0.7610670811804886
457,@OBJ,@OBJ,@SUBJ->@OBJ,219,8.171641791044776,2680,0.7334267448988528
551,@NN>,@<NN,@AN>->@NN>,218,9.749552772808586,2236,0.6119187319379981
580,@AN>,@<NN,@NN>->@AN>,212,21.58859470468432,982,0.26874069533234085
24,@ADVL,root,@PRD->@ADVL,203,0.6128856953082543,33122,9.064388300201419
157,@ADVL,@ADVL,@<NN->@ADVL,195,2.387950036737693,8166,2.2347622383746386
349,@PRD,@FMV,@ADVL->@PRD,192,8.111533586818757,2367,0.6477690690953674
167,@SUBJ,@FMV,@PRD->@SUBJ,191,1.6058516899276947,11894,3.254991680532446
209,@ADVL,@IMV,@OBJ->@ADVL,188,3.29189283838207,5711,1.5629105000437866
25,@ADVL,root,@Vpart->@ADVL,187,0.5645794336090816,33122,9.064388300201419
198,@NN>,@NN>,@ADVL->@NN>,186,2.0559301425887035,9047,2.4758625974253436
86,@OBJ,@IMV,@SUBJ->@OBJ,184,7.590759075907591,2424,0.6633680707592609
561,@<NN,@<NN,@SUBJ->@<NN,179,11.300505050505052,1584,0.43348804623872494
42,@ADVL,@FMV,@Vpart->@ADVL,172,0.9592326139088728,17931,4.907117523425869
149,@ADVL,@ADVL,@SUBJ->@ADVL,168,2.0573108008817047,8166,2.2347622383746386
665,@IMV,root,@FMV->@IMV,167,6.437933693138011,2594,0.7098914090550836
153,@ADVL,@ADVL,@DN>->@ADVL,162,1.9838354151359296,8166,2.2347622383746386
333,@DN>,@SUBJ,@ADVL->@DN>,155,15.270935960591133,1015,0.27777169629564763
317,@Vpart,root,@ADVL->@Vpart,155,10.39570757880617,1491,0.40803704352395126
70,@AN>,@P>,@NN>->@AN>,151,11.54434250764526,1308,0.3579560381819774
41,@ADVL,@FMV,@PRD->@ADVL,151,0.8421170040711616,17931,4.907117523425869
26,@ADVL,root,@<NN->@ADVL,151,0.45589034478594287,33122,9.064388300201419
75,@FMV,root,@ADVL->@FMV,151,1.523252294966206,9913,2.712857956038182
287,@SUBJ,@IMV,@ADVL->@SUBJ,148,6.954887218045112,2128,0.5823627287853578
17,@AN>,@ADVL,@ADVL->@AN>,139,2.1851910077031915,6361,1.7407938523513442
322,@Vpart,@FMV,@ADVL->@Vpart,136,10.75098814229249,1265,0.3461883702600928
152,@ADVL,@ADVL,@AN>->@ADVL,133,1.6287043840313493,8166,2.2347622383746386
29,@ADVL,root,@NN>->@ADVL,132,0.3985266590181752,33122,9.064388300201419
168,@SUBJ,@FMV,@NN>->@SUBJ,131,1.101395661678157,11894,3.254991680532446
288,@SUBJ,@IMV,@OBJ->@SUBJ,130,6.109022556390977,2128,0.5823627287853578
394,@DN>,@OBJ,@ADVL->@DN>,124,19.52755905511811,635,0.17377835186969087
189,@NN>,@SUBJ,@ADVL->@NN>,116,1.1234866828087169,10325,2.8256086347315876
156,@ADVL,@ADVL,@OBJ->@ADVL,114,1.396032329169728,8166,2.2347622383746386
125,@NN>,@PRD,@AN>->@NN>,114,11.491935483870968,992,0.2714773622909187
28,@ADVL,root,@AN>->@ADVL,107,0.3230481251132178,33122,9.064388300201419
58,@OBJ,root,@NN>->@OBJ,106,1.2224656902318072,8671,2.3729639197828183
310,@NN>,root,@AN>->@NN>,106,10.381978452497552,1021,0.2794136964707943
648,@AN>,root,@NN>->@AN>,99,20.040485829959515,494,0.13519134775374378
