,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
209,advcl,root,conj->advcl,253,5.5,4600,1.130785133617013
112,obl,root,obj->obl,235,1.2305597737864586,19097,4.694479064496543
75,parataxis,root,conj->parataxis,211,6.051046745053054,3487,0.8571842958527226
161,nsubj,root,obj->nsubj,184,1.251700680272109,14700,3.6135959704717586
123,conj,root,advcl->conj,162,2.25,7200,1.7699245569657593
185,obj,root,nsubj->obj,161,1.829961354853376,8798,2.1627494794701043
110,obl,root,nsubj->obl,119,0.6231345237471854,19097,4.694479064496543
126,conj,root,ccomp->conj,114,1.5833333333333335,7200,1.7699245569657593
183,obj,root,obl->obj,109,1.2389179358945215,8798,2.1627494794701043
413,acl,obl,amod->acl,83,4.626532887402453,1794,0.441006202110635
124,conj,root,parataxis->conj,82,1.1388888888888888,7200,1.7699245569657593
211,advcl,root,xcomp->advcl,79,1.7173913043478262,4600,1.130785133617013
249,advmod,root,compound:prt->advmod,73,0.5605467250249558,13023,3.2013510424118174
77,parataxis,root,advcl->parataxis,71,2.0361342127903646,3487,0.8571842958527226
162,nsubj,root,obl->nsubj,70,0.4761904761904762,14700,3.6135959704717586
76,parataxis,root,ccomp->parataxis,67,1.9214224261542872,3487,0.8571842958527226
216,advcl,root,ccomp->advcl,60,1.3043478260869565,4600,1.130785133617013
276,obl,conj,obj->obl,58,1.289748721369802,4497,1.1054653795381972
64,orphan,conj,advmod->orphan,54,11.344537815126051,476,0.11701167904384742
431,acl,obj,amod->acl,52,3.551912568306011,1464,0.35988465991637103
552,obj,conj,nsubj->obj,49,1.594014313597918,3074,0.7556594566823256
226,acl,nsubj,amod->acl,48,3.4959941733430444,1373,0.33751478009916497
111,obl,root,nmod->obl,48,0.2513483793265958,19097,4.694479064496543
127,conj,root,acl:relcl->conj,45,0.625,7200,1.7699245569657593
152,ccomp,root,conj->ccomp,44,2.4512534818941503,1795,0.44125202496576915
731,compound:prt,root,advmod->compound:prt,44,2.4858757062146895,1770,0.43510645358741584
394,conj,parataxis,parataxis->conj,43,2.874331550802139,1496,0.36775099128066335
53,nmod,root,obl->nmod,39,1.6631130063965887,2345,0.5764545952895425
244,acl,conj,amod->acl,36,7.377049180327869,488,0.119961553305457
105,obl,root,conj->obl,35,0.18327485992564277,19097,4.694479064496543
359,obl,advcl,obj->obl,35,1.078582434514638,3245,0.7976951649102624
657,acl,nmod,amod->acl,34,2.4495677233429394,1388,0.3412021229261769
306,advmod,conj,compound:prt->advmod,33,0.6963494408102976,4739,1.1649545104806573
212,advcl,root,parataxis->advcl,33,0.717391304347826,4600,1.130785133617013
18,nsubj,conj,obj->nsubj,33,1.1952191235059761,2761,0.6787169030253418
409,amod,nmod,nmod->amod,33,0.776287932251235,4251,1.0449929571752004
151,ccomp,root,advcl->ccomp,32,1.7827298050139277,1795,0.44125202496576915
109,obl,root,nsubj:cop->obl,31,0.16232916164842645,19097,4.694479064496543
861,obl,acl:relcl,obj->obl,31,1.1562849682954122,2681,0.6590510746146112
337,nsubj,acl:relcl,obj->nsubj,31,1.2277227722772277,2525,0.6207027092136864
264,obl,xcomp,obj->obl,30,2.1231422505307855,1413,0.3473476943045303
67,orphan,conj,nmod->orphan,29,6.092436974789916,476,0.11701167904384742
341,obj,acl:relcl,nsubj->obj,28,1.646090534979424,1701,0.4181446765831607
479,obj,advcl,nsubj->obj,27,1.2511584800741427,2158,0.5304857213794595
41,xcomp,root,obl->xcomp,27,0.9886488465763457,2731,0.6713422173713178
178,amod,root,acl->amod,27,1.8024032042723632,1498,0.36824263699093157
487,nsubj:cop,root,nsubj->nsubj:cop,27,0.48205677557579,5601,1.3768538116062803
366,acl,root,amod->acl,27,8.737864077669903,309,0.07595926223644717
414,acl,obl,acl:relcl->acl,26,1.4492753623188406,1794,0.441006202110635
315,amod,obl,acl->amod,25,0.4414621225498852,5663,1.3920948286245964
139,advcl,conj,conj->advcl,25,2.774694783573807,901,0.22148639247585405
213,advcl,root,csubj->advcl,25,0.5434782608695652,4600,1.130785133617013
793,nmod,acl,obl->nmod,24,23.300970873786408,103,0.025319754078815725
193,nsubj,advcl,obj->nsubj,24,1.1204481792717087,2142,0.5265525556973134
116,obl,root,xcomp->obl,23,0.12043776509399381,19097,4.694479064496543
125,conj,root,csubj->conj,22,0.3055555555555556,7200,1.7699245569657593
215,advcl,root,acl:relcl->advcl,21,0.4565217391304348,4600,1.130785133617013
438,amod,nsubj,acl->amod,20,0.6472491909385114,3090,0.7595926223644718
437,amod,nsubj,nmod->amod,20,0.6472491909385114,3090,0.7595926223644718
410,amod,nmod,acl->amod,20,0.4704775346977182,4251,1.0449929571752004
225,acl,nsubj,acl:relcl->acl,20,1.4566642388929352,1373,0.33751478009916497
0,obl,ccomp,obj->obl,20,1.3054830287206265,1532,0.37660061406549217
277,obl,conj,nsubj->obl,19,0.42250389148321105,4497,1.1054653795381972
899,obj,ccomp,nsubj->obj,19,2.3058252427184467,824,0.2025580326305258
488,nsubj:cop,root,nmod->nsubj:cop,19,0.33922513836814855,5601,1.3768538116062803
128,conj,root,obl->conj,19,0.2638888888888889,7200,1.7699245569657593
159,nsubj,root,nsubj:cop->nsubj,19,0.1292517006802721,14700,3.6135959704717586
768,compound:prt,conj,advmod->compound:prt,19,2.3720349563046192,801,0.19690410696244073
316,amod,obl,nmod->amod,18,0.3178527282359173,5663,1.3920948286245964
129,conj,root,xcomp->conj,18,0.25,7200,1.7699245569657593
278,obl,conj,nmod->obl,18,0.40026684456304207,4497,1.1054653795381972
84,parataxis,root,acl:relcl->parataxis,18,0.5162030398623458,3487,0.8571842958527226
432,acl,obj,acl:relcl->acl,18,1.2295081967213115,1464,0.35988465991637103
56,nmod,root,conj->nmod,17,0.7249466950959489,2345,0.5764545952895425
454,parataxis,conj,conj->parataxis,17,2.8052805280528053,606,0.14896865021128475
260,amod,conj,acl->amod,17,1.1111111111111112,1530,0.3761089683552239
611,acl:relcl,root,conj->acl:relcl,17,3.78619153674833,449,0.11037446195522582
330,obl,acl,obj->obl,17,0.47672462142456534,3566,0.876604301408319
