,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
27,acl,obl,amod->acl,418,23.299888517279822,1794,0.441006202110635
152,acl,obj,amod->acl,331,22.60928961748634,1464,0.35988465991637103
140,obl,root,obj->obl,303,1.586636644499136,19097,4.694479064496543
169,nsubj,root,obj->nsubj,302,2.054421768707483,14700,3.6135959704717586
179,obj,root,nsubj->obj,266,3.023414412366447,8798,2.1627494794701043
210,acl,nmod,amod->acl,262,18.876080691642652,1388,0.3412021229261769
361,acl,nsubj,amod->acl,216,15.7319737800437,1373,0.33751478009916497
139,obl,root,nsubj->obl,174,0.9111378750589098,19097,4.694479064496543
138,obl,root,nmod->obl,171,0.8954286013509974,19097,4.694479064496543
178,obj,root,obl->obj,168,1.9095248920209136,8798,2.1627494794701043
116,acl,conj,amod->acl,130,26.639344262295083,488,0.119961553305457
189,advcl,root,conj->advcl,115,2.5,4600,1.130785133617013
289,obl,conj,obj->obl,104,2.312652879697576,4497,1.1054653795381972
58,xcomp,root,obl->xcomp,104,3.8081288905162944,2731,0.6713422173713178
98,parataxis,root,conj->parataxis,101,2.896472612560941,3487,0.8571842958527226
6,nsubj,conj,obj->nsubj,95,3.4407823252444762,2761,0.6787169030253418
130,acl,nsubj:cop,amod->acl,89,13.734567901234568,648,0.15929321012691833
278,obj,conj,nsubj->obj,84,2.7325959661678594,3074,0.7556594566823256
440,amod,nmod,acl->amod,83,1.9524817689955305,4251,1.0449929571752004
512,advmod,root,compound:prt->advmod,82,0.6296552253704983,13023,3.2013510424118174
191,advcl,root,xcomp->advcl,80,1.7391304347826086,4600,1.130785133617013
142,obl,root,xcomp->obl,79,0.4136775409750222,19097,4.694479064496543
0,amod,obl,acl->amod,77,1.3597033374536465,5663,1.3920948286245964
628,compound:prt,root,advmod->compound:prt,75,4.23728813559322,1770,0.43510645358741584
261,obl,advcl,obj->obl,73,2.2496147919876734,3245,0.7976951649102624
88,orphan,conj,advmod->orphan,72,15.126050420168067,476,0.11701167904384742
170,nsubj,root,obl->nsubj,69,0.4693877551020408,14700,3.6135959704717586
441,amod,nmod,nmod->amod,65,1.529051987767584,4251,1.0449929571752004
591,amod,nsubj,acl->amod,63,2.0388349514563107,3090,0.7595926223644718
80,nmod,root,obl->nmod,58,2.473347547974414,2345,0.5764545952895425
194,advcl,root,ccomp->advcl,58,1.2608695652173914,4600,1.130785133617013
491,acl,root,amod->acl,56,18.12297734627832,309,0.07595926223644717
629,amod,obj,acl->amod,55,1.5002727768685216,3666,0.9011865869217324
418,advmod,conj,compound:prt->advmod,54,1.1394809031441233,4739,1.1649545104806573
622,obj,advcl,nsubj->obj,53,2.4559777571825765,2158,0.5304857213794595
158,ccomp,root,advcl->ccomp,53,2.9526462395543174,1795,0.44125202496576915
387,conj,root,advcl->conj,52,0.7222222222222222,7200,1.7699245569657593
326,obl,acl:relcl,obj->obl,50,1.864975755315181,2681,0.6590510746146112
367,obl,acl,obj->obl,49,1.3740886146943354,3566,0.876604301408319
214,amod,root,acl->amod,49,3.2710280373831773,1498,0.36824263699093157
459,obl,xcomp,obj->obl,49,3.4677990092002826,1413,0.3473476943045303
1,amod,obl,nmod->amod,49,0.865265760197775,5663,1.3920948286245964
713,nsubj,advcl,obj->nsubj,48,2.2408963585434174,2142,0.5265525556973134
388,conj,root,parataxis->conj,47,0.6527777777777778,7200,1.7699245569657593
635,csubj,root,ccomp->csubj,46,6.637806637806638,693,0.17035523860795435
90,orphan,conj,nmod->orphan,44,9.243697478991598,476,0.11701167904384742
42,nsubj,acl:relcl,obj->nsubj,43,1.7029702970297032,2525,0.6207027092136864
192,advcl,root,acl:relcl->advcl,41,0.8913043478260869,4600,1.130785133617013
483,obj,acl:relcl,nsubj->obj,39,2.2927689594356258,1701,0.4181446765831607
141,obl,root,nsubj:cop->obl,39,0.2042205582028591,19097,4.694479064496543
915,compound:prt,conj,advmod->compound:prt,38,4.7440699126092385,801,0.19690410696244073
290,obl,conj,nmod->obl,38,0.8450077829664221,4497,1.1054653795381972
159,ccomp,root,conj->ccomp,38,2.116991643454039,1795,0.44125202496576915
782,obj,acl,obl->obj,38,3.145695364238411,1208,0.29695400900203295
621,obj,advcl,obl->obj,37,1.7145505097312326,2158,0.5304857213794595
279,obj,conj,obl->obj,37,1.2036434612882239,3074,0.7556594566823256
136,obl,root,conj->obl,35,0.18327485992564277,19097,4.694479064496543
523,nsubj,ccomp,obj->nsubj,35,2.7195027195027195,1287,0.3163740145576295
672,nmod,conj,obl->nmod,34,1.209103840682788,2812,0.6912538686371826
37,nsubj:cop,root,nsubj->nsubj:cop,34,0.6070344581324764,5601,1.3768538116062803
126,amod,conj,acl->amod,33,2.156862745098039,1530,0.3761089683552239
636,csubj,root,xcomp->csubj,32,4.617604617604617,693,0.17035523860795435
254,nsubj,parataxis,obj->nsubj,31,1.6586409844836811,1869,0.45944291624569505
237,nmod,nsubj,appos->nmod,31,0.5330123796423659,5816,1.4297057254601189
590,amod,nsubj,nmod->amod,30,0.9708737864077669,3090,0.7595926223644718
861,nmod,acl,obl->nmod,29,28.155339805825243,103,0.025319754078815725
484,obj,acl:relcl,obl->obj,29,1.7048794826572604,1701,0.4181446765831607
499,acl,xcomp,amod->acl,28,53.84615384615385,52,0.012782788466974927
313,acl:relcl,obl,acl->acl:relcl,28,3.905160390516039,717,0.17625498713117355
36,nsubj:cop,root,nmod->nsubj:cop,27,0.48205677557579,5601,1.3768538116062803
100,parataxis,root,obl->parataxis,27,0.7743045597935188,3487,0.8571842958527226
59,xcomp,root,advcl->xcomp,27,0.9886488465763457,2731,0.6713422173713178
296,obl,conj,xcomp->obl,26,0.578163219924394,4497,1.1054653795381972
223,nmod,obl,obl->nmod,26,0.266776113277242,9746,2.3957895461372622
83,nmod,root,conj->nmod,25,1.0660980810234542,2345,0.5764545952895425
953,nummod,parataxis,parataxis->nummod,25,7.64525993883792,327,0.08038407362886157
197,advcl,root,obl->advcl,25,0.5434782608695652,4600,1.130785133617013
153,acl,obj,acl:relcl->acl,25,1.707650273224044,1464,0.35988465991637103
604,appos,obl,nmod->appos,25,5.154639175257731,485,0.11922408474005462
404,appos,nmod,parataxis->appos,25,3.7037037037037033,675,0.16593042721553994
243,obl,parataxis,obj->obl,25,2.321262766945218,1077,0.26475121497946147
795,advmod,advcl,compound:prt->advmod,24,1.2467532467532467,1925,0.47320899613320655
646,obj,parataxis,nsubj->obj,24,3.582089552238806,670,0.16470131293986925
652,obj,xcomp,obl->obj,24,1.3528748590755355,1774,0.4360897450079524
663,obl,ccomp,obj->obl,24,1.5665796344647518,1532,0.37660061406549217
264,obl,advcl,nmod->obl,24,0.7395993836671803,3245,0.7976951649102624
921,compound:prt,advcl,advmod->compound:prt,23,4.831932773109244,476,0.11701167904384742
386,conj,root,obl->conj,23,0.3194444444444445,7200,1.7699245569657593
102,parataxis,root,appos->parataxis,22,0.6309148264984227,3487,0.8571842958527226
534,xcomp,advcl,obl->xcomp,22,3.6363636363636362,605,0.1487228273561506
389,conj,root,ccomp->conj,22,0.3055555555555556,7200,1.7699245569657593
427,advcl,conj,ccomp->advcl,22,2.4417314095449503,901,0.22148639247585405
448,aux,root,cop->aux,21,0.31726846955733495,6619,1.6271014781328281
403,appos,nmod,flat->appos,21,3.111111111111111,675,0.16593042721553994
634,csubj,root,advcl->csubj,21,3.0303030303030303,693,0.17035523860795435
29,acl,obl,acl:relcl->acl,21,1.1705685618729096,1794,0.441006202110635
925,obj,ccomp,nsubj->obj,20,2.4271844660194173,824,0.2025580326305258
575,nmod,nmod,amod->nmod,20,0.28220685762664033,7087,1.7421465743356024
714,nsubj,advcl,obl->nsubj,20,0.9337068160597572,2142,0.5265525556973134
107,parataxis,root,advcl->parataxis,20,0.5735589331803843,3487,0.8571842958527226
363,acl,nsubj,nmod->acl,20,1.4566642388929352,1373,0.33751478009916497
35,nsubj:cop,root,obl->nsubj:cop,19,0.33922513836814855,5601,1.3768538116062803
960,advmod,acl,compound:prt->advmod,19,1.7479300827966882,1087,0.26720944353080284
302,nsubj:cop,conj,nmod->nsubj:cop,19,1.6435986159169549,1156,0.28417122053505806
528,appos,nsubj,conj->appos,19,1.6407599309153715,1158,0.2846628662453263
196,advcl,root,advmod->advcl,19,0.4130434782608695,4600,1.130785133617013
50,parataxis,parataxis,conj->parataxis,19,4.428904428904429,429,0.10545800485254316
546,acl,appos,amod->acl,19,29.6875,64,0.015732662728584527
198,advcl,root,obj->advcl,19,0.4130434782608695,4600,1.130785133617013
125,amod,conj,nmod->amod,19,1.2418300653594772,1530,0.3761089683552239
631,amod,obj,nmod->amod,18,0.4909983633387889,3666,0.9011865869217324
89,orphan,conj,obl->orphan,18,3.7815126050420167,476,0.11701167904384742
375,xcomp,acl,obl->xcomp,18,6.923076923076923,260,0.06391394233487464
167,nsubj,root,nsubj:cop->nsubj,18,0.12244897959183673,14700,3.6135959704717586
924,obj,ccomp,obl->obj,18,2.1844660194174756,824,0.2025580326305258
220,nmod,obl,conj->nmod,17,0.1744305356043505,9746,2.3957895461372622
577,nmod,nmod,appos->nmod,17,0.23987582898264428,7087,1.7421465743356024
732,advmod,xcomp,compound:prt->advmod,17,2.0556227327690446,827,0.2032955011959282
565,compound:prt,acl,advmod->compound:prt,17,9.340659340659341,182,0.04473975963441225
410,appos,obj,conj->appos,17,4.657534246575342,365,0.08972534212395863
120,amod,nsubj:cop,acl->amod,17,1.1846689895470384,1435,0.35275579711748123
224,nmod,obl,appos->nmod,17,0.1744305356043505,9746,2.3957895461372622
500,xcomp,conj,obl->xcomp,17,1.827956989247312,930,0.2286152552747439
7,nsubj,conj,obl->nsubj,16,0.5795001810938066,2761,0.6787169030253418
201,advcl,root,nsubj->advcl,16,0.34782608695652173,4600,1.130785133617013
263,obl,advcl,nsubj->obl,16,0.4930662557781202,3245,0.7976951649102624
428,advcl,conj,xcomp->advcl,16,1.7758046614872365,901,0.22148639247585405
291,obl,conj,nsubj->obl,16,0.355792750722704,4497,1.1054653795381972
664,obl,ccomp,nmod->obl,16,1.0443864229765014,1532,0.37660061406549217
362,acl,nsubj,acl:relcl->acl,16,1.1653313911143481,1373,0.33751478009916497
561,acl:relcl,obj,acl->acl:relcl,16,1.911589008363202,837,0.20575372974726952
79,nmod,root,appos->nmod,16,0.6823027718550106,2345,0.5764545952895425
415,acl,advcl,amod->acl,16,20.253164556962027,79,0.019420005555596528
333,ccomp,conj,advcl->ccomp,15,4.658385093167702,322,0.0791549593531909
638,csubj,root,csubj:cop->csubj,15,2.1645021645021645,693,0.17035523860795435
119,amod,nsubj:cop,nmod->amod,15,1.0452961672473868,1435,0.35275579711748123
