,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
253,nsubj,root,obj->nsubj,497,3.380952380952381,14700,3.6135959704717586
553,acl,obl,amod->acl,468,26.08695652173913,1794,0.441006202110635
45,obl,root,obj->obl,456,2.38780960360266,19097,4.694479064496543
281,obj,root,nsubj->obj,418,4.751079790861559,8798,2.1627494794701043
227,acl,obj,amod->acl,369,25.204918032786882,1464,0.35988465991637103
269,acl,nmod,amod->acl,345,24.855907780979827,1388,0.3412021229261769
280,obj,root,obl->obj,311,3.534894294157763,8798,2.1627494794701043
425,acl,nsubj,amod->acl,285,20.757465404224327,1373,0.33751478009916497
52,obl,root,nsubj->obl,229,1.1991412263706343,19097,4.694479064496543
89,advcl,root,conj->advcl,199,4.326086956521739,4600,1.130785133617013
50,obl,root,nmod->obl,194,1.0158663664449914,19097,4.694479064496543
113,xcomp,root,obl->xcomp,189,6.92054192603442,2731,0.6713422173713178
37,nsubj,conj,obj->nsubj,165,5.9760956175298805,2761,0.6787169030253418
160,parataxis,root,conj->parataxis,160,4.5884714654430745,3487,0.8571842958527226
534,amod,obl,acl->amod,159,2.80769909941727,5663,1.3920948286245964
659,obj,conj,nsubj->obj,155,5.042290175666884,3074,0.7556594566823256
194,acl,conj,amod->acl,148,30.327868852459016,488,0.119961553305457
548,amod,nmod,acl->amod,146,3.4344860032933426,4251,1.0449929571752004
304,obl,conj,obj->obl,137,3.0464754280631534,4497,1.1054653795381972
254,nsubj,root,obl->nsubj,131,0.8911564625850341,14700,3.6135959704717586
95,advcl,root,xcomp->advcl,126,2.7391304347826084,4600,1.130785133617013
474,advmod,root,compound:prt->advmod,119,0.9137679490132842,13023,3.2013510424118174
725,compound:prt,root,advmod->compound:prt,114,6.440677966101695,1770,0.43510645358741584
221,acl,nsubj:cop,amod->acl,113,17.438271604938272,648,0.15929321012691833
51,obl,root,xcomp->obl,112,0.5864795517620569,19097,4.694479064496543
737,amod,nsubj,acl->amod,111,3.5922330097087376,3090,0.7595926223644718
457,amod,obj,acl->amod,110,3.000545553737043,3666,0.9011865869217324
126,ccomp,root,advcl->ccomp,105,5.8495821727019495,1795,0.44125202496576915
13,obl,advcl,obj->obl,105,3.2357473035439135,3245,0.7976951649102624
96,advcl,root,ccomp->advcl,94,2.043478260869565,4600,1.130785133617013
114,xcomp,root,advcl->xcomp,84,3.0757964115708534,2731,0.6713422173713178
714,nsubj,advcl,obj->nsubj,81,3.7815126050420167,2142,0.5265525556973134
296,obj,advcl,nsubj->obj,79,3.66079703429101,2158,0.5304857213794595
128,ccomp,root,conj->ccomp,79,4.401114206128134,1795,0.44125202496576915
431,orphan,conj,advmod->orphan,76,15.966386554621847,476,0.11701167904384742
149,nmod,root,obl->nmod,75,3.1982942430703627,2345,0.5764545952895425
46,obl,root,conj->obl,75,0.392731842697806,19097,4.694479064496543
354,csubj,root,xcomp->csubj,72,10.38961038961039,693,0.17035523860795435
549,amod,nmod,nmod->amod,72,1.6937191249117856,4251,1.0449929571752004
490,obl,acl,obj->obl,68,1.9068984856982614,3566,0.876604301408319
231,conj,root,advcl->conj,68,0.9444444444444444,7200,1.7699245569657593
367,acl,root,amod->acl,67,21.68284789644013,309,0.07595926223644717
660,obj,conj,obl->obj,65,2.114508783344177,3074,0.7556594566823256
519,advmod,conj,compound:prt->advmod,63,1.329394387001477,4739,1.1649545104806573
107,nsubj,acl:relcl,obj->nsubj,62,2.4554455445544554,2525,0.6207027092136864
205,obj,acl,obl->obj,62,5.132450331125828,1208,0.29695400900203295
353,csubj,root,ccomp->csubj,61,8.802308802308803,693,0.17035523860795435
4,obj,acl:relcl,nsubj->obj,61,3.5861258083480307,1701,0.4181446765831607
718,nsubj,ccomp,obj->nsubj,57,4.428904428904429,1287,0.3163740145576295
533,amod,obl,nmod->amod,56,0.9888751545117428,5663,1.3920948286245964
850,compound:prt,conj,advmod->compound:prt,55,6.866416978776529,801,0.19690410696244073
398,obl,acl:relcl,obj->obl,55,2.051473330846699,2681,0.6590510746146112
484,obl,xcomp,obj->obl,54,3.821656050955414,1413,0.3473476943045303
216,amod,conj,acl->amod,53,3.4640522875816995,1530,0.3761089683552239
295,obj,advcl,obl->obj,53,2.4559777571825765,2158,0.5304857213794595
236,conj,root,parataxis->conj,53,0.736111111111111,7200,1.7699245569657593
3,obj,acl:relcl,obl->obj,52,3.0570252792475014,1701,0.4181446765831607
273,amod,root,acl->amod,51,3.404539385847797,1498,0.36824263699093157
94,advcl,root,acl:relcl->advcl,49,1.065217391304348,4600,1.130785133617013
432,orphan,conj,nmod->orphan,47,9.873949579831933,476,0.11701167904384742
53,obl,root,nsubj:cop->obl,45,0.23563910561868356,19097,4.694479064496543
306,obl,conj,nmod->obl,43,0.956193017567267,4497,1.1054653795381972
1002,aux,root,cop->aux,42,0.6345369391146699,6619,1.6271014781328281
602,xcomp,conj,obl->xcomp,42,4.516129032258064,930,0.2286152552747439
499,xcomp,acl,obl->xcomp,40,15.384615384615385,260,0.06391394233487464
332,nsubj,parataxis,obj->nsubj,39,2.086677367576244,1869,0.45944291624569505
355,csubj,root,advcl->csubj,38,5.483405483405483,693,0.17035523860795435
902,nmod,conj,obl->nmod,38,1.3513513513513513,2812,0.6912538686371826
781,nsubj:cop,root,nsubj->nsubj:cop,38,0.6784502767362971,5601,1.3768538116062803
199,amod,nsubj:cop,acl->amod,38,2.64808362369338,1435,0.35275579711748123
560,xcomp,advcl,obl->xcomp,37,6.115702479338843,605,0.1487228273561506
782,nsubj:cop,root,nmod->nsubj:cop,36,0.6427423674343867,5601,1.3768538116062803
758,advcl,conj,xcomp->advcl,36,3.9955604883462823,901,0.22148639247585405
168,parataxis,root,obl->parataxis,36,1.0324060797246917,3487,0.8571842958527226
809,obj,parataxis,nsubj->obj,36,5.3731343283582085,670,0.16470131293986925
736,amod,nsubj,nmod->amod,35,1.132686084142395,3090,0.7595926223644718
994,advmod,advcl,compound:prt->advmod,35,1.8181818181818181,1925,0.47320899613320655
780,nsubj:cop,root,obl->nsubj:cop,34,0.6070344581324764,5601,1.3768538116062803
915,obj,xcomp,obl->obj,34,1.9165727170236753,1774,0.4360897450079524
311,obl,conj,xcomp->obl,34,0.7560595952857461,4497,1.1054653795381972
282,obj,root,conj->obj,34,0.3864514662423278,8798,2.1627494794701043
547,advmod,acl,compound:prt->advmod,32,2.9438822447102115,1087,0.26720944353080284
1118,obj,ccomp,nsubj->obj,32,3.8834951456310676,824,0.2025580326305258
612,obl,ccomp,obj->obl,32,2.088772845953003,1532,0.37660061406549217
969,nmod,nsubj,appos->nmod,31,0.5330123796423659,5816,1.4297057254601189
232,conj,root,obl->conj,31,0.4305555555555556,7200,1.7699245569657593
1146,nmod,acl,obl->nmod,31,30.097087378640776,103,0.025319754078815725
1204,nummod,parataxis,parataxis->nummod,30,9.174311926605505,327,0.08038407362886157
235,conj,root,ccomp->conj,30,0.4166666666666667,7200,1.7699245569657593
642,acl,xcomp,amod->acl,29,55.769230769230774,52,0.012782788466974927
100,advcl,root,obl->advcl,29,0.6304347826086957,4600,1.130785133617013
1117,obj,ccomp,obl->obj,28,3.3980582524271843,824,0.2025580326305258
171,parataxis,root,nmod->parataxis,28,0.8029825064525381,3487,0.8571842958527226
605,xcomp,conj,advcl->xcomp,28,3.010752688172043,930,0.2286152552747439
588,appos,nsubj,conj->appos,27,2.33160621761658,1158,0.2846628662453263
153,nmod,root,conj->nmod,27,1.1513859275053304,2345,0.5764545952895425
491,obl,acl,xcomp->obl,27,0.7571508693213684,3566,0.876604301408319
133,ccomp,root,xcomp->ccomp,26,1.448467966573816,1795,0.44125202496576915
643,compound:prt,advcl,advmod->compound:prt,26,5.46218487394958,476,0.11701167904384742
15,obl,advcl,xcomp->obl,26,0.8012326656394453,3245,0.7976951649102624
40,nsubj,conj,obl->nsubj,26,0.9416877942774358,2761,0.6787169030253418
320,nmod,obl,conj->nmod,25,0.25651549353580955,9746,2.3957895461372622
621,obl,parataxis,obj->obl,25,2.321262766945218,1077,0.26475121497946147
327,nmod,obl,obl->nmod,25,0.25651549353580955,9746,2.3957895461372622
67,parataxis,parataxis,conj->parataxis,25,5.827505827505827,429,0.10545800485254316
759,advcl,conj,ccomp->advcl,25,2.774694783573807,901,0.22148639247585405
716,nsubj,advcl,obl->nsubj,25,1.1671335200746966,2142,0.5265525556973134
601,compound:prt,acl,advmod->compound:prt,25,13.736263736263737,182,0.04473975963441225
678,acl:relcl,obl,acl->acl:relcl,25,3.486750348675035,717,0.17625498713117355
554,acl,obl,acl:relcl->acl,24,1.3377926421404682,1794,0.441006202110635
305,obl,conj,nsubj->obl,24,0.5336891260840559,4497,1.1054653795381972
98,advcl,root,nsubj->advcl,23,0.5,4600,1.130785133617013
164,parataxis,root,appos->parataxis,23,0.6595927731574419,3487,0.8571842958527226
166,parataxis,root,advcl->parataxis,23,0.6595927731574419,3487,0.8571842958527226
463,xcomp,acl:relcl,obl->xcomp,23,4.978354978354979,462,0.11357015907196956
683,appos,nmod,flat->appos,22,3.259259259259259,675,0.16593042721553994
892,obl,csubj,obj->obl,22,4.029304029304029,546,0.13421927890323676
148,nmod,root,appos->nmod,22,0.9381663113006397,2345,0.5764545952895425
808,obj,parataxis,obl->obj,22,3.2835820895522385,670,0.16470131293986925
688,acl,appos,amod->acl,22,34.375,64,0.015732662728584527
0,mark,root,advmod->mark,22,3.6544850498338874,602,0.14798535879074823
72,parataxis,parataxis,nummod->parataxis,22,5.128205128205128,429,0.10545800485254316
93,advcl,root,obj->advcl,22,0.47826086956521735,4600,1.130785133617013
92,advcl,root,advmod->advcl,22,0.47826086956521735,4600,1.130785133617013
117,xcomp,root,conj->xcomp,22,0.8055657268399854,2731,0.6713422173713178
616,obl,ccomp,nmod->obl,21,1.370757180156658,1532,0.37660061406549217
459,amod,obj,nmod->amod,21,0.5728314238952537,3666,0.9011865869217324
185,nmod,nmod,appos->nmod,21,0.29631720050797233,7087,1.7421465743356024
167,parataxis,root,nsubj->parataxis,21,0.6022368798394035,3487,0.8571842958527226
400,obl,acl:relcl,nmod->obl,21,0.7832898172323759,2681,0.6590510746146112
230,acl,obj,acl:relcl->acl,20,1.366120218579235,1464,0.35988465991637103
843,acl:relcl,root,acl->acl:relcl,20,4.4543429844097995,449,0.11037446195522582
1151,appos,obj,conj->appos,19,5.205479452054795,365,0.08972534212395863
81,csubj:cop,root,advcl->csubj:cop,19,3.345070422535211,568,0.1396273817161877
589,appos,nsubj,flat->appos,19,1.6407599309153715,1158,0.2846628662453263
855,parataxis,nmod,appos->parataxis,19,6.810035842293908,279,0.06858457658242317
99,advcl,root,acl->advcl,19,0.4130434782608695,4600,1.130785133617013
238,conj,root,acl:relcl->conj,19,0.2638888888888889,7200,1.7699245569657593
19,obl,advcl,nmod->obl,19,0.5855161787365177,3245,0.7976951649102624
430,orphan,conj,obl->orphan,19,3.9915966386554618,476,0.11701167904384742
787,nsubj:cop,root,obj->nsubj:cop,19,0.33922513836814855,5601,1.3768538116062803
97,advcl,root,csubj:cop->advcl,19,0.4130434782608695,4600,1.130785133617013
822,advcl,parataxis,xcomp->advcl,19,6.551724137931035,290,0.07128862798889864
17,obl,advcl,nsubj->obl,18,0.5546995377503852,3245,0.7976951649102624
575,appos,obl,nmod->appos,18,3.711340206185567,485,0.11922408474005462
561,xcomp,advcl,advcl->xcomp,18,2.975206611570248,605,0.1487228273561506
1035,ccomp,conj,advcl->ccomp,18,5.590062111801243,322,0.0791549593531909
173,parataxis,root,amod->parataxis,18,0.5162030398623458,3487,0.8571842958527226
140,csubj,conj,xcomp->csubj,18,12.949640287769784,139,0.03416937686364452
252,nsubj,root,nsubj:cop->nsubj,18,0.12244897959183673,14700,3.6135959704717586
510,acl,advcl,amod->acl,17,21.518987341772153,79,0.019420005555596528
206,obj,acl,nsubj->obj,17,1.4072847682119205,1208,0.29695400900203295
1047,advmod,ccomp,compound:prt->advmod,17,1.6456921587608906,1033,0.25393500935355967
905,nmod,conj,conj->nmod,17,0.604551920341394,2812,0.6912538686371826
631,nsubj:cop,conj,nmod->nsubj:cop,17,1.4705882352941175,1156,0.28417122053505806
654,xcomp,xcomp,obl->xcomp,17,8.374384236453201,203,0.049902039592229046
215,amod,conj,nmod->amod,17,1.1111111111111112,1530,0.3761089683552239
849,nummod,nummod,compound->nummod,17,51.515151515151516,33,0.008112154219426397
876,advcl,acl:relcl,xcomp->advcl,17,6.538461538461539,260,0.06391394233487464
47,obl,root,nummod->obl,17,0.08901921767816935,19097,4.694479064496543
115,xcomp,root,csubj->xcomp,16,0.585865983156353,2731,0.6713422173713178
323,nmod,obl,obj->nmod,16,0.16416991586291813,9746,2.3957895461372622
427,acl,nsubj,nmod->acl,16,1.1653313911143481,1373,0.33751478009916497
91,advcl,root,parataxis->advcl,16,0.34782608695652173,4600,1.130785133617013
745,flat,parataxis,conj->flat,16,4.938271604938271,324,0.07964660506345916
370,acl,root,acl:relcl->acl,16,5.177993527508091,309,0.07595926223644717
151,nmod,root,nsubj:cop->nmod,16,0.6823027718550106,2345,0.5764545952895425
56,obl,root,advcl->obl,15,0.07854636853956119,19097,4.694479064496543
326,nmod,obl,appos->nmod,15,0.15390929612148574,9746,2.3957895461372622
1026,nmod,nsubj:cop,obl->nmod,15,0.5460502366217692,2747,0.675275383053464
1023,nmod,nsubj:cop,appos->nmod,15,0.5460502366217692,2747,0.675275383053464
645,appos,appos,flat->appos,15,11.278195488721805,133,0.03269443973283972
186,nmod,nmod,amod->nmod,15,0.21165514321998025,7087,1.7421465743356024
82,csubj:cop,root,acl->csubj:cop,15,2.640845070422535,568,0.1396273817161877
1220,flat:foreign,appos,flat->flat:foreign,15,17.441860465116278,86,0.021140765541535458
237,conj,root,obj->conj,15,0.20833333333333334,7200,1.7699245569657593
1072,acl,parataxis,amod->acl,15,25.423728813559322,59,0.01450354845291386
240,conj,root,advmod->conj,15,0.20833333333333334,7200,1.7699245569657593
347,appos,root,conj->appos,15,7.731958762886598,194,0.04768963389602185
920,compound:prt,acl:relcl,advmod->compound:prt,15,5.952380952380952,252,0.061947359493801576
1011,parataxis,nsubj,appos->parataxis,15,4.702194357366771,319,0.07841749078778851
1461,compound,nmod,nummod->compound,15,78.94736842105263,19,0.004670634247548532
348,appos,root,parataxis->appos,15,7.731958762886598,194,0.04768963389602185
586,appos,nsubj,nmod->appos,15,1.2953367875647668,1158,0.2846628662453263
170,parataxis,root,nummod->parataxis,15,0.43016919988528823,3487,0.8571842958527226
451,nmod,advcl,obl->nmod,15,3.1982942430703627,469,0.1152909190579085
681,appos,nmod,parataxis->appos,14,2.074074074074074,675,0.16593042721553994
845,acl:relcl,root,conj->acl:relcl,14,3.11804008908686,449,0.11037446195522582
930,advmod,xcomp,compound:prt->advmod,14,1.6928657799274487,827,0.2032955011959282
198,amod,nsubj:cop,nmod->amod,14,0.975609756097561,1435,0.35275579711748123
139,csubj,conj,ccomp->csubj,14,10.071942446043165,139,0.03416937686364452
357,csubj,root,csubj:cop->csubj,14,2.0202020202020203,693,0.17035523860795435
614,obl,ccomp,nsubj->obl,14,0.9138381201044387,1532,0.37660061406549217
1275,cop,root,aux->cop,14,0.22211645248294462,6303,1.5494214559104418
131,ccomp,root,csubj->ccomp,14,0.7799442896935933,1795,0.44125202496576915
695,advcl,advcl,xcomp->advcl,14,4.682274247491638,299,0.07350103368510584
844,acl:relcl,root,advcl->acl:relcl,13,2.89532293986637,449,0.11037446195522582
475,advmod,root,conj->advmod,13,0.09982338938800583,13023,3.2013510424118174
102,advcl,root,csubj->advcl,13,0.28260869565217395,4600,1.130785133617013
258,nsubj,root,conj->nsubj,13,0.08843537414965986,14700,3.6135959704717586
1103,vocative,root,conj->vocative,13,12.745098039215685,102,0.02507393122368159
401,obl,acl:relcl,xcomp->obl,13,0.484893696381947,2681,0.6590510746146112
799,parataxis,conj,appos->parataxis,13,2.145214521452145,606,0.14896865021128475
571,appos,obl,conj->appos,13,2.6804123711340204,485,0.11922408474005462
965,nmod,nsubj,obl->nmod,13,0.2235213204951857,5816,1.4297057254601189
162,parataxis,root,ccomp->parataxis,13,0.3728133065672498,3487,0.8571842958527226
325,nmod,obl,amod->nmod,13,0.133388056638621,9746,2.3957895461372622
308,obl,conj,nsubj:cop->obl,13,0.289081609962197,4497,1.1054653795381972
1019,advmod,parataxis,compound:prt->advmod,13,1.2596899224806202,1032,0.25368918649842553
356,csubj,root,conj->csubj,13,1.875901875901876,693,0.17035523860795435
742,flat,parataxis,nummod->flat,12,3.7037037037037033,324,0.07964660506345916
120,xcomp,root,acl->xcomp,12,0.43939948736726475,2731,0.6713422173713178
1263,acl:relcl,nsubj:cop,acl->acl:relcl,12,3.278688524590164,366,0.08997116497909276
620,obl,parataxis,nmod->obl,12,1.1142061281337048,1077,0.26475121497946147
1257,nsubj,acl,obj->nsubj,12,3.614457831325301,332,0.08161318790453223
179,appos,conj,flat->appos,12,4.580152671755725,262,0.06440558804514292
426,acl,nsubj,acl:relcl->acl,12,0.8739985433357611,1373,0.33751478009916497
145,appos,nsubj:cop,conj->appos,12,5.853658536585367,205,0.05039368530249731
542,nmod,obj,appos->nmod,12,0.19730351857941467,6082,1.4950946049257985
492,obl,acl,nmod->obl,12,0.33651149747616377,3566,0.876604301408319
57,obl,root,advmod->obl,11,0.05760067026234487,19097,4.694479064496543
28,xcomp,ccomp,obl->xcomp,11,3.606557377049181,305,0.07497597081591063
858,aux,advcl,cop->aux,11,0.9900990099009901,1111,0.273109192054022
418,conj,parataxis,flat->conj,11,0.7352941176470588,1496,0.36775099128066335
682,appos,nmod,nmod->appos,11,1.6296296296296295,675,0.16593042721553994
816,compound,obl,nummod->compound,11,25.581395348837212,43,0.010570382770767729
415,conj,parataxis,nmod->conj,11,0.7352941176470588,1496,0.36775099128066335
233,conj,root,nsubj:cop->conj,11,0.1527777777777778,7200,1.7699245569657593
1034,compound:prt,ccomp,advmod->compound:prt,11,5.913978494623656,186,0.04572305105494878
1075,advmod,acl:relcl,compound:prt->advmod,11,1.0328638497652582,1065,0.2618013407178519
116,xcomp,root,obj->xcomp,11,0.4027828634199927,2731,0.6713422173713178
229,acl,obj,nmod->acl,10,0.6830601092896175,1464,0.35988465991637103
763,advcl,conj,conj->advcl,10,1.1098779134295227,901,0.22148639247585405
672,amod,parataxis,acl->amod,10,4.405286343612335,227,0.055801788115448246
1085,flat,appos,flat:foreign->flat,10,0.5428881650380022,1842,0.4528056991570734
180,appos,conj,parataxis->appos,10,3.816793893129771,262,0.06440558804514292
696,advcl,advcl,conj->advcl,10,3.3444816053511706,299,0.07350103368510584
985,amod,advcl,acl->amod,10,3.205128205128205,312,0.07669673080184958
1104,vocative,root,nsubj->vocative,10,9.803921568627452,102,0.02507393122368159
110,nsubj,acl:relcl,obl->nsubj,10,0.39603960396039606,2525,0.6207027092136864
48,obl,root,parataxis->obl,10,0.052364245693040795,19097,4.694479064496543
163,parataxis,root,obj->parataxis,10,0.28677946659019216,3487,0.8571842958527226
1313,mark,advcl,advmod->mark,10,0.19554165037152915,5114,1.2571380811559574
750,flat,nmod,appos->flat,10,1.221001221001221,819,0.2013289183548551
555,acl,obl,nmod->acl,10,0.5574136008918618,1794,0.441006202110635
486,obl,xcomp,nmod->obl,10,0.7077140835102618,1413,0.3473476943045303
380,conj,ccomp,advcl->conj,10,1.76678445229682,566,0.1391357360059194
783,nsubj:cop,root,appos->nsubj:cop,10,0.17853954650955187,5601,1.3768538116062803
767,advcl,conj,advmod->advcl,10,1.1098779134295227,901,0.22148639247585405
1368,flat:foreign,conj,flat->flat:foreign,10,19.230769230769234,52,0.012782788466974927
793,compound:prt,parataxis,advmod->compound:prt,10,7.6923076923076925,130,0.03195697116743732
835,advcl,ccomp,xcomp->advcl,10,3.048780487804878,328,0.08062989648399571
834,advcl,ccomp,advmod->advcl,10,3.048780487804878,328,0.08062989648399571
995,advmod,advcl,mark->advmod,9,0.4675324675324675,1925,0.47320899613320655
