,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
5,nsubj,root,obj->nsubj,867,5.8979591836734695,14700,3.6137381047787382
31,obj,root,nsubj->obj,781,8.877017503978177,8798,2.1628345473362818
157,advcl,root,conj->advcl,538,11.695652173913043,4600,1.130829611019197
208,conj,root,advcl->conj,492,6.833333333333333,7200,1.769994173769178
383,obl,root,obj->obl,414,2.1678797716918887,19097,4.69466371339861
385,obl,root,nsubj->obl,373,1.9531863643504215,19097,4.69466371339861
232,parataxis,root,conj->parataxis,346,9.922569544020648,3487,0.8572180116573782
423,acl,obl,amod->acl,251,13.991081382385731,1794,0.44102354829748686
32,obj,root,obl->obj,240,2.72789270288702,8798,2.1628345473362818
9,nsubj,root,obl->nsubj,205,1.3945578231292517,14700,3.6137381047787382
65,nsubj,conj,obj->nsubj,205,7.4248460702643975,2761,0.6787435991356529
206,conj,root,ccomp->conj,204,2.833333333333333,7200,1.769994173769178
303,acl,obj,amod->acl,201,13.729508196721312,1464,0.3598988153330662
207,conj,root,parataxis->conj,189,2.625,7200,1.769994173769178
353,acl,nmod,amod->acl,186,13.400576368876079,1388,0.341215543498836
448,obj,conj,nsubj->obj,184,5.985686402081978,3074,0.7556891791897852
431,acl,nsubj,amod->acl,165,12.017479970866715,1373,0.33752805563681687
261,obl,conj,obj->obl,146,3.246608850344674,4497,1.1055088610333326
234,parataxis,root,advcl->parataxis,136,3.9002007456266132,3487,0.8572180116573782
308,advmod,root,compound:prt->advmod,127,0.9751977270982108,13023,3.2014769618050005
358,nsubj,advcl,obj->nsubj,127,5.929038281979458,2142,0.5265732666963304
161,advcl,root,xcomp->advcl,124,2.6956521739130435,4600,1.130829611019197
795,obj,advcl,nsubj->obj,123,5.6997219647822055,2158,0.5305065870824842
409,nsubj,acl:relcl,obj->nsubj,116,4.595879556259905,2524,0.6204812909157508
55,obj,acl:relcl,nsubj->obj,115,6.760728982951206,1701,0.41816112355296836
122,xcomp,root,obl->xcomp,109,3.9912120102526547,2731,0.6713686234116145
749,obl,advcl,obj->obl,108,3.3281972265023114,3245,0.7977265408168032
158,advcl,root,ccomp->advcl,104,2.2608695652173916,4600,1.130829611019197
384,obl,root,nmod->obl,101,0.528878881499712,19097,4.69466371339861
210,conj,root,acl:relcl->conj,97,1.3472222222222223,7200,1.769994173769178
906,compound:prt,root,advmod->compound:prt,93,5.2542372881355925,1770,0.4351235677182563
107,nsubj:cop,root,nmod->nsubj:cop,91,1.625,5600,1.376662135153805
135,ccomp,root,conj->ccomp,91,5.069637883008356,1795,0.4412693808216215
386,obl,root,xcomp->obl,90,0.47127821123736713,19097,4.69466371339861
190,orphan,conj,advmod->orphan,89,18.69747899159664,476,0.11701628148807343
262,obl,conj,nsubj->obl,87,1.9346230820547032,4497,1.1055088610333326
1150,nsubj,ccomp,obj->nsubj,84,6.531881804043546,1286,0.31614062603710597
508,acl,conj,amod->acl,84,17.21311475409836,488,0.11996627177768875
233,parataxis,root,ccomp->parataxis,81,2.3229136793805565,3487,0.8572180116573782
276,nsubj,parataxis,obj->nsubj,80,4.280363830925628,1869,0.4594609876075824
137,ccomp,root,advcl->ccomp,79,4.401114206128134,1795,0.4412693808216215
787,obj,ccomp,nsubj->obj,75,9.101941747572816,824,0.20256599988691704
159,advcl,root,parataxis->advcl,72,1.565217391304348,4600,1.130829611019197
382,obl,root,nsubj:cop->obl,67,0.3508404461433733,19097,4.69466371339861
669,conj,parataxis,parataxis->conj,65,4.3449197860962565,1496,0.36776545610537364
857,acl,nsubj:cop,amod->acl,61,9.41358024691358,648,0.15929947563922603
692,amod,obl,acl->amod,60,1.0595090941197245,5663,1.3921495841742855
342,obl,acl:relcl,obj->obl,59,2.201492537313433,2680,0.6588311646807496
162,advcl,root,acl:relcl->advcl,59,1.2826086956521738,4600,1.130829611019197
548,obl,xcomp,obj->obl,59,4.175513092710545,1413,0.3473613566022012
655,advmod,conj,compound:prt->advmod,58,1.2238868959696139,4739,1.1650003318739075
422,acl,obl,acl:relcl->acl,58,3.2329988851727984,1794,0.44102354829748686
794,obj,advcl,obl->obj,58,2.6876737720111215,2158,0.5305065870824842
288,advcl,conj,conj->advcl,57,6.326304106548279,901,0.22149510424528188
542,obj,parataxis,nsubj->obj,54,8.059701492537313,670,0.1647077911701874
180,nmod,root,obl->nmod,54,2.302771855010661,2345,0.5764772690956559
101,amod,root,acl->amod,54,3.6048064085447264,1498,0.36825712115364284
341,obl,acl:relcl,nsubj->obl,53,1.9776119402985075,2680,0.6588311646807496
537,obl,acl,obj->obl,53,1.4862591138530568,3566,0.8766387810640123
979,compound:prt,conj,advmod->compound:prt,51,6.367041198501873,801,0.19691185183182106
449,obj,conj,obl->obj,51,1.6590761223162005,3074,0.7556891791897852
752,obl,advcl,nsubj->obl,50,1.5408320493066257,3245,0.7977265408168032
282,obj,acl,obl->obj,48,3.9735099337748347,1208,0.2969656891546065
1051,amod,nsubj,acl->amod,47,1.5210355987055015,3090,0.759622499575939
304,acl,obj,acl:relcl->acl,46,3.1420765027322406,1464,0.3598988153330662
230,parataxis,root,acl:relcl->parataxis,45,1.2905075996558646,3487,0.8572180116573782
689,amod,nmod,nmod->amod,45,1.058574453069866,4251,1.045034060096219
515,parataxis,conj,conj->parataxis,45,7.425742574257425,606,0.1489745096255725
490,appos,nsubj,conj->appos,44,3.7996545768566494,1158,0.2846740629478761
110,nsubj:cop,root,nsubj->nsubj:cop,43,0.7678571428571429,5600,1.376662135153805
585,acl,root,amod->acl,42,13.592233009708737,309,0.07596224995759389
758,acl:relcl,root,conj->acl:relcl,42,9.35412026726058,449,0.11037880333643901
163,advcl,root,obl->advcl,40,0.8695652173913043,4600,1.130829611019197
213,conj,root,xcomp->conj,40,0.5555555555555556,7200,1.769994173769178
645,obl,ccomp,obj->obl,40,2.610966057441253,1532,0.37661542697421957
50,acl:relcl,obl,acl->acl:relcl,39,5.439330543933055,717,0.17626191980451397
149,conj,ccomp,advcl->conj,38,6.713780918727916,566,0.13914120866018814
672,conj,parataxis,advcl->conj,38,2.5401069518716577,1496,0.36776545610537364
209,conj,root,obl->conj,38,0.5277777777777778,7200,1.769994173769178
227,amod,conj,acl->amod,37,2.4183006535947715,1530,0.3761237619259503
688,amod,nmod,acl->amod,37,0.8703834391907787,4251,1.045034060096219
531,amod,obj,acl->amod,37,1.0092744135297327,3666,0.9012220334774732
19,advcl,ccomp,conj->advcl,36,11.009174311926607,327,0.08038723539201684
156,advcl,root,csubj->advcl,34,0.7391304347826086,4600,1.130829611019197
1154,advmod,advcl,compound:prt->advmod,33,1.7142857142857144,1925,0.47322760895912047
349,appos,obj,conj->appos,33,9.04109589041096,365,0.08972887130913194
555,conj,obj,appos->conj,33,2.2479564032697548,1468,0.3608821454296046
1227,advcl,advcl,conj->advcl,33,11.036789297658862,299,0.07350392471624781
365,obl,parataxis,obj->obl,33,3.064066852367688,1077,0.2647616284929729
686,advmod,acl,compound:prt->advmod,33,3.035878564857406,1087,0.26721995373431895
391,obl,root,conj->obl,33,0.1728020107870346,19097,4.69466371339861
644,obl,ccomp,nsubj->obl,33,2.154046997389034,1532,0.37661542697421957
