,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
160,nsubj,root,obj->nsubj,305,2.074829931972789,14700,3.6135959704717586
407,obj,root,nsubj->obj,296,3.364401000227325,8798,2.1627494794701043
9,obl,root,obj->obl,248,1.2986332931874116,19097,4.694479064496543
8,obl,root,nmod->obl,227,1.1886683772320261,19097,4.694479064496543
330,xcomp,root,obl->xcomp,199,7.28670816550714,2731,0.6713422173713178
135,parataxis,root,conj->parataxis,159,4.559793518784055,3487,0.8571842958527226
242,advcl,root,conj->advcl,145,3.152173913043478,4600,1.130785133617013
409,obj,root,obl->obj,137,1.5571720845646737,8798,2.1627494794701043
719,compound:prt,root,advmod->compound:prt,125,7.062146892655368,1770,0.43510645358741584
257,advmod,root,compound:prt->advmod,123,0.9444828380557475,13023,3.2013510424118174
13,obl,root,nsubj->obl,120,0.6283709483164895,19097,4.694479064496543
16,obl,root,xcomp->obl,117,0.6126616746085772,19097,4.694479064496543
216,obj,conj,nsubj->obj,114,3.708523096942095,3074,0.7556594566823256
33,nsubj,conj,obj->nsubj,102,3.6943136544730173,2761,0.6787169030253418
243,advcl,root,ccomp->advcl,86,1.8695652173913044,4600,1.130785133617013
226,ccomp,root,advcl->ccomp,80,4.456824512534819,1795,0.44125202496576915
363,nmod,root,obl->nmod,77,3.2835820895522385,2345,0.5764545952895425
660,amod,nmod,nmod->amod,76,1.787814631851329,4251,1.0449929571752004
240,advcl,root,xcomp->advcl,74,1.608695652173913,4600,1.130785133617013
105,orphan,conj,advmod->orphan,74,15.546218487394958,476,0.11701167904384742
227,ccomp,root,conj->ccomp,71,3.955431754874652,1795,0.44125202496576915
280,amod,root,acl->amod,67,4.472630173564753,1498,0.36824263699093157
436,advmod,conj,compound:prt->advmod,67,1.4138003798269678,4739,1.1649545104806573
352,csubj,root,xcomp->csubj,64,9.235209235209235,693,0.17035523860795435
422,obl,conj,obj->obl,61,1.3564598621303092,4497,1.1054653795381972
664,obj,advcl,nsubj->obj,60,2.7803521779425395,2158,0.5304857213794595
162,nsubj,root,obl->nsubj,60,0.40816326530612246,14700,3.6135959704717586
107,orphan,conj,nmod->orphan,59,12.394957983193278,476,0.11701167904384742
181,conj,root,parataxis->conj,58,0.8055555555555556,7200,1.7699245569657593
836,compound:prt,conj,advmod->compound:prt,57,7.116104868913857,801,0.19690410696244073
351,csubj,root,ccomp->csubj,56,8.080808080808081,693,0.17035523860795435
85,obl,advcl,obj->obl,50,1.5408320493066257,3245,0.7976951649102624
15,obl,root,conj->obl,49,0.2565848038958999,19097,4.694479064496543
241,advcl,root,acl:relcl->advcl,49,1.065217391304348,4600,1.130785133617013
516,amod,obl,nmod->amod,49,0.865265760197775,5663,1.3920948286245964
1027,nsubj,advcl,obj->nsubj,49,2.287581699346405,2142,0.5265525556973134
423,obl,conj,nmod->obl,44,0.9784300644874362,4497,1.1054653795381972
185,conj,root,advcl->conj,44,0.6111111111111112,7200,1.7699245569657593
623,xcomp,conj,obl->xcomp,41,4.408602150537634,930,0.2286152552747439
345,appos,nsubj,conj->appos,41,3.540587219343696,1158,0.2846628662453263
710,nsubj,acl:relcl,obj->nsubj,39,1.5445544554455446,2525,0.6207027092136864
612,obj,acl:relcl,nsubj->obj,39,2.2927689594356258,1701,0.4181446765831607
830,appos,obl,nmod->appos,38,7.835051546391752,485,0.11922408474005462
184,conj,root,ccomp->conj,37,0.513888888888889,7200,1.7699245569657593
767,nsubj:cop,root,nsubj->nsubj:cop,37,0.6605963220853419,5601,1.3768538116062803
325,xcomp,acl,obl->xcomp,37,14.23076923076923,260,0.06391394233487464
654,nsubj,ccomp,obj->nsubj,36,2.797202797202797,1287,0.3163740145576295
563,acl,obj,acl:relcl->acl,36,2.459016393442623,1464,0.35988465991637103
268,obl,acl,obj->obl,36,1.0095344924284912,3566,0.876604301408319
606,obj,ccomp,nsubj->obj,36,4.368932038834951,824,0.2025580326305258
540,advmod,acl,compound:prt->advmod,35,3.219871205151794,1087,0.26720944353080284
734,amod,nsubj,nmod->amod,35,1.132686084142395,3090,0.7595926223644718
183,conj,root,obl->conj,35,0.4861111111111111,7200,1.7699245569657593
555,xcomp,advcl,obl->xcomp,35,5.785123966942149,605,0.1487228273561506
362,aux,root,cop->aux,35,0.5287807825955583,6619,1.6271014781328281
1086,nmod,acl,obl->nmod,33,32.038834951456316,103,0.025319754078815725
917,advmod,advcl,compound:prt->advmod,31,1.6103896103896103,1925,0.47320899613320655
289,nmod,obl,obl->nmod,31,0.31807921198440386,9746,2.3957895461372622
1165,nummod,parataxis,parataxis->nummod,31,9.480122324159021,327,0.08038407362886157
687,nmod,conj,obl->nmod,30,1.0668563300142246,2812,0.6912538686371826
425,obl,conj,xcomp->obl,30,0.66711140760507,4497,1.1054653795381972
665,obj,advcl,obl->obj,30,1.3901760889712698,2158,0.5304857213794595
145,parataxis,root,nmod->parataxis,30,0.8603383997705765,3487,0.8571842958527226
1040,compound:prt,advcl,advmod->compound:prt,29,6.092436974789916,476,0.11701167904384742
173,amod,conj,acl->amod,29,1.8954248366013071,1530,0.3761089683552239
779,obj,parataxis,nsubj->obj,28,4.179104477611941,670,0.16470131293986925
696,compound:prt,acl,advmod->compound:prt,28,15.384615384615385,182,0.04473975963441225
142,parataxis,root,nsubj->parataxis,26,0.7456266131344996,3487,0.8571842958527226
137,parataxis,root,appos->parataxis,26,0.7456266131344996,3487,0.8571842958527226
74,obl,acl:relcl,obj->obl,26,0.969787392763894,2681,0.6590510746146112
84,obl,advcl,nmod->obl,26,0.8012326656394453,3245,0.7976951649102624
14,obl,root,nsubj:cop->obl,26,0.13614703880190604,19097,4.694479064496543
