,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
176,advcl,root,conj->advcl,538,11.695652173913043,4600,1.130785133617013
29,conj,root,advcl->conj,411,5.708333333333333,7200,1.7699245569657593
216,parataxis,root,conj->parataxis,373,10.696874103814165,3487,0.8571842958527226
126,nsubj,root,obj->nsubj,336,2.2857142857142856,14700,3.6135959704717586
303,obl,root,obj->obl,263,1.3771796617269727,19097,4.694479064496543
113,obj,root,nsubj->obj,227,2.5801318481473063,8798,2.1627494794701043
25,conj,root,ccomp->conj,192,2.666666666666667,7200,1.7699245569657593
28,conj,root,parataxis->conj,157,2.180555555555556,7200,1.7699245569657593
301,obl,root,nsubj->obl,129,0.6754987694402261,19097,4.694479064496543
247,advmod,root,compound:prt->advmod,121,0.9291253935345158,13023,3.2013510424118174
300,obl,root,nmod->obl,120,0.6283709483164895,19097,4.694479064496543
177,advcl,root,ccomp->advcl,118,2.5652173913043477,4600,1.130785133617013
220,parataxis,root,advcl->parataxis,114,3.2692859191281904,3487,0.8571842958527226
140,xcomp,root,obl->xcomp,114,4.174295129989015,2731,0.6713422173713178
31,conj,root,acl:relcl->conj,110,1.5277777777777777,7200,1.7699245569657593
114,obj,root,obl->obj,107,1.2161854967037964,8798,2.1627494794701043
812,compound:prt,root,advmod->compound:prt,99,5.593220338983051,1770,0.43510645358741584
302,obl,root,xcomp->obl,92,0.48175106037597526,19097,4.694479064496543
339,obj,conj,nsubj->obj,89,2.8952504879635654,3074,0.7556594566823256
219,parataxis,root,ccomp->parataxis,89,2.5523372526527104,3487,0.8571842958527226
193,orphan,conj,advmod->orphan,88,18.487394957983195,476,0.11701167904384742
152,ccomp,root,conj->ccomp,86,4.79108635097493,1795,0.44125202496576915
53,nsubj,conj,obj->nsubj,84,3.0423759507424846,2761,0.6787169030253418
179,advcl,root,xcomp->advcl,78,1.6956521739130437,4600,1.130785133617013
153,ccomp,root,advcl->ccomp,74,4.1225626740947074,1795,0.44125202496576915
130,nsubj,root,obl->nsubj,70,0.4761904761904762,14700,3.6135959704717586
381,obl,conj,obj->obl,67,1.4898821436513232,4497,1.1054653795381972
184,advcl,root,parataxis->advcl,67,1.4565217391304348,4600,1.130785133617013
180,advcl,root,acl:relcl->advcl,66,1.434782608695652,4600,1.130785133617013
