,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
85,nsubj,root,obj->nsubj,338,2.2993197278911564,14700,3.6135959704717586
71,obl,root,nmod->obl,251,1.314342566895324,19097,4.694479064496543
282,obj,root,nsubj->obj,250,2.841554898840646,8798,2.1627494794701043
78,obl,root,obj->obl,233,1.2200869246478503,19097,4.694479064496543
101,xcomp,root,obl->xcomp,190,6.957158549981692,2731,0.6713422173713178
132,parataxis,root,conj->parataxis,138,3.9575566389446517,3487,0.8571842958527226
199,advcl,root,conj->advcl,135,2.9347826086956523,4600,1.130785133617013
13,nsubj,conj,obj->nsubj,127,4.59978268743209,2761,0.6787169030253418
74,obl,root,xcomp->obl,124,0.6493166465937058,19097,4.694479064496543
669,compound:prt,root,advmod->compound:prt,124,7.005649717514125,1770,0.43510645358741584
351,advmod,root,compound:prt->advmod,120,0.9214466712739001,13023,3.2013510424118174
182,ccomp,root,advcl->ccomp,114,6.350974930362117,1795,0.44125202496576915
75,obl,root,nsubj->obl,109,0.5707702780541446,19097,4.694479064496543
157,obj,conj,nsubj->obj,107,3.4808067664281066,3074,0.7556594566823256
284,obj,root,obl->obj,102,1.1593543987269834,8798,2.1627494794701043
119,orphan,conj,advmod->orphan,85,17.857142857142858,476,0.11701167904384742
306,conj,root,advcl->conj,79,1.097222222222222,7200,1.7699245569657593
251,nmod,root,obl->nmod,78,3.3262260127931773,2345,0.5764545952895425
631,amod,nmod,nmod->amod,74,1.7407668783815573,4251,1.0449929571752004
204,advcl,root,ccomp->advcl,74,1.608695652173913,4600,1.130785133617013
196,advcl,root,xcomp->advcl,69,1.5,4600,1.130785133617013
541,csubj,root,xcomp->csubj,69,9.956709956709958,693,0.17035523860795435
222,amod,root,acl->amod,68,4.539385847797063,1498,0.36824263699093157
56,obl,conj,obj->obl,67,1.4898821436513232,4497,1.1054653795381972
295,advmod,conj,compound:prt->advmod,66,1.3926988816205952,4739,1.1649545104806573
