,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
97,obl,root,nsubj->obl,1227,6.425092946536106,19097,4.694479064496543
102,obl,root,obj->obl,1205,6.309891606011416,19097,4.694479064496543
349,nsubj,root,obl->nsubj,809,5.503401360544218,14700,3.6135959704717586
348,nsubj,root,obj->nsubj,770,5.238095238095238,14700,3.6135959704717586
215,obj,root,obl->obj,740,8.411002500568312,8798,2.1627494794701043
214,obj,root,nsubj->obj,672,7.638099568083654,8798,2.1627494794701043
248,advcl,root,conj->advcl,538,11.695652173913043,4600,1.130785133617013
174,obl,conj,obj->obl,466,10.362463864798755,4497,1.1054653795381972
278,conj,root,advcl->conj,427,5.930555555555555,7200,1.7699245569657593
310,parataxis,root,conj->parataxis,362,10.381416690564956,3487,0.8571842958527226
98,obl,root,nsubj:cop->obl,295,1.5447452479447032,19097,4.694479064496543
203,obl,advcl,obj->obl,265,8.166409861325114,3245,0.7976951649102624
172,obl,conj,nsubj->obl,243,5.403602401601067,4497,1.1054653795381972
60,obl,acl:relcl,obj->obl,221,8.2431928384931,2681,0.6590510746146112
165,obj,acl,obl->obj,198,16.39072847682119,1208,0.29695400900203295
481,obj,conj,obl->obj,187,6.083279115159401,3074,0.7556594566823256
726,obl,xcomp,obj->obl,182,12.880396319886767,1413,0.3473476943045303
77,nsubj,conj,obj->nsubj,179,6.483158275986961,2761,0.6787169030253418
281,conj,root,ccomp->conj,179,2.486111111111111,7200,1.7699245569657593
482,obj,conj,nsubj->obj,179,5.823031880286272,3074,0.7556594566823256
279,conj,root,parataxis->conj,177,2.458333333333333,7200,1.7699245569657593
206,obl,advcl,nsubj->obl,177,5.454545454545454,3245,0.7976951649102624
49,obj,advcl,obl->obj,159,7.367933271547729,2158,0.5304857213794595
143,xcomp,root,obl->xcomp,154,5.638960087879898,2731,0.6713422173713178
61,obl,acl:relcl,nsubj->obl,153,5.706825811264453,2681,0.6590510746146112
78,nsubj,conj,obl->nsubj,139,5.034407823252445,2761,0.6787169030253418
146,xcomp,root,obj->xcomp,129,4.723544489198097,2731,0.6713422173713178
330,obl,ccomp,nsubj->obl,128,8.355091383812011,1532,0.37660061406549217
672,obl,acl,obj->obl,125,3.5053280987100393,3566,0.876604301408319
369,advmod,root,compound:prt->advmod,123,0.9444828380557475,13023,3.2013510424118174
103,obl,root,nmod->obl,119,0.6231345237471854,19097,4.694479064496543
186,nsubj:cop,root,nmod->nsubj:cop,111,1.9817889662560257,5601,1.3768538116062803
607,nsubj,advcl,obl->nsubj,111,5.182072829131653,2142,0.5265525556973134
251,advcl,root,xcomp->advcl,110,2.391304347826087,4600,1.130785133617013
313,parataxis,root,advcl->parataxis,109,3.1258961858330943,3487,0.8571842958527226
