,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
1,@ADVL,root,@<NN->@ADVL,940,2.8379928748263996,33122,9.065033307606834
106,@FMV,root,root->@FMV,837,8.445161941277368,9911,2.7125036263417464
231,@SUBJ,root,@OBJ->@SUBJ,726,3.6202253914431033,20054,5.488502444017494
230,@SUBJ,root,@NN>->@SUBJ,610,3.041787174628503,20054,5.488502444017494
50,@OBJ,root,@SUBJ->@OBJ,596,6.873486333756198,8671,2.3731327761082923
3,@ADVL,root,@NN>->@ADVL,558,1.6846808767586499,33122,9.065033307606834
2,@ADVL,root,@DN>->@ADVL,535,1.615240625566089,33122,9.065033307606834
48,@OBJ,root,@NN>->@OBJ,528,6.089263060777304,8671,2.3731327761082923
343,@<NN,@SUBJ,@ADVL->@<NN,473,22.828185328185327,2072,0.5670777432933204
4,@ADVL,root,root->@ADVL,472,1.4250347201255964,33122,9.065033307606834
150,@PRD,root,@SUBJ->@PRD,465,12.653061224489795,3675,1.0057966730709231
219,@<NN,@ADVL,@ADVL->@<NN,441,32.142857142857146,1372,0.37549742461314456
798,@DN>,@ADVL,@ADVL->@DN>,431,32.04460966542751,1345,0.36810789803548066
5,@ADVL,root,@OBJ->@ADVL,427,1.289173359096673,33122,9.065033307606834
202,@PRD,@FMV,@SUBJ->@PRD,426,18.02030456852792,2364,0.646994104799908
8,@ADVL,root,@SUBJ->@ADVL,425,1.2831350763842764,33122,9.065033307606834
167,@NN>,@ADVL,@ADVL->@NN>,415,3.987317448116833,10408,2.848525652604671
291,@SUBJ,@FMV,@OBJ->@SUBJ,411,3.4555237935093324,11894,3.25522330054573
251,@OBJ,@FMV,@SUBJ->@OBJ,411,6.856856856856856,5994,1.6404749002413912
492,@<NN,@OBJ,@ADVL->@<NN,403,34.77135461604831,1159,0.31720227050046257
25,@ADVL,@FMV,@<NN->@ADVL,395,2.203134586424229,17929,4.906919333738389
47,@OBJ,root,@ADVL->@OBJ,394,4.543881905201245,8671,2.3731327761082923
233,@SUBJ,root,@ADVL->@SUBJ,383,1.9098434227585521,20054,5.488502444017494
433,@<NN,@<NN,@ADVL->@<NN,372,23.484848484848484,1584,0.43351889255628356
414,@SUBJ,@SUBJ,@<NN->@SUBJ,360,12.944983818770226,2781,0.7611212374993842
232,@SUBJ,root,@<NN->@SUBJ,335,1.6704896778697516,20054,5.488502444017494
68,@ADVL,@AN>,@NN>->@ADVL,333,6.191892896987728,5378,1.4718842198028366
432,@<NN,@<NN,@SUBJ->@<NN,328,20.707070707070706,1584,0.43351889255628356
83,@ADVL,@ADVL,@DN>->@ADVL,318,3.8946723821187996,8165,2.2346475743194794
