,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
397,@FMV,root,root->@FMV,675,6.809240391405226,9913,2.712857956038182
646,@DN>,@ADVL,@ADVL->@DN>,649,48.25278810408922,1345,0.3680817059287153
153,@SUBJ,root,@NN>->@SUBJ,623,3.106457242582897,20055,5.488385585427795
80,@<NN,@ADVL,@ADVL->@<NN,592,43.14868804664723,1372,0.3754707067168754
14,@ADVL,root,@<NN->@ADVL,585,1.7661976933760037,33122,9.064388300201419
154,@SUBJ,root,@OBJ->@SUBJ,583,2.907005734230865,20055,5.488385585427795
36,@OBJ,root,@SUBJ->@OBJ,559,6.446776611694154,8671,2.3729639197828183
13,@ADVL,root,@NN>->@ADVL,556,1.678642594046253,33122,9.064388300201419
264,@<NN,@SUBJ,@ADVL->@<NN,522,25.193050193050194,2072,0.567037393817322
377,@<NN,@OBJ,@ADVL->@<NN,508,43.83088869715272,1159,0.31717970049916805
32,@OBJ,root,@ADVL->@OBJ,469,5.408834044516204,8671,2.3729639197828183
33,@OBJ,root,@NN>->@OBJ,467,5.385768654134472,8671,2.3729639197828183
1,@NN>,@ADVL,@ADVL->@NN>,456,4.381245196003074,10408,2.8483229704877835
152,@SUBJ,root,@ADVL->@SUBJ,440,2.193966591872351,20055,5.488385585427795
545,@DN>,@SUBJ,@ADVL->@DN>,429,42.26600985221675,1015,0.27777169629564763
497,@PRD,root,@SUBJ->@PRD,420,11.428571428571429,3675,1.0057251072773448
11,@ADVL,root,@OBJ->@ADVL,415,1.2529436628222934,33122,9.064388300201419
634,@<NN,@<NN,@ADVL->@<NN,412,26.01010101010101,1584,0.43348804623872494
12,@ADVL,root,@SUBJ->@ADVL,394,1.189541694342129,33122,9.064388300201419
16,@ADVL,root,@DN>->@ADVL,351,1.0597186160256022,33122,9.064388300201419
635,@<NN,@<NN,@SUBJ->@<NN,337,21.275252525252526,1584,0.43348804623872494
63,@SUBJ,@FMV,@OBJ->@SUBJ,337,2.833361358668236,11894,3.254991680532446
47,@OBJ,@FMV,@SUBJ->@OBJ,313,5.221017514595496,5995,1.6406318416673966
531,@ADVL,@AN>,@NN>->@ADVL,311,5.781743818553634,5379,1.4720531570190034
511,@DN>,@OBJ,@ADVL->@DN>,301,47.40157480314961,635,0.17377835186969087
15,@ADVL,root,root->@ADVL,301,0.9087615482156873,33122,9.064388300201419
61,@SUBJ,@FMV,@NN>->@SUBJ,280,2.354128131831175,11894,3.254991680532446
221,@ADVL,@FMV,@OBJ->@ADVL,277,1.544810663097429,17931,4.907117523425869
325,@NN>,@NN>,@ADVL->@NN>,261,2.884934232342213,9047,2.4758625974253436
49,@OBJ,@FMV,@NN>->@OBJ,254,4.236864053377815,5995,1.6406318416673966
155,@SUBJ,root,@PRD->@SUBJ,248,1.236599351782598,20055,5.488385585427795
265,@<NN,@SUBJ,@SUBJ->@<NN,246,11.872586872586872,2072,0.567037393817322
197,@NN>,@SUBJ,@SUBJ->@NN>,245,2.3728813559322033,10325,2.8256086347315876
514,@SUBJ,@SUBJ,@<NN->@SUBJ,244,8.773822366055375,2781,0.7610670811804886
50,@OBJ,@FMV,@ADVL->@OBJ,244,4.070058381984987,5995,1.6406318416673966
427,@OBJ,@OBJ,@SUBJ->@OBJ,235,8.768656716417912,2680,0.7334267448988528
171,@ADVL,@ADVL,@NN>->@ADVL,231,2.828802351212344,8166,2.2347622383746386
198,@NN>,@SUBJ,@ADVL->@NN>,230,2.2276029055690074,10325,2.8256086347315876
169,@ADVL,@ADVL,@DN>->@ADVL,227,2.7798187607151603,8166,2.2347622383746386
220,@ADVL,@FMV,@<NN->@ADVL,226,1.2603870392058447,17931,4.907117523425869
170,@ADVL,@ADVL,@<NN->@ADVL,225,2.7553269654665686,8166,2.2347622383746386
394,@DN>,@NN>,@ADVL->@DN>,225,44.37869822485207,507,0.1387490147998949
460,@PRD,@FMV,@SUBJ->@PRD,222,9.37896070975919,2367,0.6477690690953674
222,@ADVL,@FMV,@NN>->@ADVL,217,1.2101946349896828,17931,4.907117523425869
251,@IMV,root,root->@IMV,193,7.440246723207402,2594,0.7098914090550836
441,@NN>,@OBJ,@ADVL->@NN>,192,3.3408734992169826,5747,1.5727625010946669
0,@NN>,@ADVL,@OBJ->@NN>,189,1.8159108378170636,10408,2.8483229704877835
65,@SUBJ,@FMV,@ADVL->@SUBJ,188,1.580628888515218,11894,3.254991680532446
174,@ADVL,@ADVL,@OBJ->@ADVL,182,2.228753367621847,8166,2.2347622383746386
