,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
93,@FMV,root,root->@FMV,677,6.829415918490871,9913,2.712857956038182
228,@SUBJ,root,@NN>->@SUBJ,632,3.151333831962104,20055,5.488385585427795
109,@ADVL,root,@NN>->@ADVL,600,1.8114848137189783,33122,9.064388300201419
229,@SUBJ,root,@OBJ->@SUBJ,587,2.9269508850660686,20055,5.488385585427795
186,@<NN,@ADVL,@ADVL->@<NN,579,42.201166180758015,1372,0.3754707067168754
659,@DN>,@ADVL,@ADVL->@DN>,565,42.00743494423792,1345,0.3680817059287153
494,@<NN,@OBJ,@ADVL->@<NN,544,46.93701466781708,1159,0.31717970049916805
25,@OBJ,root,@SUBJ->@OBJ,542,6.25072079344943,8671,2.3729639197828183
291,@<NN,@SUBJ,@ADVL->@<NN,542,26.158301158301157,2072,0.567037393817322
112,@ADVL,root,@<NN->@ADVL,530,1.6001449187850976,33122,9.064388300201419
23,@OBJ,root,@NN>->@OBJ,522,6.0200668896321075,8671,2.3729639197828183
22,@OBJ,root,@ADVL->@OBJ,475,5.4780302156614,8671,2.3729639197828183
648,@<NN,@<NN,@ADVL->@<NN,452,28.535353535353536,1584,0.43348804623872494
115,@ADVL,root,@OBJ->@ADVL,446,1.3465370448644405,33122,9.064388300201419
0,@NN>,@ADVL,@ADVL->@NN>,434,4.169869331283628,10408,2.8483229704877835
230,@SUBJ,root,@ADVL->@SUBJ,421,2.099227125405136,20055,5.488385585427795
479,@PRD,root,@SUBJ->@PRD,406,11.047619047619047,3675,1.0057251072773448
110,@ADVL,root,@DN>->@ADVL,376,1.1351971499305598,33122,9.064388300201419
108,@ADVL,root,@SUBJ->@ADVL,375,1.1321780085743616,33122,9.064388300201419
38,@ADVL,@AN>,@NN>->@ADVL,355,6.599739728574085,5379,1.4720531570190034
66,@SUBJ,@FMV,@OBJ->@SUBJ,351,2.9510677652597948,11894,3.254991680532446
649,@<NN,@<NN,@SUBJ->@<NN,346,21.843434343434343,1584,0.43348804623872494
272,@DN>,@SUBJ,@ADVL->@DN>,320,31.527093596059114,1015,0.27777169629564763
301,@OBJ,@FMV,@SUBJ->@OBJ,317,5.287739783152627,5995,1.6406318416673966
114,@ADVL,root,root->@ADVL,273,0.8242255902421352,33122,9.064388300201419
305,@OBJ,@FMV,@NN>->@OBJ,272,4.537114261884904,5995,1.6406318416673966
62,@SUBJ,@FMV,@NN>->@SUBJ,270,2.270052127122919,11894,3.254991680532446
250,@ADVL,@FMV,@OBJ->@ADVL,266,1.4834643912776755,17931,4.907117523425869
234,@SUBJ,root,@PRD->@SUBJ,262,1.3064073797058091,20055,5.488385585427795
249,@ADVL,@FMV,@NN>->@ADVL,258,1.4388489208633095,17931,4.907117523425869
292,@<NN,@SUBJ,@SUBJ->@<NN,253,12.21042471042471,2072,0.567037393817322
503,@DN>,@OBJ,@ADVL->@DN>,250,39.37007874015748,635,0.17377835186969087
166,@ADVL,@ADVL,@DN>->@ADVL,248,3.0369826108253735,8166,2.2347622383746386
278,@SUBJ,@SUBJ,@<NN->@SUBJ,244,8.773822366055375,2781,0.7610670811804886
167,@ADVL,@ADVL,@<NN->@ADVL,240,2.9390154298310067,8166,2.2347622383746386
