,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
14,@ADVL,root,@SUBJ->@ADVL,2234,6.745576423697083,33118,9.063740113303593
41,@SUBJ,root,@ADVL->@SUBJ,1548,7.718773373223635,20055,5.48865595664906
15,@ADVL,root,@NN>->@ADVL,1530,4.619844193489945,33118,9.063740113303593
13,@ADVL,root,@OBJ->@ADVL,1407,4.24844495440546,33118,9.063740113303593
40,@SUBJ,root,@NN>->@SUBJ,1375,6.856145599601097,20055,5.48865595664906
102,@ADVL,@FMV,@SUBJ->@ADVL,1175,6.552897217110034,17931,4.907359259968801
61,@OBJ,root,@ADVL->@OBJ,974,11.234140715109573,8670,2.3728071375790254
60,@OBJ,root,@SUBJ->@OBJ,893,10.299884659746251,8670,2.3728071375790254
108,@ADVL,@FMV,@OBJ->@ADVL,879,4.902124811778484,17931,4.907359259968801
165,@FMV,root,root->@FMV,877,8.846968627055382,9913,2.7129915980185557
39,@SUBJ,root,@OBJ->@SUBJ,868,4.328097731239092,20055,5.48865595664906
62,@OBJ,root,@NN>->@OBJ,789,9.100346020761247,8670,2.3728071375790254
16,@ADVL,root,@<NN->@ADVL,764,2.3069025907361556,33118,9.063740113303593
127,@SUBJ,@FMV,@ADVL->@SUBJ,759,6.38136875735665,11894,3.255152029338515
103,@ADVL,@FMV,@NN>->@ADVL,699,3.898276727455245,17931,4.907359259968801
126,@SUBJ,@FMV,@NN>->@SUBJ,568,4.7755170674289555,11894,3.255152029338515
81,@ADVL,@ADVL,@SUBJ->@ADVL,539,6.600538819495469,8166,2.2348723281972687
22,@ADVL,root,root->@ADVL,536,1.618455220725889,33118,9.063740113303593
337,@OBJ,@FMV,@SUBJ->@OBJ,529,8.824020016680567,5995,1.6407126631818056
17,@ADVL,root,@DN>->@ADVL,528,1.5942991726553537,33118,9.063740113303593
317,@ADVL,@AN>,@NN>->@ADVL,521,9.6858152072876,5379,1.4721256739374367
339,@OBJ,@FMV,@ADVL->@OBJ,501,8.35696413678065,5995,1.6407126631818056
394,@SUBJ,@SUBJ,@<NN->@SUBJ,480,17.25997842502697,2781,0.7611045731957634
941,@DN>,@ADVL,@ADVL->@DN>,475,35.31598513011153,1345,0.3680998385286954
434,@<NN,@SUBJ,@SUBJ->@<NN,473,22.828185328185327,2072,0.5670653274583322
130,@SUBJ,@FMV,@OBJ->@SUBJ,472,3.968387422229696,11894,3.255152029338515
83,@ADVL,@ADVL,@OBJ->@ADVL,465,5.694342395297576,8166,2.2348723281972687
610,@OBJ,@OBJ,@ADVL->@OBJ,426,15.895522388059701,2680,0.7334628752839432
334,@OBJ,@FMV,@NN>->@OBJ,407,6.7889908256880735,5995,1.6407126631818056
43,@SUBJ,root,@PRD->@SUBJ,405,2.019446522064323,20055,5.48865595664906
395,@SUBJ,@SUBJ,@ADVL->@SUBJ,404,14.527148507731033,2781,0.7611045731957634
42,@SUBJ,root,@<NN->@SUBJ,400,1.994515083520319,20055,5.48865595664906
204,@PRD,root,@SUBJ->@PRD,398,10.829931972789115,3675,1.0057746517419743
231,@ADVL,@IMV,@OBJ->@ADVL,393,6.882661996497373,5710,1.5627138126385505
614,@OBJ,@OBJ,@SUBJ->@OBJ,378,14.1044776119403,2680,0.7334628752839432
85,@ADVL,@ADVL,@<NN->@ADVL,374,4.579965711486652,8166,2.2348723281972687
427,@NN>,@SUBJ,@SUBJ->@NN>,369,3.5738498789346247,10325,2.8257478310845947
2,@NN>,@ADVL,@ADVL->@NN>,358,3.4396617986164486,10408,2.8484632858042094
153,@<NN,@ADVL,@ADVL->@<NN,353,25.728862973760936,1372,0.37548920331700375
82,@ADVL,@ADVL,@NN>->@ADVL,349,4.273818270879255,8166,2.2348723281972687
26,@ADVL,root,@PRD->@ADVL,336,1.0145540189624978,33118,9.063740113303593
435,@<NN,@SUBJ,@ADVL->@<NN,317,15.299227799227799,2072,0.5670653274583322
80,@ADVL,@ADVL,@DN>->@ADVL,309,3.783982365907421,8166,2.2348723281972687
297,@PRD,@FMV,@SUBJ->@PRD,295,12.463033375580904,2367,0.6478009797750349
500,@<NN,@<NN,@SUBJ->@<NN,295,18.623737373737374,1584,0.43350940091409185
105,@ADVL,@FMV,@<NN->@ADVL,289,1.6117338687189782,17931,4.907359259968801
501,@<NN,@<NN,@ADVL->@<NN,287,18.11868686868687,1584,0.43350940091409185
104,@ADVL,@FMV,@DN>->@ADVL,253,1.4109642518543304,17931,4.907359259968801
574,@<NN,@OBJ,@OBJ->@<NN,248,21.397756686798964,1159,0.31719532554257096
230,@ADVL,@IMV,@SUBJ->@ADVL,246,4.308231173380035,5710,1.5627138126385505
