,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
22,@ADVL,root,@SUBJ->@ADVL,2226,6.721826307525064,33116,9.064408319898396
0,@SUBJ,root,@ADVL->@SUBJ,1531,7.635910224438902,20050,5.4880235177546455
24,@ADVL,root,@NN>->@ADVL,1516,4.577847566131175,33116,9.064408319898396
27,@ADVL,root,@OBJ->@ADVL,1440,4.3483512501509844,33116,9.064408319898396
1,@SUBJ,root,@NN>->@SUBJ,1374,6.852867830423941,20050,5.4880235177546455
113,@ADVL,@FMV,@SUBJ->@ADVL,1180,6.580781886119012,17931,4.908017441239828
57,@OBJ,root,@ADVL->@OBJ,947,10.922722029988465,8670,2.3731253814929065
163,@FMV,root,root->@FMV,873,8.807506053268765,9912,2.7130817510216483
56,@OBJ,root,@SUBJ->@OBJ,862,9.942329873125722,8670,2.3731253814929065
114,@ADVL,@FMV,@OBJ->@ADVL,857,4.779432268138977,17931,4.908017441239828
2,@SUBJ,root,@OBJ->@SUBJ,852,4.249376558603491,20050,5.4880235177546455
139,@SUBJ,@FMV,@ADVL->@SUBJ,794,6.676196081728748,11893,3.2553148975888275
58,@OBJ,root,@NN>->@OBJ,786,9.065743944636678,8670,2.3731253814929065
26,@ADVL,root,@<NN->@ADVL,748,2.2587268993839835,33116,9.064408319898396
117,@ADVL,@FMV,@NN>->@ADVL,708,3.9484691316714073,17931,4.908017441239828
135,@SUBJ,@FMV,@NN>->@SUBJ,576,4.843185066846043,11893,3.2553148975888275
28,@ADVL,root,@DN>->@ADVL,543,1.6396907839111006,33116,9.064408319898396
75,@OBJ,@FMV,@SUBJ->@OBJ,528,8.807339449541285,5995,1.640932717652823
79,@OBJ,@FMV,@ADVL->@OBJ,516,8.607172643869891,5995,1.640932717652823
329,@ADVL,@AN>,@NN>->@ADVL,508,9.445890665674971,5378,1.4720494004231663
31,@ADVL,root,root->@ADVL,497,1.5007851189757218,33116,9.064408319898396
95,@ADVL,@ADVL,@SUBJ->@ADVL,488,5.97599804065638,8166,2.2351720721189245
892,@DN>,@ADVL,@ADVL->@DN>,482,35.8364312267658,1345,0.36814920854763084
414,@<NN,@SUBJ,@SUBJ->@<NN,480,23.177209077740223,2071,0.566867666098248
138,@SUBJ,@FMV,@OBJ->@SUBJ,477,4.01076263348188,11893,3.2553148975888275
97,@ADVL,@ADVL,@OBJ->@ADVL,473,5.7923095762919425,8166,2.2351720721189245
385,@SUBJ,@SUBJ,@<NN->@SUBJ,473,17.014388489208635,2780,0.7609329366263299
262,@OBJ,@OBJ,@ADVL->@OBJ,446,16.64179104477612,2680,0.7335612482584764
217,@ADVL,@IMV,@OBJ->@ADVL,411,7.19915922228061,5709,1.5626496889207617
4,@SUBJ,root,@PRD->@SUBJ,406,2.024937655860349,20050,5.4880235177546455
76,@OBJ,@FMV,@NN>->@OBJ,403,6.722268557130942,5995,1.640932717652823
428,@PRD,root,@SUBJ->@PRD,400,10.884353741496598,3675,1.0059095475186197
94,@ADVL,@ADVL,@<NN->@ADVL,400,4.898359049718344,8166,2.2351720721189245
384,@SUBJ,@SUBJ,@ADVL->@SUBJ,388,13.956834532374101,2780,0.7609329366263299
3,@SUBJ,root,@<NN->@SUBJ,385,1.9201995012468827,20050,5.4880235177546455
44,@NN>,@ADVL,@ADVL->@NN>,371,3.5649082348419334,10407,2.8485716084425237
96,@ADVL,@ADVL,@NN>->@ADVL,365,4.469752632867989,8166,2.2351720721189245
402,@NN>,@SUBJ,@SUBJ->@NN>,360,3.4873583260680032,10323,2.8255793902135267
266,@OBJ,@OBJ,@SUBJ->@OBJ,354,13.208955223880597,2680,0.7335612482584764
873,@<NN,@ADVL,@ADVL->@<NN,347,25.291545189504372,1372,0.37553956440695135
34,@ADVL,root,@PRD->@ADVL,335,1.0115956033337359,33116,9.064408319898396
415,@<NN,@SUBJ,@ADVL->@<NN,316,15.258329309512314,2071,0.566867666098248
93,@ADVL,@ADVL,@DN>->@ADVL,314,3.8452118540289,8166,2.2351720721189245
486,@<NN,@<NN,@SUBJ->@<NN,313,19.76010101010101,1584,0.43356754374680095
310,@PRD,@FMV,@SUBJ->@PRD,300,12.67427122940431,2367,0.6478878636670946
487,@<NN,@<NN,@ADVL->@<NN,283,17.866161616161616,1584,0.43356754374680095
120,@ADVL,@FMV,@<NN->@ADVL,277,1.544810663097429,17931,4.908017441239828
555,@<NN,@OBJ,@ADVL->@<NN,252,21.74288179465056,1159,0.31723786818342314
556,@<NN,@OBJ,@OBJ->@<NN,249,21.484037963761864,1159,0.31723786818342314
218,@ADVL,@IMV,@SUBJ->@ADVL,238,4.168856191977579,5709,1.5626496889207617
