,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
38,@SUBJ,root,@ADVL->@SUBJ,1961,9.778110196958364,20055,5.488385585427795
11,@OBJ,root,@ADVL->@OBJ,1592,18.360050743858842,8671,2.3729639197828183
185,@ADVL,root,@SUBJ->@ADVL,1493,4.507578044804058,33122,9.064388300201419
186,@ADVL,root,@NN>->@ADVL,1258,3.798079826097458,33122,9.064388300201419
37,@SUBJ,root,@NN>->@SUBJ,1167,5.818997756170531,20055,5.488385585427795
189,@ADVL,root,@OBJ->@ADVL,1101,3.3240746331743254,33122,9.064388300201419
13,@OBJ,root,@SUBJ->@OBJ,941,10.852266174605004,8671,2.3729639197828183
95,@SUBJ,@FMV,@ADVL->@SUBJ,878,7.3818732133849,11894,3.254991680532446
373,@OBJ,@FMV,@ADVL->@OBJ,878,14.64553794829024,5995,1.6406318416673966
39,@SUBJ,root,@OBJ->@SUBJ,807,4.023934181002244,20055,5.488385585427795
53,@ADVL,@FMV,@SUBJ->@ADVL,744,4.149238748536055,17931,4.907117523425869
12,@OBJ,root,@NN>->@OBJ,716,8.257409756660133,8671,2.3729639197828183
0,@NN>,@ADVL,@ADVL->@NN>,704,6.764027671022291,10408,2.8483229704877835
74,@FMV,root,root->@FMV,693,6.9908201351760315,9913,2.712857956038182
54,@ADVL,@FMV,@OBJ->@ADVL,626,3.4911605599241535,17931,4.907117523425869
549,@DN>,@ADVL,@ADVL->@DN>,589,43.79182156133829,1345,0.3680817059287153
113,@<NN,@ADVL,@ADVL->@<NN,558,40.67055393586006,1372,0.3754707067168754
375,@OBJ,@FMV,@SUBJ->@OBJ,554,9.241034195162635,5995,1.6406318416673966
266,@OBJ,@OBJ,@ADVL->@OBJ,554,20.671641791044777,2680,0.7334267448988528
187,@ADVL,root,@<NN->@ADVL,527,1.5910874947165026,33122,9.064388300201419
56,@ADVL,@FMV,@NN>->@ADVL,517,2.8832747755284145,17931,4.907117523425869
94,@SUBJ,@FMV,@NN>->@SUBJ,514,4.321506642004372,11894,3.254991680532446
422,@<NN,@SUBJ,@ADVL->@<NN,465,22.442084942084943,2072,0.567037393817322
323,@ADVL,@AN>,@NN>->@ADVL,462,8.588957055214724,5379,1.4720531570190034
96,@SUBJ,@FMV,@OBJ->@SUBJ,446,3.749789809988229,11894,3.254991680532446
421,@<NN,@SUBJ,@SUBJ->@<NN,439,21.187258687258687,2072,0.567037393817322
567,@<NN,@OBJ,@ADVL->@<NN,435,37.532355478861085,1159,0.31717970049916805
310,@NN>,@SUBJ,@SUBJ->@NN>,430,4.164648910411622,10325,2.8256086347315876
362,@NN>,@NN>,@ADVL->@NN>,426,4.708743229799934,9047,2.4758625974253436
221,@PRD,root,@SUBJ->@PRD,418,11.374149659863946,3675,1.0057251072773448
499,@<NN,@<NN,@ADVL->@<NN,403,25.441919191919194,1584,0.43348804623872494
135,@NN>,@OBJ,@ADVL->@NN>,399,6.942752740560293,5747,1.5727625010946669
401,@SUBJ,@SUBJ,@ADVL->@SUBJ,396,14.239482200647249,2781,0.7610670811804886
341,@ADVL,@ADVL,@OBJ->@ADVL,392,4.8003918687239775,8166,2.2347622383746386
144,@OBJ,@IMV,@ADVL->@OBJ,382,15.75907590759076,2424,0.6633680707592609
337,@ADVL,@ADVL,@SUBJ->@ADVL,368,4.506490325740877,8166,2.2347622383746386
498,@<NN,@<NN,@SUBJ->@<NN,363,22.916666666666664,1584,0.43348804623872494
371,@OBJ,@FMV,@NN>->@OBJ,357,5.954962468723936,5995,1.6406318416673966
413,@DN>,@SUBJ,@ADVL->@DN>,353,34.77832512315271,1015,0.27777169629564763
188,@ADVL,root,@DN>->@ADVL,352,1.0627377573818007,33122,9.064388300201419
312,@NN>,@SUBJ,@ADVL->@NN>,349,3.380145278450363,10325,2.8256086347315876
265,@OBJ,@OBJ,@SUBJ->@OBJ,344,12.835820895522387,2680,0.7334267448988528
338,@ADVL,@ADVL,@NN>->@ADVL,338,4.139113397012001,8166,2.2347622383746386
223,@PRD,root,@ADVL->@PRD,321,8.73469387755102,3675,1.0057251072773448
193,@ADVL,root,root->@ADVL,312,0.9419721031338688,33122,9.064388300201419
249,@ADVL,@IMV,@OBJ->@ADVL,294,5.1479600770443,5711,1.5629105000437866
134,@NN>,@OBJ,@OBJ->@NN>,288,5.011310248825474,5747,1.5727625010946669
40,@SUBJ,root,@<NN->@SUBJ,269,1.3413113936674146,20055,5.488385585427795
399,@SUBJ,@SUBJ,@<NN->@SUBJ,268,9.636821287306724,2781,0.7610670811804886
621,@DN>,@OBJ,@ADVL->@DN>,264,41.574803149606296,635,0.17377835186969087
42,@SUBJ,root,@PRD->@SUBJ,257,1.281475941161805,20055,5.488385585427795
340,@ADVL,@ADVL,@DN>->@ADVL,241,2.9512613274553026,8166,2.2347622383746386
402,@SUBJ,@SUBJ,@NN>->@SUBJ,238,8.558072635742539,2781,0.7610670811804886
80,@PRD,@FMV,@SUBJ->@PRD,235,9.928179129700041,2367,0.6477690690953674
481,@OBJ,@ADVL,@ADVL->@OBJ,225,21.760154738878143,1034,0.28297136351694546
342,@ADVL,@ADVL,@<NN->@ADVL,224,2.743081067842273,8166,2.2347622383746386
1,@NN>,@ADVL,@OBJ->@NN>,223,2.142582628747118,10408,2.8483229704877835
268,@OBJ,@OBJ,@NN>->@OBJ,211,7.8731343283582085,2680,0.7334267448988528
192,@ADVL,root,@PRD->@ADVL,210,0.6340196848016424,33122,9.064388300201419
565,@DN>,@NN>,@ADVL->@DN>,206,40.63116370808679,507,0.1387490147998949
606,@OBJ,@AN>,@ADVL->@OBJ,202,37.61638733705773,537,0.14695901567562833
540,@OBJ,@SUBJ,@ADVL->@OBJ,200,23.121387283236995,865,0.23672169191698045
2,@NN>,@ADVL,@SUBJ->@NN>,199,1.911990776325903,10408,2.8483229704877835
224,@PRD,root,@AN>->@PRD,197,5.3605442176870755,3675,1.0057251072773448
57,@ADVL,@FMV,@<NN->@ADVL,196,1.0930790251519713,17931,4.907117523425869
81,@PRD,@FMV,@ADVL->@PRD,195,8.238276299112801,2367,0.6477690690953674
145,@OBJ,@IMV,@SUBJ->@OBJ,191,7.87953795379538,2424,0.6633680707592609
841,@<KN,@SUBJ,@ADVL->@<KN,188,65.05190311418684,289,0.07908967510289867
125,@IMV,root,root->@IMV,184,7.093292212798766,2594,0.7098914090550836
236,@SUBJ,@IMV,@ADVL->@SUBJ,182,8.552631578947368,2128,0.5823627287853578
570,@<NN,@OBJ,@OBJ->@<NN,180,15.530629853321829,1159,0.31717970049916805
360,@NN>,@NN>,@SUBJ->@NN>,177,1.9564496518182823,9047,2.4758625974253436
615,@<KN,@OBJ,@ADVL->@<KN,171,74.67248908296943,229,0.06266967335143182
239,@SUBJ,@IMV,@OBJ->@SUBJ,170,7.988721804511279,2128,0.5823627287853578
191,@ADVL,root,@AN>->@ADVL,160,0.4830626169917276,33122,9.064388300201419
251,@ADVL,@IMV,@NN>->@ADVL,158,2.76659078970408,5711,1.5629105000437866
497,@<NN,@<NN,@NN>->@<NN,155,9.785353535353536,1584,0.43348804623872494
403,@SUBJ,@SUBJ,@OBJ->@SUBJ,154,5.537576411362819,2781,0.7610670811804886
55,@ADVL,@FMV,@DN>->@ADVL,152,0.8476939378729574,17931,4.907117523425869
98,@SUBJ,@FMV,@PRD->@SUBJ,149,1.2527324701530185,11894,3.254991680532446
60,@ADVL,@FMV,@PRD->@ADVL,148,0.8253862026657744,17931,4.907117523425869
420,@<NN,@SUBJ,@NN>->@<NN,147,7.094594594594595,2072,0.567037393817322
190,@ADVL,root,@Vpart->@ADVL,143,0.4317372139363565,33122,9.064388300201419
433,@ADVL,@OBJ,@OBJ->@ADVL,139,7.649972482113373,1817,0.49725238637358793
1014,@Vpart,root,@ADVL->@Vpart,137,9.188464118041582,1491,0.40803704352395126
294,@ADVL,@SUBJ,@DN>->@ADVL,136,5.8344058344058345,2331,0.6379170680444872
772,@<NN,@NN>,@NN>->@<NN,133,36.94444444444444,360,0.09852001050880113
58,@ADVL,@FMV,@Vpart->@ADVL,133,0.7417321956388377,17931,4.907117523425869
283,@<Q,@ADVL,@ADVL->@<Q,133,8.423052564914503,1579,0.432119712759436
148,@OBJ,@IMV,@NN>->@OBJ,132,5.445544554455446,2424,0.6633680707592609
736,@<P,@ADVL,@NN>->@<P,131,9.097222222222221,1440,0.3940800420352045
941,@Vpart,@FMV,@ADVL->@Vpart,128,10.118577075098814,1265,0.3461883702600928
254,@ADVL,@IMV,@SUBJ->@ADVL,127,2.223778672736824,5711,1.5629105000437866
297,@ADVL,@SUBJ,@<NN->@ADVL,124,5.319605319605319,2331,0.6379170680444872
453,@PRD,@PRD,@SUBJ->@PRD,121,19.57928802588997,618,0.1691260180401086
123,@IMV,root,@ADVL->@IMV,121,4.664610639938319,2594,0.7098914090550836
608,@OBJ,@AN>,@NN>->@OBJ,119,22.160148975791433,537,0.14695901567562833
296,@ADVL,@SUBJ,@NN>->@ADVL,118,5.062205062205062,2331,0.6379170680444872
939,@<KN,@ADVL,@ADVL->@<KN,115,77.18120805369128,149,0.040776337682809354
43,@SUBJ,root,root->@SUBJ,114,0.568436798803291,20055,5.488385585427795
99,@SUBJ,@FMV,@<NN->@SUBJ,111,0.9332436522616444,11894,3.254991680532446
392,@<Q,@OBJ,@OBJ->@<Q,108,14.210526315789473,760,0.20798668885191346
26,@ADVL,@NN>,@DN>->@ADVL,107,37.0242214532872,289,0.07908967510289867
79,@PRD,@FMV,@AN>->@PRD,106,4.478242501056189,2367,0.6477690690953674
322,@ADVL,@AN>,@OBJ->@ADVL,105,1.9520356943669825,5379,1.4720531570190034
222,@PRD,root,@NN>->@PRD,105,2.857142857142857,3675,1.0057251072773448
526,@<Q,@SUBJ,@SUBJ->@<Q,103,10.762800417972832,957,0.2618990279358963
539,@OBJ,@SUBJ,@SUBJ->@OBJ,102,11.791907514450866,865,0.23672169191698045
734,@<P,@ADVL,@ADVL->@<P,101,7.013888888888889,1440,0.3940800420352045
364,@NN>,@NN>,@OBJ->@NN>,100,1.1053387863380126,9047,2.4758625974253436
194,@ADVL,root,@<KN->@ADVL,100,0.3019141356198297,33122,9.064388300201419
593,@NN>,@P>,@ADVL->@NN>,99,5.302624531333691,1867,0.5109357211664769
510,@NN>,@<NN,@ADVL->@NN>,98,4.382826475849732,2236,0.6119187319379981
518,@NN>,@AN>,@ADVL->@NN>,97,30.69620253164557,316,0.08647867589105876
271,@OBJ,@OBJ,@<NN->@OBJ,97,3.6194029850746268,2680,0.7334267448988528
890,@<INFN,@OBJ,@OBJ->@<INFN,97,53.888888888888886,180,0.049260005254400566
746,@DN>,@P>,@ADVL->@DN>,96,45.28301886792453,212,0.05801733952184955
324,@ADVL,@AN>,@DN>->@ADVL,96,1.7847183491355272,5379,1.4720531570190034
136,@NN>,@OBJ,@SUBJ->@NN>,94,1.6356359839916477,5747,1.5727625010946669
766,@<NN,root,root->@<NN,92,20.309050772626932,453,0.12397101322357475
436,@ADVL,@OBJ,@DN>->@ADVL,92,5.063291139240507,1817,0.49725238637358793
197,@ADVL,root,@<Q->@ADVL,90,0.27172272205784676,33122,9.064388300201419
15,@OBJ,root,@<NN->@OBJ,90,1.0379425671779494,8671,2.3729639197828183
618,@FMV,@FMV,root->@FMV,89,2.538505419281232,3506,0.9594754356773798
108,@<INFN,@SUBJ,@SUBJ->@<INFN,86,35.684647302904565,241,0.0659536737017252
569,@<NN,@OBJ,@NN>->@<NN,84,7.24762726488352,1159,0.31717970049916805
568,@<NN,@OBJ,@SUBJ->@<NN,83,7.161345987920622,1159,0.31717970049916805
452,@PRD,@PRD,@ADVL->@PRD,83,13.430420711974108,618,0.1691260180401086
114,@<NN,@ADVL,@SUBJ->@<NN,82,5.97667638483965,1372,0.3754707067168754
159,@P>,@ADVL,@ADVL->@P>,82,1.4713798672169387,5573,1.525144496015413
299,@ADVL,@SUBJ,@OBJ->@ADVL,81,3.474903474903475,2331,0.6379170680444872
237,@SUBJ,@IMV,@NN>->@SUBJ,81,3.806390977443609,2128,0.5823627287853578
214,@NN>,@PRD,@ADVL->@NN>,80,8.064516129032258,992,0.2714773622909187
483,@OBJ,@ADVL,@NN>->@OBJ,77,7.446808510638298,1034,0.28297136351694546
877,@??,@??,@NN>->@??,77,59.68992248062015,129,0.035303003765653734
246,@FCV,@IMV,@FMV->@FCV,74,2.440633245382586,3032,0.8297574218407917
434,@ADVL,@OBJ,@NN>->@ADVL,74,4.072647220693451,1817,0.49725238637358793
690,@<NN,@<Q,@ADVL->@<NN,73,31.877729257641924,229,0.06266967335143182
