,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
95,@ADVL,root,@<NN->@ADVL,898,2.711434523989251,33119,9.064212249098205
28,@FMV,root,root->@FMV,833,8.403107031171189,9913,2.7130509986808327
90,@ADVL,root,@DN>->@ADVL,518,1.5640568857755368,33119,9.064212249098205
89,@ADVL,root,@NN>->@ADVL,516,1.5580180561007275,33119,9.064212249098205
180,@SUBJ,root,@OBJ->@SUBJ,462,2.3036649214659684,20055,5.488776130187037
319,@<NN,@SUBJ,@ADVL->@<NN,448,21.62162162162162,2072,0.5670777432933204
69,@PRD,root,@SUBJ->@PRD,444,12.081632653061225,3675,1.0057966730709231
92,@ADVL,root,root->@ADVL,443,1.3376007729701984,33119,9.064212249098205
17,@<NN,@ADVL,@ADVL->@<NN,438,31.924198250728864,1372,0.37549742461314456
854,@DN>,@ADVL,@ADVL->@DN>,436,32.41635687732342,1345,0.36810789803548066
3,@OBJ,root,@NN>->@OBJ,429,4.948667666397508,8669,2.372585403769206
160,@PRD,@FMV,@SUBJ->@PRD,408,17.23700887198986,2367,0.6478151633085374
236,@NN>,@ADVL,@ADVL->@NN>,404,3.8823755525658274,10406,2.847978280265585
177,@SUBJ,root,@NN>->@SUBJ,398,1.9845425081027175,20055,5.488776130187037
488,@<NN,@OBJ,@ADVL->@<NN,393,33.908541846419325,1159,0.31720227050046257
424,@<NN,@<NN,@ADVL->@<NN,372,23.484848484848484,1584,0.43351889255628356
4,@OBJ,root,@SUBJ->@OBJ,368,4.245010958588073,8669,2.372585403769206
198,@ADVL,@FMV,@<NN->@ADVL,353,1.968657632033908,17931,4.907466706077475
333,@SUBJ,@SUBJ,@<NN->@SUBJ,337,12.11794318590435,2781,0.7611212374993842
422,@<NN,@<NN,@SUBJ->@<NN,321,20.265151515151516,1584,0.43351889255628356
138,@ADVL,@ADVL,@DN>->@ADVL,307,3.759490570658829,8166,2.2349212604890223
178,@SUBJ,root,@<NN->@SUBJ,289,1.4410371478434305,20055,5.488776130187037
220,@ADVL,@AN>,@NN>->@ADVL,289,5.372745863543409,5379,1.4721579059723795
254,@SUBJ,@FMV,@OBJ->@SUBJ,284,2.3877585337144778,11894,3.25522330054573
181,@SUBJ,root,@ADVL->@SUBJ,274,1.3662428322114186,20055,5.488776130187037
184,@SUBJ,root,@PRD->@SUBJ,258,1.2864622288706058,20055,5.488776130187037
142,@ADVL,@ADVL,@<NN->@ADVL,257,3.1471956894440365,8166,2.2349212604890223
301,@NN>,@SUBJ,@SUBJ->@NN>,252,2.440677966101695,10325,2.8258097005325933
93,@ADVL,root,@OBJ->@ADVL,240,0.7246595609770826,33119,9.064212249098205
96,@ADVL,root,@SUBJ->@ADVL,239,0.7216401461396781,33119,9.064212249098205
500,@OBJ,@FMV,@SUBJ->@OBJ,238,3.969974979149291,5995,1.6407485864109344
197,@ADVL,@FMV,@DN>->@ADVL,236,1.3161563772238023,17931,4.907466706077475
375,@NN>,@NN>,@ADVL->@NN>,229,2.532065457762052,9044,2.4752177173478715
529,@OBJ,@OBJ,@SUBJ->@OBJ,228,8.507462686567164,2680,0.7334789343755302
139,@ADVL,@ADVL,@NN>->@ADVL,227,2.7798187607151603,8166,2.2349212604890223
293,@DN>,@SUBJ,@ADVL->@DN>,227,22.364532019704434,1015,0.27779146208625494
320,@<NN,@SUBJ,@SUBJ->@<NN,215,10.376447876447877,2072,0.5670777432933204
300,@NN>,@SUBJ,@ADVL->@NN>,213,2.062953995157385,10325,2.8258097005325933
502,@OBJ,@FMV,@NN>->@OBJ,212,3.53628023352794,5995,1.6407485864109344
0,@OBJ,root,@ADVL->@OBJ,209,2.4108893759372476,8669,2.372585403769206
182,@SUBJ,root,root->@SUBJ,208,1.0371478434305659,20055,5.488776130187037
334,@SUBJ,@SUBJ,@OBJ->@SUBJ,206,7.4074074074074066,2781,0.7611212374993842
201,@ADVL,@FMV,@NN>->@ADVL,206,1.1488483631699293,17931,4.907466706077475
253,@SUBJ,@FMV,@NN>->@SUBJ,195,1.6394820918109971,11894,3.25522330054573
127,@ADVL,@SUBJ,@DN>->@ADVL,185,7.936507936507936,2331,0.6379624612049855
199,@ADVL,@FMV,@SUBJ->@ADVL,179,0.9982711505214433,17931,4.907466706077475
251,@SUBJ,@FMV,@PRD->@SUBJ,176,1.4797376828653102,11894,3.25522330054573
218,@ADVL,@AN>,@DN>->@ADVL,176,3.2719836400818,5379,1.4721579059723795
351,@NN>,@OBJ,@OBJ->@NN>,175,3.045596936999652,5746,1.5726007301947003
126,@ADVL,@SUBJ,@<NN->@ADVL,175,7.5075075075075075,2331,0.6379624612049855
97,@ADVL,root,@<KN->@ADVL,167,0.5042422778465534,33119,9.064212249098205
73,@PRD,root,@AN>->@PRD,164,4.462585034013605,3675,1.0057966730709231
597,@DN>,@OBJ,@ADVL->@DN>,159,25.03937007874016,635,0.17379071765987378
350,@NN>,@OBJ,@ADVL->@NN>,157,2.732335537765402,5746,1.5726007301947003
631,@IMV,root,root->@IMV,156,6.016197454685692,2593,0.7096682376252799
91,@ADVL,root,@Vpart->@ADVL,148,0.44687339593586767,33119,9.064212249098205
755,@DN>,@NN>,@ADVL->@DN>,143,28.205128205128204,507,0.13875888795835592
250,@SUBJ,@FMV,@<NN->@SUBJ,140,1.1770640659155875,11894,3.25522330054573
237,@NN>,@ADVL,@OBJ->@NN>,140,1.3453776667307322,10406,2.847978280265585
363,@PRD,@PRD,@SUBJ->@PRD,139,22.491909385113267,618,0.16913805277764093
94,@ADVL,root,@AN>->@ADVL,134,0.4046015882122045,33119,9.064212249098205
200,@ADVL,@FMV,@Vpart->@ADVL,134,0.7473091294406335,17931,4.907466706077475
206,@ADVL,@FMV,@OBJ->@ADVL,127,0.7082705928280632,17931,4.907466706077475
1033,@Vpart,root,@ADVL->@Vpart,126,8.456375838926174,1490,0.40779239261923134
255,@SUBJ,@FMV,@ADVL->@SUBJ,126,1.0593576593240288,11894,3.25522330054573
269,@ADVL,@NN>,@DN>->@ADVL,123,42.56055363321799,289,0.0790953029979583
570,@<KN,@OBJ,@ADVL->@<KN,122,53.275109170305676,229,0.0626741328253718
801,@<NN,@NN>,@NN>->@<NN,120,33.33333333333333,360,0.098527021035519
380,@NN>,@NN>,@OBJ->@NN>,118,1.3047324192835028,9044,2.4752177173478715
145,@ADVL,@ADVL,@OBJ->@ADVL,116,1.4205241244183198,8166,2.2349212604890223
377,@NN>,@NN>,@SUBJ->@NN>,115,1.2715612560813798,9044,2.4752177173478715
280,@NN>,@<NN,@<NN->@NN>,111,4.964221824686941,2236,0.6119622750983902
2,@OBJ,root,@<Q->@OBJ,110,1.2688891452301303,8669,2.372585403769206
458,@ADVL,@OBJ,@DN>->@ADVL,109,5.998899284534947,1817,0.49728777005982777
963,@<KN,@SUBJ,@ADVL->@<KN,108,37.37024221453287,289,0.0790953029979583
