,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
0,@SUBJ,root,@ADVL->@SUBJ,2310,11.518324607329843,20055,5.488385585427795
91,@OBJ,root,@ADVL->@OBJ,1520,17.52969669011648,8671,2.3729639197828183
1,@SUBJ,root,@NN>->@SUBJ,1305,6.507105459985041,20055,5.488385585427795
32,@ADVL,root,@SUBJ->@ADVL,1210,3.6531610409999393,33122,9.064388300201419
432,@NN>,@SUBJ,@AN>->@NN>,1197,11.593220338983052,10325,2.8256086347315876
94,@OBJ,root,@SUBJ->@OBJ,1127,12.9973474801061,8671,2.3729639197828183
149,@FMV,root,root->@FMV,1107,11.16715424190457,9913,2.712857956038182
40,@ADVL,root,@NN>->@ADVL,1103,3.3301129158867218,33122,9.064388300201419
18,@AN>,@ADVL,@NN>->@AN>,1055,16.585442540481058,6361,1.7407938523513442
164,@SUBJ,@FMV,@ADVL->@SUBJ,1041,8.752312090129477,11894,3.254991680532446
80,@NN>,@ADVL,@AN>->@NN>,1033,9.925057647963104,10408,2.8483229704877835
2,@SUBJ,root,@OBJ->@SUBJ,1014,5.056095736724009,20055,5.488385585427795
499,@NN>,@NN>,@AN>->@NN>,924,10.213330385763236,9047,2.4758625974253436
37,@ADVL,root,@OBJ->@ADVL,896,2.705150655153674,33122,9.064388300201419
318,@AN>,@SUBJ,@NN>->@AN>,890,15.74106827025115,5654,1.547311498379893
36,@ADVL,root,root->@ADVL,848,2.560231870056156,33122,9.064388300201419
482,@OBJ,@FMV,@ADVL->@OBJ,837,13.96163469557965,5995,1.6406318416673966
247,@AN>,@NN>,@NN>->@AN>,826,19.045423103527785,4337,1.1868924599351955
39,@ADVL,root,@AN>->@ADVL,797,2.406255660890043,33122,9.064388300201419
78,@NN>,@ADVL,@ADVL->@NN>,761,7.311683320522675,10408,2.8483229704877835
235,@NN>,@OBJ,@AN>->@NN>,735,12.78928136419001,5747,1.5727625010946669
92,@OBJ,root,@NN>->@OBJ,731,8.430400184523123,8671,2.3729639197828183
466,@DN>,@ADVL,@ADVL->@DN>,724,53.82899628252788,1345,0.3680817059287153
549,@AN>,@OBJ,@NN>->@AN>,614,14.047128803477465,4371,1.1961971275943604
384,@<NN,@ADVL,@ADVL->@<NN,614,44.75218658892128,1372,0.3754707067168754
449,@ADVL,@AN>,@NN>->@ADVL,611,11.358988659602156,5379,1.4720531570190034
483,@OBJ,@FMV,@SUBJ->@OBJ,602,10.041701417848207,5995,1.6406318416673966
626,@PRD,root,@SUBJ->@PRD,587,15.972789115646258,3675,1.0057251072773448
60,@ADVL,@FMV,@SUBJ->@ADVL,586,3.2680832078523228,17931,4.907117523425869
166,@SUBJ,@FMV,@OBJ->@SUBJ,576,4.842777871195561,11894,3.254991680532446
44,@ADVL,root,@<NN->@ADVL,575,1.736006279814021,33122,9.064388300201419
573,@<NN,@SUBJ,@ADVL->@<NN,558,26.930501930501933,2072,0.567037393817322
163,@SUBJ,@FMV,@NN>->@SUBJ,557,4.683033462249874,11894,3.254991680532446
54,@ADVL,@FMV,@OBJ->@ADVL,555,3.095198259996654,17931,4.907117523425869
4,@SUBJ,root,root->@SUBJ,517,2.5779107454500125,20055,5.488385585427795
57,@ADVL,@FMV,@NN>->@ADVL,502,2.799620768501478,17931,4.907117523425869
873,@OBJ,@OBJ,@ADVL->@OBJ,495,18.470149253731343,2680,0.7334267448988528
300,@ADVL,@ADVL,@NN>->@ADVL,494,6.049473426402155,8166,2.2347622383746386
26,@AN>,@ADVL,@ADVL->@AN>,488,7.671749724886025,6361,1.7407938523513442
501,@NN>,@NN>,@ADVL->@NN>,488,5.394053277329502,9047,2.4758625974253436
150,@FMV,root,@ADVL->@FMV,456,4.600020175527086,9913,2.712857956038182
832,@<NN,@OBJ,@ADVL->@<NN,454,39.17169974115617,1159,0.31717970049916805
727,@<NN,@<NN,@ADVL->@<NN,453,28.59848484848485,1584,0.43348804623872494
479,@OBJ,@FMV,@NN>->@OBJ,453,7.556296914095078,5995,1.6406318416673966
535,@SUBJ,@SUBJ,@ADVL->@SUBJ,445,16.001438331535418,2781,0.7610670811804886
5,@SUBJ,root,@AN>->@SUBJ,440,2.193966591872351,20055,5.488385585427795
598,@FCV,root,root->@FCV,432,11.80973209404046,3658,1.0010727734477625
59,@ADVL,@FMV,@AN>->@ADVL,430,2.3980815347721824,17931,4.907117523425869
431,@NN>,@SUBJ,@SUBJ->@NN>,427,4.135593220338983,10325,2.8256086347315876
120,@FCV,@IMV,@FMV->@FCV,423,13.95118733509235,3032,0.8297574218407917
747,@DN>,@SUBJ,@ADVL->@DN>,407,40.09852216748768,1015,0.27777169629564763
628,@PRD,root,@ADVL->@PRD,392,10.666666666666668,3675,1.0057251072773448
193,@OBJ,@IMV,@ADVL->@OBJ,388,16.006600660066006,2424,0.6633680707592609
192,@OBJ,@IMV,@SUBJ->@OBJ,377,15.552805280528053,2424,0.6633680707592609
433,@NN>,@SUBJ,@ADVL->@NN>,364,3.5254237288135593,10325,2.8256086347315876
98,@OBJ,root,root->@OBJ,340,3.921116364894476,8671,2.3729639197828183
875,@OBJ,@OBJ,@SUBJ->@OBJ,338,12.611940298507463,2680,0.7334267448988528
148,@FMV,root,@AN>->@FMV,320,3.2280843337032175,9913,2.712857956038182
539,@SUBJ,@SUBJ,@<NN->@SUBJ,311,11.183027687882056,2781,0.7610670811804886
760,@PRD,@FMV,@SUBJ->@PRD,311,13.138994507815802,2367,0.6477690690953674
299,@ADVL,@ADVL,@SUBJ->@ADVL,310,3.7962282635317166,8166,2.2347622383746386
574,@<NN,@SUBJ,@SUBJ->@<NN,310,14.961389961389962,2072,0.567037393817322
301,@ADVL,@ADVL,@<NN->@ADVL,308,3.7717364682831254,8166,2.2347622383746386
38,@ADVL,root,@DN>->@ADVL,301,0.9087615482156873,33122,9.064388300201419
6,@SUBJ,root,@PRD->@SUBJ,299,1.4909000249314386,20055,5.488385585427795
865,@DN>,@OBJ,@ADVL->@DN>,293,46.14173228346456,635,0.17377835186969087
726,@<NN,@<NN,@SUBJ->@<NN,271,17.108585858585858,1584,0.43348804623872494
450,@ADVL,@AN>,@AN>->@ADVL,271,5.038111173080498,5379,1.4720531570190034
236,@NN>,@OBJ,@OBJ->@NN>,269,4.6807029754654605,5747,1.5727625010946669
303,@ADVL,@ADVL,@AN>->@ADVL,267,3.269654665686995,8166,2.2347622383746386
55,@ADVL,@FMV,@<NN->@ADVL,264,1.472310523674084,17931,4.907117523425869
132,@IMV,root,root->@IMV,260,10.023130300693909,2594,0.7098914090550836
3,@SUBJ,root,@<NN->@SUBJ,260,1.2964348042882072,20055,5.488385585427795
237,@NN>,@OBJ,@ADVL->@NN>,260,4.524099530189664,5747,1.5727625010946669
763,@PRD,@FMV,@ADVL->@PRD,256,10.815378115758344,2367,0.6477690690953674
210,@FMV,@FMV,@ADVL->@FMV,254,7.244723331431831,3506,0.9594754356773798
146,@FMV,root,@FCV->@FMV,252,2.5421164127912843,9913,2.712857956038182
93,@OBJ,root,@AN>->@OBJ,252,2.9062391880982585,8671,2.3729639197828183
42,@ADVL,root,@Vpart->@ADVL,243,0.7336513495561863,33122,9.064388300201419
1150,@NN>,@<NN,@AN>->@NN>,241,10.778175313059034,2236,0.6119187319379981
1202,@AN>,@<NN,@NN>->@AN>,241,24.54175152749491,982,0.26874069533234085
41,@ADVL,root,@PRD->@ADVL,241,0.7276130668437897,33122,9.064388300201419
936,@NN>,@P>,@AN>->@NN>,240,12.854847348687734,1867,0.5109357211664769
262,@P>,@ADVL,@ADVL->@P>,237,4.2526466893952986,5573,1.525144496015413
536,@SUBJ,@SUBJ,@NN>->@SUBJ,236,8.486156058971593,2781,0.7610670811804886
305,@ADVL,@ADVL,@OBJ->@ADVL,234,2.865540044085231,8166,2.2347622383746386
397,@<Q,@ADVL,@ADVL->@<Q,233,14.756174794173527,1579,0.432119712759436
81,@NN>,@ADVL,@SUBJ->@NN>,226,2.1714066102997696,10408,2.8483229704877835
248,@AN>,@NN>,@ADVL->@AN>,224,5.164860502651603,4337,1.1868924599351955
135,@IMV,root,@ADVL->@IMV,223,8.596761757902852,2594,0.7098914090550836
663,@SUBJ,@IMV,@ADVL->@SUBJ,223,10.479323308270677,2128,0.5823627287853578
843,@DN>,@NN>,@ADVL->@DN>,221,43.58974358974359,507,0.1387490147998949
167,@SUBJ,@FMV,@AN>->@SUBJ,220,1.849672103581638,11894,3.254991680532446
874,@OBJ,@OBJ,@NN>->@OBJ,215,8.022388059701493,2680,0.7334267448988528
61,@ADVL,@FMV,@Vpart->@ADVL,213,1.1878868997824996,17931,4.907117523425869
171,@SUBJ,@FMV,@PRD->@SUBJ,210,1.7655960988733814,11894,3.254991680532446
77,@NN>,@ADVL,@OBJ->@NN>,209,2.0080707148347425,10408,2.8483229704877835
361,@ADVL,@IMV,@OBJ->@ADVL,209,3.6596042724566624,5711,1.5629105000437866
151,@FMV,root,@NN>->@FMV,207,2.088167053364269,9913,2.712857956038182
630,@PRD,root,@AN>->@PRD,207,5.63265306122449,3675,1.0057251072773448
548,@AN>,@OBJ,@ADVL->@AN>,202,4.621368107984443,4371,1.1961971275943604
304,@ADVL,@ADVL,@DN>->@ADVL,200,2.449179524859172,8166,2.2347622383746386
686,@Vpart,root,@ADVL->@Vpart,197,13.212608987256875,1491,0.40803704352395126
498,@NN>,@NN>,@SUBJ->@NN>,195,2.1554106333591245,9047,2.4758625974253436
137,@IMV,root,@FMV->@IMV,195,7.517347725520432,2594,0.7098914090550836
889,@<P,@ADVL,@ADVL->@<P,195,13.541666666666666,1440,0.3940800420352045
698,@OBJ,@ADVL,@ADVL->@OBJ,195,18.85880077369439,1034,0.28297136351694546
541,@SUBJ,@SUBJ,@OBJ->@SUBJ,192,6.903991370010787,2781,0.7610670811804886
713,@Vpart,@FMV,@ADVL->@Vpart,190,15.019762845849801,1265,0.3461883702600928
320,@AN>,@SUBJ,@ADVL->@AN>,188,3.3250795896710295,5654,1.547311498379893
831,@<NN,@OBJ,@OBJ->@<NN,178,15.35806729939603,1159,0.31717970049916805
109,@AN>,@P>,@NN>->@AN>,171,13.073394495412844,1308,0.3579560381819774
56,@ADVL,@FMV,@PRD->@ADVL,170,0.9480787463052814,17931,4.907117523425869
331,@AN>,@AN>,@NN>->@AN>,169,18.946188340807176,892,0.24411069270514055
665,@SUBJ,@IMV,@OBJ->@SUBJ,163,7.659774436090226,2128,0.5823627287853578
823,@OBJ,@SUBJ,@ADVL->@OBJ,162,18.728323699421964,865,0.23672169191698045
825,@OBJ,@SUBJ,@SUBJ->@OBJ,159,18.381502890173408,865,0.23672169191698045
487,@OBJ,@FMV,@AN>->@OBJ,155,2.585487906588824,5995,1.6406318416673966
195,@OBJ,@IMV,@NN>->@OBJ,154,6.353135313531354,2424,0.6633680707592609
1338,@<KN,@SUBJ,@ADVL->@<KN,151,52.24913494809689,289,0.07908967510289867
973,@<KN,@OBJ,@ADVL->@<KN,150,65.50218340611353,229,0.06266967335143182
1232,@OBJ,@AN>,@NN>->@OBJ,147,27.37430167597765,537,0.14695901567562833
58,@ADVL,@FMV,@DN>->@ADVL,147,0.8198092688639786,17931,4.907117523425869
263,@P>,@ADVL,@NN>->@P>,143,2.565942939171003,5573,1.525144496015413
578,@<NN,@SUBJ,@NN>->@<NN,141,6.8050193050193055,2072,0.567037393817322
701,@OBJ,@ADVL,@NN>->@OBJ,137,13.2495164410058,1034,0.28297136351694546
1252,@<NN,@NN>,@NN>->@<NN,136,37.77777777777778,360,0.09852001050880113
363,@ADVL,@IMV,@NN>->@ADVL,134,2.346349150761688,5711,1.5629105000437866
967,@J,@FMV,@ADVL->@J,134,1.5185856754306437,8824,2.4148349242490585
368,@ADVL,@IMV,@AN>->@ADVL,134,2.346349150761688,5711,1.5629105000437866
876,@OBJ,@OBJ,@<NN->@OBJ,132,4.925373134328359,2680,0.7334267448988528
627,@PRD,root,root->@PRD,130,3.537414965986395,3675,1.0057251072773448
131,@IMV,root,@AN>->@IMV,130,5.0115651503469545,2594,0.7098914090550836
63,@ADVL,@FMV,@FMV->@ADVL,130,0.7250013942334504,17931,4.907117523425869
206,@FMV,@FMV,@AN>->@FMV,130,3.707929264118653,3506,0.9594754356773798
608,@ADVL,@OBJ,@OBJ->@ADVL,129,7.099614749587231,1817,0.49725238637358793
343,@NN>,@PRD,@AN>->@NN>,128,12.903225806451612,992,0.2714773622909187
676,@NN>,root,@AN>->@NN>,125,12.242899118511264,1021,0.2794136964707943
362,@ADVL,@IMV,@SUBJ->@ADVL,122,2.136228331290492,5711,1.5629105000437866
1154,@NN>,@<NN,@ADVL->@NN>,121,5.411449016100179,2236,0.6119187319379981
643,@PRD,@PRD,@ADVL->@PRD,120,19.41747572815534,618,0.1691260180401086
260,@P>,@ADVL,@OBJ->@P>,119,2.135295173156289,5573,1.525144496015413
147,@FMV,root,@SUBJ->@FMV,118,1.1903560980530616,9913,2.712857956038182
46,@ADVL,root,@<KN->@ADVL,117,0.3532395386752008,33122,9.064388300201419
452,@ADVL,@AN>,@DN>->@ADVL,117,2.1751254880089235,5379,1.4720531570190034
890,@<P,@ADVL,@NN>->@<P,116,8.055555555555555,1440,0.3940800420352045
725,@<NN,@<NN,@NN>->@<NN,116,7.3232323232323235,1584,0.43348804623872494
412,@ADVL,@SUBJ,@<NN->@ADVL,115,4.933504933504933,2331,0.6379170680444872
415,@ADVL,@SUBJ,@NN>->@ADVL,114,4.89060489060489,2331,0.6379170680444872
642,@PRD,@PRD,@SUBJ->@PRD,113,18.284789644012946,618,0.1691260180401086
522,@<Q,@OBJ,@OBJ->@<Q,112,14.736842105263156,760,0.20798668885191346
35,@ADVL,root,@P>->@ADVL,111,0.33512469053801097,33122,9.064388300201419
631,@PRD,root,@NN>->@PRD,111,3.0204081632653064,3675,1.0057251072773448
211,@FMV,@FMV,root->@FMV,109,3.1089560752994867,3506,0.9594754356773798
503,@NN>,@NN>,@OBJ->@NN>,108,1.1937658892450536,9047,2.4758625974253436
877,@OBJ,@OBJ,@AN>->@OBJ,106,3.955223880597015,2680,0.7334267448988528
95,@OBJ,root,@<NN->@OBJ,106,1.2224656902318072,8671,2.3729639197828183
155,@FMV,root,@OBJ->@FMV,106,1.069302935539191,9913,2.712857956038182
1356,@AN>,root,@NN>->@AN>,105,21.25506072874494,494,0.13519134775374378
416,@ADVL,@SUBJ,@DN>->@ADVL,103,4.418704418704419,2331,0.6379170680444872
