,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
242,obl,root,nmod->obl,1080,5.655338534848405,19097,4.694479064496543
23,nmod,obl,obl->nmod,839,8.608659963061768,9746,2.3957895461372622
355,nmod,obj,obl->nmod,810,13.31798750411049,6082,1.4950946049257985
76,nsubj,root,obj->nsubj,576,3.9183673469387754,14700,3.6135959704717586
443,nmod,nsubj,obl->nmod,510,8.768913342503438,5816,1.4297057254601189
56,acl,obl,amod->acl,493,27.480490523968786,1794,0.441006202110635
238,obl,root,obj->obl,488,2.5553751898203907,19097,4.694479064496543
829,obj,root,nsubj->obj,439,4.989770402364173,8798,2.1627494794701043
830,obj,root,nmod->obj,407,4.626051375312571,8798,2.1627494794701043
549,nsubj:cop,root,root->nsubj:cop,395,7.0523120871273,5601,1.3768538116062803
99,nmod,conj,conj->nmod,389,13.833570412517782,2812,0.6912538686371826
814,acl,obj,amod->acl,382,26.09289617486339,1464,0.35988465991637103
872,acl,nmod,amod->acl,377,27.16138328530259,1388,0.3412021229261769
240,obl,root,root->obl,360,1.8851128449494685,19097,4.694479064496543
116,conj,nmod,nmod->conj,347,16.291079812206572,2130,0.5236026814357038
828,obj,root,obl->obj,343,3.8986133212093654,8798,2.1627494794701043
759,conj,root,root->conj,337,4.680555555555556,7200,1.7699245569657593
72,nsubj,root,nmod->nsubj,302,2.054421768707483,14700,3.6135959704717586
1193,acl,nsubj,amod->acl,295,21.485797523670794,1373,0.33751478009916497
885,obl,acl,nmod->obl,287,8.048233314638251,3566,0.876604301408319
24,nmod,obl,obj->nmod,258,2.6472398932895547,9746,2.3957895461372622
377,advcl,root,conj->advcl,245,5.326086956521739,4600,1.130785133617013
940,obl,conj,nmod->obl,244,5.425839448521237,4497,1.1054653795381972
247,obl,root,nsubj->obl,235,1.2305597737864586,19097,4.694479064496543
221,parataxis,root,root->parataxis,230,6.595927731574419,3487,0.8571842958527226
378,advcl,root,root->advcl,229,4.978260869565218,4600,1.130785133617013
524,nmod,nmod,obl->nmod,207,2.9208409764357275,7087,1.7421465743356024
100,nmod,conj,obl->nmod,205,7.290184921763869,2812,0.6912538686371826
218,parataxis,root,conj->parataxis,204,5.85030111843992,3487,0.8571842958527226
487,xcomp,root,obl->xcomp,199,7.28670816550714,2731,0.6713422173713178
996,conj,obl,obl->conj,196,9.52843947496354,2057,0.505657613010912
359,nmod,obj,obj->nmod,195,3.206182176915488,6082,1.4950946049257985
195,nsubj,conj,obj->nsubj,194,7.026439695762404,2761,0.6787169030253418
1345,obl,amod,nmod->obl,194,28.197674418604652,688,0.16912612433228366
902,amod,obl,acl->amod,173,3.054917888045206,5663,1.3920948286245964
848,amod,nmod,acl->amod,166,3.904963537991061,4251,1.0449929571752004
241,obl,root,conj->obl,162,0.8483007802272609,19097,4.694479064496543
1059,obj,conj,nsubj->obj,159,5.172413793103448,3074,0.7556594566823256
