,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
207,obl,root,nmod->obl,1284,6.723569146986437,19097,4.69466371339861
268,nsubj:cop,root,root->nsubj:cop,657,11.732142857142858,5600,1.376662135153805
1059,advcl,root,conj->advcl,645,14.021739130434781,4600,1.130829611019197
655,nmod,obj,obl->nmod,637,10.473528444590595,6082,1.4951534117866863
32,nmod,obl,obl->nmod,622,6.382105479170942,9746,2.39588378021589
113,nsubj,root,obj->nsubj,606,4.122448979591837,14700,3.6137381047787382
204,obl,root,root->obl,532,2.78577787086977,19097,4.69466371339861
439,conj,root,advcl->conj,523,7.263888888888889,7200,1.769994173769178
1058,advcl,root,root->advcl,516,11.217391304347826,4600,1.130829611019197
677,obj,root,nmod->obj,511,5.808138213230279,8798,2.1628345473362818
166,nmod,conj,conj->nmod,507,18.029871977240397,2812,0.6912810578665178
215,obl,root,obj->obl,454,2.3773367544640522,19097,4.69466371339861
589,nmod,nsubj,obl->nmod,445,7.651306740027511,5816,1.4297619603668805
675,obj,root,nsubj->obj,441,5.012502841554898,8798,2.1628345473362818
407,parataxis,root,conj->parataxis,434,12.44622885001434,3487,0.8572180116573782
435,conj,root,ccomp->conj,371,5.152777777777778,7200,1.769994173769178
674,obj,root,obl->obj,341,3.8758808820186403,8798,2.1628345473362818
187,conj,nmod,nmod->conj,328,15.39906103286385,2130,0.5236232764067152
108,nsubj,root,nmod->nsubj,321,2.183673469387755,14700,3.6137381047787382
434,conj,root,acl:relcl->conj,303,4.208333333333333,7200,1.769994173769178
1061,advcl,root,acl:relcl->advcl,286,6.217391304347826,4600,1.130829611019197
1446,obl,conj,nmod->obl,279,6.204136090727151,4497,1.1055088610333326
70,acl,obl,amod->acl,255,14.214046822742473,1794,0.44102354829748686
1255,obl,acl,nmod->obl,248,6.954570947840717,3566,0.8766387810640123
438,conj,root,root->conj,227,3.152777777777778,7200,1.769994173769178
212,obl,root,nsubj->obl,226,1.183431952662722,19097,4.69466371339861
437,conj,root,parataxis->conj,219,3.041666666666667,7200,1.769994173769178
977,advmod,root,root->advmod,219,1.6816401750748677,13023,3.2014769618050005
1227,acl,obj,amod->acl,216,14.754098360655737,1464,0.3598988153330662
1315,acl,nmod,amod->acl,214,15.417867435158502,1388,0.341215543498836
411,parataxis,root,root->parataxis,208,5.965012905075997,3487,0.8572180116573782
1206,advcl,conj,conj->advcl,205,22.752497225305216,901,0.22149510424528188
717,obl,advcl,nmod->obl,204,6.286594761171033,3245,0.7977265408168032
85,conj,obl,obl->conj,201,9.771511910549343,2057,0.5056775021448888
304,obl,acl:relcl,nmod->obl,184,6.865671641791045,2680,0.6588311646807496
