,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
147,obl,root,nmod->obl,1919,10.048698748494528,19097,4.694479064496543
150,obl,root,nsubj->obl,1383,7.241975179347541,19097,4.694479064496543
151,obl,root,obj->obl,1324,6.9330261297586,19097,4.694479064496543
13,nsubj,root,obl->nsubj,1024,6.965986394557823,14700,3.6135959704717586
814,obj,root,obl->obj,923,10.491020686519665,8798,2.1627494794701043
390,nsubj:cop,root,root->nsubj:cop,899,16.050705231208713,5601,1.3768538116062803
14,nsubj,root,nmod->nsubj,841,5.72108843537415,14700,3.6135959704717586
18,nsubj,root,obj->nsubj,837,5.6938775510204085,14700,3.6135959704717586
815,obj,root,nmod->obj,815,9.263468970220504,8798,2.1627494794701043
172,nmod,conj,conj->nmod,741,26.351351351351347,2812,0.6912538686371826
284,nmod,obl,obl->nmod,678,6.956700184691156,9746,2.3957895461372622
813,obj,root,nsubj->obj,661,7.513071152534668,8798,2.1627494794701043
769,advcl,root,conj->advcl,638,13.869565217391305,4600,1.130785133617013
457,conj,root,advcl->conj,618,8.583333333333334,7200,1.7699245569657593
767,advcl,root,root->advcl,513,11.152173913043478,4600,1.130785133617013
148,obl,root,root->obl,496,2.597266586374823,19097,4.694479064496543
747,obl,conj,obj->obl,495,11.007338225483656,4497,1.1054653795381972
152,obl,root,nsubj:cop->obl,485,2.5396659161124786,19097,4.694479064496543
678,nmod,obj,obl->nmod,469,7.711279184478789,6082,1.4950946049257985
413,parataxis,root,conj->parataxis,451,12.933753943217665,3487,0.8571842958527226
607,nmod,nsubj,nsubj->nmod,430,7.393397524071527,5816,1.4297057254601189
679,nmod,obj,obj->nmod,404,6.642551792173627,6082,1.4950946049257985
395,nsubj:cop,root,nmod->nsubj:cop,391,6.980896268523478,5601,1.3768538116062803
1299,obl,acl,nmod->obl,389,10.908581043185642,3566,0.876604301408319
748,obl,conj,nmod->obl,382,8.49455192350456,4497,1.1054653795381972
608,nmod,nsubj,obl->nmod,358,6.155433287482806,5816,1.4297057254601189
463,conj,root,acl:relcl->conj,329,4.569444444444445,7200,1.7699245569657593
193,conj,nmod,nmod->conj,322,15.11737089201878,2130,0.5236026814357038
71,obl,advcl,obj->obl,294,9.060092449922958,3245,0.7976951649102624
72,obl,advcl,nmod->obl,288,8.875192604006163,3245,0.7976951649102624
775,advcl,root,acl:relcl->advcl,287,6.239130434782609,4600,1.130785133617013
92,acl,obl,amod->acl,279,15.551839464882944,1794,0.441006202110635
957,obj,conj,obl->obj,260,8.458035133376708,3074,0.7556594566823256
458,conj,root,ccomp->conj,254,3.5277777777777777,7200,1.7699245569657593
749,obl,conj,nsubj->obl,251,5.58149877696242,4497,1.1054653795381972
359,obl,acl:relcl,nmod->obl,245,9.138381201044385,2681,0.6590510746146112
452,conj,root,parataxis->conj,242,3.361111111111111,7200,1.7699245569657593
1137,advmod,root,root->advmod,236,1.812178453505337,13023,3.2013510424118174
356,obl,acl:relcl,obj->obl,235,8.76538604998135,2681,0.6590510746146112
1381,acl,nmod,amod->acl,235,16.930835734870318,1388,0.3412021229261769
462,conj,root,root->conj,235,3.2638888888888893,7200,1.7699245569657593
342,nmod,root,root->nmod,234,9.978678038379531,2345,0.5764545952895425
1963,obl,xcomp,obj->obl,234,16.560509554140125,1413,0.3473476943045303
734,obj,acl,nmod->obj,227,18.79139072847682,1208,0.29695400900203295
1264,acl,obj,amod->acl,224,15.300546448087433,1464,0.35988465991637103
1245,advcl,conj,conj->advcl,224,24.861265260821312,901,0.22148639247585405
267,obj,advcl,obl->obj,221,10.240963855421686,2158,0.5304857213794595
325,nsubj,conj,obj->nsubj,208,7.533502354219486,2761,0.6787169030253418
733,obj,acl,obl->obj,204,16.887417218543046,1208,0.29695400900203295
391,nsubj:cop,root,obl->nsubj:cop,202,3.606498839492948,5601,1.3768538116062803
752,obl,conj,conj->obl,201,4.469646430953969,4497,1.1054653795381972
326,nsubj,conj,obl->nsubj,201,7.279971024990946,2761,0.6787169030253418
417,parataxis,root,root->parataxis,198,5.678233438485805,3487,0.8571842958527226
74,obl,advcl,nsubj->obl,194,5.978428351309708,3245,0.7976951649102624
1524,acl,nsubj,amod->acl,193,14.056809905316825,1373,0.33751478009916497
419,parataxis,root,advcl->parataxis,191,5.47748781187267,3487,0.8571842958527226
958,obj,conj,nmod->obj,188,6.115810019518542,3074,0.7556594566823256
530,nsubj:cop,conj,conj->nsubj:cop,179,15.484429065743946,1156,0.28417122053505806
935,xcomp,root,obl->xcomp,177,6.481142438667155,2731,0.6713422173713178
772,advcl,root,xcomp->advcl,175,3.804347826086957,4600,1.130785133617013
1002,obj,xcomp,obl->obj,174,9.808342728297632,1774,0.4360897450079524
290,nmod,obl,obj->nmod,167,1.7135234968192077,9746,2.3957895461372622
37,obl,ccomp,nmod->obl,166,10.835509138381202,1532,0.37660061406549217
17,nsubj,root,root->nsubj,164,1.1156462585034013,14700,3.6135959704717586
839,nmod,nsubj:cop,nsubj:cop->nmod,160,5.824535857298872,2747,0.675275383053464
110,conj,obl,obl->conj,160,7.778317938745746,2057,0.505657613010912
956,obj,conj,nsubj->obj,158,5.139882888744307,3074,0.7556594566823256
657,cop,root,aux->cop,157,2.4908773599873077,6303,1.5494214559104418
268,obj,advcl,nmod->obj,157,7.275254865616311,2158,0.5304857213794595
286,nmod,obl,nsubj->nmod,155,1.5903960599220193,9746,2.3957895461372622
305,nmod,nmod,obl->nmod,154,2.1729928037251307,7087,1.7421465743356024
149,obl,root,conj->obl,154,0.8064093836728282,19097,4.694479064496543
1726,appos,nmod,nmod->appos,154,22.814814814814817,675,0.16593042721553994
465,conj,root,nmod->conj,153,2.125,7200,1.7699245569657593
509,conj,parataxis,parataxis->conj,150,10.026737967914439,1496,0.36775099128066335
1296,obl,acl,obj->obl,143,4.010095344924284,3566,0.876604301408319
414,parataxis,root,acl:relcl->parataxis,142,4.072268425580729,3487,0.8571842958527226
