,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
195,obl,root,nmod->obl,1106,5.791485573650312,19097,4.694479064496543
82,nmod,obl,obl->nmod,884,9.070387851426226,9746,2.3957895461372622
328,nmod,obj,obl->nmod,856,14.074317658664912,6082,1.4950946049257985
59,nsubj,root,obj->nsubj,611,4.156462585034014,14700,3.6135959704717586
424,nmod,nsubj,obl->nmod,571,9.81774415405777,5816,1.4297057254601189
192,obl,root,obj->obl,498,2.6077394355134316,19097,4.694479064496543
41,acl,obl,amod->acl,483,26.923076923076923,1794,0.441006202110635
807,obj,root,nsubj->obj,481,5.467151625369402,8798,2.1627494794701043
162,nsubj:cop,root,root->nsubj:cop,453,8.0878414568827,5601,1.3768538116062803
293,xcomp,root,obl->xcomp,442,16.18454778469425,2731,0.6713422173713178
808,obj,root,nmod->obj,423,4.807910888838372,8798,2.1627494794701043
99,nmod,conj,conj->nmod,402,14.295874822190612,2812,0.6912538686371826
982,acl,obj,amod->acl,392,26.775956284153008,1464,0.35988465991637103
194,obl,root,root->obl,373,1.9531863643504215,19097,4.694479064496543
633,acl,nmod,amod->acl,372,26.801152737752158,1388,0.3412021229261769
806,obj,root,obl->obj,347,3.944078199590816,8798,2.1627494794701043
114,conj,nmod,nmod->conj,343,16.103286384976524,2130,0.5236026814357038
744,conj,root,root->conj,321,4.458333333333334,7200,1.7699245569657593
858,obl,acl,nmod->obl,287,8.048233314638251,3566,0.876604301408319
1132,acl,nsubj,amod->acl,281,20.46613255644574,1373,0.33751478009916497
56,nsubj,root,nmod->nsubj,277,1.8843537414965985,14700,3.6135959704717586
85,nmod,obl,obj->nmod,251,2.575415555099528,9746,2.3957895461372622
404,obl,conj,nmod->obl,247,5.492550589281743,4497,1.1054653795381972
200,obl,root,nsubj->obl,240,1.256741896632979,19097,4.694479064496543
591,parataxis,root,root->parataxis,236,6.767995411528535,3487,0.8571842958527226
823,advcl,root,conj->advcl,235,5.108695652173913,4600,1.130785133617013
489,nmod,nmod,obl->nmod,226,3.1889374911810355,7087,1.7421465743356024
830,advcl,root,root->advcl,222,4.826086956521739,4600,1.130785133617013
594,parataxis,root,conj->parataxis,202,5.792945225121882,3487,0.8571842958527226
180,nsubj,conj,obj->nsubj,197,7.135095979717494,2761,0.6787169030253418
366,obl,advcl,nmod->obl,192,5.916795069337442,3245,0.7976951649102624
963,conj,obl,obl->conj,186,9.04229460379193,2057,0.505657613010912
100,nmod,conj,obl->nmod,185,6.578947368421052,2812,0.6912538686371826
827,advcl,root,xcomp->advcl,185,4.021739130434782,4600,1.130785133617013
507,amod,nmod,acl->amod,182,4.281345565749235,4251,1.0449929571752004
