,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
132,obl,root,nmod->obl,987,5.168351049903126,19097,4.694479064496543
36,nmod,obl,obl->nmod,808,8.290580751077366,9746,2.3957895461372622
453,nmod,obj,obl->nmod,802,13.186451825057546,6082,1.4950946049257985
323,nmod,nsubj,obl->nmod,498,8.562585969738652,5816,1.4297057254601189
340,nsubj:cop,root,root->nsubj:cop,409,7.302267452240671,5601,1.3768538116062803
710,obj,root,nmod->obj,380,4.3191634462377815,8798,2.1627494794701043
84,nsubj,root,obj->nsubj,365,2.4829931972789114,14700,3.6135959704717586
105,nmod,conj,conj->nmod,333,11.842105263157894,2812,0.6912538686371826
134,obl,root,root->obl,315,1.649473739330785,19097,4.694479064496543
668,conj,root,root->conj,297,4.125,7200,1.7699245569657593
120,conj,nmod,nmod->conj,296,13.896713615023474,2130,0.5236026814357038
711,obj,root,nsubj->obj,270,3.0688792907478972,8798,2.1627494794701043
133,obl,root,obj->obl,253,1.324815416033932,19097,4.694479064496543
431,nmod,nmod,obl->nmod,217,3.0619444052490477,7087,1.7421465743356024
201,parataxis,root,root->parataxis,213,6.108402638371093,3487,0.8571842958527226
395,xcomp,root,obl->xcomp,208,7.616257781032589,2731,0.6713422173713178
851,obl,conj,nmod->obl,208,4.625305759395152,4497,1.1054653795381972
803,obl,amod,nmod->obl,200,29.069767441860467,688,0.16912612433228366
1068,obl,acl,nmod->obl,191,5.35614133482894,3566,0.876604301408319
199,parataxis,root,conj->parataxis,187,5.3627760252365935,3487,0.8571842958527226
38,nmod,obl,obj->nmod,184,1.8879540324235582,9746,2.3957895461372622
911,conj,obl,obl->conj,182,8.847836655323286,2057,0.505657613010912
755,advcl,root,conj->advcl,178,3.869565217391304,4600,1.130785133617013
748,advcl,root,root->advcl,170,3.6956521739130435,4600,1.130785133617013
106,nmod,conj,obl->nmod,162,5.761024182076813,2812,0.6912538686371826
140,obl,root,xcomp->obl,160,0.8378279310886527,19097,4.694479064496543
1048,nmod,root,obl->nmod,150,6.396588486140725,2345,0.5764545952895425
1241,appos,nmod,nmod->appos,149,22.074074074074073,675,0.16593042721553994
306,obl,advcl,nmod->obl,148,4.560862865947612,3245,0.7976951649102624
494,orphan,conj,advmod->orphan,144,30.252100840336134,476,0.11701167904384742
753,advcl,root,acl:relcl->advcl,142,3.0869565217391304,4600,1.130785133617013
1283,obl,acl:relcl,nmod->obl,140,5.221932114882506,2681,0.6590510746146112
714,obj,root,obl->obj,140,1.5912707433507616,8798,2.1627494794701043
1621,compound:prt,root,advmod->compound:prt,138,7.796610169491526,1770,0.43510645358741584
849,obl,conj,conj->obl,137,3.0464754280631534,4497,1.1054653795381972
795,conj,amod,amod->conj,135,14.331210191082802,942,0.2315651295363535
604,advmod,root,compound:prt->advmod,133,1.0212700606619058,13023,3.2013510424118174
651,nmod,nsubj:cop,obl->nmod,132,4.805242082271569,2747,0.675275383053464
