,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
222,obl,root,nmod->obl,1180,6.178980991778813,19097,4.694479064496543
732,advcl,root,conj->advcl,659,14.326086956521738,4600,1.130785133617013
270,nsubj:cop,root,root->nsubj:cop,657,11.730048205677559,5601,1.3768538116062803
912,nmod,obj,obl->nmod,648,10.654390003288391,6082,1.4950946049257985
30,nmod,obl,obl->nmod,646,6.628360352965319,9746,2.3957895461372622
220,obl,root,root->obl,530,2.7753050217311617,19097,4.694479064496543
358,conj,root,advcl->conj,486,6.75,7200,1.7699245569657593
326,parataxis,root,conj->parataxis,480,13.765414396329223,3487,0.8571842958527226
130,nsubj,root,obj->nsubj,450,3.061224489795918,14700,3.6135959704717586
731,advcl,root,root->advcl,449,9.76086956521739,4600,1.130785133617013
586,obj,root,nmod->obj,431,4.898840645601274,8798,2.1627494794701043
183,nmod,conj,conj->nmod,429,15.256045519203415,2812,0.6912538686371826
563,nmod,nsubj,obl->nmod,424,7.290233837689134,5816,1.4297057254601189
354,conj,root,ccomp->conj,359,4.986111111111112,7200,1.7699245569657593
203,conj,nmod,nmod->conj,315,14.788732394366196,2130,0.5236026814357038
353,conj,root,acl:relcl->conj,304,4.222222222222222,7200,1.7699245569657593
231,obl,root,obj->obl,294,1.5395088233753993,19097,4.694479064496543
740,advcl,root,acl:relcl->advcl,283,6.152173913043478,4600,1.130785133617013
1126,obl,conj,nmod->obl,258,5.737158105403602,4497,1.1054653795381972
583,obj,root,nsubj->obj,253,2.875653557626733,8798,2.1627494794701043
359,conj,root,parataxis->conj,252,3.5000000000000004,7200,1.7699245569657593
890,advmod,root,root->advmod,216,1.65860400829302,13023,3.2013510424118174
106,conj,obl,obl->conj,209,10.16042780748663,2057,0.505657613010912
360,conj,root,root->conj,206,2.861111111111111,7200,1.7699245569657593
1089,obl,acl,nmod->obl,203,5.692652832305104,3566,0.876604301408319
739,advcl,root,ccomp->advcl,200,4.3478260869565215,4600,1.130785133617013
435,nsubj:cop,conj,conj->nsubj:cop,197,17.041522491349482,1156,0.28417122053505806
331,parataxis,root,root->parataxis,193,5.534843705190708,3487,0.8571842958527226
1163,obl,advcl,nmod->obl,192,5.916795069337442,3245,0.7976951649102624
1130,obl,conj,conj->obl,176,3.9137202579497448,4497,1.1054653795381972
1014,advcl,conj,conj->advcl,173,19.20088790233074,901,0.22148639247585405
1338,aux,root,cop->aux,171,2.5834718235382987,6619,1.6271014781328281
