,arcA,arcB,e1,error_support_count,error_support,correct_arc_support_count,correct_arc_support
83,obl,root,nmod->obl,1054,5.519191496046499,19097,4.694479064496543
272,nmod,obj,obl->nmod,904,14.86353173298257,6082,1.4950946049257985
145,nmod,obl,obl->nmod,888,9.111430330391954,9746,2.3957895461372622
355,nmod,nsubj,obl->nmod,506,8.700137551581843,5816,1.4297057254601189
241,xcomp,root,obl->xcomp,448,16.404247528377883,2731,0.6713422173713178
32,nsubj,root,obj->nsubj,440,2.9931972789115644,14700,3.6135959704717586
324,nsubj:cop,root,root->nsubj:cop,384,6.8559185859667915,5601,1.3768538116062803
84,obl,root,root->obl,374,1.9584227889197257,19097,4.694479064496543
1085,obj,root,nmod->obj,366,4.160036371902706,8798,2.1627494794701043
52,nmod,conj,conj->nmod,315,11.201991465149359,2812,0.6912538686371826
637,conj,root,root->conj,298,4.138888888888889,7200,1.7699245569657593
68,conj,nmod,nmod->conj,286,13.427230046948358,2130,0.5236026814357038
1081,obj,root,nsubj->obj,252,2.8642873380313705,8798,2.1627494794701043
92,obl,root,obj->obl,242,1.2672147457715872,19097,4.694479064496543
406,nmod,nmod,obl->nmod,242,3.414702977282348,7087,1.7421465743356024
499,parataxis,root,root->parataxis,227,6.509893891597361,3487,0.8571842958527226
845,conj,obl,obl->conj,205,9.965969859017987,2057,0.505657613010912
424,advcl,root,root->advcl,203,4.413043478260869,4600,1.130785133617013
1244,obl,amod,nmod->obl,202,29.360465116279073,688,0.16912612433228366
1048,obl,acl,nmod->obl,201,5.6365675827257435,3566,0.876604301408319
797,obl,conj,nmod->obl,199,4.425172337113632,4497,1.1054653795381972
498,parataxis,root,conj->parataxis,192,5.506165758531689,3487,0.8571842958527226
423,advcl,root,conj->advcl,187,4.065217391304348,4600,1.130785133617013
53,nmod,conj,obl->nmod,177,6.294452347083926,2812,0.6912538686371826
295,obl,advcl,nmod->obl,169,5.2080123266563945,3245,0.7976951649102624
764,obl,acl:relcl,nmod->obl,165,6.154419992540097,2681,0.6590510746146112
144,nmod,obl,obj->nmod,158,1.6211779191463165,9746,2.3957895461372622
687,nmod,root,obl->nmod,157,6.6950959488272925,2345,0.5764545952895425
798,obl,conj,conj->obl,150,3.3355570380253505,4497,1.1054653795381972
428,advcl,root,acl:relcl->advcl,149,3.239130434782609,4600,1.130785133617013
1230,appos,nmod,nmod->appos,148,21.925925925925927,675,0.16593042721553994
