Column1,collection,morph,experiment,model,source,split,LAS
0,edt,gm,1,udpipe,train,0,0.909
1,edt,gm,1,udpipe,test,0,0.842
2,edt,gm,1,udpipe,train,1,0.9118
3,edt,gm,1,udpipe,test,1,0.8498
4,edt,gm,1,udpipe,train,2,0.907
5,edt,gm,1,udpipe,test,2,0.8543
6,edt,gm,1,udpipe,train,3,0.9046
7,edt,gm,1,udpipe,test,3,0.8464
8,edt,gm,1,udpipe,train,4,0.9127
9,edt,gm,1,udpipe,test,4,0.8462
10,edt,gm,1,udpipe,train,5,0.9145
11,edt,gm,1,udpipe,test,5,0.8499
12,edt,gm,1,udpipe,train,6,0.9096
13,edt,gm,1,udpipe,test,6,0.8461
14,edt,gm,1,udpipe,train,7,0.9061
15,edt,gm,1,udpipe,test,7,0.8396
16,edt,gm,1,udpipe,train,8,0.909
17,edt,gm,1,udpipe,test,8,0.8469
18,edt,gm,1,udpipe,train,9,0.9082
19,edt,gm,1,udpipe,test,9,0.8509
20,est_ud,gm,1,udpipe,train,0,0.9079
21,est_ud,gm,1,udpipe,test,0,0.8423
22,est_ud,gm,1,udpipe,train,1,0.9045
23,est_ud,gm,1,udpipe,test,1,0.8392
24,est_ud,gm,1,udpipe,train,2,0.9063
25,est_ud,gm,1,udpipe,test,2,0.844
26,est_ud,gm,1,udpipe,train,3,0.9036
27,est_ud,gm,1,udpipe,test,3,0.8402
28,est_ud,gm,1,udpipe,train,4,0.9075
29,est_ud,gm,1,udpipe,test,4,0.84
30,est_ud,gm,1,udpipe,train,5,0.8975
31,est_ud,gm,1,udpipe,test,5,0.8356
32,est_ud,gm,1,udpipe,train,6,0.9047
33,est_ud,gm,1,udpipe,test,6,0.8444
34,est_ud,gm,1,udpipe,train,7,0.9014
35,est_ud,gm,1,udpipe,test,7,0.8335
36,est_ud,gm,1,udpipe,train,8,0.9082
37,est_ud,gm,1,udpipe,test,8,0.8437
38,est_ud,gm,1,udpipe,train,9,0.9048
39,est_ud,gm,1,udpipe,test,9,0.8436
40,edt,gm,1,malt,train,0,0.952
41,edt,gm,1,malt,test,0,0.846
42,edt,gm,1,malt,train,1,0.952
43,edt,gm,1,malt,test,1,0.857
44,edt,gm,1,malt,train,2,0.951
45,edt,gm,1,malt,test,2,0.861
46,edt,gm,1,malt,train,3,0.952
47,edt,gm,1,malt,test,3,0.855
48,edt,gm,1,malt,train,4,0.952
49,edt,gm,1,malt,test,4,0.846
50,edt,gm,1,malt,train,5,0.952
51,edt,gm,1,malt,test,5,0.849
52,edt,gm,1,malt,train,6,0.952
53,edt,gm,1,malt,test,6,0.853
54,edt,gm,1,malt,train,7,0.951
55,edt,gm,1,malt,test,7,0.848
56,edt,gm,1,malt,train,8,0.951
57,edt,gm,1,malt,test,8,0.854
58,edt,gm,1,malt,train,9,0.951
59,edt,gm,1,malt,test,9,0.855
60,est_ud,gm,1,malt,train,0,0.934
61,est_ud,gm,1,malt,test,0,0.814
62,est_ud,gm,1,malt,train,1,0.935
63,est_ud,gm,1,malt,test,1,0.814
64,est_ud,gm,1,malt,train,2,0.934
65,est_ud,gm,1,malt,test,2,0.816
66,est_ud,gm,1,malt,train,3,0.934
67,est_ud,gm,1,malt,test,3,0.816
68,est_ud,gm,1,malt,train,4,0.933
69,est_ud,gm,1,malt,test,4,0.813
70,est_ud,gm,1,malt,train,5,0.933
71,est_ud,gm,1,malt,test,5,0.819
72,est_ud,gm,1,malt,train,6,0.934
73,est_ud,gm,1,malt,test,6,0.815
74,est_ud,gm,1,malt,train,7,0.934
75,est_ud,gm,1,malt,test,7,0.811
76,est_ud,gm,1,malt,train,8,0.934
77,est_ud,gm,1,malt,test,8,0.814
78,est_ud,gm,1,malt,train,9,0.935
79,est_ud,gm,1,malt,test,9,0.813
80,edt,am,1,udpipe,train,0,0.9038
81,edt,am,1,udpipe,test,0,0.838
82,edt,am,1,udpipe,train,1,0.9056
83,edt,am,1,udpipe,test,1,0.8589
84,edt,am,1,udpipe,train,2,0.9056
85,edt,am,1,udpipe,test,2,0.8424
86,edt,am,1,udpipe,train,3,0.8983
87,edt,am,1,udpipe,test,3,0.8398
88,edt,am,1,udpipe,train,4,0.9074
89,edt,am,1,udpipe,test,4,0.8351
90,edt,am,1,udpipe,train,5,0.9059
91,edt,am,1,udpipe,test,5,0.8467
92,edt,am,1,udpipe,train,6,0.9083
93,edt,am,1,udpipe,test,6,0.8424
94,edt,am,1,udpipe,train,7,0.9079
95,edt,am,1,udpipe,test,7,0.845
96,edt,am,1,udpipe,train,8,0.9088
97,edt,am,1,udpipe,test,8,0.8344
98,edt,am,1,udpipe,train,9,0.9084
99,edt,am,1,udpipe,test,9,0.8423
100,est_ud,am,1,udpipe,train,0,0.8867
101,est_ud,am,1,udpipe,test,0,0.8159
102,est_ud,am,1,udpipe,train,1,0.8887
103,est_ud,am,1,udpipe,test,1,0.818
104,est_ud,am,1,udpipe,train,2,0.8887
105,est_ud,am,1,udpipe,test,2,0.8216
106,est_ud,am,1,udpipe,train,3,0.8861
107,est_ud,am,1,udpipe,test,3,0.8227
108,est_ud,am,1,udpipe,train,4,0.8841
109,est_ud,am,1,udpipe,test,4,0.8114
110,est_ud,am,1,udpipe,train,5,0.887
111,est_ud,am,1,udpipe,test,5,0.821
112,est_ud,am,1,udpipe,train,6,0.8895
113,est_ud,am,1,udpipe,test,6,0.8219
114,est_ud,am,1,udpipe,train,7,0.8868
115,est_ud,am,1,udpipe,test,7,0.8278
116,est_ud,am,1,udpipe,train,8,0.8862
117,est_ud,am,1,udpipe,test,8,0.8195
118,est_ud,am,1,udpipe,train,9,0.8857
119,est_ud,am,1,udpipe,test,9,0.8173
120,edt,am,1,malt,train,0,0.949
121,edt,am,1,malt,test,0,0.84
122,edt,am,1,malt,train,1,0.948
123,edt,am,1,malt,test,1,0.857
124,edt,am,1,malt,train,2,0.949
125,edt,am,1,malt,test,2,0.843
126,edt,am,1,malt,train,3,0.949
127,edt,am,1,malt,test,3,0.846
128,edt,am,1,malt,train,4,0.949
129,edt,am,1,malt,test,4,0.834
130,edt,am,1,malt,train,5,0.949
131,edt,am,1,malt,test,5,0.847
132,edt,am,1,malt,train,6,0.95
133,edt,am,1,malt,test,6,0.838
134,edt,am,1,malt,train,7,0.949
135,edt,am,1,malt,test,7,0.841
136,edt,am,1,malt,train,8,0.949
137,edt,am,1,malt,test,8,0.834
138,edt,am,1,malt,train,9,0.949
139,edt,am,1,malt,test,9,0.842
140,est_ud,am,1,malt,train,0,0.932
141,est_ud,am,1,malt,test,0,0.796
142,est_ud,am,1,malt,train,1,0.932
143,est_ud,am,1,malt,test,1,0.799
144,est_ud,am,1,malt,train,2,0.932
145,est_ud,am,1,malt,test,2,0.799
146,est_ud,am,1,malt,train,3,0.932
147,est_ud,am,1,malt,test,3,0.799
148,est_ud,am,1,malt,train,4,0.932
149,est_ud,am,1,malt,test,4,0.796
150,est_ud,am,1,malt,train,5,0.931
151,est_ud,am,1,malt,test,5,0.803
152,est_ud,am,1,malt,train,6,0.932
153,est_ud,am,1,malt,test,6,0.798
154,est_ud,am,1,malt,train,7,0.932
155,est_ud,am,1,malt,test,7,0.804
156,est_ud,am,1,malt,train,8,0.932
157,est_ud,am,1,malt,test,8,0.8
158,est_ud,am,1,malt,train,9,0.931
159,est_ud,am,1,malt,test,9,0.803
160,edt,gm,2,udpipe,train,0,0.9098
161,edt,gm,2,udpipe,test,0,0.8414
162,edt,gm,2,udpipe,train,1,0.9095
163,edt,gm,2,udpipe,test,1,0.847
164,edt,gm,2,udpipe,train,2,0.9121
165,edt,gm,2,udpipe,test,2,0.8458
166,edt,gm,2,udpipe,train,3,0.9073
167,edt,gm,2,udpipe,test,3,0.8528
168,edt,gm,2,udpipe,train,4,0.9106
169,edt,gm,2,udpipe,test,4,0.858
170,edt,gm,2,udpipe,train,5,0.9129
171,edt,gm,2,udpipe,test,5,0.8514
172,edt,gm,2,udpipe,train,6,0.9142
173,edt,gm,2,udpipe,test,6,0.8445
174,edt,gm,2,udpipe,train,7,0.9115
175,edt,gm,2,udpipe,test,7,0.8591
