entity_root,count
Eesti,6172
Tallinn,2932
algus,1894
mis,1850
lõpp,1728
see,1666
riik,1542
kodu,1535
maailm,1534
mõte,1389
silm,1336
lõige,1320
kool,1187
Tartu,1181
tulevik,1130
linn,1129
keel,1075
artikkel,1014
vald,873
kord,869
ulatus,849
osa,819
elu,796
Soome,772
Euroopa,712
maja,680
aasta,663
mäng,639
kokkuvõte,609
seadus,607
jaanuar,598
USA,583
piirkond,568
olukord,564
september,558
punkt,557
küsimus,538
saal,525
koostöö,524
Moskva,520
oktoober,508
küla,507
detsember,498
august,495
koht,486
huvi,483
märts,480
veebruar,473
suund,472
ühiskond,467
aprill,464
november,461
finaal,450
kohus,449
liikmesriik,418
kohtumine,418
juuni,414
Rootsi,409
kvartal,409
tingimus,407
juuli,403
ajakirjandus,398
ülikool,397
film,396
voor,395
haigla,387
lisa,378
asi,367
maa,349
valdkond,348
riigikogu,344
ruum,343
intervjuu,342
klass,341
pood,340
kesklinn,338
Läti,333
Pärnu,331
pealinn,330
maakond,315
korter,314
ise,311
meel,308
raamat,301
mets,301
töö,296
kiri,295
päev,293
poolfinaal,290
eelnõu,280
London,272
koha,270
kooskõla,270
edetabel,269
auto,269
komisjon,269
tuba,268
määrus,268
Ameerika,259
teater,259
sadam,254
vangla,253
valitsus,252
vesi,251
vorm,251
internet,251
avaldus,250
ajaleht,247
kirik,246
klubi,242
liit,240
järjekord,239
Riigikogu,233
pea,230
nimekiri,229
kuu,229
koosseis,227
leping,226
kontekst,224
keskus,222
Helsingi,221
saade,221
Riia,215
amet,214
mai,214
Narva,212
eelarve,208
Leedu,208
lähedus,208
ajalugu,206
Itaalia,204
hotell,201
Iraak,200
käsi,197
pere,196
tegelikkus,195
parlament,195
liiga,194
ettevõte,194
rand,191
kauplus,191
maht,186
Pariis,186
sõda,183
tabel,183
rida,182
Valga,182
õnnetus,180
õhk,180
ring,179
vanalinn,179
paik,177
Suurbritannia,177
palju,176
olu,175
Haapsalu,175
leht,175
poliitika,173
Hispaania,170
kõne,168
Brüssel,168
sari,167
pank,166
mina,161
projekt,161
tänav,160
firma,160
plaan,160
kino,159
praktika,159
tema,157
hoone,157
osariik,157
Jaapan,156
ühendus,155
stiil,153
seltskond,149
tund,148
valgus,148
vabariik,148
vanus,147
restoran,147
grupp,146
tähendus,144
suhe,141
väärtus,141
voodi,140
perspektiiv,140
eesots,139
meeskond,138
lähitulevik,137
lennujaam,135
uni,134
kogus,134
talu,134
meedia,133
tegevus,133
park,133
tekst,133
volikogu,132
veerandfinaal,132
lõik,131
lõppkokkuvõte,129
Hiina,129
köök,129
arvestus,128
keskkond,127
Viljandi,127
teataja,127
gümnaasium,127
ümbrus,126
selg,126
buss,125
Norra,124
riigieelarve,124
Berliin,123
võitlus,123
tempo,123
Afganistan,123
Taani,122
konkurents,122
mõiste,122
otsus,122
Ülikool,121
arvuti,121
ettekanne,119
Peterburi,118
baar,117
süsteem,117
Poola,115
seis,115
õu,114
tehas,114
miski,113
iga,112
kategooria,112
plahvatus,112
Washington,112
tipp,111
koondis,111
aed,109
kuritegu,109
laager,108
lahing,108
tapmine,108
politsei,107
süda,106
ajakiri,106
lavastus,106
Holland,105
maikuu,105
aeg,105
loodus,105
kelder,104
Austraalia,104
raadio,103
linnaosa,103
jooks,103
Ühendriik,102
Rakvere,102
käsutus,101
lasteaed,101
nurk,101
direktiiv,101
Stockholm,100
roll,99
vaim,99
esitus,99
kokkupõrge,99
dokument,99
programm,98
avaring,97
majandus,96
kohvik,96
geim,96
nõukogu,95
alagrupp,95
kontor,94
valdus,94
rool,94
mägi,93
nädal,93
peatükk,93
Ukraina,92
tasku,92
üks,92
naabrus,92
muuseum,92
meistriliiga,92
menetlus,91
kabinet,90
kurss,90
sõit,89
etapp,89
Kanada,89
raamatukogu,88
raport,88
Sydney,88
usutlus,87
inimene,86
Vilnius,86
üldjoon,85
lootus,85
uuring,85
katse,85
koridor,85
stuudio,84
sektor,84
galerii,84
Ateena,84
sett,84
Austria,83
paragrahv,82
Võru,82
häda,81
jaam,81
televisioon,81
pool,81
linnavalitsus,81
seletuskiri,81
kõik,80
ministeerium,80
kontserdisaal,80
teine,79
tankla,79
alkoholijoove,79
loss,78
number,78
piir,78
reklaam,78
põhi,77
osakond,77
ETV,77
regioon,76
keskkool,76
võrk,76
uurimus,76
raha,76
toon,75
vastuolu,75
aruanne,75
rünnak,75
kasutus,75
trenn,74
kultuur,74
net,74
perekond,73
rahu,73
sõna,73
meeter,73
pime,73
Tshetsheenia,73
register,72
vahemik,72
linnakohus,72
Türgi,72
vang,71
foorum,71
EL,71
areng,71
tulekahju,71
peatus,71
noorus,70
lennuk,70
sõjavägi,70
provints,70
Kreeka,70
avamäng,70
Belgia,70
Iisrael,70
saun,69
sport,69
kirjandus,69
keskpaik,68
rütm,68
kaubamaja,68
Rooma,68
liiklusõnnetus,68
pöördumine,68
värav,68
liiklus,67
teos,67
Tšetšeenia,67
suu,66
kaitsevägi,66
rühm,66
ööklubi,65
kurv,65
piiripunkt,65
taotlus,65
Kadriorg,64
omavalitsus,64
kultuurikeskus,64
valik,64
Viin,63
pai,63
ots,63
vastus,63
küsitlus,63
põhiseadus,63
ringkond,63
Postimehe,63
Kiiev,62
labor,62
serv,62
kartus,62
raekoda,62
Päevaleht,62
kaitse,62
parkla,61
Päevalehe,61
situatsioon,61
tuli,61
lõunaosa,61
kava,61
seos,60
ajavahemik,60
meri,60
hind,59
Portugal,59
õigusakt,59
Draamateater,58
eeter,58
organism,58
enamik,58
asutus,58
särk,58
teade,58
alapunkt,58
muusika,57
etendus,57
trepikoda,57
vahetus,57
rong,57
sõnavõtt,57
laast,57
saladus,56
mastaap,56
seisund,56
organisatsioon,56
Kosovo,56
korraldamine,56
start,56
spordihall,56
ühiselamu,56
maailmasõda,55
mõrv,55
India,55
peaosa,55
Bagdad,55
hoov,54
minevik,54
väljaanne,54
protsess,54
õhkkond,54
Kuressaare,54
vargus,54
paarismäng,54
teenistus,54
Postimees,54
opositsioon,54
saatkond,53
lääs,53
sõnastus,53
kõrgkool,53
põhjaosa,53
armee,53
värv,53
München,53
väikelinn,52
veri,52
alluvus,52
oblast,52
Aafrika,51
ideaal,51
apteek,51
saba,51
telk,50
looming,50
Ungari,50
pealkiri,50
vabadus,50
abielu,50
enamus,50
loomaaed,50
Lahti,50
tuul,50
seaduseelnõu,50
loend,50
romaan,49
Siber,49
võistlus,49
kunst,48
välisriik,48
heitlus,48
instituut,48
Maja,48
karikasari,48
telefon,47
protokoll,47
Madrid,47
Hollywood,47
faas,47
ühendriik,47
rajoon,47
lastekodu,47
koalitsioon,47
spordihoone,47
kael,47
teema,47
lugu,46
variant,46
Brasiilia,46
sularaha,46
büroo,46
Atlanta,46
omandus,45
Egiptus,45
lause,45
hing,45
laud,45
kõrv,45
Kopenhaagen,45
ahi,45
juhatus,44
summ,44
avalikkus,44
suurus,44
tõlge,44
rahvusraamatukogu,44
eurosari,44
kriminaalasi,44
päevakord,44
ilm,44
esiliiga,44
tõkkejooks,44
põhikool,44
fuajee,43
teooria,43
süli,43
Peking,43
erandkord,43
üksikmäng,43
võidumäng,43
Kadrioru,43
teivashüpe,43
summa,43
linnavolikogu,43
sprint,43
põllumajandus,43
muusikakool,42
Amsterdam,42
taevas,42
tasakaal,42
lapsepõli,42
mõis,42
jagu,42
server,42
tsoon,42
kodulinn,42
kvalifikatsioon,42
maakohus,42
pressiteade,42
laht,42
Barcelona,42
taane,42
Bosnia,41
rikkumine,41
laut,41
telesaade,41
toimetus,41
kampaania,41
riie,41
kuulitõuge,41
südalinn,41
sünd,40
riisumine,40
jalg,40
jalgpall,40
vaimusilm,40
reaalaeg,40
igapäevaelu,40
kommentaar,40
eduseis,40
salong,40
maapiirkond,40
kuritarvitamine,40
omand,40
toll,40
kroon,40
võrdlus,40
joove,40
analüüs,39
majapidamine,39
pingerida,39
äri,39
jälg,39
käitumine,39
pubi,39
NBA,39
hall,39
asula,39
kaubanduskeskus,39
arhiiv,39
California,39
Praha,39
Budapest,38
pakkumine,38
sisim,38
linnahall,38
kaugushüpe,38
ootus,38
mälu,38
Vanemuine,38
bussipeatus,38
põleng,38
pimedus,38
sina,38
korvpall,38
välisministeerium,38
suurhall,38
staadium,37
tele,37
veer,37
kirjutis,37
raudteejaam,37
Valgevene,37
tootmine,37
tulevahetus,37
jõhv,37
Minsk,37
avakohtumine,37
versioon,37
avavoor,37
kõrts,37
kõht,37
Baltikum,37
erakond,37
Strasbourg,37
jõusaal,36
vann,36
vestlus,36
kasutamine,36
rüpp,36
idu,36
viimane,36
Aasia,36
ettepanek,36
arestimaja,36
pedagoogikaülikool,36
käik,36
deklaratsioon,36
kõrgushüpe,36
MK-sari,36
kokkulepe,36
loog,36
euroliiga,36
põhikiri,36
aju,35
Kopli,35
Estonia,35
rubriik,35
emakeel,35
lapsepõlv,35
vari,35
tiim,35
haldusala,35
Põlva,35
loeng,35
Baltimaa,35
seotus,35
üldarvestus,35
lõuna,35
farm,35
Lääne,34
keskosa,34
Florida,34
vastavus,34
võti,34
võit,34
loetelu,34
avarii,34
Rapla,34
Ekspress,34
hääl,34
süüdistus,34
vabadussõda,34
arupärimine,34
Šveits,34
kohtusaal,33
ööpäev,33
välispoliitika,33
kott,33
meditsiin,33
näidend,33
raam,33
Gruusia,33
kultuurimaja,33
vanuseklass,33
Paldiski,33
peakorter,33
Elva,33
rahandusministeerium,33
kuluaar,33
ratastool,33
lahter,33
tegemine,33
raskus,32
isik,32
lood,32
ladu,32
laul,32
kamber,32
ümbruskond,32
jõgi,32
kes,32
eeslinn,32
Nagano,32
kinomaja,32
kehakaal,32
Lõuna-Eesti,32
äärelinn,32
linnateater,32
kodusaal,32
hooldekodu,31
organiseerimine,31
kergejõustik,31
keskhaigla,31
menüü,31
struktuur,31
telekanal,31
eluaasta,31
Keila,31
sõprusmäng,31
Viimsi,31
uudis,31
päevaleht,31
halduskohus,31
matš,31
idaosa,31
Lissabon,31
meeleolu,31
jutt,30
maavärin,30
valimiskampaania,30
kanal,30
raadius,30
Rumeenia,30
juhtimine,30
laev,30
korvpalliliiga,30
kaheksandikfinaal,30
Ramsau,30
vaidlus,30
polikliinik,30
prognoos,30
juhtkiri,30
rahanduskomisjon,30
muusikal,30
akadeemia,30
infotund,30
joon,30
varjupaik,30
sõnum,30
priva,30
Lõuna-Eest,29
pommiplahvatus,29
keha,29
operatsioon,29
tehnika,29
väljapressimine,29
riietus,29
tunnel,29
Lääne-Euroopa,29
Sloveenia,29
metroo,29
sõjakuritegu,29
kaotusseis,29
proov,29
paat,29
munder,29
eksemplar,29
raffa,29
juunikuu,28
Milano,28
kliinik,28
Põhjamaa,28
mälestus,28
õigus,28
usk,28
test,28
kompleks,28
divisjon,28
Groznõi,28
korruptsioon,28
koolimaja,28
laad,28
juht,28
Birmingham,28
esinemine,28
bänd,28
video,28
odavise,28
valimisringkond,28
masin,28
siseministeerium,28
Genf,28
äripäev,27
klooster,27
suhtumine,27
külmkapp,27
arengukava,27
Oslo,27
hinge,27
suurlinn,27
töökoht,27
sekund,27
sisemus,27
võtmine,27
karistusala,27
materjal,27
alevik,27
ooper,27
Skandinaavia,27
tekitamine,27
ringkonnakohus,27
üldkokkuvõte,27
suvila,27
bassein,27
elamu,27
hotellituba,27
kataloog,27
kostüüm,27
teadaanne,27
kapp,27
teadvus,27
juhtunu,27
lagu,27
Cannes,27
järv,27
maavalitsus,27
tööstus,27
sõiduk,27
laps,27
karjäär,27
pakend,27
kunstihoone,26
Hongkong,26
hinnang,26
ida,26
Bulgaaria,26
org,26
naaberriik,26
kosmos,26
pulm,26
tugitool,26
olek,26
aula,26
pakk,26
veerg,26
surm,26
Malaisia,26
Lääs,26
maakoht,26
Varssavi,26
finaalmäng,26
elumaja,26
ansambel,26
juulikuu,26
kunstimuuseum,26
Pakistan,26
vääring,26
unenägu,26
konventsioon,26
päevakorraküsimus,26
Kreml,25
käsitlus,25
tulemus,25
kese,25
Shveits,25
valimiskogu,25
vastassuund,25
kaubandus,25
õigsus,25
Istanbul,25
andmine,25
Iraan,25
Göteborg,25
Maroko,25
leer,25
segadus,25
rivi,25
teadmine,25
bensiinijaam,25
remont,25
palee,25
vanuserühm,25
MM-sari,25
bilanss,25
katastroof,24
lääneriik,24
Lääne-Euroobas,24
märtsikuu,24
kujutlus,24
senat,24
laboratoorium,24
vagu,24
lääneosa,24
Jeruusalemm,24
seadustik,24
Belgrad,24
Põhja-Tallinn,24
kasiino,24
Maardu,24
valimisjaoskond,24
Jugoslaavia,24
baas,24
asend,24
valikmäng,24
resolutsioon,24
lähikond,24
tagatuba,24
reaalsus,24
lõpuosa,24
partii,24
finiš,24
finaalseeria,24
telekas,24
kogu,24
tänavapilt,23
müük,23
kaevandus,23
koobas,23
aine,23
vägistamine,23
Indoneesia,23
konflikt,23
andmebaas,23
vahekord,23
selts,23
trükikoda,23
rahvuspark,23
partei,23
suurusjärk,23
Horvaatia,23
tramm,23
väeosa,23
Slovakkia,23
prefektuur,23
juhtkond,23
vabaujumine,23
esik,23
tööleping,23
Monaco,23
miinus,23
duell,23
riietusruum,23
majanduskomisjon,23
bussijaam,23
seitsmevõistlus,23
igapäevatöö,23
Vabariik,23
Melbourne,23
õiguskomisjon,23
torn,23
terrorism,23
kettaheide,23
torm,22
pangandus,22
Tai,22
eeskiri,22
tehing,22
kvaliteet,22
mudel,22
esikümme,22
suhtlemine,22
ülekaal,22
asukoht,22
Ida-Euroopa,22
linnajagu,22
pudel,22
koor,22
vajalikkus,22
boks,22
kriis,22
pantvang,22
külm,22
rahakott,22
röövimine,22
autorool,22
kalev,22
seisukord,22
Läänemeri,22
Tampere,22
kliima,22
graafik,22
B-grupp,22
kai,22
kõrve,22
elutuba,22
raskekaal,21
vanusegrupp,21
rind,21
Argentina,21
Tokyo,21
teadmatus,21
teadus,21
kantselei,21
haridus,21
õppeasutus,21
ettevõtmine,21
Parlament,21
sfäär,21
seisukoht,21
kolledž,21
Mehhiko,21
riigiduuma,21
pikkus,21
Põhja-Ameerika,21
lennuõnnetus,21
traumapunkt,21
valitsemisala,21
tegu,21
vihm,21
europarlament,21
põhinimekiri,21
äriregister,21
fraktsioon,21
vabrik,21
kassa,21
võltsimine,21
kongress,21
kogusumma,21
raamatupidamine,21
muusikaakadeemia,21
liin,21
kant,21
klassikasõit,21
kolmikhüpe,21
säte,21
seriaal,21
eraelu,20
üksindus,20
botaanikaaed,20
tükk,20
alateadvus,20
sadamalinn,20
kiht,20
vaatus,20
näide,20
korraldus,20
Chicago,20
muudatusettepanek,20
redaktsioon,20
hoog,20
alev,20
söökla,20
hansapank,20
halduskord,20
kõrb,20
võistkond,20
justiitsministeerium,20
hirm,20
omandamine,20
Davos,20
ahistamine,20
kast,20
ühissõiduk,20
Kaunas,20
Lõuna-Aafrika,20
esindus,20
tiir,20
Lihula,20
jaotis,20
loomine,19
treeninglaager,19
hämarus,19
Kasahstan,19
Frankfurt,19
stseen,19
fond,19
kultuuriruum,19
atmosfäär,19
kalender,19
originaal,19
Dublin,19
memorandum,19
töökord,19
konservatoorium,19
A-grupp,19
kontserdimaja,19
AS,19
kuningriik,19
Turu,19
kong,19
pankrot,19
formaat,19
arvamus,19
hiilgus,19
portaal,19
kolmas,19
valm,19
ehitus,19
eelsõit,19
ülikond,19
kaugus,19
vagun,19
koalitsioonilepe,19
euroliit,19
aktsiaselts,19
hagi,19
riigikohus,19
toit,19
otsesaade,19
augustikuu,18
Toronto,18
maakodu,18
üürikorter,18
Wales,18
vaesus,18
staap,18
televiisor,18
töökoda,18
Elvi,18
järk,18
Tehnikaülikool,18
järjestus,18
liikumine,18
pilt,18
ülevaade,18
Dagestan,18
erasektor,18
villa,18
kontrollmäng,18
kordusmäng,18
kelmus,18
kirjastus,18
palat,18
kaitseministeerium,18
peksmine,18
messikeskus,18
strateegia,18
unistus,18
