verb,compound1,compound2,obl,obl_form
tulema,,,sina,sg ad
tulema,,,juhtkond,sg g
toksima,sisse,,pill,sg ad
toksima,sisse,,hommik,sg ad
koos,,,hetk,sg el
koos,,,kuu,sg p
koos,,,New,?
olema,nõus,,ansambel,sg kom
katma,,,kell,sg n
katma,,,sai,sg p
katma,,,mesi,sg kom
tõetera,,,see,sg in
tõetera,,,truudusemurdmine,sg kom
minema,,,töö,sg p
minema,,,toidupood,sg p
minema,,,laps,pl ad
minema,,,koolitöö,pl kom
minema,,,poole,
minema,,,see,sg g
minema,,,pere,sg all
minema,,,abikaasa,sg g
omistama,,,tema,sg all
jõudma,tagasi,,sõber,pl g
ütlema,,,ise,sg g
ütlema,,,kuupalk,sg el
minema,,,poliitika,sg ill
kandideerima,,,aasta,sg ad
kandideerima,,,Tallinn,sg in
kandideerima,,,valimine,pl ad
kandideerima,,,nimekiri,sg in
ütlema,,,jõulud,pl g
ütlema,,,kodu,sg in
ütlema,,,veebruar,sg in
ütlema,,,intervjuu,sg in
ütlema,,,ajakiri,sg all
kinkima,,,mina,pl all
ütlema,,,tema,sg all
ütlema,,,käsi,sg kom
ütlema,,,ise,sg all
tõusma,,,noot,sg g
tõusma,,,mina,sg ad
rääkima,,,see,sg el
lisama,,,suguvõsa,sg in
lisama,,,aeg,pl g
lisama,,,ise,sg el
lisama,,,mees,pl kom
jõudma,,,jaanuar,sg ad
jõudma,,,abielurand,sg p
1995,,,Jimmy,sg n
1995,,,kool,sg el
1995,,,alkohoolik,sg el
1995,,,ema,sg kom
1995,,,tee,sg g
1995,,,treiler,sg in
unistama,,,näitlejakarjäär,sg el
unistama,,,Detroit,sg el
unistama,,,Hollywood,sg g
unistama,,,ise,sg all
uhkem,,,Sahlene,sg g
kord,,,aju,sg in
kord,,,hinnang,sg ad
kolima,,,aasta,sg p
kolima,,,ühendriik,pl el
kolima,,,Eesti,sg ill
kolima,,,teadmine,sg kom
kolima,,,aasta,sg g
kunstnik,,,ooterezhiim,sg g
enesetapp,,,mina,sg el
trüginud,,,mina,sg all
mina,,,ring,sg in
jõudma,,,kesköö,sg g
jõudma,,,kodu,adt
rääkima,,,tõlk,sg g
vigastama,,,18aastane,sg es
võimeline,,,Britney,sg ill
suu,,,aasta,sg g
suu,,,eksmiss,sg ad
üritama,,,kord,sg p
üritama,,,missivalimine,pl el
üritama,,,Miss,sg n
kukkuma,kokku,,lava,sg abl
ajama,,,keskerakond,adt
tihe,,,aeg,sg ad
tihe,,,ajakava,sg p
jooma,,,kord,sg p
tundma,,,puudumine,sg g
viima,alla,,kusepang,adt
viima,alla,,hommik,sg ad
viima,alla,,korrus,sg abl
viima,alla,,õu,adt
valmis,,,väljakutse,pl tr
trügima,edasi,peale,see,sg el
tema,,,bussijaam,sg g
soodustama,,,Pasa,pl es
soodustama,,,saar,sg ad
kujunema,,,teisipäev,sg ad
Laulu,,,kodu,sg in
Laulu,,,Ene,sg n
Laulu,,,aukoht,sg ad
Laulu,,,Pasa,pl es
püüdma,,,lepajõgi,sg all
püüdma,,,sõber,sg all
püüdma,,,silm,adt
püüdma,,,laud,adt
püüdma,,,sõbranna,sg kom
tegema,,,inimene,pl ad
teadma,,,paine,pl el
saama,,,Eesti,sg in
saama,,,areen,sg all
ehtima,,,kael,adt
raske,,,töö,sg all
virisema,,,aeg,sg n
virisema,,,rajameister,pl g
kadestama,,,kaur,sg in
kadestama,,,Rain,sg in
arvama,,,elu,sg in
arvama,,,isiksus,pl ad
arvama,,,see,sg el
elu,,,hommik,sg ad
elu,,,ise,sg abl
rääkima,ära,,keel,sg in
puuduma,,,mina,sg ad
puistama,,,kord,sg p
puistama,,,mina,sg all
vudima,,,fotograaf,sg kom
vudima,,,sokk,pl in
vudima,,,Sahlene,sg g
kallim,,,see,sg g
anduma,,,hetk,sg el
anduma,,,lava,sg all
sõitma,kaasas,,staar,pl ad
sõitma,kaasas,,ringreis,pl ad
sõitma,kaasa,,mina,sg kom
sõitma,,,helikopter,pl kom
jääma,,,debüütnäitus,sg all
rõhutama,,,kõrv,pl ter
rõhutama,,,mees,sg g
rõhutama,,,karjäär,sg el
uskuma,,,lõpp,sg kom
saatma,,,Angela,sg kom
elama,,,aeg,sg p
elama,,,Ühendriik,pl in
elama,,,New,?
elama,,,Beatrice,sg kom
elama,,,aasta,sg p
avastama,,,aasta,sg ad
avastama,,,Ameerika,sg el
avastama,,,võhm,sg all
avastama,,,ööelu,sg kom
avastama,,,üritus,sg g
tõmbuma,kõrvale,,hoog,sg kom
asuma,,,eramu,sg el
asuma,,,meeter,sg g
koos,,,mina,sg all
