verb,compound1,compound2,obl,obl_form
tõetera,,,see,sg in
kandideerima,,,Tallinn,sg in
kandideerima,,,nimekiri,sg in
ütlema,,,kodu,sg in
ütlema,,,veebruar,sg in
ütlema,,,intervjuu,sg in
lisama,,,suguvõsa,sg in
1995,,,treiler,sg in
kord,,,aju,sg in
mina,,,ring,sg in
Laulu,,,kodu,sg in
saama,,,Eesti,sg in
kadestama,,,kaur,sg in
kadestama,,,Rain,sg in
arvama,,,elu,sg in
rääkima,ära,,keel,sg in
vudima,,,sokk,pl in
elama,,,Ühendriik,pl in
saama,,,oktoober,sg in
jaksama,,,baar,sg in
tõusma,,,kokkuvõte,sg in
nägema,,,komöödia,sg in
nägema,,,mis,sg in
elama,,,korter,sg in
tappima,,,aprill,sg in
püstitama,,,arvestus,sg in
püstitama,,,Antverpeni,sg in
tundma,,,Eesti,sg in
esimene,,,Euroopa,sg in
aitama,,,eraülikool,sg in
meeldima,,,ütelu,sg in
õppima,,,magistrantuur,sg in
mäng,,,loomine,sg in
võtma,,,Diana,sg in
lugema,,,ajalugu,sg in
vabandama,,,ostubuum,sg in
jätma,,,juunikuu,sg in
jätma,,,äripäev,sg in
jätma,,,maht,sg in
ütlema,,,osa,sg in
suutma,,,võlu,pl in
tõsi,,,telk,sg in
olema,nõus,,pesu,sg in
sihtima,,,Poola,sg in
elama,,,keskkond,sg in
teatama,,,perekond,sg in
vastane,,,Ilmaris,sg in
õnnelik,,,eraelu,sg in
töötama,,,tegelikkus,sg in
töötama,,,klass,sg in
tegema,ära,,olu,pl in
see,,,ajaleht,pl in
nägema,,,edu,sg in
muhelema,,,pea,sg in
asuma,,,elamurajoon,sg in
vanaema,,,Ameerika,sg in
vanaema,,,noorus,sg in
raske,,,maja,sg in
ots,,,riiul,sg in
seisma,,,parkla,sg in
kohtuma,,,Taani,sg in
teinud,,,Viin,sg in
hakkama,,,vanadus,sg in
sunnitud,,,mängufilm,sg in
sunnitud,,,algus,sg in
sunnitud,,,päriselu,sg in
keelduma,,,korter,sg in
linn,,,linn,sg in
huvitav,,,vanalinn,sg in
kirjutama,,,analüüs,sg in
õppima,,,teatrikool,pl in
käima,,,Stockmann,sg in
saama,,,TOP-raadio,sg in
pannud,püsti,,noorus,sg in
pannud,püsti,,Ukraina,sg in
käima,,,kool,sg in
nõudma,,,külaühiskond,sg in
õpetama,,,kodu,sg in
panema,püsti,,lossihoov,sg in
lootma,,,klass,sg in
hea,,,Eesti,sg in
valehäbi,,,ajakirjandus,sg in
tahtma,,,seltskond,sg in
tegema,,,hoov,sg in
jõudma,,,käsi,sg in
tegema,,,raskekaal,sg in
edukas,,,raskus,pl in
edukas,,,soolokarjäär,sg in
sündinud,,,tähtkuju,sg in
hoidma,,,saladus,sg in
eksisteerima,,,pea,sg in
haldama,,,algus,sg in
teadma,,,Soome,sg in
võitlema,,,müüt,sg in
partner,,,lähisuhe,pl in
harjuma,,,august,sg in
tugevalt,,,elu,sg in
veetmine,,,elu,sg in
häbiasi,,,edetabel,sg in
häbiasi,,,Viin,sg in
saama,,,veebruar,sg in
saama,,,Draamateater,sg in
nägema,,,söögipaik,sg in
ebaküps,,,sünd,pl in
registreerima,,,veebruar,sg in
kolima,,,ühiskorter,sg in
tegema,,,tund,pl in
abielluma,,,september,sg in
tegema,,,märts,sg in
puuduma,,,silm,pl in
arvama,,,elu,sg in
kaugel,,,minevik,sg in
ajama,edasi,,üksindus,sg in
tulema,,,vanus,sg in
tegema,,,vanus,sg in
võimalik,,,kodu,sg in
võimalik,,,õppimine,sg in
toitnud,,,vanalinnakodu,sg in
unistama,,,kõrgelamu,sg in
meeldima,,,pood,pl in
tulema,,,katastroof,sg in
tulema,,,Berliin,sg in
mina,,,elu,sg in
arvama,,,elu,sg in
laulnud,,,linn,pl in
nägema,,,Suurlinn,sg in
elama,,,ment,pl in
minema,,,kokkuvõte,sg in
uskuma,,,pereelu,sg in
tulnud,,,haigla,sg in
hea,,,voodi,sg in
arvama,,,kleit,sg in
tulema,,,Milano,sg in
hoidma,kinni,,linn,sg in
üllatuma,,,olu,pl in
otsustama,,,november,sg in
mina,,,hansa,sg in
elama,,,korter,sg in
viima,,,november,sg in
saama,,,botaanikaaed,sg in
juhtuma,,,film,sg in
konsulteerima,,,julgeolekustruktuur,pl in
see,,,mina,pl in
Gunnar,,,augustikuu,sg in
G,,,Jaapan,sg in
G,,,keel,sg in
elama,,,linn,sg in
elama,,,pai,pl in
saama,,,Soome,sg in
vastama,,,keel,sg in
kirjutama,,,noot,sg in
suutma,,,jõusaal,sg in
olema,nõus,,eksperiment,sg in
olema,nõus,,klaasvitriin,sg in
otsustama,,,mäng,sg in
ütlema,,,see,pl in
tabama,,,kodu,sg in
saama,,,klass,sg in
käima,,,linn,sg in
tutvuma,,,klubi,sg in
tutvuma,,,ajakirjandus,sg in
teenima,,,teater,sg in
eestlane,,,punkt,sg in
käima,,,kool,sg in
elama,,,korter,sg in
teadma,,,sool,sg in
hoolitsema,,,kuurinurk,pl in
avastama,,,muusikakool,sg in
pidama,,,meel,sg in
mina,,,Ülikool,sg in
muutuma,,,Moskva,sg in
kohtuma,,,tänavapilt,sg in
samamoodi,,,sõda,sg in
valitsema,,,haigla,sg in
tulema,,,mari,sg in
ütlema,,,Eesti,sg in
käima,,,kelder,sg in
võtma,,,küsimus,sg in
hakkama,,,korter,sg in
tähendama,,,rahu,sg in
andma,ette,,telepilt,sg in
normaalne,,,Soome,sg in
nii,,,klubi,sg in
mina,,,ruum,pl in
põlema,,,õu,sg in
raske,,,meelelahutusäri,sg in
väitma,,,linnus,sg in
leidma,,,perekond,sg in
hakkama,,,trenn,sg in
erinev,,,mõte,sg in
spetsialiseeruma,,,ülikool,sg in
algus,,,valdkond,sg in
olema,,,kodu,sg in
uskuma,,,kodu,sg in
tüüp,,,telefon,sg in
tegema,,,Toronto,sg in
veetma,,,lennuk,pl in
jääma,,,Eesti,sg in
pidama,,,naaberaed,pl in
viskama,,,film,sg in
mängima,,,linateos,sg in
