item	total	percentage
punct	18850310	23.418696536290113
nsubj	14538740	18.062214365706588
obl	12714382	15.795721858392216
obj	6832436	8.48828190558266
advmod	6567529	8.159174498683836
conj	3161270	3.927406116890271
mark	3058674	3.7999459005947713
aux	2892756	3.593817550880195
xcomp	2620895	3.256070836950696
cc	2203845	2.7379484617505114
advcl	2072472	2.5747371182732937
compound:prt	1587576	1.972326214916217
ccomp	1357754	1.6868066836531626
parataxis	1161768	1.4433233319543655
csubj	615214	0.7643115668059139
discourse	99754	0.12392945549866735
vocative	68821	0.08549982012624843
nsubj:cop	27719	0.03443672010112437
cop	18679	0.02320586943139731
nmod	16700	0.020747257321287814
amod	8267	0.01027051354940637
acl	3316	0.0041196350465503235
nummod	3139	0.0038997389659594286
det	2537	0.0031518438218028255
flat	2272	0.002822620876285384
case	1892	0.0023505275959207514
acl:relcl	1352	0.0016796581975078518
cc:preconj	1162	0.0014436115573255354
appos	825	0.001024939358686374
csubj:cop	198	0.0002459854460847298
flat:foreign	176	0.00021865372985309313
root	43	5.342108172547162e-05
orphan	22	2.733171623163664e-05
goeswith	21	2.608936549383498e-05
list	19	2.360466401823165e-05
fixed	14	1.739291032922332e-05
compound	12	1.4908208853619988e-05
dep	6	7.454104426809994e-06
