item	total	percentage
af,indic,mod,pres,ps,ps3,sg	1159747	10.748377220221032
af,indic,main,pres,ps,ps3,sg	1158838	10.739952732041127
af,aux,indic,pres,ps,ps3,sg	1158136	10.733446691664566
af,aux,indic,pl,pres,ps,ps3	957866	8.877371611587908
af,indic,main,pl,pres,ps,ps3	957537	8.87432248440288
af,indic,mod,pl,pres,ps,ps3	954344	8.844730195339693
af,impf,indic,mod,ps,ps3,sg	374947	3.4749577223223818
af,impf,indic,main,ps,ps3,sg	374433	3.470194040337265
af,aux,impf,indic,ps,ps3,sg	374123	3.46732100256414
aux,indic,neg,pres,ps	266011	2.465353713118652
aux,imper,neg,pres,ps,ps2,sg	265258	2.4583750116890934
indic,main,neg,pres,ps	264894	2.455001509271617
aux,cond,neg,pres,ps	121727	1.1281492548683856
cond,main,neg,pres,ps	121094	1.12228269709294
cond,mod,neg,pres,ps	105113	0.9741729659564485
af,cond,mod,pres,ps	104360	0.9671942645268898
af,aux,cond,pres,ps	104322	0.9668420857030876
af,cond,main,pres,ps	104139	0.9651460666305652
aux,impf,indic,neg,ps	88730	0.822337553578679
impf,indic,main,neg,ps	87867	0.8143393871328501
af,indic,main,pres,ps,ps1,sg	81284	0.7533290398409709
af,aux,indic,pres,ps,ps1,sg	80917	0.7499277338321422
af,indic,mod,pres,ps,ps1,sg	80572	0.7467303208265674
imper,main,neg,pres,ps,ps2,sg	74677	0.692096263818269
imper,mod,neg,pres,ps,ps2,sg	74241	0.6880554752083254
af,aux,imper,pres,ps,ps2,sg	74034	0.6861370274049806
indic,mod,neg,pres,ps	74010	0.6859145986741579
af,imper,mod,pres,ps,ps2,sg	73929	0.6851639017076318
af,imper,main,pres,ps,ps2,sg	73697	0.6830137573096801
impf,indic,mod,neg,ps	45535	0.4220121774169407
main,partic,past,ps	45397	0.4207332122147109
aux,partic,past,ps	45254	0.41940790769355957
mod,partic,past,ps	44883	0.4159695302295937
af,aux,indic,pl,pres,ps,ps1	42800	0.3966645699669499
af,indic,main,pl,pres,ps,ps1	42688	0.3956265692231111
af,indic,mod,pl,pres,ps,ps1	42417	0.39311497813757273
af,aux,impf,indic,pl,ps,ps3	37753	0.3498896614477163
