item	total	percentage
af,aux,indic,pres,ps,ps3,sg	2923544	9.719554431877238
af,indic,mod,pres,ps,ps3,sg	2921522	9.7128321321406
af,indic,main,pres,ps,ps3,sg	2919872	9.707346575975684
af,impf,indic,mod,ps,ps3,sg	1958403	6.51086645456736
af,impf,indic,main,ps,ps3,sg	1958075	6.509775992493365
af,aux,impf,indic,ps,ps3,sg	1957521	6.507934175453752
af,aux,indic,pl,pres,ps,ps3	1528840	5.082750113434653
af,indic,main,pl,pres,ps,ps3	1527535	5.078411537195129
af,indic,mod,pl,pres,ps,ps3	1525303	5.070991075764773
aux,imper,neg,pres,ps,ps2,sg	474384	1.5771273186282309
aux,indic,neg,pres,ps	473923	1.5755946874815487
indic,main,neg,pres,ps	473044	1.572672382106422
aux,impf,indic,neg,ps	423729	1.4087207443653695
impf,indic,main,neg,ps	422672	1.4052066638403309
impf,indic,mod,neg,ps	373245	1.2408826731959635
aux,partic,past,ps	372988	1.2400282562660343
mod,partic,past,ps	372850	1.239569464295878
main,partic,past,ps	372097	1.237066055936981
af,indic,main,pres,ps,ps1,sg	344358	1.144845545356041
af,indic,mod,pres,ps,ps1,sg	343116	1.1407164176246332
af,aux,indic,pres,ps,ps1,sg	342620	1.139067426195665
imper,main,neg,pres,ps,ps2,sg	245026	0.8146084150692284
imper,mod,neg,pres,ps,ps2,sg	244949	0.8143524224481992
af,imper,mod,pres,ps,ps2,sg	244838	0.8139833941243777
af,imper,main,pres,ps,ps2,sg	244370	0.8124274909212383
af,aux,imper,pres,ps,ps2,sg	244240	0.8119952955870331
indic,mod,neg,pres,ps	244064	0.8114101695961088
cond,main,neg,pres,ps	207784	0.6907944255578777
aux,cond,neg,pres,ps	207602	0.6901893520899902
af,aux,impf,indic,pl,ps,ps3	197086	0.6552280741322715
af,impf,indic,main,pl,ps,ps3	196758	0.6541376120582764
af,impf,indic,mod,ps,ps2,sg	196652	0.6537852066319244
af,impf,indic,mod,pl,ps,ps3	196523	0.653356335877213
af,impf,indic,main,ps,ps2,sg	196152	0.6521229168849807
af,aux,impf,indic,ps,ps2,sg	195825	0.6510357793904795
cond,mod,neg,pres,ps	188552	0.6268561127314373
af,aux,cond,pres,ps	188331	0.6261213806632882
af,cond,main,pres,ps	187941	0.6248247946606721
af,cond,mod,pres,ps	187876	0.6246086969935695
af,impf,indic,main,ps,ps1,sg	161896	0.5382361217423776
af,impf,indic,mod,ps,ps1,sg	161464	0.5367999034010182
af,aux,impf,indic,ps,ps1,sg	161010	0.5352905443107934
af,aux,indic,pl,pres,ps,ps1	157336	0.5230760392502515
af,indic,main,pl,pres,ps,ps1	157143	0.5224343954079312
af,indic,mod,pl,pres,ps,ps1	156601	0.5206324733222443
af,indic,main,pres,ps,ps2,sg	113699	0.37800136387549155
af,indic,mod,pres,ps,ps2,sg	113550	0.37750600153090236
af,aux,indic,pres,ps,ps2,sg	113207	0.376365670764499
af,impf,indic,mod,pl,ps,ps1	55763	0.18538852631763725
af,impf,indic,main,pl,ps,ps1	55713	0.18522229734294288
af,aux,impf,indic,pl,ps,ps1	55413	0.18422492349477668
af,indic,mod,pl,pres,ps,ps2	49753	0.1654078035593746
af,aux,indic,pl,pres,ps,ps2	49473	0.16447692130108615
af,indic,main,pl,pres,ps,ps2	49254	0.16374883839192483
aux,imper,neg,pl,pres,ps,ps2	32335	0.10750027793484569
af,cond,mod,pres,ps,ps2,sg	26285	0.08738657199682756
af,aux,cond,pres,ps,ps2,sg	26101	0.08677484936995229
af,cond,main,pres,ps,ps2,sg	25957	0.08629610992283251
af,cond,main,pl,pres,ps,ps3	25933	0.08621632001497923
af,aux,cond,pl,pres,ps,ps3	25920	0.08617310048155868
af,cond,mod,pl,pres,ps,ps3	25855	0.08595700281445602
af,cond,mod,pres,ps,ps1,sg	22482	0.07474319618157417
af,aux,cond,pres,ps,ps1,sg	22450	0.07463680963776978
af,cond,main,pres,ps,ps1,sg	22428	0.07456366888890426
af,imper,main,pl,pres,ps,ps2	20655	0.06866918944624208
imper,main,neg,pl,pres,ps,ps2	20609	0.06851625878952326
af,aux,imper,pl,pres,ps,ps2	20562	0.06836000355331057
af,imper,mod,pl,pres,ps,ps2	20529	0.06825029243001228
imper,mod,neg,pl,pres,ps,ps2	20397	0.06781144793681916
aux,neg,pres,ps,quot	18204	0.06052064510672432
main,neg,pres,ps,quot	18077	0.060098423511000636
af,mod,pres,ps,quot	15830	0.052628093388235875
mod,neg,pres,ps,quot	15770	0.052428618618602645
af,main,pres,ps,quot	15766	0.052415320300627094
af,aux,pres,ps,quot	15702	0.05220254721301831
af,impf,indic,mod,pl,ps,ps2	10684	0.03551980731269186
af,impf,indic,main,pl,ps,ps2	10648	0.03540012245091192
af,aux,impf,indic,pl,ps,ps2	10639	0.035370201235466935
af,cond,main,pl,pres,ps,ps1	9742	0.032388053429450024
af,cond,mod,pl,pres,ps,ps1	9614	0.031962507254232456
af,aux,cond,pl,pres,ps,ps1	9492	0.0315569085559782
aux,cond,neg,past,ps	7250	0.024103201330682892
cond,main,neg,past,ps	7010	0.02330530225214994
cond,mod,neg,past,ps	6663	0.022151673167771047
af,cond,main,past,ps	6642	0.022081856998399416
af,cond,mod,past,ps	6605	0.021958847557125585
af,aux,cond,past,ps	6520	0.021676258300145166
aux,imper,neg,pl,pres,ps,ps3	4766	0.01584494586786685
af,imper,main,pl,pres,ps,ps3	4310	0.014328937618654242
af,aux,imper,pl,pres,ps,ps3	4254	0.014142761166996554
