experiment,LAS_test,LAS_train,LAS_gap,UAS_test,UAS_train
eval_stanza_morph_extended_crossvalidation_01,0.8485,0.9292,0.0807,0.8778,0.9476
eval_stanza_morph_extended_crossvalidation_02,0.8480,0.9217,0.0737,0.8767,0.9412
eval_stanza_morph_extended_crossvalidation_03,0.8460,0.9274,0.0813,0.8760,0.9463
eval_stanza_morph_extended_crossvalidation_04,0.8468,0.9263,0.0795,0.8763,0.9452
eval_stanza_morph_extended_crossvalidation_05,0.8514,0.9308,0.0793,0.8797,0.9484
eval_stanza_morph_extended_crossvalidation_06,0.8473,0.9203,0.0730,0.8772,0.9405
eval_stanza_morph_extended_crossvalidation_07,0.8465,0.9201,0.0735,0.8759,0.9402
eval_stanza_morph_extended_crossvalidation_08,0.8482,0.9297,0.0815,0.8779,0.9479
eval_stanza_morph_extended_crossvalidation_09,0.8482,0.9241,0.0758,0.8782,0.9430
eval_stanza_morph_extended_crossvalidation_10,0.8503,0.9322,0.0819,0.8800,0.9499
eval_stanza_morph_extended_crossvalidation_AVG,0.8481,0.9262,0.0780,0.8776,0.9450
eval_stanza_ensemble_tagger_morph_extended_default_full_data,0.8568,0.9337,0.0769,0.8851,0.9515
