experiment,LAS_test,LAS_train,LAS_gap,UAS_test,UAS_train
eval_stanza_morph_extended_gap_experiments_01_no_wordforms,0.8338,0.9171,0.0833,0.8737,0.9439
eval_stanza_morph_extended_gap_experiments_02_no_lemmas,0.8431,0.9251,0.0820,0.8793,0.9476
eval_stanza_morph_extended_gap_experiments_02_no_pos,0.8438,0.9232,0.0794,0.8780,0.9455
eval_stanza_morph_extended_gap_experiments_03_no_wordforms_adj_noun_lemmas,0.8111,0.9020,0.0909,0.8597,0.9364
eval_stanza_morph_extended_gap_experiments_04_no_wordforms_verb_adpos_lemmas,0.7777,0.9030,0.1253,0.8201,0.9344
eval_stanza_morph_extended_gap_experiments_05_only_cg_list_wordforms_lemmas,0.8109,0.9083,0.0974,0.8600,0.9417
eval_stanza_morph_extended_gap_experiments_06_no_wordform_lemma_pos_keep_conj,0.6869,0.8100,0.1230,0.7572,0.8701
eval_stanza_morph_extended_gap_experiments_07_no_wordform_lemma_pos,0.6723,0.7648,0.0925,0.7532,0.8351
eval_stanza_morph_extended_gap_experiments_08_only_wordforms,0.8341,0.9144,0.0804,0.8737,0.9370
eval_stanza_morph_extended_gap_experiments_09_only_pos_feats,0.6923,0.8068,0.1145,0.7742,0.8769
