experiment,LAS_test,LAS_train,LAS_gap,UAS_test,UAS_train,test_words,train_words
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_010,0.6864,0.9491,0.2628,0.7605,0.9591,48491,39886
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_020,0.7490,0.9636,0.2146,0.8004,0.9700,48491,77759
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_030,0.7819,0.9365,0.1546,0.8271,0.9489,48491,117642
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_040,0.7989,0.9366,0.1377,0.8388,0.9502,48491,157491
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_050,0.8152,0.9234,0.1082,0.8543,0.9406,48491,195477
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_060,0.8250,0.9299,0.1049,0.8595,0.9458,48491,235468
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_070,0.8241,0.9179,0.0938,0.8600,0.9370,48491,273422
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_080,0.8327,0.9194,0.0867,0.8674,0.9383,48491,311383
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_090,0.8343,0.9151,0.0808,0.8680,0.9362,48491,349322
eval_stanza_morph_extended_smaller_data_01_08_only_wordforms_100,0.8377,0.9104,0.0728,0.8723,0.9320,48491,389278
eval_stanza_morph_extended_smaller_data_02_keep_all_010,0.7509,0.9286,0.1778,0.7995,0.9402,48491,39886
eval_stanza_morph_extended_smaller_data_02_keep_all_020,0.7895,0.9552,0.1657,0.8297,0.9630,48491,77759
eval_stanza_morph_extended_smaller_data_02_keep_all_030,0.8062,0.9268,0.1207,0.8439,0.9440,48491,117642
eval_stanza_morph_extended_smaller_data_02_keep_all_040,0.8209,0.9414,0.1205,0.8545,0.9542,48491,157491
eval_stanza_morph_extended_smaller_data_02_keep_all_050,0.8299,0.9360,0.1060,0.8616,0.9505,48491,195477
eval_stanza_morph_extended_smaller_data_02_keep_all_060,0.8409,0.9350,0.0941,0.8723,0.9505,48491,235468
eval_stanza_morph_extended_smaller_data_02_keep_all_070,0.8363,0.9248,0.0884,0.8675,0.9428,48491,273422
eval_stanza_morph_extended_smaller_data_02_keep_all_080,0.8435,0.9295,0.0860,0.8739,0.9463,48491,311383
eval_stanza_morph_extended_smaller_data_02_keep_all_090,0.8463,0.9261,0.0798,0.8756,0.9437,48491,349322
eval_stanza_morph_extended_smaller_data_02_keep_all_100,0.8466,0.9236,0.0771,0.8763,0.9422,48491,389278
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_010,0.6285,0.8174,0.1889,0.7121,0.8568,48491,39886
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_020,0.6544,0.8542,0.1997,0.7336,0.8912,48491,77759
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_030,0.6652,0.7847,0.1195,0.7412,0.8445,48491,117642
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_040,0.6730,0.7889,0.1159,0.7479,0.8471,48491,157491
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_050,0.6802,0.7878,0.1076,0.7536,0.8479,48491,195477
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_060,0.6880,0.8124,0.1244,0.7595,0.8668,48491,235468
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_070,0.6915,0.8000,0.1085,0.7638,0.8594,48491,273422
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_080,0.6939,0.8001,0.1061,0.7653,0.8575,48491,311383
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_090,0.6952,0.8081,0.1128,0.7658,0.8664,48491,349322
eval_stanza_morph_extended_smaller_data_03_only_pos_feats_09_only_pos_feats_100,0.6970,0.7874,0.0904,0.7670,0.8489,48491,389278
