COLLECTION	SPANSTART	TYPE	TEXT
9107	1347	O	Veerandfinaal : Norman - Nicolas Lapentti ( Ekuador , 3 ) 6 : 1 , 6 : 4.
9107	1347	S	Veerandfinaal : Norman - Nicolas Lapentti 6 : 1 , 6 : 4.
9107	1347	Odeprel	root punct parataxis punct conj flat punct parataxis punct nummod punct nummod punct flat punct flat
9107	1347	Sdeprel	root punct parataxis punct conj flat _ _ _ _ _ nummod punct flat punct parataxis
			
625675	1004	O	Maksnud oleme ( esialgu Soome suunal ) ja vaese ääremaana maksma jäämegi tõenäoliselt alatiseks ka meie .
625675	1004	S	Maksnud oleme ja vaese ääremaana maksma jäämegi tõenäoliselt alatiseks ka meie .
625675	1004	Odeprel	nsubj aux punct advmod nmod parataxis punct cc amod obl xcomp root advmod advmod advmod obl punct
625675	1004	Sdeprel	root aux _ _ _ _ _ cc amod obl xcomp conj advmod advmod advmod obl punct
			
249774	684	O	Töötuse tase on endiselt kõige kõrgem Ida-Virumaal , kus on registreeritud töötuna 4,2% maakonna tööealisest elanikkonnast ja Valgamaal , kus see näitaja on 3,4% ning kõige väiksem töötustase ( 0,9% ) on Pärnu ja Rapla maakondades .
249774	684	S	Töötuse tase on endiselt kõige kõrgem Ida-Virumaal , kus on registreeritud töötuna 4,2% maakonna tööealisest elanikkonnast ja Valgamaal , kus see näitaja on 3,4% ning kõige väiksem töötustase on Pärnu ja Rapla maakondades .
249774	684	Odeprel	nmod nsubj:cop cop advmod advmod root obl punct mark cop advcl xcomp nsubj:cop nmod amod nmod cc conj punct mark det nsubj:cop cop acl cc advmod amod nsubj:cop punct parataxis punct cop nmod cc conj conj punct
249774	684	Sdeprel	nmod nsubj:cop cop advmod advmod root obl punct mark cop advcl xcomp nsubj:cop nmod amod nmod cc conj punct mark det nsubj:cop cop acl cc advmod amod conj _ _ _ cop nmod cc conj obl punct
			
458435	1613	O	x Eluasemefondist saavad eluasemelaenu noored pered ( laenutaotleja ei ole vanem kui 35 aastat ) ; lasterikkad pered , kus on kolm või enam vanematega koos elavat last ; vanaduspensionärid ; I ja II grupi invaliidid või perekonnad , kus vähemalt üks ülalpeetav on I või II grupi invaliid ; orvud kolme aasta jooksul pärast kasvatusasutusest lahkumist ; eelarveliste asutuste töötajad ; tervishoiuasutuste ja sotsiaalhoolekandeasutuste arstid , keskmeditsiini- , hooldus- ja majanduspersonal ; magistrandid ja üliõpilased , kellel on erialane töökoht Tartu linnas ; ebaseaduslikult süüdi mõistetud ja hiljem rehabiliteeritud isikud ; need , kelle eluruum on hävinud või muutunud elamiskõlbmatuks loodusõnnetuse või tulekahju tagajärjel ; riiklike või ühiskondlike kohustuste täitmisel , inimelu päästmisel või õiguskorra kaitsel hukkunud isikute perekonnad .
