"word","semantic_types"
"0-korrus",KOHT
"24/7",AEG
Aa,KOHT
Aabla,KOHT
Aabra,KOHT
Aachen,KOHT
aadamaülikond,SEISUND
aadamaülikonnas,SEISUND
Aadami,KOHT
aadlikonvent,KOHT
aadlimõis,KOHT
aadliseisus,SEISUND
Aadma,KOHT
aadressbüroo,KOHT
aadresslaud,KOHT
Aadria,KOHT
Aadria meri,KOHT
Aadumäe,KOHT
Aafrika,KOHT
Aafrika hobusekatk,SEISUND
Aafrika Sarv,KOHT
Aafrika seakatk,SEISUND
Aafrika suured järved,KOHT
Aakaru,KOHT
Aakre,KOHT
Aalborg,KOHT
Aamse,KOHT
Aandu,KOHT
Aardla,KOHT
Aardlapalu,KOHT
Aarhus,KOHT
Aarla,KOHT
Aarna,KOHT
Aasa,KOHT
aasaheinamaa,KOHT
Aasia,KOHT
Aasia mängud,sündmus
Aasov,KOHT
Aasovi meri,KOHT
Aaspere,KOHT
aasristmik,KOHT
aastaaeg,AEG
aastajagu,AEG
aasta-kaks,AEG
aastake,AEG
aastakene,AEG
aastakiht,KOHT
aastakonverents,sündmus
aastakoosolek,sündmus
aastakümme,AEG
aastalaat,sündmus
aastalõpp,AEG
aastamiljon,AEG
aastanäitus,sündmus
aasta-paar,AEG
aastapäev,AEG
aastapäevaaktus,sündmus
aastapäevakontsert,sündmus
aastasada,AEG
aastavahetus,AEG
Aasu,KOHT
Aasukalda,KOHT
Aasumetsa,KOHT
Aasuvälja,KOHT
aašram,KOHT
aatomiajastu,AEG
aatomisajand,AEG
aatomisõda,sündmus
aatrium,KOHT
Aavere,KOHT
Aavidu,KOHT
Aaviku,KOHT
Abaja,KOHT
abajas,KOHT
Abakan,KOHT
Abbay,KOHT
Aberdeen,KOHT
Abertawe,KOHT
Abessiinia,KOHT
Abhaasia,KOHT
abiaeg,AEG
Abidjan,KOHT
abiehitis,KOHT
abiellumine,sündmus
abiellumisiga,AEG
abiellumisvanus,AEG
abielu,SEISUND
abieluaasta,AEG
abieluike,SEISUND
abielukolmnurk,SEISUND
abielukütked,SEISUND
abieluline,SEISUND
abielus,SEISUND
abielusadam,SEISUND
abielusidemed,SEISUND
abieluvõrdsus,SEISUND
abifond,KOHT
abihoone,KOHT
abikirik,KOHT
abiklass,KOHT
abiklooster,KOHT
abikomitee,KOHT
abikool,KOHT
Abikülä,KOHT
abilennuväli,KOHT
abimajand,KOHT
abimõis,KOHT
abiruum,KOHT
Abissaare,KOHT
abistamiskassa,KOHT
abistatud enesetapp,sündmus
abiteenistus,KOHT
abitsehh,KOHT
abitus,SEISUND
abitusseisund,SEISUND
Abja,KOHT
Abjaku,KOHT
Abja-Paluoja,KOHT
Abja-Vanamõisa,KOHT
Abramihhina,KOHT
Abramihhino,KOHT
Abruka,KOHT
Abşeroni poolsaar,KOHT
absoluutne vaesus,SEISUND
abstsess,SEISUND
abtkond,KOHT
Abu Dhabi,KOHT
Abuja,KOHT
Abula,KOHT
Aburi,KOHT
abuulia,SEISUND
abüssaal,KOHT
Accra,KOHT
Aceh,KOHT
Aconcagua,KOHT
A Coruña,KOHT
AD,AEG
a. D.,AEG
Adaka,KOHT
Adamstown,KOHT
Adavere,KOHT
Addis Abeba,KOHT
Addisoni tõbi,SEISUND
Adelaide,KOHT
Aden,KOHT
adeniit,SEISUND
adenoid,SEISUND
adenoom,SEISUND
adhesiivne kapsuliit,SEISUND
Adila,KOHT
adipoosne,SEISUND
adipoossus,SEISUND
Adiste,KOHT
administratiivhoone,KOHT
Admiraliteedisaared,KOHT
adneksiit,SEISUND
Adra,KOHT
Adraku,KOHT
Adrianoopol,KOHT
Adžaaria,KOHT
advendiaeg,AEG
advendipühapäev,AEG
advent,AEG
advokaadibüroo,KOHT
Adõgee,KOHT
aedik,KOHT
aedkool,KOHT
aedlinn,KOHT
aegade hämarus,AEG
aegkond,AEG
Aegna,KOHT
aegpomm,SEISUND
aegumine,SEISUND
aegumistähtaeg,AEG
aegumus,SEISUND
aegus,AEG
