"word","code"
®,esitus_tähis
"3D-film",ese_kunst
"3D-prillid",ese_instru
"3D-printer",ese_instru
"3D-printima",VERB_tegevus
"3G",esitus_tähis
"4D",omadus_füüs
"4G",esitus
"5G",esitus
"5G-võrk",abstr/konkr
Å,esitus_mõõt
A4,esitus_mõõt
A4-formaat,esitus_mõõt
AA,grupp
aabits,ese_semio
aabitsajünger,in_roll
aabitsakukk,esitus_kujutis
aabitsaraamat,ese_semio
aabitsatarkus,abstr/konkr
aabitsateadmised,abstr/konkr
aabitsatõde,abstr/konkr
aabits-katekismus,ese_semio
aadam,inimene
aadamakahvel,kehaosa
aadamaõun,kehaosa
aade,abstr/konkr
aadeldama,VERB_muutus
aadelkond,esitus_tiitel
aadellik,omadus
aader,kehaosa
aaderdama,VERB_muutus
aadlidaam,in_roll
aadlidiplom,ese_semio
aadlikasvatus,abstr/konkr
aadlikiri,ese_semio
aadlilipkond,abstr/konkr
aadlimarssal,in_roll
aadlimatrikkel,ese_semio
aadlimees,in_roll
aadlipeamees,in_roll
aadlipreili,inimene
aadlipäritolu,abstr/konkr_omadus
aadliriik,abstr/konkr
aadlitiitel,esitus_tiitel
aadlivapp,esitus_kujutis
aadlivõsu,in_roll
aadliürik,ese_semio
aadress,esitus_info
aadressil,abstr
aadressimasin,ese_instru
aadrilaskja,in_elukutse
aadrilaskmine,tegevus
aadriraud,ese_instru
Aafrika elevant,loom_liik
Aafrika kannike,taim
aafrikalik,omadus
Aafrika pühvel,loom
Aafrika säga,loom_kala
aafriklane,in_rahvas
aafriklanna,in_rahvas
aagreht,in_elukutse
aaker,esitus_mõõt
aakrik,ese_instru
aaloe,taim
aaloeekstrakt,materjal/aine
aaloemahl,materjal/aine
aaloepott,ese_anum
aamissepp,in_tegija
aamoripost,abstr/konkr
aamorpost,abstr/konkr
aampalk,ese
aanispits,toit_jook
aapestik,esitus_keel
aara,loom_lind
aardejaht,tegevus_mäng
aardekütt,in_tegija
aardelaegas,ese_instru
aardeleid,ese
aardeotsija,in_tegija
aaria keeled,in_rahvas_keel
aarialane,in_rahvas
aaria rass,in_rahvas
aarja,omadus_kval
aarja keeled,in_rahvas_keel
aarjalane,in_rahvas
aarja rass,in_rahvas
aaronikepp,taim
aarum,taim
aasahein,taim_liik
aasalill,taim
aasaline,omadus
aasana,abstr_asend/suund
aas-hundihammas,taim
aas-härghein,taim
Aasia köök,toit
aasialane,in_rahvas
aasialanna,in_rahvas
aasialik,omadus
Aasia nuudlid,toit
Aasia tiiger,in_roll
Aasia tiigersääsk,loom_putukas
aasima,VERB_suhtlus
aas-jürilill,taim
aaskaerand,taim
aaskannike,taim
aas-karukell,taim
aaskinnis,ese_riie
aas-koldkaer,taim
aas-kurereha,taim
aaslina,taim
aasnelk,taim
aasnurmikas,taim
aas-rebasesaba,taim
aasristik,taim
aas-seahernes,taim
aassõlm,ese_instru
aasšampinjon,taim_seen
aastaajaline,omadus_aeg
aastaaruanne,ese_semio
aastaarv,esitus_arv
aastaauhind,abstr/konkr
aastaeelarve,ese_semio
aastahinne,esitus_arv
aastahitt,ese_kunst
aastaiive,esitus_mõõt
aastaintress,ese_raha
aastainventuur,tegevus
aastajuurdekasv,esitus_mõõt
aastajõudlus,abstr
aastakahjum,ese_raha
aastakasum,ese_raha
aastakaup,tegevus_tegu
aastakiri,ese_semio
aastakokkuvõte,ese_semio
aastakäive,abstr/konkr
aastakümnetepikkune,omadus
aastalehm,esitus_mõõt
aastaleping,ese_semio
aastalüps,toit
aastamaks,ese_raha
aastamakse,ese_raha
aastanorm,kogus
aastanumber,esitus_arv
aasta otsa,ADV_aeg
aastapilet,esitus_info
aastapreemia,konkr
aastapõhine,omadus_aeg
aastapäevapidu,tegevus_tegu
aastaraamat,ese_semio
aasta ringi,ADV_aeg
aastaringne,omadus
aastaringselt,ADV_aeg
aastarõngas,esitus_kujutis
aastarütm,nähtus_loodus
aastaselt,ADV_aeg
aastast aastasse,ADV_aeg
aastastipendium,ese_raha
aastatellimus,tegevus_tegu
aastatepikkune,omadus
aastatetagune,omadus_aeg
aastati,ADV_aeg
aastatoodang,ese
aastavanune,omadus_vanus
aastaülevaade,ese_semio
aažio,abstr
aateinimene,in_omadus
aatekaaslane,in_roll
aateline,omadus_kval
aatemees,in_omadus
aatleja,in_omadus
aatman,abstr
aatom,nähtus_loodus
aatomiallveelaev,ese_instru
aatomienergeetika,vald
aatomienergia,nähtus_füüs
aatomifüüsika,vald
aatomijäälõhkuja,ese_instru
Aatomik,in_müt
aatomilaev,ese_instru
aatomimootor,ese_instru
aatomimudel,abstr/konkr
aatomipomm,ese_instru
aatomireaktor,ese_instru
aatomirelv,ese_instru
aatomirünnak,tegevus_tegu
aatomiseen,nähtus
aatomisisene,omadus
aatomispekter,nähtus_füüs
aatomituum,materjal/aine
aatomivaba,omadus
aatomjõumikroskoop,ese_instru
aatomkell,ese_instru
aatomkütus,materjal/aine
aatommass,esitus_mõõt
aatommassiühik,esitus_mõõt
aatomnumber,esitus_arv
aatomruumala,esitus_mõõt
ab,esitus_keel
abaaja,ese_riie
abaasi keel,in_rahvas_keel
abakala,loom_kala
abaluu,kehaosa
abaluutõstur,kehaosa
abandoon,abstr/konkr
abar,ese_instru
abasiin,in_rahvas
abasiini keel,in_rahvas_keel
abažuur,ese_instru
abatükk,toit
abaya,ese_riie
abayah,ese_riie
abdikatsioon,tegevus_tegu
abdominaalne,omadus_koht
abduktor,kehaosa
abee,in_roll
aberdiini-anguse veis,loom_liik
Abessiinia kaev,ese_instru
