"value","semantic_type_code"
ussikene,loom_putukas
ussikene,loom
ussikene,in_omadus
viiksuma,VERB_suhtlus
viiksuma,VERB_nähtus
dodekafooniline,omadus_füüs
ortopeediline,omadus
oruke,koht_loodus
viimne,omadus
viimne,omadus_aeg
viimne,omadus_kval
viimne,omadus_kval
viimne,omadus
oskamatu,omadus_kval
osteofüüt,seisund_haigus
viisleht,tegevus_mäng
mäletamisvõimetus,seisund_haigus
hämu,abstr/konkr
hämu,nähtus_füüs
viitestik,ese_semio
vimb,loom_kala
leheseis,seisund
otsesilmi,ADV_viis
vinkadi-vonkadi,abstr_asend/suund
otstarbelause,esitus_keel
virb,taim
soetus,tegevus
soetus,konkr
vanuigi,ADV_aeg
vunts,in_omadus
vunts,abstr
vunts,in_omadus
vunts,kehaosa
väljatulek,sündmus
väljatulek,sündmus
väljatulek,sündmus
väljatulek,materjal/aine
väljatulek,konkr
Suitsu,koht_geogr
kaanetaja,ese_instru
kaapsti,ADV_viis
Põgari,koht_geogr
paavstitool,abstr
popkunstnik,in_elukutse
ühisautorlus,abstr/konkr
Nurtu,koht_geogr
äristama,VERB_muutust põhjustama
äärestus,tegevus_tegu
pahmas,materjal/aine
äristuma,VERB_muutus
Lähtru,koht_geogr
pahategija,konkr
pahategija,in_tegija
Dejevo,koht_geogr
Dejevi,koht_geogr
valitsusõun,ese_instru
paleozooloogia,vald
Jõgehara,koht_geogr
Jõgara,koht_geogr
palgaskaala,abstr/konkr
pikapäevarühm,abstr/konkr
ühe,tegevus_tegu
ühe,tegevus
Asunduse,koht_geogr
ametikohustus,tegevus
ametikohustus,abstr
armusuhe,tegevus
ebaproportsionaalne,omadus_kval
ebaproportsionaalne,omadus_koht
autojuht,in_elukutse
beetakaroteen,materjal/aine
papptops,ese_anum
lahtiolekuaeg,aeg
parandusettepanek,tegevus_kõnetegu
ellujäänu,inimene
grillkaste,toit
haisupomm,in_omadus
haisupomm,ese
haistmisnärv,kehaosa
paskvillant,in_roll
hajaküla,koht_ala
patakas,ese_instru
hiigelrikkus,ese_raha
patsilutikas,organism
patsiline,omadus_füüs
homoplastika,tegevus
peadpidi,ADV_viis
peadpidi,ADV_viis
huviäratav,omadus
jahindusklubi,in_roll
jahipistrik,loom_lind
jahipüss,ese_instru
jahirelv,ese_instru
jahiretk,tegevus
jahiretk,sündmus
jahisaak,toit_vili
peegelkera,ese_instru
pehmik,in_omadus
pehmik,ese_semio
jahukaste,seisund_haigus
jahukaste,toit
peitleid,abstr/konkr_omadus
jahuleedik,loom_putukas
jalamatt,in_omadus
jalamatt,inimene
jalamatt,ese_instru
peretraditsioon,abstr/konkr
järveplankton,organism
järveplankton,grupp
pesuseep,ese_instru
karistusvise,tegevus_tegu
petuunia,taim
peukar,ese_instru
karumõmm,ese_instru
karumõmm,loom
karumõmm,ese
karuott,loom
karuott,ese
piiririik,koht
valuutakalkulaator,ese_semio
piiskopivõim,abstr
snaiperpüss,ese_instru
karvaeemaldus,vald
karvaeemaldus,tegevus
karvaeemalduskreem,materjal/aine
karvafolliikul,kehaosa
karvajuur,kehaosa
pingeliselt,ADV_viis
karvanäss,loom_omadus
karvanäss,in_omadus
karvanääps,kehaosa
karvapealt,ADV_viis
karvapealt,ADV_viis
karvapool,materjal/aine
karvapool,ese_riie
karvasibul,kehaosa
plankter,organism
planktara,ese_instru
troog,koht_loodus
karvaude,kehaosa
pleegitaja,materjal/aine
plutooniline,omadus_füüs
kaseviht,ese_instru
pojeng,taim
polaab,in_rahvas
popp,vald
popp,ese_kunst
popp,omadus_kval
politruk,in_elukutse
politruk,esitus_tiitel
kana kitkuma,VERB_psühh
kohtusüsteem,abstr/konkr
kohviistandus,koht_ala
pommi hüppama,VERB_tegevus
kohvijutt,tegevus
kohvikannusoojendaja,ese_instru
kohvikupidaja,in_elukutse
diferentsima,VERB_tegevus
kohvipaus,aeg
poolvõõras,in_omadus
poolvõõras,omadus
porfüriin,materjal/aine
kojanarr,in_elukutse
portselanivärv,materjal/aine
postisarv,ese_instru
postitee,koht_ala
kojukutse,tegevus_kõnetegu
praetermomeeter,ese_instru
kokakunst,vald
kokakunst,tegevus
probleemikas,omadus_kval
stoori,tegevus_kõnetegu
stoori,ese_kunst
programmiline,omadus_kval
progressiivne,omadus_kval
progressiivne,omadus_kval
progressiivne,omadus_kval
üherakuline,omadus
promotüdruk,in_elukutse
ühesilmaline,omadus_füüs
käekott,ese_anum
loovparandamine,tegevus_muutus
käekäik,seisund
ühesugune,omadus_kval
protestimeel,nähtus_psühh
prääks-prääks,nähtus
käepigistus,tegevus_tegu
käepärast,ADV_seisund
käeranne,kehaosa
käesoe,omadus_füüs
käesurumine,tegevus_mäng
käesurumine,tegevus_tegu
käesurve,tegevus
käetugi,ese_instru
käetugi,ese_instru
käetõste,tegevus_tegu
kärjeraam,ese_instru
käsitööline,in_omadus
käsitööline,in_elukutse
pulmakorraldus,vald
kääbuspõõsas,taim_liik
kääbuspõõsas,taim
kõhukoobas,kehaosa
punanina,kehaosa
punanina,in_omadus
Velje,koht_geogr
punksoeng,kehaosa
punksoeng,ese_kunst
ühiskonnavastane,omadus_kval
laenukalkulaator,ese_semio
ühiskonnakasulik,omadus_kval
lihtminevik,esitus_keel
ühiskonnastama,VERB_muutust põhjustama
ühiskonnastama,VERB_muutust põhjustama
lihtsajooneline,omadus
puuviljatoitlane,in_omadus
lapsendatu,in_roll
ära jaotama,VERB_tegevus
lihtsakoeline,omadus_kval
lihtsameelne,in_omadus
lihtsameelne,inimene
lihtsameelne,omadus_psühh
lihtsameelne,inimene
põhjaots,objekt_loodus
vee-elanik,loom_putukas
vee-elanik,loom_lind
vee-elanik,loom_kala
vee-elanik,loom
põliskeel,esitus_keel
mahuosa,esitus_mõõt
põlvkondlik,abstr
malahhiitroheline,materjal/aine
malahhiitroheline,omadus_füüs_värv
malekell,ese_instru
pähklihiir,loom
maleülesanne,abstr/konkr
veekogu,koht_geogr_veekogu
malmahi,ese_instru
pätistuma,VERB_muutus
pääsukesemärk,esitus
metsaott,loom
metsaott,ese
püodermia,seisund_haigus
muuseumiteadus,vald
raagpuu,taim_liik
mõttetühi,omadus_kval
Läänemüür,koht_hoone
Läänemüür,koht_geogr
mõõdutunne,nähtus_psühh
rahaveski,abstr/konkr
rahatuli,nähtus_füüs
paekivine,omadus_füüs
paelupidi,ADV_viis
rasvapall,toit
rasvasilm,toit
ratsaülikond,ese_riie
raudasi,ese
paeplatoo,koht_loodus
nobedasti,ADV_viis
regionalism,vald
regionalism,vald
regionalism,tegevus
reisisaade,ese_semio
pagarmeister,in_elukutse
reklaamjutt,tegevus_kõnetegu
reklaamjutt,ese_semio
reklaamkiri,esitus_kujutis
pagasiait,koht_hoone
patrullekipaaž,in_elukutse
patrullekipaaž,grupp
pealtlaius,esitus_mõõt
peenravahe,koht_ala
retsitatsioon,tegevus_kõnetegu
retsitatsioon,ese_kunst
peretütar,in_sugulane
piimapõrsas,toit
riidetu,omadus_füüs
ringi seiklema,VERB_seisund
piparmündikompvek,toit
poisivolask,in_omadus
ripendama,VERB_seisund
ripendama,VERB_seisund
poolesajas,omadus_kval
poolesajas,esitus_arv
risotoriis,toit_vili
pooleteiseaastane,omadus_aeg
pooleteiseaastane,omadus
pooleteiseaastane,aeg
risupesa,koht_loodus
poolharitlane,in_omadus
poolhull,omadus
poolhull,omadus_kval
poolhull,inimene
poolihääli,ADV_viis
ületulev,omadus_aeg
poolilmadaam,in_roll
ruudustik,esitus_kujutis
ruudustama,VERB_tegevus
rõivastama,VERB_tegevus
rõivastama,VERB_tegevus
rõhtloodi,ADV_seisund
poolituskoht,koht
räitse,materjal/aine
pooljoostes,ADV_viis
poolkurt,omadus
röövvallutus,tegevus
röövvallutus,sündmus
rüblik,in_omadus
näitama,VERB_suhtlus
näitama,VERB_abstr
näitama,VERB_abstr
näitama,VERB_abstr
näitama,VERB_tegevus
näitama,VERB_tegevus
näitama,VERB_abstr
näitama,VERB_tegevus
näitama,VERB_tegevus
näitama,VERB_tegevus
poolpehme,omadus
puhkeseisund,seisund
pretsisioonpink,ese_instru
saam,in_rahvas
punktivõit,abstr
punktivõit,abstr
radioaktiivne,omadus_füüs
pühadetuju,nähtus_psühh
püstolpihusti,ese_instru
sajumärg,omadus_füüs
sajumärg,omadus
raagritsikas,loom_putukas
raamatuaasta,sündmus
raamatuaasta,aeg
salooga,aeg
raamatuhaige,in_omadus
salonglik,omadus_kval
rahupoliitika,abstr
samakas,toit_jook
samovar,ese_instru
sammumüdin,nähtus_füüs
ratsionaliseerimisettepanek,tegevus_kõnetegu
sardinell,loom_kala
reduktsioonjagunemine,tegevus
riimkroonika,ese_semio
segakvartett,inimene
rööplülitus,abstr/konkr
ropsimõõk,ese_instru
rosmariiniõli,materjal/aine
rullkant,ese_riie
rullpadi,ese_instru
rullside,ese_riie
rullsink,toit
rullstiil,abstr/konkr
selgesõnaline,omadus_kval
rändeluviis,abstr/konkr
saatuselöök,sündmus
ekfraas,ese_semio
ekfraas,ese_kunst
saunapidu,sündmus
seadusemuudatus,tegevus_tegu
seatapp,taim
seedeelund,kehaosa
servik,koht_ala
servik,taim
seksuaalvahekord,tegevus_tegu
seksuaalvahekord,tegevus
sidrunikreem,toit
senikaua,ADV_aeg
sibulakasvatus,vald
sigivõime,omadus_füüs
sisurikas,omadus
soaraam,ese_instru
aeglus,omadus_füüs
sinepiivake,abstr/konkr
soonerohi,taim
siniülane,taim
sisene,omadus_kval
säilituspaik,koht
sünteesmaterjal,materjal/aine
taevasfäär,objekt_loodus
taevatelk,nähtus_loodus
sisse kandma,VERB_tegevus
sisse kandma,VERB_suhtlus
sisse kandma,VERB_tegevus
sitane,omadus_kval
sitane,omadus_füüs
skafander,ese_riie
tagaaju,seisund
tagaaju,abstr
tagaaju,kehaosa
tagajalg,kehaosa_loom
smaragd,materjal/aine
solgisurm,sündmus
tinalõige,ese_kunst
tinalõige,abstr/konkr
trossülekanne,ese_instru
trotüülekvivalent,esitus_mõõt
trumbimast,abstr
trummimees,in_elukutse
sorts,nähtus_füüs
trummitüdruk,in_roll
trummiõõs,kehaosa
spiraaljas,omadus_füüs
tõetruudus,omadus_kval
vaestemaja,koht_asutus
vaesuslõks,seisund
kulg,tegevus_muutus
kulg,nähtus
kulg,koht_ala
kulg,tegevus
kääksutama,VERB_tegevus
kääksutama,VERB_nähtus
kääksutama,VERB_tegevus
kääksutama,VERB_nähtus
kartuleid võtma,tegevus
vaesusrisk,seisund
vaesustunnistus,abstr
vaesustunnistus,ese_semio
vaevapalk,ese_raha
vaevapalk,ese
vaevarohke,omadus_psühh
jagama,VERB_tegevus
jagama,VERB_tegevus
jagama,VERB_suhtlus
jagama,VERB_psühh_mõistus
jagama,VERB_psühh_emots
jagama,VERB_abstr
jagama,VERB_abstr
jagama,VERB_tegevus
jagama,VERB_tegevus
saagima,VERB_tegevus
saagima,VERB_nähtus
saagima,VERB_psühh
saagima,VERB_tegevus
litsentsiaar,koht_asutus
litsentsiaar,in_roll
stropp,ese_instru
lapsendaja,in_roll
liitklass,abstr
liitpuue,seisund_haigus
mitterahuldav,omadus_kval
mitterahuldav,esitus_mõõt
mitterahuldav,omadus_kval
subliimne,omadus_psühh
sublimaat,materjal/aine
sublimaat,materjal/aine
roosbegoonia,taim
vahetund,sündmus
vahetund,aeg
siugtee,koht
aineõpetaja,in_elukutse
virverakk,kehaosa
sõidusoodustus,ese_raha
sõidusoodustus,abstr/konkr
viskiklaas,tegevus
viskiklaas,ese_anum
viskoossiid,ese_riie
sukakiri,esitus_kujutis
vitamiinirohke,omadus
suitsiid,tegevus_tegu
veerema,VERB_aeg
veerema,VERB_abstr
veerema,VERB_nähtus
veerema,VERB_liikuma
veerema,VERB_liikuma
veerema,VERB_abstr
veerema,VERB_liikuma
veerema,VERB_liikuma
vitamiinivaene,omadus_kval
vits-piimalill,taim
vitsahirm,tegevus_tegu
vokimeister,in_elukutse
hevi,ese_kunst
hevi,abstr
välikirurgia,vald
vaimuhaigus,seisund_haigus
räästarenn,ese_instru
tropopaus,nähtus_loodus
ülejärgmine,omadus_koht
ülejärgmine,omadus_aeg
ümberasumine,tegevus_tegu
asetsema,VERB_seisund
asuma,VERB_seisund
asuma,VERB_liikuma
asuma,VERB_alustama
asuma,VERB_seisund
paiknema,VERB_seisund
paiknema,VERB_seisund
kasimatult,ADV_viis
kasimatult,ADV_viis
ühistu,koht_asutus
ühistu,esitus
ühistu,koht_asutus
teovõime,abstr
teovõime,abstr
upumuna,toit
närv,omadus
närv,omadus_psühh
närv,kehaosa
edasi liikuma,VERB_abstr
edasi liikuma,VERB_liikuma
surija,omadus
surija,in_tegija
kulgema,VERB_toimuma
kulgema,VERB_seisund
kulgema,VERB_liikuma
proportsionaalselt,ADV_viis
eluruum,koht_ala
eluruum,koht_hoone
ruum,abstr
ruum,koht_hoone
ruum,koht_ala
