head_id|head_form|head_lemma|verb_form|verb|verb_compound|morph_case|sentence_id|sentence|phrase|ekilex_tag
34594|kodus|kodu|valitseb|valitsema||in|20101|Õnneks piisab mulle sellest , kui mina ise ja minu lähedased on terved ning kodus valitseb armastus .|kodus valitseb armastus|location
39275|haiglas|haigla|valitses|valitsema||in|22819|Mustamäe haiglas valitses Bentonite hinnangul tume teadmatus .|haiglas valitses hinnangul teadmatus|location
39620|Tööhõiveametis|tööhõiveamet|valitseb|valitsema||in|23033|“ Tööhõiveametis valitseb täielik tegematajätmine , ” pragab Raid .|Tööhõiveametis valitseb tegematajätmine|location
72824|Muusikakoolis|muusikakool|valitses|valitsema||in|42060|“ Muusikakoolis valitses reaalõpetajate terror , nad ei suutnud muusikute hinge mõista .|Muusikakoolis valitses terror|location
83937|tööhõiveametis|tööhõiveamet|valitseb|valitsema||in|48642|Raidi arvates valitseb tööhõiveametis töö korraldamatus .|arvates valitseb tööhõiveametis korraldamatus|location
99635|Ukrainas|Ukraina|valitses|valitsema||in|57754|Täpselt niisugune mentaliteet valitses Ukrainas .|mentaliteet valitses Ukrainas|location
113489|Tallinnas|Tallinn|valitses|valitsema||in|66065|Leidmaks lahendust Jaan Tõnissoni kadumisele , tuleks tagasi pöörduda olukorra juurde , mis valitses Tallinnas 1941. aasta juuli alguspäevadel .|mis valitses Tallinnas alguspäevadel|location
113776|Eestis|Eesti|valitses|valitsema||in|66218|Pärast seda kui iseseisvus käes , valitses Eestis mõnd aega aateline rahvuslus , laulva revolutsiooni järgne palang .|Pärast seda käes valitses Eestis aega rahvuslus|location
116220|Eestis|Eesti|valitseb|valitsema||in|67565|“ Eestis valitseb väga primitiivne arusaam avalikust ja erasektorist .|Eestis valitseb arusaam avalikust|location
117288|Itaalias|Itaalia|valitses|valitsema||in|68191|Tookord valitses Itaalias pidev kommunismikartus , seepärast suundus raha välismaale - Luksemburgi , Kanadasse , USA-sse .|Tookord valitses Itaalias kommunismikartus|location
122893|veebruaris|veebruar|valitses|valitsema||in|71692|1926. aasta veebruaris , kui Helen Wills saabus Cannes'i , et mängida tennist Suzanne Lengleniga , valitses Rivieras postimpressionistlik õhkkond .|veebruaris saabus valitses Rivieras õhkkond|time
178657|ladvikus|ladvik|valitsenud|valitsema||in|106005|8. juulil  tekkis kaitsejõudude ladvikus valitsenud segaduse tõttu jäägritel vastasseis Vene eriüksusega .|ladvikus valitsenud|not_location
186045|halduskogudes|halduskogu|valitseb|valitsema||in|110693|Ka aedlinnaosade halduskogudes valitseb meelsus , mille järgi tuleks nii põhikrunt kui reservmaa lugeda ühtseks hoone teenindamiseks vajalikuks maaks .|halduskogudes valitseb meelsus|not_location
304611|suhtumises|suhtumine|valitseb|valitsema||in|183264|Terav kontrast valitseb ka suhtumises lähimasse läänenaabrisse .|kontrast valitseb suhtumises|not_location
347538|teadvuses|teadvus|valitses|valitsema||in|213063|Kuna vadja keelel puudus aga juba siis väljund ametlikku asjaajamismaailma ( ja tänapäevaks puudub parku juba täielikult igasugune sotsiaalne mõõde ) , valitses Ariste informantide teadvuses valdavalt vene-vadja kaksik- või lausa vene-ingeri-vadja kolmikidentiteet , mis väljaspool Ariste ja ta õpilastega suhtlussituatsioone ka valdas ja igapäevaeluliselt valdama jäi .|puudus valitses teadvuses valdavalt kaksik- kolmikidentiteet|not_location
692133|koalitsioonis|koalitsioon|valitsesid|valitsema||in|442427|CDU kogus absoluutse häälte-enamuse ning hakkab seal nüüd üksi valitsema , seni valitsesid nad koalitsioonis PDS-iga .|seni valitsesid nad koalitsioonis PDS-iga|not_location
991744|ladvikus|ladvik|valitseb|valitsema||in|625087|""" Praegu valitseb ladvikus suhtumine : mõisa köis , las lohiseb . """|Praegu valitseb ladvikus suhtumine|not_location
1129733|rahastamises|rahastamine|valitseb|valitsema||in|709595|Kõige palavam on endiste liiduvabariikide ning Ida-Euroopa maade filmitegijate jaoks kaos , mis valitseb postsotsialistlike maade filmitööstuse rahastamises , korraldamises ja seadusandluses .|mis valitseb rahastamises|not_location
1390798|Detsembris|detsember|valitsenud|valitsema||in|873298|Detsembris hooaja kaht esimest kiirlaskumist valitsenud Kostner viis pidupäeva väärika lõpuni .|Detsembris kiirlaskumist valitsenud|time
1473674|Situatsioonis|situatsioon|valitseb|valitsema||in|924765|Situatsioonis kus praegu valitseb Eesti internetimaastikul suur segadus ning esitatavad keskkondade külastatavuse andmed on suuresti ebausaldusväärsed , siis HitBox Enterprise ?|Situatsioonis praegu valitseb internetimaastikul segadus|state
2544|Londonis|London|toimunud|toimuma||in|1404|Algul uskmatut Makarovit valdas juba järgmisel hommikul pärast Londonis toimunud gala-õhtut suur rõõm .|Londonis toimunud|location
4996|Madridis|Madrid|toimub|toimuma||in|3000|Kui trenn toimub Madridis , sõidan sinna .|trenn toimub Madridis|location
19912|Tallinnas|Tallinn|toimus|toimuma||in|11631|Hans H. Luik meenutab , et Paltsu viimasel sünnipäevapeol ( 29. märts ) , mis nagu ikka toimus Tallinnas Viru tänava veinipööningul , oli juba tunda , et ees on ootamas poliitiline triumf .|mis ikka toimus Tallinnas veinipööningul|location
22403|kodus|kodu|toimubki|toimuma||in|12896|“ Nende töö toimubki sageli meil kodus .|töö toimubki sageli meil kodus|location
29821|Eestis|Eesti|toimu|toimuma||in|17316|Eesti laul oli väga tore ja kena , aga võib-olla on parem , et kogu see värk teist aastat järjest Eestis enam ei toimu .|värk aastat Eestis enam ei toimu|location
33820|Eestis|Eesti|toimub|toimuma||in|19596|Kuna võistlus toimub tänavu Eestis , on võimalused end promoda veel suuremad .|võistlus toimub tänavu Eestis|location
35399|Tallinnas|Tallinn|toimuvad|toimuma||in|20648|Tema genereerida on mitmesugused Grand Hotel Tallinnas toimuvad üritused .|Tallinnas toimuvad|location
43619|spordihallis|spordihall|toimunud|toimuma||in|25227|Tallinna spordihallis toimunud aeroobikafestivali noorimaid külalisi oli 1. aprillil oma aastast sünnipäeva tähistav Margaret Markvardt , endise tippkahevõistleja Ago Markvardti ja tema elukaaslase Tiina Karjahärmi pisitütar .|spordihallis toimunud|location
60322|Eestis|Eesti|toimus|toimuma||in|35000|“ Seda , mis Eestis toimus , ma veidi ikka teadsin .|mis Eestis toimus|location
