,lemma,form,naitelause
0,Marko,Markole,tüdrukud on isa sõnul Markole hoogsalt amokki jooksnud
1,poliitika,poliitikast,Lahkusin poliitikast aastal
2,ilme,ilmel,Nüüd käib kass ilmel aias ringi
3,Kelam,Kelamitel,raske käib Kelamitel abiks vanadaam
4,aastavahetus,aastavahetusel,Olen aastavahetusel koolides mängimas käinud
5,tippaja,tippajal,Lahkusin ajakirjandusest ju tippajal pärast saamist
6,Kohila,Kohilas,Käisin Kohilas üritusel
7,üritus,üritusel,Käisin Kohilas üritusel
8,laulutund,laulutunnis,Käime Karliga laupäeviti Musamaris laulutunnis
9,Ateena,Ateenas,Helen istub Ateenas ühisköögis
10,kleidiproov,kleidiproovis,käis Barbra teadmata kleidiproovis
11,aprill,aprillis,Viimati liikus teineteise käevangus juubelipeol aprillis
12,eliitülikool,eliitülikoolides,põlvkond on koolis käinud eliitülikoolides
13,autokool,autokoolis,käis siis nüüd autokoolis ära
14,talu,talus,saada käis Tiina koos perega suvel talus abiks
15,iseenese,iseendast,disainer astus pärast showd lavale iseendast numbrit väiksemana
17,Vilsandi,Vilsandil,suvel käib ta treti Vilsandil
18,kelder,keldris,siis on keldris käinud varas
19,Bronx,Bronxist,poleks ma Bronxist kunagi lahkunud
20,finaalvõistlus,finaalvõistlusel,Koos käisid nad finaalvõistlusel
21,telepurk,telepurgist,kes telepurgist läbi käis
23,vastassugupool,vastassugupoolest,lõpuks istud iga vastassugupoolest hirmus teeb
24,Venemaa,Venemaal,Nad käisid meiega sageli Venemaal kaasas
25,kord,korras,aastat tagasi käis koolitüdruk korras Eestis
26,maakodu,maakodus,hiljuti käis maakodus
27,naer,naerul,Põõsast jookseb välja naerul poiss
28,Verona,Veronas,filmigrupp Veronas ringi liigub
33,talveöö,talveööl,talveööl käis metsavend meil
34,korvtool,korvtoolidel,mina tüdruk istume korvtoolidel
35,üksteise,üksteisest,inimesed käivad üksteisest läbi mühakad
36,kangamess,kangamessidel,Käisid hiljuti kangamessidel suundub
37,maraton,maratonidel,olen käinud maratonidel
38,ida,itta,Ta lahkus pärast võitlust vennaga itta lubades
39,hoiak,hoiakule,Vaatamata hoiakule astus valitsus siiski aastal samme tulla
40,kuu,Kuul,detsembrini käis Kuul kokku meest
41,valitsus,valitsuses,Pidevalt valitsuses istunud
42,Narva,Narvas,Narvas ei käinud koolis
49,maosein,maoseinast,Leidmata eest pisikuid ei lahku immuunrakud ometi maoseinast
50,otsing,otsinguil,läks lahkus siitkandist otsinguil inimesi
52,üldjuht,üldjuhul,mis üldjuhul rahulikult liiguvad
55,pesula,pesulas,Korra käid pesulas liitrit
58,iminokk,iminokas,Teisalt liigub veri iminokas suunas
59,positsioon,positsioonilt,me astume tagasi positsioonilt
61,tulemus,tulemusel,tulemusel peaminister astus tagasi
62,tualett,tualetis,Käisin tualetis puuderdamas
66,ehituskomitee,ehituskomitees,me käisime Peterburis ehituskomitees
71,ajama,Ajas,Ajas astus pihtimusega üles retsidivist
74,Inglismaa,Inglismaal,armastatakse siis Inglismaal käib suhtlemine kutsete abil
76,kirjandus,kirjanduses,kirjanduses liiguvad väited
77,missioon,missioonil,nad käivad aeg missioonil
81,seitsmekümnes,seitsmekümnendatel,originaalitsemine käis juba seitsmekümnendatel
85,komsomol,komsomoli,mees astus komsomoli
87,Võrumaa,Võrumaal,kes käis Taaliga koos koolis Võrumaal
90,puhkepäev,puhkepäeval,meremehel jookseb palk puhkepäeval
92,rühm,rühmas,rühmas käib lapsi üle Tallinna
93,semester,semestril,kes Amicusse astus semestril
94,vajadus,vajadusele,käis koos vastavalt vajadusele
95,tapp,Tapalt,üldse käib inimest Tapalt väljaspool tööl
97,väljamaa,väljamaal,Leo käiski väljamaal hööveldamas
102,kesklinlane,kesklinlastest,Pendeldajaid liigub kesklinlastest rohkem tööpäevadel
103,võrgustik,võrgustikesse,kes on liikunud kiiremini võrgustikesse
104,juhutöö,juhutöödel,eestlased ookeani taga juhutöödel käivad
105,ühiskond,ühiskonnas,raha ühiskonnas liigub
