,lemma,form,naitelause
0,riba,ribadeks,papagoi oligi varem restoranikülalisel käe ribadeks tirinud
1,õige,õigeks,kes ajaloo jälle õigeks sätib
2,tühi,tühjaks,raputavad tühjaks rohukarpe
3,liider,liidriks,Silma torkab liidriks
4,paljas,paljaks,naisel tiris DiMaio lausa rinnad paljaks
5,surnu,surnuks,hetke pärast torkas Enn sealsamas köögis surnuks lapsed
6,järgmine,järgmiseks,järgmiseks torkavad silma prügihunnikud
9,tööloom,tööloomadeks,tööloomadeks paiskab Camacho ilmselt Juan
10,heategija,heategijaks,raha pärast firma end heategijaks ei säti
11,hooaeg,hooajaks,Tänavu sättis Padrik koguni hooajaks
12,ohver,ohvriks,Sättisin end ohvriks tahtsin
13,sodi,sodiks,Väikeses linnakeses loopis inimest kolmapäeval tomatisõja käigus üksteise pihta sodiks tomateid
14,rõõm,rõõmuks,tiris sõidukit koos fotograafi rõõmuks õuemurul
15,merekõlblik,merekõlblikuks,sätivad laeva taas merekõlblikuks
16,salatileht,salatileheks,serva alla säti salatileheks
17,kallim,kallimaks,Evans linnaosast endale Clare kallimaks tiris
18,suurem,suuremaks,omanik pärast numbreid suuremaks ei säti
19,kild,kildudeks,lööklaine paiskas kildudeks koridori klaasplokkidest otsaseina
20,hell,hellaks,detailina torkas korraga hellaks silma viisnurk
21,finishispurt,finishispurdiks,sättis end finishispurdiks Martinseni seljataha
22,tugi,toeks,mees sättis lumelabida toeks vastu seina
24,tali,talveks,Sarnaselt sätivad kalamehed talveks rahuldada
25,üllatus,üllatusteks,sätime vaimu valmis üllatusteks
26,kohane,kohaseks,mille järgi Eesti sätib asju kohaseks
27,puhk,puhuks,töötajad riputavad vanalinna hoonetele lõpus alguse puhuks jõuluvanikuid
30,vaba,vabaks,ametnikud ta vabaks tirisid
31,vastus,vastuseks,ametnik on kategooriliselt pead raputanud vastuseks spekulatsioonile
32,endine,endiseks,kolmesed sättisid olukorra endiseks
33,nina,ninaks,torkasid kraadiklaasi ninaks
34,puhtam,puhtamaks,eessõitjad loobivad tee puhtamaks
35,maraton,maratoniks,maratoniks sättis hingamisrütmi kõrgusel üle merepinna
36,lahtiolekupäev,lahtiolekupäevadeks,lahtiolekupäevadeks riputavad töötajad üles kauplemisest
38,poolaeg,poolajaks,poolajaks paiskas peatreener edurivvi ründajat
39,arutelu,aruteluks,Televisioon riputas täna kodulehel aruteluks kokkuvõtte
42,suur,suureks,mis on töökoormuse suureks paisanud
43,jõuluõhtu,jõuluõhtuks,Ülikoolides sättisid õppejõud jõuluõhtuks arvestusi
44,pidulik,pidulikuks,eurolauljad olid end õhtuks pidulikuks sättinud
45,eesmärk,eesmärgiks,Ärielu on pakkumise eesmärgiks sättinud
46,protest,protestiks,loopisid saatkonna pihta värvipudeleid protestiks
47,allalaadine,allalaadiseks,popstaar on lood Ameerikas allalaadiseks internetti paisanud
49,esindaja,esindajaks,ta sättis end USA kõrvale leeri esindajaks
50,jututeema,jututeemaks,vahel raha topib ennast ise jututeemaks
51,neljas,neljandaks,see paiskas eestlase kohalt neljandaks
52,padi,padjaks,heites sättisid padjaks pea tarakani
53,paikne,paikseks,Praegu oleme siin end paikseks sättinud
54,kolmas,kolmandaks,tulemus paiskas Rahnu kolmandaks
55,sobiv,sobivaks,Sätin juhiistme sobivaks
56,kuues,kuuendaks,paiskas mehe kuuendaks
57,nohuaeg,nohuajaks,Sättige nohuajaks peaalune kõrgemaks
58,kõrgem,kõrgemaks,Sättige nohuajaks peaalune kõrgemaks
60,prii,priiks,nimetuse vasarast priiks raputas
61,surnud,surnuks,põllumehed ta kartulitega surnuks loobivad
62,hüvang,hüvanguks,kes riputas hüvanguks jõulupreemiale külge palgatõus
63,võidusõit,võidusõiduks,nädalavahetusel sättisid end võidusõiduks stardivalmis robotit
65,prioriteet,prioriteediks,poliitika ei säti polaaruurimist prioriteediks tuleks
66,veerandtund,veerandtunniks,lapselapsed end veerandtunniks äri akna alla sättisid
67,jõulud,jõuludeks,Kodus ei säti veel keegi jõuludeks
69,pealöök,pealöögiks,Klavan riputas palli vasakult pealöögiks
70,kättesaadav,kättesaadavaks,Riigiarvutuskeskus on riputanud võrku kättesaadavaks
72,vahelüli,vahelüliks,riputas keegi ta vahelüliks
74,garantii,Garantiiks,Garantiiks nii toppis mulle pihku passi
75,jalutuskäik,jalutuskäiguks,jalutuskäiguks sättis end kollektiiv
77,müük,müügiks,kes presidendikandidaate poole kangesti müügiks topivad
78,tihedam,tihedamaks,Säti päevaplaan tihedamaks
79,kraater,kraatriks,meteoriiditükk paiskas dolomiidi kraatriks
80,sirge,sirgeks,Sätivad kokamütsi sirgeks
81,kodune,Koduseks,Koduseks sätid söögitoale
82,käepärasem,käepärasemaks,käepärasemaks sättinud
84,lõbu,lõbuks,kes kividega aknaid sisse loobib lõbuks
87,märklaud,märklauaks,pildi peaminister järgmisena märklauaks riputab
88,siht,sihiks,murdmaakoondis sättis sihiks kuldmedalit
89,nõrgem,nõrgemaks,saavutanud säti kuumus nõrgemaks
90,pihk,pihuks,kellesse armumine elu viimaks pihuks paiskas
91,õhtupoolik,õhtupoolikuks,Puurilukk sätib vaimu õhtupoolikuks valmis
92,kättemaks,kättemaksuks,inglanna riputas kättemaksuks internetti üles fotod
93,kõver,kõveraks,sättis jalad põlvedest kõveraks
94,hoiatav,hoiatavaks,fotod riputas päästeteenistus hoiatavaks neljapäeval
96,ilus,ilusaks,Muuhulgas sätib ta serveerides need ilusaks
101,madalam,madalamaks,Sätin algkõrguse madalamaks
102,kõrghooaeg,kõrghooajaks,tootjad paiskavad kõrghooajaks müüki tagatisrahamärgiga
104,lätipärane,lätipäraseks,Paiskavad kaubamärgi vahenditega lätipäraseks
105,õigem,õigemaks,Teisega sätib modelli ihuliikmeid sutt õigemaks
106,paras,parajaks,sätiks kuue enda järgi parajaks
107,varu,varuks,topivad puukoore vahele pragudesse endale varuks
108,tunnistaja,tunnistajaks,kaitseks tunnistajaks tirinud
109,vabandus,vabanduseks,näitlejale ei riputa keegi vabanduseks silti rinda
110,stsenaarium,stsenaariumiks,Esimese torkab silma kokku lõikamine stsenaariumiks
112,viies,viiendaks,käigukastirike paiskas Märtini katse järel viiendaks
120,eeltingimus,eeltingimuseks,kohalolu sättis Taylor eeltingimuseks
121,mugav,mugavaks,Sättisin olemise mugavaks võimalik
122,sallimatus,sallimatuseks,kalduvust sallimatuseks mulle küll silma ei torganud
123,puhas,puhtaks,Raputas lumest puhtaks
